trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,reached_goal,coin_collected,coin_collection_step,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate
0,0,size7_comp0.0_grid0_RandomStart_4_2_low,7,0.0,low,RandomStart_4_2,random_starts,4,5,9,1,4,1,1,1,0,1,7,32,0.0,0.3125,0.5,0.25,18,1,5,8,18,7,1,5,25,4,1,18,0.5625
1,0,size7_comp0.0_grid0_RandomStart_4_2_low,7,0.0,low,RandomStart_4_2,random_starts,4,5,9,1,4,1,1,1,0,1,8,32,0.0,0.3125,0.4444444444444444,0.2608695652173913,20,1,5,6,16,8,3,4,25,3,1,19,0.59375
2,0,size7_comp0.0_grid0_RandomStart_4_2_low,7,0.0,low,RandomStart_4_2,random_starts,4,5,9,1,4,1,1,1,1,1,21,27,0.3333333333333333,0.37037037037037035,0.22727272727272727,1.0,17,2,4,4,15,5,5,1,21,1,1,16,0.5925925925925926
3,0,size7_comp0.0_grid0_RandomStart_4_2_low,7,0.0,low,RandomStart_4_2,random_starts,4,5,9,1,4,1,1,1,1,1,9,15,0.6,0.6,0.4,1.0,7,2,3,3,8,4,2,0,6,0,0,6,0.4
4,0,size7_comp0.0_grid0_RandomStart_4_2_low,7,0.0,low,RandomStart_4_2,random_starts,4,5,9,1,4,1,1,1,1,1,3,26,0.34615384615384615,0.46153846153846156,1.0,0.36363636363636365,12,4,4,6,12,6,4,3,16,1,1,11,0.4230769230769231
0,0,size7_comp0.0_grid0_RandomStart_5_1_low,7,0.0,low,RandomStart_5_1,random_starts,4,5,9,3,3,1,1,1,0,1,11,32,0.0,0.3125,0.3333333333333333,0.3,16,2,5,9,14,6,6,5,25,4,1,18,0.5625
1,0,size7_comp0.0_grid0_RandomStart_5_1_low,7,0.0,low,RandomStart_5_1,random_starts,4,5,9,3,3,1,1,1,0,1,11,32,0.0,0.3125,0.4166666666666667,0.25,17,2,5,8,16,5,5,5,25,4,1,18,0.5625
0,0,size7_comp0.0_grid0_ReflectEnv_low,7,0.0,low,ReflectEnv,reflect,6,5,11,3,4,1,1,1,0,1,19,32,0.0,0.5,0.65,0.25,18,7,3,4,12,4,8,7,22,7,7,8,0.25
1,0,size7_comp0.0_grid0_ReflectEnv_low,7,0.0,low,ReflectEnv,reflect,6,5,11,3,4,1,1,1,1,0,-1,5,0.0,0.6,0.6,0.0,3,1,1,0,1,0,1,2,2,2,0,0,0.0
2,0,size7_comp0.0_grid0_ReflectEnv_low,7,0.0,low,ReflectEnv,reflect,6,5,11,3,4,1,1,1,1,0,-1,13,0.0,0.38461538461538464,0.38461538461538464,0.0,3,3,5,2,3,1,5,3,8,3,0,4,0.3076923076923077
3,0,size7_comp0.0_grid0_ReflectEnv_low,7,0.0,low,ReflectEnv,reflect,6,5,11,3,4,1,1,1,1,0,-1,11,0.0,0.5454545454545454,0.5454545454545454,0.0,4,2,3,2,2,2,3,3,5,3,0,0,0.0
4,0,size7_comp0.0_grid0_ReflectEnv_low,7,0.0,low,ReflectEnv,reflect,6,5,11,3,4,1,1,1,1,0,-1,3,0.0,0.6666666666666666,0.6666666666666666,0.0,2,0,1,0,0,1,1,0,0,0,0,0,0.0
5,0,size7_comp0.0_grid0_ReflectEnv_low,7,0.0,low,ReflectEnv,reflect,6,5,11,3,4,1,1,1,1,0,-1,8,0.0,0.5,0.5,0.0,2,1,3,2,1,1,3,2,3,2,0,1,0.125
6,0,size7_comp0.0_grid0_ReflectEnv_low,7,0.0,low,ReflectEnv,reflect,6,5,11,3,4,1,1,1,1,0,-1,5,0.0,0.6,0.6,0.0,3,1,1,0,1,1,0,2,2,2,0,0,0.0
7,0,size7_comp0.0_grid0_ReflectEnv_low,7,0.0,low,ReflectEnv,reflect,6,5,11,3,4,1,1,1,0,1,5,32,0.0,0.375,1.0,0.23076923076923078,21,2,4,5,16,4,7,4,22,3,0,15,0.46875
8,0,size7_comp0.0_grid0_ReflectEnv_low,7,0.0,low,ReflectEnv,reflect,6,5,11,3,4,1,1,1,1,0,-1,10,0.0,0.5,0.5,0.0,3,1,4,2,1,3,2,3,5,2,0,1,0.1
9,0,size7_comp0.0_grid0_ReflectEnv_low,7,0.0,low,ReflectEnv,reflect,6,5,11,3,4,1,1,1,1,0,-1,32,0.0,0.46875,0.46875,0.0,9,9,8,6,2,6,13,10,24,9,0,3,0.09375
