trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,reached_goal,coin_collected,coin_collection_step,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate
0,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,3,8,6,1,1,1,1,1,0,-1,6,0.0,0.6666666666666666,0.6666666666666666,0.0,5,0,0,1,4,0,1,0,0,0,0,0,0.0
1,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,3,8,6,1,1,1,1,1,1,6,10,0.8,0.9,0.8571428571428571,1.0,5,0,2,3,3,1,4,1,1,1,0,0,0.0
2,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,3,8,6,1,1,1,1,1,0,-1,16,0.0,0.5625,0.5625,0.0,6,1,4,5,3,5,7,0,0,0,0,0,0.0
3,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,3,8,6,1,1,1,1,1,1,4,12,0.6666666666666666,0.8333333333333334,1.0,0.7142857142857143,5,0,3,4,6,1,2,2,3,2,2,0,0.0
4,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,3,8,6,1,1,1,1,1,0,-1,8,0.0,0.625,0.625,0.0,5,0,1,2,3,2,1,1,1,1,0,0,0.0
5,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,3,8,6,1,1,1,1,1,1,8,16,0.5,0.75,0.7777777777777778,0.7142857142857143,5,0,5,6,4,5,0,6,6,6,5,0,0.0
6,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,3,8,6,1,1,1,1,1,0,-1,22,0.0,0.5,0.5,0.0,9,2,5,6,8,4,6,3,4,2,0,2,0.09090909090909091
7,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,3,8,6,1,1,1,1,1,0,-1,36,0.0,0.3333333333333333,0.3333333333333333,0.0,20,1,7,8,17,10,7,1,22,1,0,14,0.3888888888888889
8,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,3,8,6,1,1,1,1,1,1,6,14,0.5714285714285714,0.7857142857142857,0.8571428571428571,0.7142857142857143,5,0,4,5,3,2,4,4,4,4,4,0,0.0
9,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,3,8,6,1,1,1,1,1,0,-1,14,0.0,0.5714285714285714,0.5714285714285714,0.0,5,0,4,5,4,3,3,3,3,3,0,0,0.0
0,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,3,4,7,7,0,1,1,1,0,0,-1,64,0.0,0.109375,0.109375,0.0,46,3,4,11,40,11,9,3,51,2,0,43,0.671875
1,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,3,4,7,7,0,1,1,1,0,0,-1,64,0.0,0.125,0.125,0.0,45,3,5,11,37,12,7,7,53,6,0,41,0.640625
2,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,3,4,7,7,0,1,1,1,0,0,-1,64,0.0,0.125,0.125,0.0,37,1,7,19,28,20,12,3,50,3,0,41,0.640625
3,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,3,4,7,7,0,1,1,1,0,0,-1,64,0.0,0.078125,0.078125,0.0,45,0,5,14,35,13,12,3,56,3,0,47,0.734375
4,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,3,4,7,7,0,1,1,1,0,0,-1,64,0.0,0.15625,0.15625,0.0,36,2,8,18,29,14,10,10,53,10,0,37,0.578125
5,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,3,4,7,7,0,1,1,1,0,0,-1,64,0.0,0.171875,0.171875,0.0,39,5,6,14,28,14,13,8,49,4,0,35,0.546875
6,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,3,4,7,7,0,1,1,1,0,0,-1,64,0.0,0.125,0.125,0.0,41,1,7,15,29,17,12,5,53,5,0,41,0.640625
7,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,3,4,7,7,0,1,1,1,0,0,-1,64,0.0,0.171875,0.171875,0.0,38,4,7,15,27,11,17,8,49,6,0,35,0.546875
8,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,3,4,7,7,0,1,1,1,0,0,-1,64,0.0,0.109375,0.109375,0.0,45,2,5,12,32,12,15,4,53,3,0,43,0.671875
9,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,3,4,7,7,0,1,1,1,0,0,-1,64,0.0,0.15625,0.15625,0.0,32,3,7,22,24,18,12,9,55,5,0,38,0.59375
0,2,size11_comp0.0_grid2_base_low,11,0.0,low,base,base,9,3,12,10,1,1,1,1,1,0,-1,10,0.0,0.8,0.8,0.0,5,0,0,5,4,3,2,0,0,0,0,0,0.0
1,2,size11_comp0.0_grid2_base_low,11,0.0,low,base,base,9,3,12,10,1,1,1,1,1,0,-1,10,0.0,0.8,0.8,0.0,5,0,0,5,4,2,3,0,0,0,0,0,0.0
2,2,size11_comp0.0_grid2_base_low,11,0.0,low,base,base,9,3,12,10,1,1,1,1,1,0,-1,10,0.0,0.8,0.8,0.0,5,0,0,5,2,3,4,0,0,0,0,0,0.0
3,2,size11_comp0.0_grid2_base_low,11,0.0,low,base,base,9,3,12,10,1,1,1,1,1,0,-1,12,0.0,0.75,0.75,0.0,5,0,1,6,5,2,2,2,2,2,0,0,0.0
4,2,size11_comp0.0_grid2_base_low,11,0.0,low,base,base,9,3,12,10,1,1,1,1,1,0,-1,14,0.0,0.7142857142857143,0.7142857142857143,0.0,6,1,1,6,3,4,4,2,2,2,0,0,0.0
5,2,size11_comp0.0_grid2_base_low,11,0.0,low,base,base,9,3,12,10,1,1,1,1,1,0,-1,10,0.0,0.8,0.8,0.0,5,0,0,5,4,2,3,0,0,0,0,0,0.0
6,2,size11_comp0.0_grid2_base_low,11,0.0,low,base,base,9,3,12,10,1,1,1,1,1,0,-1,12,0.0,0.75,0.75,0.0,5,0,1,6,4,3,4,0,0,0,0,0,0.0
7,2,size11_comp0.0_grid2_base_low,11,0.0,low,base,base,9,3,12,10,1,1,1,1,1,0,-1,10,0.0,0.8,0.8,0.0,5,0,0,5,2,4,3,0,0,0,0,0,0.0
8,2,size11_comp0.0_grid2_base_low,11,0.0,low,base,base,9,3,12,10,1,1,1,1,1,0,-1,12,0.0,0.75,0.75,0.0,5,0,1,6,4,4,2,1,1,1,0,0,0.0
9,2,size11_comp0.0_grid2_base_low,11,0.0,low,base,base,9,3,12,10,1,1,1,1,1,0,-1,10,0.0,0.8,0.8,0.0,5,0,0,5,2,4,3,0,0,0,0,0,0.0
0,3,size11_comp0.0_grid3_base_low,11,0.0,low,base,base,8,12,20,10,5,1,1,1,1,0,-1,14,0.0,0.2857142857142857,0.2857142857142857,0.0,8,0,5,1,3,4,6,0,2,0,0,2,0.14285714285714285
1,3,size11_comp0.0_grid3_base_low,11,0.0,low,base,base,8,12,20,10,5,1,1,1,1,0,-1,21,0.0,0.38095238095238093,0.38095238095238093,0.0,9,1,7,4,7,3,4,6,7,5,0,1,0.047619047619047616
2,3,size11_comp0.0_grid3_base_low,11,0.0,low,base,base,8,12,20,10,5,1,1,1,1,0,-1,12,0.0,0.3333333333333333,0.3333333333333333,0.0,8,0,3,1,6,2,3,0,0,0,0,0,0.0
3,3,size11_comp0.0_grid3_base_low,11,0.0,low,base,base,8,12,20,10,5,1,1,1,1,0,-1,11,0.0,0.2727272727272727,0.2727272727272727,0.0,9,0,2,0,9,1,0,0,1,0,0,1,0.09090909090909091
4,3,size11_comp0.0_grid3_base_low,11,0.0,low,base,base,8,12,20,10,5,1,1,1,1,0,-1,34,0.0,0.35294117647058826,0.35294117647058826,0.0,11,3,14,6,9,10,6,8,17,6,0,6,0.17647058823529413
