distance_to_goal,n_states,mean_entropy,se_entropy,mean_optimal_entropy,se_optimal_entropy,mean_jsd,se_jsd,accuracy,total_observations,is_capped
1,210,0.5462057103753586,0.03212800358919436,0.0,0.0,0.1856266081621468,0.015693424319372085,0.780952380952381,1547,False
2,259,0.8735234772863049,0.03744703835764861,0.37065637065637064,0.030069056537237803,0.29190710313707136,0.016039464393723557,0.6872586872586872,2400,False
3,285,0.8810677788554685,0.037594479995643804,0.47017543859649125,0.029616712041900365,0.3287529787556176,0.01591297658805323,0.6385964912280702,2994,False
4,265,0.9795533616880849,0.039152003202968196,0.5547169811320755,0.03058805297427066,0.37725387469556265,0.016408927822794447,0.5811320754716981,3412,False
5,232,1.0058860431743941,0.04220814285715922,0.6135338362193302,0.033100614228900385,0.38089748337578305,0.01803352508203225,0.5818965517241379,3273,False
6,172,1.0688682908055824,0.047648265572371264,0.643923764547462,0.03788695556881003,0.40497807589896395,0.019675282521905237,0.5174418604651163,2943,False
7,136,1.1012559658085201,0.05276620089944373,0.6293011948582439,0.04217234775667506,0.4173026385362696,0.021859856217665945,0.5073529411764706,2476,False
8,109,0.959747759945404,0.06405965273420786,0.730137270648818,0.043625377160853365,0.40222380736314733,0.023457603531184056,0.5321100917431193,2542,False
9,67,1.0182580992957508,0.08430931539544786,0.7313432835820896,0.05456165335924857,0.4184489722739446,0.034807570710941954,0.4925373134328358,1550,False
10,49,0.9711530580968749,0.09255866558416477,0.7262237245045133,0.06735232689022465,0.4399482966679201,0.046633811620458036,0.5102040816326531,914,False
11,34,1.2052137598460673,0.08638937830686029,0.8235294117647058,0.06636189115503133,0.432073271057156,0.042394707658508606,0.5294117647058824,585,False
12,24,1.0664868368136127,0.12456127143909708,0.7743734375300481,0.0963124898841494,0.38169311998282013,0.05254505412246995,0.5,589,False
13,16,1.1970098895347077,0.1368464347582267,0.4375,0.12808688457449496,0.4884440502977185,0.06376605968870852,0.375,580,False
14,11,1.4290211111730378,0.1289209885376757,0.5454545454545454,0.15745916432444337,0.3812119888539829,0.07620222151333755,0.5454545454545454,831,False
15,5,1.6003041760630345,0.1714086451117165,0.8,0.2,0.3689832071279381,0.13360094049187043,0.6,365,False
16,2,1.3229063388453348,0.4597857702787038,0.0,0.0,0.2819176602178983,0.12180516591888657,1.0,152,False
17,1,1.60273953953283,,1.0,,0.42852666511494164,,1.0,25,False
18,1,0.0,,1.0,,0.31127812445913283,,1.0,3,False
