grid_size,density,reasoning_effort,n_grids,mean_coin_collected_rate,se_coin_collected_rate,mean_full_success_rate,se_full_success_rate,mean_goal_only_rate,se_goal_only_rate,mean_action_accuracy,se_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,mean_spl,se_spl,mean_entropy,mean_jsd,mean_entropy_phase1,mean_entropy_phase2,mean_jsd_phase1,mean_jsd_phase2,mean_ece,mean_start_to_goal_distance,mean_coin_detour_distance,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations
7,0.0,low,10,0.11000000000000001,0.06741249472052228,0.11000000000000001,0.06741249472052228,0.69,0.08749603165604458,0.42056999418702273,0.02588192298728292,0.412894377158098,0.22272727272727275,0.042984440389045656,0.02478204925025731,1.0325978057986176,0.3227256356896258,0.9918942945821907,0.12458058909928069,0.5193757847456545,0.08276473418188827,0.284134593461885,4.1,1.8,6.640000000000001,4.88,3.31,2.71,4.67,3.28,3.8899999999999997,4.6899999999999995,10.8,3.7299999999999995,0.24
7,0.2,low,10,0.12,0.0679869268479038,0.1,0.05374838498865701,0.77,0.07753135566408671,0.4171910546440512,0.02757633210779624,0.42054623542521313,0.15465805707185015,0.03349366767414598,0.018054886092574537,0.9043789109133419,0.26295869502406083,0.8728580558627931,0.2602568576686773,0.5230460847667942,0.09856611902285284,0.21643131380214622,3.8,2.4,4.8100000000000005,2.5599999999999996,2.4699999999999998,1.9400000000000002,2.63,2.54,2.95,2.66,6.1899999999999995,2.13,0.58
7,0.4,low,10,0.01,0.01,0.01,0.01,0.95,0.040138648595974324,0.4428814958042865,0.05472532863750588,0.44114848609554863,0.1,0.004285714285714286,0.004285714285714286,0.7997102184845809,0.18833189372839496,0.8100377494387996,0.0,0.5545479518420894,0.015563906222956642,0.22657697636282634,4.1,2.7,3.3200000000000003,2.17,1.7,2.76,2.38,2.11,2.2399999999999998,2.2199999999999998,4.67,1.9100000000000001,0.0
7,0.6,low,10,0.0,0.0,0.0,0.0,0.79,0.08359957469322968,0.4545337121880807,0.0607543058169931,0.4545337121880807,0.0,0.0,0.0,0.9335194527290701,0.26580470719141,0.9335194527290701,0.0,0.5243806673149026,0.0,0.19339769553660419,4.5,2.5,3.5199999999999996,3.21,3.1,4.08,3.34,3.19,2.96,3.4200000000000004,8.379999999999999,2.63,0.0
9,0.0,low,10,0.15,0.09219544457292889,0.05,0.04013864859597432,0.64,0.11944315244779279,0.37881897506729356,0.05994264720000956,0.3902369489705676,0.1817975116357271,0.032772893772893774,0.024277695145818408,0.8425590983393825,0.3753908615332737,0.8332555266098414,0.28282505316150114,0.5506583322028167,0.20779705963345768,0.2832452107383626,4.8,3.4,9.84,4.7,2.96,5.73,8.32,4.720000000000001,4.28,4.91,15.48,3.95,0.51
9,0.2,low,10,0.08,0.05925462944877059,0.06999999999999999,0.04955356249106169,0.9099999999999999,0.060461190490723495,0.26671830756624254,0.05470933523399234,0.2691909424055764,0.18572357723577235,0.03405413803780409,0.02459745614393414,0.7351584194314629,0.277277485955251,0.7156178137466855,0.163386177245394,0.671581051498534,0.09593455282057803,0.19332295060365895,4.8,2.9,3.9299999999999997,2.67,2.07,2.66,4.029999999999999,2.4899999999999998,2.12,1.69,5.279999999999999,1.35,0.26999999999999996
9,0.4,low,10,0.01,0.01,0.0,0.0,0.9099999999999999,0.0706320670013903,0.4409508804237968,0.05523071945366392,0.44081111641875614,0.04166666666666667,0.0,0.0,0.945007638951781,0.2805395473053155,0.9437248726487064,0.0779878273861035,0.48446738591189414,0.06185638505949572,0.22388765973366734,5.2,4.0,5.630000000000001,4.1,3.44,3.97,4.930000000000001,3.84,3.46,3.91,10.129999999999999,3.2600000000000002,0.06999999999999999
9,0.6,low,10,0.03,0.030000000000000002,0.02,0.02,0.8099999999999999,0.10796089827134434,0.4658865688032704,0.05325889684607553,0.4650848101067749,0.07272727272727272,0.009015151515151516,0.009015151515151516,0.9689648862823728,0.3023680721487411,0.9814023351808331,0.08469506943242516,0.4711941687913533,0.015557508885372315,0.18018278454178555,4.7,4.2,5.8100000000000005,3.65,4.15,4.6899999999999995,4.92,3.7399999999999998,4.279999999999999,4.36,11.66,3.63,0.01
11,0.0,low,10,0.11000000000000001,0.05044248650140519,0.04,0.04,0.37,0.12387269450708031,0.29515097747471847,0.0688113440206472,0.29834934447555794,0.11528667621696646,0.025380952380952383,0.025380952380952383,0.7602660480273078,0.4853148143240477,0.7546236938661341,0.20050690882128994,0.5833179981307026,0.232786996838776,0.2841042274209424,6.8,2.9,20.279999999999998,2.8400000000000003,4.83,16.08,21.57,9.51,7.18,4.76,33.08,3.8299999999999996,0.14
11,0.2,low,10,0.01,0.01,0.0,0.0,0.58,0.1451436070471816,0.27552756442472437,0.04922347546880331,0.2762658354416332,0.023076923076923078,0.0,0.0,0.9027674954270755,0.3856375462141251,0.8966988238861455,0.04235972423779179,0.6200103535999612,0.06311842032447026,0.22444460486365442,7.4,3.4,16.43,4.529999999999999,5.88,9.78,14.309999999999999,8.17,7.24,5.9,26.869999999999997,4.21,0.0
11,0.4,low,10,0.16,0.077746025264604,0.07999999999999999,0.059254629448770586,0.5599999999999999,0.12754084313139327,0.337736769046448,0.0714454299490665,0.33842118514299036,0.16987601082496165,0.04107553904428905,0.03556722673780122,1.03728874145578,0.3820572840723717,1.0141399344019093,0.3424842802152129,0.5391866089648659,0.18523982586604426,0.23761917460490337,6.4,4.5,13.0,5.15,7.970000000000001,8.870000000000001,12.05,8.260000000000002,7.659999999999999,6.0200000000000005,24.93,4.67,0.5700000000000001
11,0.6,low,10,0.03,0.030000000000000002,0.03,0.030000000000000002,0.6799999999999999,0.12454361128179602,0.2970863748719842,0.033982682737428896,0.292727754182329,0.06999999999999999,0.015856060606060606,0.015856060606060606,1.0554063564139171,0.3345249730622755,1.0537101249157352,0.046854635407652216,0.5980977895384118,0.017356291333172343,0.20119518157835398,7.9,6.3,11.84,4.51,7.58,9.059999999999999,11.28,7.029999999999999,7.17,6.51,24.3,5.029999999999999,0.06
