grid_id,grid_size,density,instance_id,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,num_trajectories,num_coin_collected,num_goal_after_coin,num_goal_only,coin_collected_rate,goal_after_coin_rate,goal_only_rate,full_success_rate,mean_trajectory_length,mean_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,spl,mean_entropy,mean_optimal_entropy,mean_jsd,mean_entropy_phase1,mean_jsd_phase1,mean_entropy_phase2,mean_jsd_phase2,ece,mean_step_accuracy,total_steps,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions
size11_comp0.0_grid0_base_low,11,0.0,0,low,base,base,5,3,8,6,1,1,1,1,10,4,4,6,0.4,0.4,0.6,0.4,15.4,0.5909090909090909,0.5615384615384615,0.75,0.2538095238095238,0.6221909443208075,0.6571428571428571,0.2790244108345449,0.5961208365100725,0.42243424141273017,0.527386868697615,0.16426731463023928,0.06908218765361623,0.5909090909090909,154,7.0,0.4,3.5,4.5,5.5,3.3,3.5,2.1,4.4,2.0,1.1,1.6
size11_comp0.0_grid1_base_low,11,0.0,1,low,base,base,3,4,7,7,0,1,1,1,10,0,0,0,0.0,0.0,0.0,0.0,64.0,0.1328125,0.1328125,0.0,0.0,0.8910255333167135,1.0,0.8035768635735976,0.8910255333167135,0.7432928601733363,0.0,0.0,0.4063669981465353,0.1328125,640,40.4,2.4,6.1,15.1,30.9,14.2,11.9,6.0,52.2,4.7,0.0,40.1
size11_comp0.0_grid2_base_low,11,0.0,2,low,base,base,9,3,12,10,1,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,11.0,0.7727272727272727,0.7727272727272727,0.0,0.0,0.6544196371333287,0.8333333333333334,0.10989961885693939,0.6544196371333287,0.2142929150714291,0.0,0.0,0.2126488095238095,0.7727272727272727,110,5.1,0.1,0.4,5.4,3.4,3.1,3.0,0.5,0.5,0.5,0.0,0.0
size11_comp0.0_grid3_base_low,11,0.0,3,low,base,base,8,12,20,10,5,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,16.9,0.3254437869822485,0.3254437869822485,0.0,0.0,0.5575423110514265,0.6666666666666666,0.2348020580992558,0.5575423110514265,0.7462903750450053,0.0,0.0,0.0578534260352442,0.3254437869822485,169,8.6,0.5,5.8,2.0,6.8,3.5,3.3,2.3,4.4,1.7,0.0,1.9
size11_comp0.0_grid4_base_low,11,0.0,4,low,base,base,11,7,18,4,7,1,1,1,10,0,0,3,0.0,0.0,0.3,0.0,46.8,0.2777777777777778,0.2777777777777778,0.0,0.0,1.0559377339971987,0.8333333333333334,0.5442249993979519,1.0559377339971987,0.47753249297271516,0.0,0.0,0.4514132134938339,0.2777777777777778,468,12.0,5.7,5.2,23.9,19.8,10.1,9.4,6.5,35.2,5.7,0.0,21.8
size11_comp0.0_grid5_base_low,11,0.0,5,low,base,base,4,3,7,7,0,1,1,1,10,3,0,0,0.3,0.0,0.0,0.0,64.0,0.16875,0.18936170212765957,0.11176470588235295,0.0,0.9136817385127273,0.7,0.5377829832923532,0.9656211993751626,0.3992373559759023,0.6780627330182638,0.8432658032594963,0.20504798320587794,0.16875,640,18.2,6.1,2.7,37.0,29.7,15.8,11.5,6.0,53.8,3.7,0.0,42.1
size11_comp0.0_grid6_base_low,11,0.0,6,low,base,base,6,3,9,3,3,1,1,1,10,0,0,1,0.0,0.0,0.1,0.0,58.1,0.11359724612736662,0.11359724612736662,0.0,0.0,0.9017654271390639,0.7727272727272727,0.655158338724584,0.9017654271390639,0.6834563500390506,0.0,0.0,0.30985167873736397,0.11359724612736662,581,40.5,1.9,4.7,11.0,32.6,11.0,8.2,5.3,49.3,4.3,0.0,40.0
size11_comp0.0_grid7_base_low,11,0.0,7,low,base,base,3,12,15,15,0,1,1,1,10,1,0,5,0.1,0.0,0.5,0.0,48.2,0.16804979253112035,0.16864608076009502,0.16393442622950818,0.0,0.5101152811898756,0.8679245283018868,0.22104275730722625,0.5329034278899961,0.7973363102058777,0.10238477431503146,0.4655729232929123,0.22456225119290973,0.16804979253112035,482,0.5,7.7,3.7,36.3,31.5,4.9,4.6,6.2,32.2,5.4,0.0,25.8
size11_comp0.0_grid8_base_low,11,0.0,8,low,base,base,12,9,21,3,9,1,1,1,10,0,0,0,0.0,0.0,0.0,0.0,64.0,0.19375,0.19375,0.0,0.0,0.7695524875142686,0.8888888888888888,0.8128809845290846,0.7695524875142686,0.8128809845290846,0.0,0.0,0.45673222916283096,0.19375,640,39.3,2.0,10.4,12.2,29.9,16.7,9.9,6.3,57.1,5.2,0.0,37.5
size11_comp0.0_grid9_base_low,11,0.0,9,low,base,base,6,3,9,3,3,1,1,1,10,3,0,2,0.3,0.0,0.2,0.0,52.0,0.2076923076923077,0.2478386167146974,0.12716763005780346,0.0,0.7264293860976682,0.7,0.6547551286249395,0.6213483447341098,0.5364260958818952,0.6972347121819892,0.8547639272051124,0.447483497057402,0.2076923076923077,520,31.2,1.6,5.8,13.4,25.6,12.5,6.5,6.4,41.7,5.1,0.3,32.1
size11_comp0.2_grid0_base_low,11,0.2,0,low,base,base,4,14,18,10,4,1,1,1,10,0,0,0,0.0,0.0,0.0,0.0,64.0,0.309375,0.309375,0.0,0.0,1.142342980005275,0.8888888888888888,0.6742122873877281,1.142342980005275,0.396062483442488,0.0,0.0,0.3337542770647372,0.309375,640,30.2,8.2,12.5,13.1,18.8,17.9,13.5,12.8,54.2,9.3,0.0,25.3
size11_comp0.2_grid1_base_low,11,0.2,1,low,base,base,6,3,9,9,0,1,1,1,10,1,0,4,0.1,0.0,0.4,0.0,49.4,0.2935222672064777,0.3009049773755656,0.23076923076923078,0.0,0.9977307512043252,0.5327436274792611,0.37341797435296004,0.9370440357950267,0.5238369492370125,0.42359724237791785,0.6311842032447027,0.07796747512220661,0.2935222672064777,494,19.8,8.5,4.0,17.1,19.0,11.3,9.4,8.7,32.8,6.6,0.0,19.9
size11_comp0.2_grid2_base_low,11,0.2,2,low,base,base,11,3,14,8,3,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,16.5,0.6424242424242425,0.6424242424242425,0.0,0.0,0.9201049898099127,0.5238095238095238,0.2787829638631648,0.9201049898099127,0.3032464441662621,0.0,0.0,0.10838143338143336,0.6424242424242425,165,8.1,0.9,2.4,5.1,6.4,2.7,4.5,1.9,5.6,1.8,0.0,3.3
