distance_to_goal,n_states,mean_entropy,se_entropy,mean_optimal_entropy,se_optimal_entropy,mean_jsd,se_jsd,accuracy,total_observations,is_capped
1,204,0.33502786578461596,0.027592489328025417,0.0,0.0,0.06804383282829733,0.007922985186645162,0.9705882352941176,1339,False
2,253,0.5416240437103038,0.031225876996135923,0.34782608695652173,0.030002850406189312,0.12074024847087174,0.008800896144763912,0.9565217391304348,1513,False
3,262,0.4764789883495677,0.03068236252379117,0.4198473282442748,0.030548971376254203,0.14053142809590188,0.010622078643157798,0.950381679389313,1531,False
4,224,0.4892847508653841,0.03581476631934422,0.5178571428571429,0.03346111607536241,0.14235530093859453,0.010930817544740176,0.9508928571428571,1245,False
5,166,0.5291949334774979,0.038973674724064065,0.5733128012135079,0.03937355198565033,0.1634987948149575,0.01661242008106127,0.9457831325301205,914,False
6,125,0.5625393790088882,0.04607071186836422,0.5326797000057693,0.0454679243756148,0.1733672062591202,0.015293963508231903,0.936,699,False
7,91,0.5404002002142212,0.05259775247779557,0.5842848901257397,0.05408561529123412,0.16725791401964102,0.02203738072268228,0.945054945054945,523,False
8,55,0.6618522265349156,0.07775254386267288,0.5454545454545454,0.06775963568181181,0.22365859814676567,0.03218236786033692,0.9272727272727272,372,False
9,32,0.5299828634241943,0.10198452551680905,0.53125,0.08962708359030336,0.1739934222413087,0.03692353090293096,0.9375,189,False
10,16,0.6069358657570454,0.12690653665576304,0.5990601562950723,0.1409807462464266,0.1729941355143463,0.031291991387399395,1.0,119,False
11,4,0.6872414593155274,0.2411535384772949,0.25,0.25,0.08847007396233895,0.03449571574633073,1.0,57,False
12,3,0.6362159798067063,0.34524673416541884,0.0,0.0,0.12983921913174082,0.08198635792498557,1.0,46,False
13,4,0.690707974335621,0.24433345392837874,0.0,0.0,0.11569701336470911,0.04224729446691472,1.0,50,False
14,3,1.0508980975438291,0.2020503868397002,0.3333333333333333,0.33333333333333337,0.20776462174059349,0.05970439642324206,1.0,44,False
15,1,0.9852281360342515,,1.0,,0.0037024515418363386,,1.0,14,False
