grid_size,density,reasoning_effort,n_grids,mean_coin_collected_rate,se_coin_collected_rate,mean_full_success_rate,se_full_success_rate,mean_goal_only_rate,se_goal_only_rate,mean_action_accuracy,se_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,mean_spl,se_spl,mean_entropy,mean_jsd,mean_entropy_phase1,mean_entropy_phase2,mean_jsd_phase1,mean_jsd_phase2,mean_ece,mean_start_to_goal_distance,mean_coin_detour_distance,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations
7,0.0,medium,10,0.01,0.01,0.01,0.01,0.99,0.009999999999999998,0.44910213568349616,0.09771889082737359,0.4459852525666131,0.1,0.01,0.01,0.4504164425212386,0.13012516762703247,0.45348017323156986,0.0,0.5931663999735699,0.023345859334434962,0.14980772583897584,4.6,1.8,2.18,1.28,1.52,0.51,2.15,1.1099999999999999,0.9299999999999999,0.30000000000000004,0.47000000000000003,0.30000000000000004,0.0
7,0.2,medium,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5360675190444295,0.06723793116528072,0.5360675190444295,0.0,0.0,0.0,0.3742107677708888,0.08761084484114007,0.3742107677708888,0.0,0.5614387167697896,0.0,0.11854632404632404,4.1,3.0,0.9400000000000001,0.99,1.04,1.7600000000000002,1.92,0.75,0.97,0.09,0.45999999999999996,0.08,0.0
7,0.4,medium,10,0.0,0.0,0.0,0.0,1.0,0.0,0.40233144088099415,0.06010843424572759,0.40233144088099415,0.0,0.0,0.0,0.4248297177679078,0.10378220020737847,0.4248297177679078,0.0,0.6325007237900716,0.0,0.12705760519931641,4.4,2.5,2.16,1.05,1.3900000000000001,0.8800000000000001,2.0599999999999996,1.1700000000000002,0.85,0.4,0.8099999999999999,0.38,0.0
7,0.6,medium,10,0.02,0.02,0.02,0.02,0.9800000000000001,0.019999999999999997,0.49686603952484293,0.057728339864885424,0.49422267317571666,0.09,0.015476190476190477,0.015476190476190477,0.5502473624677531,0.11434299343300218,0.5491390275936083,0.016666666666666666,0.48938248574325477,0.01352130207431888,0.16907801587471183,6.0,1.8,2.7800000000000002,0.9299999999999999,3.19,0.82,3.0300000000000002,1.64,1.54,0.51,1.41,0.43,0.02
9,0.0,medium,10,0.030000000000000006,0.01527525231651947,0.030000000000000006,0.01527525231651947,0.97,0.015275252316519475,0.44638776744806485,0.09769524438722207,0.439466242531079,0.3,0.030000000000000006,0.01527525231651947,0.4204263142689227,0.15857557255605834,0.4285343775878124,0.0,0.6304692432755905,0.047432857060439294,0.12037812562217325,6.3,2.2,1.9,2.2199999999999998,1.6600000000000001,1.78,3.2299999999999995,1.58,1.38,0.37,0.56,0.36,0.01
9,0.2,medium,10,0.02,0.013333333333333336,0.02,0.013333333333333336,0.9800000000000001,0.01333333333333333,0.47974728348481327,0.0748392124950765,0.4743711716342644,0.2,0.015714285714285715,0.010952380952380951,0.5658032071162459,0.13965576988509504,0.5782503565334978,0.0,0.5544777651854511,0.025198705313358372,0.16548636631225916,4.9,3.5,2.18,1.51,1.07,1.64,2.19,1.3599999999999999,1.25,0.6,0.93,0.58,0.01
9,0.4,medium,10,0.02,0.013333333333333334,0.02,0.013333333333333334,0.9800000000000001,0.013333333333333332,0.4548520586538839,0.09632375992291499,0.4468977883381626,0.18571428571428572,0.01566666666666667,0.010588253449512395,0.48240174261099333,0.10692853663235109,0.4889470503151543,0.02,0.5434806140710371,0.017639093719350858,0.14531592594364123,5.2,3.1,2.0100000000000002,2.16,1.54,1.6199999999999999,2.4099999999999997,1.4100000000000001,1.45,1.06,1.56,1.03,0.03
9,0.6,medium,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5268417569892374,0.07772325769731434,0.5268417569892374,0.0,0.0,0.0,0.5193571643463943,0.11815835992725984,0.5193571643463943,0.0,0.44755455558507296,0.0,0.14707518974001355,5.1,4.3,1.1700000000000002,2.79,1.29,1.97,2.7199999999999998,1.3699999999999999,1.45,0.67,1.72,0.63,0.0
11,0.0,medium,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5050721792846061,0.07509376523343739,0.5050721792846061,0.0,0.0,0.0,0.5390409541181699,0.14188171866591479,0.5390409541181699,0.0,0.5602895727514394,0.0,0.16731986563079,5.3,3.4,1.103730158730159,2.199563492063492,1.7100000000000002,2.09,2.499484126984127,1.5259126984126983,1.4743650793650793,0.5768650793650794,0.9726984126984128,0.5476984126984127,0.0
11,0.2,medium,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5505434739112329,0.07041565257996686,0.5505434739112329,0.0,0.0,0.0,0.47251039744419554,0.1661353097027229,0.47251039744419554,0.0,0.5011322617846452,0.0,0.14133235444561557,6.2,4.4,2.781944444444444,1.9208333333333332,1.5055555555555558,2.415277777777778,3.7444444444444445,1.4791666666666665,1.5083333333333333,0.8680555555555556,1.2958333333333332,0.8319444444444445,0.0
