grid_id,grid_size,density,instance_id,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,num_trajectories,num_coin_collected,num_goal_after_coin,num_goal_only,coin_collected_rate,goal_after_coin_rate,goal_only_rate,full_success_rate,mean_trajectory_length,mean_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,spl,mean_entropy,mean_optimal_entropy,mean_jsd,mean_entropy_phase1,mean_jsd_phase1,mean_entropy_phase2,mean_jsd_phase2,ece,mean_step_accuracy,total_steps,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions
size11_comp0.0_grid0_base_medium,11,0.0,0,medium,base,base,7,11,18,8,5,1,1,1,9,0,0,9,0.0,0.0,1.0,0.0,8.333333333333334,0.24,0.24,0.0,0.0,0.45703933032126787,0.7058823529411765,0.11221090850755315,0.45703933032126787,0.7600924519443544,0.0,0.0,0.16013071895424838,0.24,75,0.0,5.0,0.0,3.3333333333333335,3.7777777777777777,1.4444444444444444,2.111111111111111,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
size11_comp0.0_grid1_base_medium,11,0.0,1,medium,base,base,4,4,8,4,2,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,4.4,0.5,0.5,0.0,0.0,0.2399161644869189,0.16666666666666666,0.1745027490570449,0.2399161644869189,0.5723057288962331,0.0,0.0,0.09848484848484848,0.5,44,0.1,0.1,0.1,4.1,2.9,0.1,0.3,0.1,0.2,0.1,0.0,0.0
size11_comp0.0_grid2_base_medium,11,0.0,2,medium,base,base,6,4,10,6,2,1,1,1,7,0,0,7,0.0,0.0,1.0,0.0,8.285714285714286,0.6206896551724138,0.6206896551724138,0.0,0.0,0.6066811741090334,0.6923076923076923,0.14595910730385786,0.6066811741090334,0.4576199786215908,0.0,0.0,0.1565018315018315,0.6206896551724138,58,4.142857142857143,1.1428571428571428,3.0,0.0,2.7142857142857144,2.4285714285714284,1.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.0
size11_comp0.0_grid3_base_medium,11,0.0,3,medium,base,base,7,5,12,10,1,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,10.6,0.5754716981132075,0.5754716981132075,0.0,0.0,0.3697629835348292,0.6923076923076923,0.1683355166426823,0.3697629835348292,0.5579517280654599,0.0,0.0,0.09565018315018316,0.5754716981132075,106,0.1,3.1,0.0,7.3,5.0,1.9,2.5,0.0,0.4,0.0,0.0,0.3
size11_comp0.0_grid4_base_medium,11,0.0,4,medium,base,base,9,5,14,4,5,1,1,1,6,0,0,6,0.0,0.0,1.0,0.0,10.833333333333334,0.6615384615384615,0.6615384615384615,0.0,0.0,0.8356519220503823,0.6428571428571429,0.29919319587123866,0.8356519220503823,0.4280382040641488,0.0,0.0,0.2568027210884354,0.6615384615384615,65,1.8333333333333333,4.666666666666667,1.5,2.6666666666666665,3.0,2.6666666666666665,1.6666666666666667,2.1666666666666665,3.6666666666666665,2.0,0.0,0.3333333333333333
size11_comp0.0_grid5_base_medium,11,0.0,5,medium,base,base,4,7,11,3,4,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.2774582855287542,0.4,0.033502788411992064,0.2774582855287542,1.0,0.0,0.0,0.08666666666666667,0.0,30,0.0,1.0,0.0,2.0,0.7,0.4,0.9,0.0,0.0,0.0,0.0,0.0
size11_comp0.0_grid6_base_medium,11,0.0,6,medium,base,base,9,7,16,4,6,1,1,1,9,0,0,9,0.0,0.0,1.0,0.0,6.222222222222222,0.6607142857142857,0.6607142857142857,0.0,0.0,0.5991836202642877,0.5454545454545454,0.12914225939605792,0.5991836202642877,0.5154079862829982,0.0,0.0,0.23124098124098125,0.6607142857142857,56,1.1111111111111112,1.1111111111111112,4.0,0.0,2.4444444444444446,1.1111111111111112,1.1111111111111112,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,0.0
size11_comp0.0_grid7_base_medium,11,0.0,7,medium,base,base,6,5,11,5,3,1,1,1,6,0,0,6,0.0,0.0,1.0,0.0,5.0,0.6,0.6,0.0,0.0,0.40537708336611317,0.5454545454545454,0.040937244099795114,0.40537708336611317,0.46928154086093576,0.0,0.0,0.15151515151515155,0.6,30,2.0,0.0,3.0,0.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0.0
size11_comp0.0_grid8_base_medium,11,0.0,8,medium,base,base,5,6,11,5,3,1,1,1,8,0,0,8,0.0,0.0,1.0,0.0,8.125,0.38461538461538464,0.38461538461538464,0.0,0.0,0.804233597001615,0.6,0.16721939231300495,0.804233597001615,0.6042420698939599,0.0,0.0,0.24229020979020982,0.38461538461538464,65,1.25,2.375,3.75,0.75,1.75,2.125,1.875,1.375,2.625,1.25,0.0,0.875
size11_comp0.0_grid9_base_medium,11,0.0,9,medium,base,base,7,3,10,4,3,1,1,1,8,0,0,8,0.0,0.0,1.0,0.0,6.5,0.8076923076923077,0.8076923076923077,0.0,0.0,0.7951053805184962,0.5555555555555556,0.14781402505592098,0.7951053805184962,0.23795603888471353,0.0,0.0,0.19391534391534387,0.8076923076923077,52,0.5,3.5,1.75,0.75,1.375,1.75,1.375,1.0,1.375,1.0,0.0,0.0
size11_comp0.2_grid0_base_medium,11,0.2,0,medium,base,base,6,3,9,5,2,1,1,1,9,0,0,9,0.0,0.0,1.0,0.0,7.555555555555555,0.6764705882352942,0.6764705882352942,0.0,0.0,0.7153896281770813,0.5384615384615384,0.18249298411659717,0.7153896281770813,0.33204539198728783,0.0,0.0,0.1732905982905983,0.6764705882352942,68,3.0,0.8888888888888888,3.3333333333333335,0.3333333333333333,2.7777777777777777,1.7777777777777777,1.0,1.0,1.3333333333333333,0.8888888888888888,0.0,0.3333333333333333
size11_comp0.2_grid1_base_medium,11,0.2,1,medium,base,base,5,7,12,4,4,1,1,1,8,0,0,8,0.0,0.0,1.0,0.0,4.5,0.2777777777777778,0.2777777777777778,0.0,0.0,0.1677527782585486,0.3333333333333333,0.12306412874054505,0.1677527782585486,0.661319190878103,0.0,0.0,0.03703703703703705,0.2777777777777778,36,0.25,0.25,0.0,4.0,2.875,0.0,0.375,0.25,0.25,0.25,0.0,0.0
size11_comp0.2_grid2_base_medium,11,0.2,2,medium,base,base,13,5,18,8,5,1,1,1,8,0,0,8,0.0,0.0,1.0,0.0,14.5,0.7672413793103449,0.7672413793103449,0.0,0.0,0.7777102576094695,0.68,0.2014486911170055,0.7777102576094695,0.24911666447070607,0.0,0.0,0.3015201465201466,0.7672413793103449,116,4.25,2.25,7.125,0.875,5.25,3.0,3.875,1.375,2.875,1.375,0.0,0.25
size11_comp0.2_grid3_base_medium,11,0.2,3,medium,base,base,7,3,10,8,1,1,1,1,9,0,0,9,0.0,0.0,1.0,0.0,10.11111111111111,0.6923076923076923,0.6923076923076923,0.0,0.0,0.2275845353175965,0.2222222222222222,0.16528923500945852,0.2275845353175965,0.4762974611029986,0.0,0.0,0.07143658810325478,0.6923076923076923,91,8.0,0.0,1.1111111111111112,1.0,6.333333333333333,1.5555555555555556,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.0,0.1111111111111111
size11_comp0.2_grid4_base_medium,11,0.2,4,medium,base,base,9,9,18,4,7,1,1,1,9,0,0,9,0.0,0.0,1.0,0.0,4.444444444444445,0.5,0.5,0.0,0.0,0.22818582537214485,0.6666666666666666,0.19627242571062123,0.22818582537214485,0.5959840193756875,0.0,0.0,0.0488215488215488,0.5,40,2.111111111111111,0.1111111111111111,0.1111111111111111,2.111111111111111,1.6666666666666667,0.3333333333333333,1.1111111111111112,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
size11_comp0.2_grid5_base_medium,11,0.2,5,medium,base,base,5,4,9,7,1,1,1,1,9,0,0,9,0.0,0.0,1.0,0.0,11.444444444444445,0.5242718446601942,0.5242718446601942,0.0,0.0,0.7574549458672323,0.5882352941176471,0.19493278401453792,0.7574549458672323,0.5021916985656906,0.0,0.0,0.24235845853492913,0.5242718446601942,103,1.0,7.0,2.0,1.3333333333333333,4.0,2.3333333333333335,2.2222222222222223,1.6666666666666667,2.6666666666666665,1.6666666666666667,0.0,0.3333333333333333
size11_comp0.2_grid6_base_medium,11,0.2,6,medium,base,base,7,9,16,4,6,1,1,1,8,0,0,8,0.0,0.0,1.0,0.0,4.25,0.2647058823529412,0.2647058823529412,0.0,0.0,0.32422307303385456,0.6,0.10442387431102299,0.32422307303385456,0.6954555213001307,0.0,0.0,0.11666666666666668,0.2647058823529412,34,1.125,0.125,0.0,3.0,1.5,0.75,1.0,0.0,0.0,0.0,0.0,0.0
size11_comp0.2_grid7_base_medium,11,0.2,7,medium,base,base,13,9,22,8,9,1,1,1,8,0,0,8,0.0,0.0,1.0,0.0,11.75,0.6276595744680851,0.6276595744680851,0.0,0.0,0.6132896858168038,0.38461538461538464,0.11916853294088073,0.6132896858168038,0.5132596578379781,0.0,0.0,0.13173076923076923,0.6276595744680851,94,1.125,3.625,0.375,6.5,5.0,2.375,2.125,1.0,2.0,0.75,0.0,0.875
size11_comp0.2_grid8_base_medium,11,0.2,8,medium,base,base,4,7,11,5,3,1,1,1,6,0,0,6,0.0,0.0,1.0,0.0,6.666666666666667,0.275,0.275,0.0,0.0,0.5366781228500639,0.6153846153846154,0.18899539709455399,0.5366781228500639,0.713921775355757,0.0,0.0,0.20769230769230773,0.275,40,0.3333333333333333,4.333333333333333,0.5,1.5,2.1666666666666665,1.6666666666666667,1.3333333333333333,0.5,0.8333333333333334,0.5,0.0,0.0
size11_comp0.2_grid9_base_medium,11,0.2,9,medium,base,base,15,6,21,9,6,1,1,1,8,0,0,8,0.0,0.0,1.0,0.0,11.25,0.9,0.9,0.0,0.0,0.37683512213915993,0.47368421052631576,0.18526504397200594,0.37683512213915993,0.27173123697211254,0.0,0.0,0.08276942355889723,0.9,90,6.625,0.625,0.5,3.5,5.875,1.0,1.375,2.0,2.0,2.0,0.0,0.0
size11_comp0.4_grid0_base_medium,11,0.4,0,medium,base,base,6,3,9,7,1,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,9.3,0.6451612903225806,0.6451612903225806,0.0,0.0,0.4160818130865865,0.375,0.10126187536889397,0.4160818130865865,0.2852796126077551,0.0,0.0,0.15462962962962962,0.6451612903225806,93,0.6,3.6,0.4,4.7,3.8,1.6,2.2,0.7,1.0,0.7,0.0,0.3
size11_comp0.4_grid1_base_medium,11,0.4,1,medium,base,base,5,4,9,7,1,1,1,1,9,0,0,9,0.0,0.0,1.0,0.0,11.222222222222221,0.5346534653465347,0.5346534653465347,0.0,0.0,0.6504405562239933,0.4666666666666667,0.16942787572626347,0.6504405562239933,0.5359775353290163,0.0,0.0,0.20016382310499958,0.5346534653465347,101,1.0,4.111111111111111,5.0,1.0,3.888888888888889,2.0,1.8888888888888888,2.3333333333333335,2.7777777777777777,2.3333333333333335,0.0,0.1111111111111111
