distance_to_goal,n_states,mean_entropy,se_entropy,mean_optimal_entropy,se_optimal_entropy,mean_jsd,se_jsd,accuracy,total_observations,is_capped
1,552,0.7467448096962305,0.026894189972975064,0.0,0.0,0.45743523772166395,0.01534719479488838,0.42028985507246375,3563,False
2,819,0.9762574980481542,0.023041202063422226,0.3968253968253968,0.017105847713280116,0.4968573968177661,0.011200817777938394,0.43101343101343104,7513,False
3,997,1.044316661602361,0.019761710902559758,0.4663991975927783,0.015807291607020733,0.4933243594150074,0.009235573660997365,0.40421263791374124,11889,False
4,971,1.1000757632322222,0.01947516817168413,0.5612770339855818,0.015933014583482095,0.466452525921844,0.008928252454421835,0.4232749742533471,13993,False
5,730,1.0382421219939462,0.02410001615668138,0.6182737671272392,0.018185583274925657,0.4107462774330324,0.009877631172806264,0.5356164383561643,11279,False
6,467,1.095632070828681,0.02961704200111478,0.5266055942261366,0.023585236419349242,0.4358277569021611,0.012867237162233551,0.5032119914346895,8347,False
7,282,1.1392881115554532,0.037756262026407986,0.4849464095821399,0.03039693627450998,0.4394455745736621,0.016007915257427972,0.450354609929078,5074,False
8,119,1.1653035046352416,0.05350720540530034,0.8457446430813679,0.05956994108717165,0.36265062899915035,0.02159875725246359,0.5378151260504201,2560,False
9,24,0.94704550255789,0.11207146524511122,0.3333333333333333,0.0982946374365981,0.409720072513816,0.06557337632371767,0.4583333333333333,408,False
10,9,1.368224844680313,0.14500358321659856,0.0,0.0,0.5627523008531654,0.06854250120036084,0.2222222222222222,302,False
11,13,1.3510145908168947,0.1013842414201891,0.0,0.0,0.44671457896097994,0.05588311778407203,0.3076923076923077,885,False
12,1,1.1172724997133192,,0.0,,0.834297987133122,,0.0,67,False
