grid_id,grid_size,density,instance_id,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,num_trajectories,num_coin_collected,num_goal_after_coin,num_goal_only,coin_collected_rate,goal_after_coin_rate,goal_only_rate,full_success_rate,mean_trajectory_length,mean_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,spl,mean_entropy,mean_optimal_entropy,mean_jsd,mean_entropy_phase1,mean_jsd_phase1,mean_entropy_phase2,mean_jsd_phase2,ece,mean_step_accuracy,total_steps,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions
size7_comp0.0_grid0_RandomStart_4_2_low,7,0.0,0,low,RandomStart_4_2,random_starts,4,5,9,1,4,1,1,1,5,5,3,0,1.0,0.6,0.0,0.6,26.4,0.38636363636363635,0.39622641509433965,0.379746835443038,0.25589743589743585,0.765655052135753,0.5714285714285714,0.46604480089948563,0.7993153110228652,0.3373758311401742,0.4231835028891931,0.26677482755377624,0.28363687727041764,0.38636363636363635,132,14.8,2.0,4.2,5.4,13.8,6.0,3.0,2.6,18.6,1.8,0.8,14.0
size7_comp0.0_grid0_RandomStart_5_1_low,7,0.0,0,low,RandomStart_5_1,random_starts,4,5,9,3,3,1,1,1,2,2,0,0,1.0,0.0,0.0,0.0,32.0,0.3125,0.375,0.275,0.0,1.2147262347411918,0.7142857142857143,0.6507436355475708,0.5813789571938192,0.33322113043761603,0.528975478351624,0.5446224379766982,0.48285048285048277,0.3125,64,16.5,2.0,5.0,8.5,15.0,5.5,5.5,5.0,25.0,4.0,1.0,18.0
size7_comp0.0_grid0_ReflectEnv_low,7,0.0,0,low,ReflectEnv,reflect,6,5,11,3,4,1,1,1,10,2,0,8,0.2,0.0,0.8,0.0,15.1,0.47019867549668876,0.5486725663716814,0.23684210526315788,0.0,1.139357024695951,0.6842105263157895,0.4179988308235761,1.0812207779866314,0.3819275621370273,0.6674233876735153,0.6678691489751087,0.2432957393483709,0.47019867549668876,151,6.8,2.7,3.3,2.3,3.9,2.3,4.3,3.6,9.3,3.3,0.7,3.2
size7_comp0.0_grid0_RotateEnv_low,7,0.0,0,low,RotateEnv,rotate,6,5,11,3,4,1,1,1,10,1,0,8,0.1,0.0,0.8,0.0,12.9,0.49612403100775193,0.4956521739130435,0.5,0.0,0.9839560651623067,0.6666666666666666,0.3911816799912564,0.8804410936708653,0.38560374242875256,1.1165780293136145,0.5066734186465934,0.1682424484945493,0.49612403100775193,129,5.4,3.1,3.3,1.1,3.9,1.7,2.9,3.4,6.1,3.2,0.9,1.6
size7_comp0.0_grid0_StartGoalSwap_low,7,0.0,0,low,StartGoalSwap,start_goal_swap,5,6,11,3,4,1,1,1,10,10,3,0,1.0,0.3,0.0,0.3,26.8,0.48880597014925375,0.5806451612903226,0.44,0.23961538461538462,1.2043611289960303,0.7222222222222222,0.46623493312440417,0.5271488389723878,0.32457467102033905,0.9585620675173627,0.4143063797063013,0.2465611711225746,0.48880597014925375,268,10.0,5.3,3.8,7.7,8.7,6.7,5.9,4.5,15.4,3.7,0.8,8.2
size7_comp0.0_grid0_TransposeEnv_low,7,0.0,0,low,TransposeEnv,transpose,6,5,11,3,4,1,1,1,10,10,3,0,1.0,0.3,0.0,0.3,28.0,0.4142857142857143,0.5769230769230769,0.3181818181818182,0.18744147157190635,1.0120897959029744,0.7333333333333333,0.48635847149285616,0.6100353378366962,0.23730440237810038,0.7053638605549665,0.46341022935035586,0.3410264513885524,0.4142857142857143,280,15.8,2.7,4.9,4.6,15.4,6.3,3.1,2.2,18.3,1.9,0.8,12.7
size7_comp0.0_grid0_base_low,7,0.0,0,low,base,base,6,5,11,3,4,1,1,1,10,9,4,1,0.9,0.4,0.1,0.4,22.5,0.48,0.9032258064516129,0.31901840490797545,0.31027568922305765,0.7567254486726269,0.7,0.5440705510911573,0.48698269194791816,0.15258434799737067,0.5773308554668953,0.3627654091761521,0.2610297619047619,0.48,225,12.6,1.9,2.8,5.2,12.3,3.9,2.9,2.4,12.3,2.0,0.6,9.5
size7_comp0.0_grid0_walls0_low,7,0.0,0,low,walls0,reshuffled_walls,6,5,11,3,4,1,1,1,5,5,2,0,1.0,0.4,0.0,0.4,23.8,0.5042016806722689,0.6346153846153846,0.40298507462686567,0.3833333333333333,0.857878660618957,0.7058823529411765,0.5501359329108325,0.5461349240430713,0.22562406530978543,0.6630364717999802,0.30074981033885606,0.25054749172396235,0.5042016806722689,119,11.2,2.2,5.2,5.2,11.0,6.2,3.2,2.4,13.4,1.8,0.8,9.4
size7_comp0.0_grid0_walls1_low,7,0.0,0,low,walls1,reshuffled_walls,6,5,11,3,4,1,1,1,5,5,3,0,1.0,0.6,0.0,0.6,22.0,0.4909090909090909,0.5454545454545454,0.43636363636363634,0.4916666666666667,0.9264732166896331,0.7058823529411765,0.5095881287592188,0.5985207876515599,0.26744641670128805,0.5715037221934604,0.2871795114136375,0.386112041839596,0.4909090909090909,110,10.2,1.8,6.0,4.0,12.6,3.6,4.0,0.8,12.0,0.8,0.6,10.2
size7_comp0.0_grid1_RandomStart_3_3_low,7,0.0,1,low,RandomStart_3_3,random_starts,3,5,8,2,3,1,1,1,5,5,0,0,1.0,0.0,0.0,0.0,32.0,0.425,0.6041666666666666,0.3482142857142857,0.0,0.9804237284028242,0.7368421052631579,0.6151634174628406,0.777966509677783,0.31757556761253586,0.615080069282766,0.630501162704277,0.24563568010936432,0.425,160,16.2,7.0,4.6,4.2,11.4,6.4,6.6,6.6,20.0,5.2,0.4,9.6
