trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,reached_goal,coin_collected,coin_collection_step,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate
0,0,size11_comp0.0_grid0_RandomStart_1_8_low,11,0.0,low,RandomStart_1_8,random_starts,14,10,24,4,10,1,1,1,0,0,-1,64,0.0,0.578125,0.578125,0.0,9,7,20,28,10,9,11,33,43,32,0,2,0.03125
1,0,size11_comp0.0_grid0_RandomStart_1_8_low,11,0.0,low,RandomStart_1_8,random_starts,14,10,24,4,10,1,1,1,0,0,-1,64,0.0,0.609375,0.609375,0.0,14,8,17,25,10,13,15,25,35,25,0,0,0.0
2,0,size11_comp0.0_grid0_RandomStart_1_8_low,11,0.0,low,RandomStart_1_8,random_starts,14,10,24,4,10,1,1,1,0,1,58,64,0.0,0.578125,0.6101694915254238,0.2,14,5,18,27,13,18,7,25,35,24,0,3,0.046875
3,0,size11_comp0.0_grid0_RandomStart_1_8_low,11,0.0,low,RandomStart_1_8,random_starts,14,10,24,4,10,1,1,1,0,0,-1,64,0.0,0.5625,0.5625,0.0,13,11,16,24,13,16,12,22,38,20,0,3,0.046875
4,0,size11_comp0.0_grid0_RandomStart_1_8_low,11,0.0,low,RandomStart_1_8,random_starts,14,10,24,4,10,1,1,1,0,0,-1,64,0.0,0.5625,0.5625,0.0,10,9,19,26,11,13,15,24,40,23,0,3,0.046875
0,0,size11_comp0.0_grid0_RandomStart_4_7_low,11,0.0,low,RandomStart_4_7,random_starts,10,10,20,4,8,1,1,1,0,1,49,64,0.0,0.578125,0.6,0.5,13,6,21,24,12,12,14,25,34,24,0,1,0.015625
1,0,size11_comp0.0_grid0_RandomStart_4_7_low,11,0.0,low,RandomStart_4_7,random_starts,10,10,20,4,8,1,1,1,0,1,49,64,0.0,0.578125,0.6,0.5,19,9,18,18,18,11,14,20,31,19,0,4,0.0625
2,0,size11_comp0.0_grid0_RandomStart_4_7_low,11,0.0,low,RandomStart_4_7,random_starts,10,10,20,4,8,1,1,1,0,1,25,64,0.0,0.453125,0.6538461538461539,0.3157894736842105,21,1,18,24,13,15,19,16,44,13,0,18,0.28125
3,0,size11_comp0.0_grid0_RandomStart_4_7_low,11,0.0,low,RandomStart_4_7,random_starts,10,10,20,4,8,1,1,1,0,1,38,64,0.0,0.53125,0.6153846153846154,0.4,16,3,21,24,16,13,6,28,44,28,0,9,0.140625
4,0,size11_comp0.0_grid0_RandomStart_4_7_low,11,0.0,low,RandomStart_4_7,random_starts,10,10,20,4,8,1,1,1,0,1,28,64,0.0,0.484375,0.6551724137931034,0.34285714285714286,24,6,16,18,16,16,12,19,40,18,0,14,0.21875
0,0,size11_comp0.0_grid0_ReflectEnv_low,11,0.0,low,ReflectEnv,reflect,13,10,23,5,9,1,1,1,0,1,29,64,0.0,0.34375,0.43333333333333335,0.2647058823529412,13,1,24,26,40,11,11,1,40,1,0,39,0.609375
1,0,size11_comp0.0_grid0_ReflectEnv_low,11,0.0,low,ReflectEnv,reflect,13,10,23,5,9,1,1,1,1,1,32,53,0.4339622641509434,0.5283018867924528,0.48484848484848486,0.6,9,5,23,16,27,10,8,7,26,4,1,20,0.37735849056603776
2,0,size11_comp0.0_grid0_ReflectEnv_low,11,0.0,low,ReflectEnv,reflect,13,10,23,5,9,1,1,1,0,1,33,64,0.0,0.375,0.38235294117647056,0.36666666666666664,11,3,28,22,45,7,9,2,38,0,0,37,0.578125
3,0,size11_comp0.0_grid0_ReflectEnv_low,11,0.0,low,ReflectEnv,reflect,13,10,23,5,9,1,1,1,0,1,30,64,0.0,0.546875,0.6774193548387096,0.42424242424242425,14,5,16,28,19,11,12,19,37,16,1,12,0.1875
4,0,size11_comp0.0_grid0_ReflectEnv_low,11,0.0,low,ReflectEnv,reflect,13,10,23,5,9,1,1,1,0,1,32,64,0.0,0.421875,0.5151515151515151,0.3225806451612903,8,2,23,31,37,10,8,8,37,6,1,30,0.46875
5,0,size11_comp0.0_grid0_ReflectEnv_low,11,0.0,low,ReflectEnv,reflect,13,10,23,5,9,1,1,1,0,1,12,64,0.0,0.390625,1.0,0.23529411764705882,15,2,9,38,40,10,7,6,43,4,1,32,0.5
6,0,size11_comp0.0_grid0_ReflectEnv_low,11,0.0,low,ReflectEnv,reflect,13,10,23,5,9,1,1,1,0,1,43,64,0.0,0.484375,0.5227272727272727,0.4,21,2,15,26,27,11,13,12,39,12,1,20,0.3125
7,0,size11_comp0.0_grid0_ReflectEnv_low,11,0.0,low,ReflectEnv,reflect,13,10,23,5,9,1,1,1,0,1,35,64,0.0,0.46875,0.5555555555555556,0.35714285714285715,19,2,14,29,28,15,8,12,39,10,0,22,0.34375
8,0,size11_comp0.0_grid0_ReflectEnv_low,11,0.0,low,ReflectEnv,reflect,13,10,23,5,9,1,1,1,0,1,19,64,0.0,0.375,0.65,0.25,13,3,14,34,38,10,14,1,40,1,0,35,0.546875
9,0,size11_comp0.0_grid0_ReflectEnv_low,11,0.0,low,ReflectEnv,reflect,13,10,23,5,9,1,1,1,0,1,57,64,0.0,0.5625,0.5172413793103449,1.0,19,1,22,22,22,16,9,16,44,16,0,11,0.171875
0,0,size11_comp0.0_grid0_RotateEnv_low,11,0.0,low,RotateEnv,rotate,13,10,23,5,9,1,1,1,0,1,12,64,0.0,0.34375,1.0,0.17647058823529413,14,1,12,37,36,12,9,6,46,3,1,33,0.515625
