distance_to_goal,n_states,mean_entropy,se_entropy,mean_optimal_entropy,se_optimal_entropy,mean_jsd,se_jsd,accuracy,total_observations,is_capped
1,1544,0.7507155947748964,0.016487208052681415,0.0,0.0,0.47045016824051117,0.009370847035063983,0.41904145077720206,9905,False
2,2455,0.9117351420211461,0.013612631228005764,0.3894093686354379,0.009843306014256403,0.497464902015601,0.006727355114578048,0.4395112016293279,21383,False
3,3156,0.975891446157036,0.011614753942552786,0.4806717363751584,0.008894992594533966,0.4964265035371215,0.005436156364797314,0.42902408111533585,32319,False
4,3399,1.0271176946337954,0.010992553720962773,0.5648720211827007,0.008504951659321169,0.48495481662893203,0.004999764814272418,0.4351279788172992,43201,False
5,3153,1.0240662090664858,0.011695419673638914,0.5942053044760485,0.008841854408301729,0.4715891577753561,0.005204366999181224,0.46368537900412304,42991,False
6,2768,1.0452326938482484,0.012585899233717978,0.6037403856687173,0.009574254982479368,0.48056201734517945,0.0055994987377054085,0.46170520231213874,40162,False
7,2298,1.0641138099218417,0.013574131026097525,0.6465268929604339,0.01025237659714742,0.47481692405971543,0.006001837412449076,0.46649260226283723,32984,False
8,1719,1.057916431684618,0.015454956495487908,0.6949870346387379,0.011938931752922759,0.47337477203650474,0.006804448110423945,0.4566608493310064,27737,False
9,1190,1.0589435086939274,0.018747059896292637,0.646440892862597,0.014075582216836,0.47946917764442076,0.008115351575209616,0.42857142857142855,18481,False
10,809,1.051675785746489,0.023214203734687834,0.6574161001325236,0.01711494836351896,0.4762812103131639,0.009952037389521726,0.4561186650185414,14830,False
11,518,1.095743269353254,0.027952881094789977,0.6340436052276693,0.02206552095213755,0.4914067177460368,0.011789662112862108,0.3783783783783784,10766,False
12,299,1.141733114835041,0.03585264192340138,0.658108486658252,0.03018477373981255,0.44867141903631086,0.0147691922582566,0.44481605351170567,6291,False
13,147,1.1757910060242438,0.054129889515284225,0.664999234708595,0.04068729321649371,0.4772111641493869,0.021558067079210586,0.41496598639455784,3867,False
14,70,1.287777911378717,0.06355801257339123,0.5226423214388737,0.06170667338195883,0.5059400249509269,0.03403395307896791,0.3142857142857143,2829,False
15,33,1.2763492999224673,0.10025727138518474,0.6415128788315853,0.10409891459541577,0.40869820243209126,0.04775472559495825,0.42424242424242425,1474,False
16,9,0.7436332300480356,0.2430576511430007,0.4444444444444444,0.17568209223157663,0.35306732967341536,0.11541974652856417,0.6666666666666666,271,False
17,3,1.4573528649169998,0.2367487626328114,0.0,0.0,0.5490263497311442,0.15350607490029722,0.0,36,False
18,2,1.3858666337196717,0.5227460651530407,0.0,0.0,0.30963020566312827,0.1495177113641165,0.5,22,False
19,1,1.5,,0.0,,0.31127812445913283,,1.0,4,False
20,1,0.8112781244591328,,0.0,,1.0,,0.0,8,False
21,1,1.0,,0.0,,0.31127812445913283,,0.0,2,False
22,1,0.0,,0.0,,1.0,,0.0,1,False
