trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,reached_goal,coin_collected,coin_collection_step,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate
0,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,4,10,14,6,4,1,1,1,1,1,10,27,0.5185185185185185,0.7407407407407407,0.6363636363636364,0.8125,4,9,7,7,9,6,5,6,7,6,0,1,0.037037037037037035
1,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,4,10,14,6,4,1,1,1,1,1,3,18,0.7777777777777778,0.8888888888888888,1.0,0.8571428571428571,0,6,6,6,9,3,4,1,2,1,1,0,0.0
2,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,4,10,14,6,4,1,1,1,1,1,5,20,0.7,0.85,0.8333333333333334,0.8571428571428571,1,7,6,6,8,6,5,0,0,0,0,0,0.0
3,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,4,10,14,6,4,1,1,1,1,1,7,18,0.7777777777777778,0.8888888888888888,0.75,1.0,1,7,5,5,6,5,4,2,2,2,0,0,0.0
4,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,4,10,14,6,4,1,1,1,1,1,3,16,0.875,0.9375,1.0,0.9166666666666666,0,6,5,5,11,2,2,0,0,0,0,0,0.0
5,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,4,10,14,6,4,1,1,1,1,1,7,26,0.5384615384615384,0.7692307692307693,0.75,0.7777777777777778,1,7,9,9,11,5,5,4,6,4,0,0,0.0
6,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,4,10,14,6,4,1,1,1,1,1,7,18,0.7777777777777778,0.8888888888888888,0.75,1.0,1,7,5,5,6,5,4,2,2,2,0,0,0.0
7,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,4,10,14,6,4,1,1,1,1,1,7,32,0.4375,0.71875,0.75,0.7083333333333334,5,11,8,8,12,7,6,6,10,6,1,0,0.0
8,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,4,10,14,6,4,1,1,1,1,1,3,14,1.0,1.0,1.0,1.0,0,6,4,4,7,2,3,1,2,1,1,0,0.0
9,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,4,10,14,6,4,1,1,1,1,1,3,14,1.0,1.0,1.0,1.0,0,6,4,4,8,3,2,0,0,0,0,0,0.0
0,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,10,17,3,7,1,1,1,1,1,8,23,0.7391304347826086,0.8695652173913043,0.8888888888888888,0.8571428571428571,3,6,7,7,8,3,9,2,8,2,0,0,0.0
1,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,10,17,3,7,1,1,1,1,1,19,30,0.5666666666666667,0.7666666666666667,0.65,1.0,5,8,8,8,8,5,5,9,11,9,1,0,0.0
2,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,10,17,3,7,1,1,1,1,1,8,25,0.68,0.84,0.8888888888888888,0.8125,3,6,8,8,12,5,4,3,8,3,1,0,0.0
3,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,10,17,3,7,1,1,1,1,1,8,28,0.6071428571428571,0.75,0.8888888888888888,0.6842105263157895,4,5,9,9,13,6,4,2,9,2,0,2,0.07142857142857142
4,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,10,17,3,7,1,1,1,1,1,6,17,1.0,1.0,1.0,1.0,0,3,7,7,14,1,0,1,7,1,1,0,0.0
5,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,10,17,3,7,1,1,1,1,1,8,21,0.8095238095238095,0.9047619047619048,0.8888888888888888,0.9166666666666666,2,5,7,7,9,6,3,2,8,2,1,0,0.0
6,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,10,17,3,7,1,1,1,1,1,12,31,0.5483870967741935,0.7741935483870968,0.7692307692307693,0.7777777777777778,5,8,9,9,12,6,5,7,12,7,1,0,0.0
7,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,10,17,3,7,1,1,1,1,1,14,27,0.6296296296296297,0.8148148148148148,0.7333333333333333,0.9166666666666666,5,8,7,7,11,2,8,5,12,5,1,0,0.0
8,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,10,17,3,7,1,1,1,1,1,8,21,0.8095238095238095,0.9047619047619048,0.8888888888888888,0.9166666666666666,1,4,8,8,11,2,3,4,4,4,1,0,0.0
9,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,10,17,3,7,1,1,1,1,1,8,25,0.68,0.84,0.8888888888888888,0.8125,2,5,9,9,11,3,4,6,8,6,1,0,0.0
0,2,size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,4,10,14,6,4,1,1,1,1,1,3,24,0.5833333333333334,0.75,1.0,0.7,4,6,8,6,12,4,4,3,9,2,1,2,0.08333333333333333
1,2,size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,4,10,14,6,4,1,1,1,1,1,3,17,0.8235294117647058,0.8823529411764706,1.0,0.8461538461538461,1,4,7,5,7,3,3,3,7,3,1,1,0.058823529411764705
2,2,size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,4,10,14,6,4,1,1,1,1,1,5,24,0.5833333333333334,0.75,0.8333333333333334,0.7222222222222222,5,7,7,5,7,7,6,3,9,2,1,2,0.08333333333333333
3,2,size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,4,10,14,6,4,1,1,1,1,1,5,19,0.7368421052631579,0.8421052631578947,0.8333333333333334,0.8461538461538461,2,5,7,5,6,4,6,2,5,2,2,1,0.05263157894736842
4,2,size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,4,10,14,6,4,1,1,1,1,1,13,33,0.42424242424242425,0.6666666666666666,0.6428571428571429,0.6842105263157895,9,10,8,6,11,10,8,3,11,3,1,3,0.09090909090909091
5,2,size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,4,10,14,6,4,1,1,1,1,1,7,23,0.6086956521739131,0.782608695652174,0.75,0.8,3,6,8,6,5,6,7,4,9,3,0,1,0.043478260869565216
6,2,size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,4,10,14,6,4,1,1,1,1,1,3,24,0.5833333333333334,0.7916666666666666,1.0,0.75,2,6,9,7,8,4,5,6,8,6,0,0,0.0
7,2,size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,4,10,14,6,4,1,1,1,1,1,3,25,0.56,0.76,1.0,0.7142857142857143,5,8,7,5,9,5,2,8,12,7,1,1,0.04
8,2,size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,4,10,14,6,4,1,1,1,1,1,3,20,0.7,0.8,1.0,0.75,2,4,8,6,10,5,2,2,8,2,5,2,0.1
9,2,size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,4,10,14,6,4,1,1,1,1,1,5,22,0.6363636363636364,0.8181818181818182,0.8333333333333334,0.8125,1,5,9,7,6,4,8,3,6,3,0,0,0.0
0,3,size11_comp0.0_grid3_base_medium,11,0.0,medium,base,base,10,3,13,9,2,1,1,1,1,1,9,13,1.0,1.0,1.0,1.0,7,0,4,2,6,3,2,1,1,1,1,0,0.0
1,3,size11_comp0.0_grid3_base_medium,11,0.0,medium,base,base,10,3,13,9,2,1,1,1,1,1,11,15,0.8666666666666667,0.9333333333333333,0.9166666666666666,1.0,8,1,4,2,8,1,4,1,1,1,0,0,0.0
