distance_to_goal,n_states,mean_entropy,se_entropy,mean_optimal_entropy,se_optimal_entropy,mean_jsd,se_jsd,accuracy,total_observations,is_capped
0,4,0.24630703400856288,0.24630703400856288,0.0,0.0,,,0.0,17,False
1,232,0.4980849981082749,0.03503104627821133,0.0,0.0,0.17279228588926482,0.017283598502654995,0.8491379310344828,1580,False
2,324,0.6926048128732905,0.03192942426202613,0.37962962962962965,0.02700252103451646,0.25782422396014754,0.015693493756695834,0.7870370370370371,2161,False
3,374,0.7702459100023193,0.029562325465937195,0.4625668449197861,0.02581636318912827,0.28541319124579695,0.014475183605559782,0.7379679144385026,2734,False
4,368,0.7871658335096129,0.03028044273334103,0.5625,0.025895080171949972,0.29909258959565527,0.013389543339568481,0.7255434782608695,2721,False
5,342,0.7512727143849455,0.0315717225807984,0.561183662291245,0.027602716241437716,0.30730310641189074,0.014953442407492698,0.7543859649122807,2516,False
6,280,0.7727046964237478,0.03476305137478115,0.6675886160843063,0.029235797763528745,0.32779411392745283,0.015857296626533575,0.725,2002,False
7,213,0.7860903933535176,0.04226329354431788,0.6541776995440592,0.033900547172799354,0.3576028579381975,0.021588627343686464,0.6619718309859155,1512,False
8,156,0.7926234698112656,0.04967376642568069,0.6933969551374507,0.038056331295765404,0.32191427479633905,0.019204755002927957,0.7435897435897436,1168,False
9,116,0.7833163897841007,0.0582336873695073,0.7047835129496851,0.044919402728569674,0.2897652815442859,0.023191910611310165,0.7931034482758621,814,False
10,76,0.7730623281457734,0.07474971591465127,0.6447368421052632,0.05526315789473684,0.3278966449444721,0.033701355495764744,0.7368421052631579,511,False
11,41,0.6851396562059546,0.09981451978994463,0.7703649390419793,0.07062507680626517,0.2875226702802986,0.04397348058770922,0.8536585365853658,240,False
12,19,0.6467715139679074,0.12627944069693542,0.8947368421052632,0.07233518641434492,0.2782874006309111,0.05872122125013207,0.7894736842105263,78,False
13,11,0.21563186513961058,0.11410685617731813,0.5454545454545454,0.15745916432444337,0.33802729724608455,0.10620794358643823,0.8181818181818182,38,False
14,4,0.2295739585136224,0.2295739585136224,0.25,0.25,0.5778195311147832,0.25189158193820277,0.5,8,False
15,1,0.0,,1.584962500721156,,0.4591479170272448,,1.0,1,False
