grid_size,density,reasoning_effort,n_grids,mean_coin_collected_rate,se_coin_collected_rate,mean_full_success_rate,se_full_success_rate,mean_goal_only_rate,se_goal_only_rate,mean_action_accuracy,se_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,mean_spl,se_spl,mean_entropy,mean_jsd,mean_entropy_phase1,mean_entropy_phase2,mean_jsd_phase1,mean_jsd_phase2,mean_ece,mean_start_to_goal_distance,mean_coin_detour_distance,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations
7,0.0,medium,10,0.99,0.009999999999999998,0.99,0.009999999999999998,0.01,0.01,0.8958167143738102,0.017178335263117128,0.9116732947964733,0.8864264003094015,0.8366051107045689,0.02497602880846593,0.678701735495045,0.30538126805125165,0.49513458066418076,0.4885344442945393,0.11532546606227376,0.1544529385631738,0.20556773701487813,4.6,1.6,2.7,2.4899999999999998,2.6,1.8,3.35,1.9100000000000001,2.48,0.85,1.33,0.8400000000000001,0.36
7,0.2,medium,10,0.99,0.01,0.99,0.01,0.01,0.01,0.8556010911110464,0.017872949888098868,0.8753063114696283,0.8520089665927205,0.7938947732077528,0.020874346939988235,0.7612698294047434,0.26932422458215166,0.5821069609493021,0.5567904710158621,0.10687336051768112,0.1029888409512496,0.19261559013265195,4.1,2.4,2.8600000000000003,2.63,3.05,2.75,3.72,2.44,2.75,1.3800000000000001,2.91,1.3,0.9099999999999999
7,0.4,medium,10,1.0,0.0,1.0,0.0,0.0,0.0,0.8507491876524662,0.01509189157856898,0.8657276298319628,0.8421874423469637,0.8029724663666228,0.018785797870205,0.6922133248655377,0.29773914219261716,0.48715142829673574,0.52715245050869,0.0910362245222583,0.12458675279454146,0.16409983941088876,4.2,3.0,3.81,2.86,2.2800000000000002,3.38,4.67,2.3,2.7,1.6600000000000001,3.37,1.6,0.85
7,0.6,medium,10,0.9,0.09999999999999999,0.9,0.09999999999999999,0.06,0.060000000000000005,0.8290151528816342,0.033964592603419386,0.8263628222466544,0.7862147851627358,0.7302478975430942,0.0827299451713562,0.7360464084453808,0.236401409313715,0.5930828776777852,0.4089678603132813,0.11102547691185889,0.0853548394192261,0.1800219021982905,5.1,2.6,3.19,3.05,3.47,3.3899999999999997,4.26,2.8,2.5300000000000002,2.5100000000000002,4.66,2.33,0.79
9,0.0,medium,10,0.9800000000000001,0.01333333333333334,0.9800000000000001,0.01333333333333334,0.02,0.013333333333333336,0.8566277661481063,0.02441572640784534,0.8791082844458671,0.8520343069467984,0.7440712550461577,0.04768777045872238,0.831044032075323,0.29968127744132567,0.6225426281648353,0.6261817356207224,0.15584798941989253,0.16774318780318617,0.18210606383425967,5.0,3.2,3.8,4.26,3.5800000000000005,4.67,5.18,3.9200000000000004,4.07,2.14,3.8200000000000003,2.1,0.6900000000000001
9,0.2,medium,10,0.9800000000000001,0.019999999999999993,0.9800000000000001,0.019999999999999993,0.02,0.02,0.8742724483897428,0.020100409599099516,0.8633064617401175,0.8873903144210731,0.7921578301299663,0.02837258545995244,0.6613698306206561,0.29169099283159616,0.5952021969706713,0.4522782750735261,0.14367808398913687,0.11239172562585967,0.167578898742121,5.9,2.7,4.359999999999999,2.48,3.44,3.1,5.29,2.6100000000000003,2.83,1.64,2.66,1.61,0.45
9,0.4,medium,10,0.9400000000000001,0.06000000000000001,0.9400000000000001,0.06000000000000001,0.06,0.060000000000000005,0.8175386012777979,0.01181779053902572,0.8460385213550596,0.8267078004495799,0.6799211191397555,0.04979317710574024,0.7329450316928656,0.26033970499044545,0.5068584160279921,0.5199778584647158,0.12042450513896004,0.14908700459000895,0.13073685391258577,5.5,3.4,4.39,4.3,4.05,3.62,6.09,3.37,3.6799999999999997,2.21,4.3100000000000005,2.13,0.76
9,0.6,medium,10,0.89,0.09938701010583717,0.89,0.09938701010583717,0.11000000000000001,0.09938701010583717,0.8112875062408078,0.02159973818200467,0.8211088250149942,0.7453896304819349,0.668765890441466,0.08061793800860335,0.680917184727417,0.23329712731131033,0.543631106169155,0.4361471166620471,0.13865231162784503,0.13129186082029828,0.1375070631366816,6.0,3.1,3.06,3.85,3.9299999999999997,4.05,5.51,3.19,2.7800000000000002,2.29,4.59,2.16,0.89
11,0.0,medium,10,0.9400000000000001,0.04268749491621899,0.9400000000000001,0.04268749491621899,0.06000000000000001,0.042687494916218996,0.8465823010051174,0.01682204833314592,0.8394855503569072,0.8713961391211553,0.6951573765163753,0.04335573434656558,0.8135217504074767,0.29741996401298276,0.6074170643677753,0.5541412042781502,0.19630314301212703,0.1478897140484749,0.15849409469811085,6.6,3.7,4.1899999999999995,4.29,6.04,4.6899999999999995,7.779999999999999,3.81,4.12,2.48,4.6899999999999995,2.44,0.6799999999999999
11,0.2,medium,10,1.0,0.0,1.0,0.0,0.0,0.0,0.8291217358699778,0.019018336563370968,0.8500923058280871,0.827303628938172,0.7345824371462626,0.035355062023272495,0.6935418328221129,0.3054268625429385,0.4728768470422008,0.5965493550213714,0.15268872283557292,0.19139459666775582,0.1423458035611534,5.9,2.8,5.244285714285715,4.637142857142857,6.018571428571429,3.775714285714286,7.515714285714286,4.338571428571429,4.1085714285714285,2.712857142857143,4.75,2.5742857142857143,0.5971428571428572
