grid_id,grid_size,density,instance_id,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,num_trajectories,num_coin_collected,num_goal_after_coin,num_goal_only,coin_collected_rate,goal_after_coin_rate,goal_only_rate,full_success_rate,mean_trajectory_length,mean_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,spl,mean_entropy,mean_optimal_entropy,mean_jsd,mean_entropy_phase1,mean_jsd_phase1,mean_entropy_phase2,mean_jsd_phase2,ece,mean_step_accuracy,total_steps,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions
size11_comp0.0_grid0_base_medium,11,0.0,0,medium,base,base,4,10,14,6,4,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,20.3,0.8423645320197044,0.8,0.8623188405797102,0.7402813390313391,0.5283240865842521,0.7916666666666666,0.3044006788290918,0.6695957264204969,0.17416752572917094,0.44173208526017527,0.21208388326661806,0.0561026936026936,0.8423645320197044,203,1.3,7.2,5.9,5.9,8.7,4.4,4.0,2.2,3.1,2.2,0.3,0.1
size11_comp0.0_grid1_base_medium,11,0.0,1,medium,base,base,7,10,17,3,7,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,24.8,0.8346774193548387,0.8165137614678899,0.8489208633093526,0.7070004304043576,0.9896134945560537,0.7941176470588235,0.2972774534287841,0.7641681728087454,0.12505680088258692,0.6506931268795768,0.18520818923378643,0.09786518268352179,0.8346774193548387,248,3.0,5.8,7.9,7.9,10.9,3.9,4.5,4.1,8.7,4.1,0.8,0.2
size11_comp0.0_grid2_base_medium,11,0.0,2,medium,base,base,4,10,14,6,4,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,23.1,0.7748917748917749,0.8333333333333334,0.7543859649122807,0.6239673229807837,1.0866619271612616,0.7,0.3639652224947454,0.28092613636318214,0.35900654801878135,1.038434301475786,0.196081367992568,0.24739214489214484,0.7748917748917749,231,3.4,6.1,7.8,5.8,8.1,5.2,5.1,3.7,8.4,3.3,1.2,1.3
size11_comp0.0_grid3_base_medium,11,0.0,3,medium,base,base,10,3,13,9,2,1,1,1,10,8,8,2,0.8,0.8,0.2,0.8,13.4,0.9402985074626866,0.9351851851851852,0.9615384615384616,0.7333333333333334,0.5184732258331745,0.6666666666666666,0.19695027549436717,0.49312099473248494,0.20197643332785636,0.45058854607433874,0.09884758015917573,0.10558506308506312,0.9402985074626866,134,7.3,0.3,3.9,1.9,6.2,2.4,3.0,0.8,0.9,0.8,0.4,0.0
size11_comp0.0_grid4_base_medium,11,0.0,4,medium,base,base,11,3,14,12,1,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,23.6,0.7966101694915254,0.7777777777777778,0.8947368421052632,0.632550505050505,0.8992647527980829,0.8181818181818182,0.21484944529331426,0.8913024385744661,0.20213398180183784,0.5222805058853657,0.11597023597427555,0.24073174300447028,0.7966101694915254,236,4.6,8.6,9.2,1.2,6.5,5.6,6.5,4.0,5.7,4.0,0.4,0.0
size11_comp0.0_grid5_base_medium,11,0.0,5,medium,base,base,8,4,12,4,4,1,1,1,10,6,6,4,0.6,0.6,0.4,0.6,13.4,0.8134328358208955,0.8333333333333334,0.7631578947368421,0.391015037593985,0.8956660163533074,0.6451612903225806,0.3423193321205466,0.5992574523304268,0.2032229371747361,0.6449112952330969,0.1931626432198038,0.26230856956663406,0.8134328358208955,134,3.1,1.7,2.8,5.8,4.9,2.8,3.0,1.7,3.2,1.7,0.5,0.4
size11_comp0.0_grid6_base_medium,11,0.0,6,medium,base,base,6,10,16,4,6,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,24.4,0.8278688524590164,0.8571428571428571,0.8125,0.6933776509008707,0.9438012082290658,0.8055555555555556,0.298157693904208,0.5241317752393038,0.20140637560401306,0.7682521683893131,0.20278351409414608,0.22875011461967978,0.8278688524590164,244,3.2,7.2,7.0,7.0,8.6,5.1,5.7,4.0,7.5,4.0,1.4,0.0
size11_comp0.0_grid7_base_medium,11,0.0,7,medium,base,base,9,4,13,13,0,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,16.4,0.8902439024390244,0.8688524590163934,0.9523809523809523,0.8085507887365473,0.444574941840214,0.8461538461538461,0.2618465930606802,0.39276361717346603,0.2650313895458851,0.2197484934607567,0.02350824717113471,0.12576590076590077,0.8902439024390244,164,8.5,0.3,6.3,1.3,9.3,2.6,2.0,1.5,1.9,1.5,0.4,0.2
size11_comp0.0_grid8_base_medium,11,0.0,8,medium,base,base,7,11,18,4,7,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,19.6,0.9183673469387755,0.8974358974358975,0.9322033898305084,0.9213533834586466,0.7958176035500082,0.8,0.4198908170161694,0.571955691137699,0.09096327958709811,0.29385956808606467,0.18566090723137818,0.08208375473855349,0.9183673469387755,196,2.8,3.0,5.0,8.8,10.8,3.3,3.7,0.8,4.8,0.8,0.8,1.6
size11_comp0.0_grid9_base_medium,11,0.0,9,medium,base,base,5,4,9,5,2,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,13.3,0.8270676691729323,0.7752808988764045,0.9318181818181818,0.7001439736733854,1.0330202471693464,0.6666666666666666,0.2745421284879208,0.8869486388974819,0.14006615844930456,0.5109119520370274,0.06559057214186223,0.1383557800224467,0.8270676691729323,133,4.7,2.7,4.6,1.3,3.8,2.8,3.7,2.0,2.7,2.0,0.6,0.3
size11_comp0.2_grid0_base_medium,11,0.2,0,medium,base,base,4,7,11,5,3,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,14.3,0.8741258741258742,0.9347826086956522,0.845360824742268,0.8306117216117215,0.6258871936969846,0.5862068965517241,0.27969867653768443,0.3228573852254234,0.09888005418186661,0.572878749562022,0.19916397294034657,0.13791419308660688,0.8741258741258742,143,5.8,1.6,3.0,3.9,6.3,3.5,2.3,1.2,2.2,1.2,0.3,0.3
size11_comp0.2_grid1_base_medium,11,0.2,1,medium,base,base,4,7,11,7,2,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,17.5,0.8,0.9333333333333333,0.7538461538461538,0.6768718430692114,0.8341125682886361,0.43478260869565216,0.3142221023011278,0.3448242942147662,0.07815333960653299,0.8021135721404514,0.2584657739435017,0.21984977265297628,0.8,175,2.5,5.6,6.7,2.7,5.3,4.7,2.9,3.6,6.0,3.4,0.7,0.5
size11_comp0.2_grid2_base_medium,11,0.2,2,medium,base,base,7,7,14,4,5,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,16.2,0.9320987654320988,0.9166666666666666,0.9487179487179487,0.8783333333333333,0.6593038633383237,0.5757575757575758,0.41881568264999225,0.546961298086376,0.13714733693650819,0.24171735511999645,0.14274355362979355,0.14484655273425326,0.9320987654320988,162,4.4,2.4,3.7,5.7,8.2,2.8,3.0,1.2,2.3,1.2,0.8,0.0
size11_comp0.2_grid3_base_medium,11,0.2,3,medium,base,base,4,7,11,11,0,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,23.0,0.7217391304347827,0.6666666666666666,0.7633587786259542,0.5203232169532394,0.7867956349968549,0.6486486486486487,0.25094544628868926,0.6994279390820766,0.38483655017152657,0.8184458336942708,0.1472838811313469,0.16883753501400559,0.7217391304347827,230,2.7,9.0,8.0,3.3,6.8,6.5,3.9,4.8,7.2,4.6,0.9,0.8
size11_comp0.2_grid4_base_medium,11,0.2,4,medium,base,base,3,5,8,4,2,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,13.0,0.7846153846153846,0.9142857142857143,0.7368421052631579,0.6555743430975629,0.7881096013585244,0.4666666666666667,0.29396796046908946,0.2512372150473069,0.08942005165617176,0.7771341441855044,0.22315658991682077,0.2053263729734318,0.7846153846153846,130,4.6,3.4,4.0,1.0,5.0,2.6,2.3,2.1,3.4,2.0,1.6,0.6
size11_comp0.2_grid5_base_medium,11,0.2,5,medium,base,base,7,6,13,9,5,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,15.7,0.8598726114649682,0.8333333333333334,0.8904109589041096,0.8570634920634921,0.5374514726652543,0.5217391304347826,0.24584645608883746,0.5538120697837585,0.08411296908942377,0.4790269143486743,0.1599165661904768,0.12196523283479807,0.8598726114649682,157,7.1,2.4,1.8,4.4,8.2,2.4,3.8,0.3,2.1,0.3,0.1,1.7
size11_comp0.2_grid6_base_medium,11,0.2,6,medium,base,base,15,9,24,-1,-1,1,1,1,7,7,7,0,1.0,1.0,0.0,1.0,35.857142857142854,0.8207171314741036,0.8113207547169812,0.8369565217391305,0.6915453404787204,0.985247094216281,0.6444444444444445,0.414780334434841,0.6576315667051066,0.21864637605356488,0.8354718706391097,0.17735804377075493,0.1416261516261516,0.8207171314741036,251,8.142857142857142,9.571428571428571,11.285714285714286,6.857142857142857,10.857142857142858,8.285714285714286,9.285714285714286,6.428571428571429,11.0,6.142857142857143,0.5714285714285714,1.0
size11_comp0.2_grid7_base_medium,11,0.2,7,medium,base,base,5,9,14,6,4,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,20.7,0.8260869565217391,0.875,0.8041958041958042,0.7055989044501262,0.45984636117344624,0.6170212765957447,0.32835551084068065,0.44406551316477644,0.13416792049060006,0.4017233070449189,0.26005083554816716,0.0811382193109352,0.8260869565217391,207,7.7,2.7,5.6,4.7,8.5,4.0,4.8,2.4,3.4,2.1,0.3,0.5
size11_comp0.2_grid8_base_medium,11,0.2,8,medium,base,base,3,9,12,8,3,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,15.4,0.8831168831168831,0.8,0.9230769230769231,0.8265714285714285,0.4895823836364307,0.5,0.19537988469018955,0.34455730260561784,0.123376981774,0.5475924160487559,0.08166954167079096,0.11521078128220985,0.8831168831168831,154,4.0,2.8,7.8,0.8,5.4,2.9,4.2,1.9,2.1,1.9,0.1,0.2
size11_comp0.2_grid9_base_medium,11,0.2,9,medium,base,base,7,9,16,6,5,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,25.1,0.7888446215139442,0.8155339805825242,0.7702702702702703,0.7033307478337905,0.7690821548503924,0.6444444444444445,0.31225657112825284,0.5633938865067989,0.1781456483955343,0.48938938743001,0.2641372079355589,0.08674322409616528,0.7888446215139442,251,5.5,6.9,8.3,4.4,10.6,5.7,4.6,3.2,7.8,2.9,0.6,1.5
size11_comp0.4_grid0_base_medium,11,0.4,0,medium,base,base,5,10,15,7,4,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,21.6,0.8333333333333334,0.8266666666666667,0.8368794326241135,0.7156542037104697,0.6933103632292398,0.41379310344827586,0.2235966834895778,0.5991970458539334,0.1283340433563747,0.5450399024588769,0.16929106616961467,0.12100265634748396,0.8333333333333334,216,5.7,5.7,2.6,7.6,7.6,5.4,3.6,4.0,6.5,3.8,1.0,0.6
size11_comp0.4_grid1_base_medium,11,0.4,1,medium,base,base,7,5,12,4,4,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,15.2,0.8881578947368421,0.8571428571428571,0.9444444444444444,0.8228787878787879,0.78181192575953,0.5789473684210527,0.3338975790431686,0.6248678291983245,0.16453258807336307,0.22902208287631654,0.025254402272280995,0.16277859567333253,0.8881578947368421,152,0.9,3.9,4.7,5.7,8.2,1.4,2.0,2.6,5.3,2.6,1.1,0.2
size11_comp0.4_grid2_base_medium,11,0.4,2,medium,base,base,15,4,19,11,4,1,1,1,8,8,8,0,1.0,1.0,0.0,1.0,29.625,0.7932489451476793,0.7647058823529411,0.9696969696969697,0.6576284568884088,0.7669998817889977,0.4772727272727273,0.35652218417299375,0.7496234672579133,0.22847375851874827,0.12581458369391144,0.014478565440625573,0.07868583436765252,0.7932489451476793,237,3.0,9.625,10.125,6.375,10.0,5.625,6.375,5.625,8.625,5.125,1.0,1.125
size11_comp0.4_grid3_base_medium,11,0.4,3,medium,base,base,3,6,9,3,3,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,13.3,0.8270676691729323,0.7843137254901961,0.8536585365853658,0.7073929746723865,0.9633846578445421,0.4824919644402477,0.35039415959301456,0.8108992829180889,0.18760248457246156,0.5651131324186439,0.1695697557714268,0.26657770800627945,0.8270676691729323,133,5.9,3.9,1.2,2.3,5.2,1.9,2.9,2.3,4.9,2.2,0.6,0.3
size11_comp0.4_grid4_base_medium,11,0.4,4,medium,base,base,9,3,12,8,3,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,18.6,0.7634408602150538,0.7744360902255639,0.7358490566037735,0.6682139429198253,0.6515512916775709,0.521610483917494,0.28012518200976316,0.584585891865769,0.1505363189228313,0.8228315612223582,0.1492511166383687,0.09871401000433257,0.7634408602150538,186,5.5,6.0,6.1,1.0,7.9,4.5,3.6,1.6,4.5,1.6,0.7,2.2
size11_comp0.4_grid5_base_medium,11,0.4,5,medium,base,base,6,11,17,7,5,1,1,1,8,8,8,0,1.0,1.0,0.0,1.0,30.25,0.7231404958677686,0.6484375,0.8070175438596491,0.5884496814545903,0.9561912291994482,0.6756756756756757,0.3804672406744306,0.7617310774515376,0.29435487220598644,0.49046252254897194,0.16081785915091687,0.15896376817429453,0.7231404958677686,242,9.625,6.25,9.5,4.875,10.625,8.125,6.25,4.25,12.375,4.125,0.875,3.5
