trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,reached_goal,coin_collected,coin_collection_step,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate
0,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,7,12,10,1,1,1,1,1,0,-1,30,0.0,0.4666666666666667,0.4666666666666667,0.0,4,0,10,16,10,4,3,12,15,12,0,0,0.0
1,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,7,12,10,1,1,1,1,0,0,-1,64,0.0,0.484375,0.484375,0.0,3,0,27,34,22,2,2,37,49,35,0,2,0.03125
2,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,7,12,10,1,1,1,1,1,0,-1,56,0.0,0.48214285714285715,0.48214285714285715,0.0,6,2,21,27,19,5,6,25,38,25,0,0,0.0
3,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,7,12,10,1,1,1,1,1,0,-1,33,0.0,0.45454545454545453,0.45454545454545453,0.0,5,1,10,17,13,5,3,11,15,10,0,1,0.030303030303030304
4,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,7,12,10,1,1,1,1,1,0,-1,26,0.0,0.46153846153846156,0.46153846153846156,0.0,4,0,8,14,11,4,4,6,7,6,0,0,0.0
5,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,7,12,10,1,1,1,1,1,0,-1,24,0.0,0.4583333333333333,0.4583333333333333,0.0,4,0,7,13,6,2,4,11,11,11,0,0,0.0
6,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,7,12,10,1,1,1,1,1,0,-1,29,0.0,0.4482758620689655,0.4482758620689655,0.0,4,0,9,16,14,2,3,9,12,8,0,1,0.034482758620689655
7,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,7,12,10,1,1,1,1,0,0,-1,64,0.0,0.484375,0.484375,0.0,5,2,25,32,20,7,6,30,45,30,0,0,0.0
8,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,7,12,10,1,1,1,1,1,0,-1,48,0.0,0.4791666666666667,0.4791666666666667,0.0,4,0,19,25,21,3,0,23,33,23,0,0,0.0
9,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,7,12,10,1,1,1,1,1,0,-1,44,0.0,0.4772727272727273,0.4772727272727273,0.0,6,2,15,21,14,10,2,17,27,17,0,0,0.0
0,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,6,7,13,7,3,1,1,1,1,0,-1,9,0.0,0.4444444444444444,0.4444444444444444,0.0,3,0,5,1,2,2,3,1,1,1,0,0,0.0
1,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,6,7,13,7,3,1,1,1,1,0,-1,11,0.0,0.45454545454545453,0.45454545454545453,0.0,3,0,6,2,4,3,1,2,2,2,0,0,0.0
2,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,6,7,13,7,3,1,1,1,1,0,-1,11,0.0,0.45454545454545453,0.45454545454545453,0.0,4,1,5,1,3,2,4,1,1,1,0,0,0.0
3,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,6,7,13,7,3,1,1,1,1,0,-1,13,0.0,0.46153846153846156,0.46153846153846156,0.0,3,0,7,3,7,2,1,2,3,2,0,0,0.0
4,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,6,7,13,7,3,1,1,1,1,0,-1,13,0.0,0.46153846153846156,0.46153846153846156,0.0,4,1,6,2,3,6,1,2,3,2,0,0,0.0
5,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,6,7,13,7,3,1,1,1,1,0,-1,15,0.0,0.4666666666666667,0.4666666666666667,0.0,3,0,8,4,8,3,0,3,4,3,0,0,0.0
6,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,6,7,13,7,3,1,1,1,1,0,-1,15,0.0,0.4666666666666667,0.4666666666666667,0.0,4,1,7,3,5,5,3,1,4,1,0,0,0.0
7,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,6,7,13,7,3,1,1,1,1,0,-1,7,0.0,0.42857142857142855,0.42857142857142855,0.0,3,0,4,0,5,1,0,0,0,0,0,0,0.0
