distance_to_goal,n_states,mean_entropy,se_entropy,mean_optimal_entropy,se_optimal_entropy,mean_jsd,se_jsd,accuracy,total_observations,is_capped
1,154,0.6356726338153281,0.04955283917992685,0.0,0.0,0.3685641624334543,0.031240614068701416,0.538961038961039,1675,False
2,228,0.8069927227910414,0.039115088980127555,0.35964912280701755,0.031851917228802505,0.39334871668030474,0.022024999132083764,0.5745614035087719,4139,False
3,278,0.8994252306657241,0.036218664336006574,0.460431654676259,0.029947869631768063,0.3851239434000795,0.017909347685238223,0.5971223021582733,5892,False
4,292,0.910906044420307,0.03318339886319483,0.547945205479452,0.02917545320404854,0.41578438385208,0.01851738575139578,0.5821917808219178,7851,False
5,262,0.8853397363992084,0.03572088901031392,0.6135682729090208,0.030807671570365854,0.39431074613442846,0.016910162963129978,0.6145038167938931,6224,False
6,206,0.818368572679958,0.03983206405085475,0.6436163228190348,0.033776528799911006,0.3642422634013932,0.019844998411835717,0.6407766990291263,5233,False
7,140,0.8758189671179883,0.046653431524965976,0.5911063393011676,0.04337945328004124,0.3606509069641267,0.024696224814199627,0.65,3336,False
8,104,0.8036721425721011,0.05766854869343377,0.6611046875208026,0.04934422457512127,0.39449666707229736,0.028192613663844943,0.6057692307692307,2916,False
9,66,0.8564904239427731,0.06337650120746045,0.6666666666666666,0.058470534620468605,0.3314222986173959,0.03385295698178559,0.696969696969697,1643,False
10,44,0.8846853545650833,0.07486549793983903,0.6136363636363636,0.07425392901036847,0.41258828014364995,0.045011685947975985,0.6363636363636364,1781,False
11,17,0.911993327666639,0.1255910579290491,0.8335250000848419,0.12445802386150702,0.33395416640399295,0.059136765074460064,0.7058823529411765,600,False
12,5,0.7432891774455338,0.2029340025799225,0.8,0.2,0.11690953986508142,0.06364106221382532,1.0,147,False
13,1,0.0,,1.0,,0.31127812445913283,,1.0,22,False
