grid_size,density,reasoning_effort,n_grids,mean_coin_collected_rate,se_coin_collected_rate,mean_full_success_rate,se_full_success_rate,mean_goal_only_rate,se_goal_only_rate,mean_action_accuracy,se_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,mean_spl,se_spl,mean_entropy,mean_jsd,mean_entropy_phase1,mean_entropy_phase2,mean_jsd_phase1,mean_jsd_phase2,mean_ece,mean_start_to_goal_distance,mean_coin_detour_distance,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations
7,0.0,low,10,0.11000000000000001,0.08875684637129566,0.02,0.013333333333333336,0.76,0.12128936932440168,0.41968827315526563,0.03067655277640398,0.42862841986495914,0.2163963963963964,0.00791304347826087,0.0052757604563887,0.7547139489919797,0.2427543858593617,0.7066799969820812,0.12920522229138523,0.4892864928794725,0.09016012424194213,0.22806910038625255,4.0,2.3,1.55,1.9899999999999998,5.76,4.31,3.21,1.8,2.55,4.9399999999999995,7.32,4.6899999999999995,0.43
7,0.2,low,10,0.13999999999999999,0.09451631252505217,0.06999999999999999,0.06999999999999999,0.6599999999999999,0.12036980056845192,0.4067772983250757,0.02983404461146193,0.4052944930898403,0.11283870967741935,0.04259582465464819,0.04259582465464819,0.8872581179824598,0.2976698975830465,0.8356783156604364,0.1380461676729076,0.49325813767091803,0.06804357495591287,0.22707421296254404,3.6,2.7,2.8,1.8700000000000003,5.5,5.64,5.37,2.35,2.68,4.03,10.190000000000001,3.2700000000000005,0.16999999999999998
7,0.4,low,10,0.06999999999999999,0.06999999999999999,0.03,0.030000000000000002,0.27999999999999997,0.13063945294843618,0.2918832112619322,0.049193293795921744,0.2961606005393215,0.02526315789473684,0.013166666666666665,0.013166666666666665,0.8012093315217858,0.39665779473361124,0.8012405479198274,0.06015135699022319,0.5351471147345371,0.03553179174908728,0.290604489898428,4.9,2.8,2.06,3.2700000000000005,8.09,10.99,9.790000000000001,2.43,3.5700000000000003,6.9799999999999995,19.86,5.7700000000000005,0.03
7,0.6,low,10,0.2,0.10540925533894598,0.09,0.04818944098266987,0.53,0.1325393023471403,0.341844878740715,0.03164118241662269,0.3488653206011909,0.19629902261481208,0.035518475096392714,0.019548129336774175,0.8405756597379428,0.2949099470138806,0.8284508783440471,0.19255338394638288,0.4879093658026026,0.11958080775737931,0.2765904600901175,5.0,2.4,1.3699999999999999,3.3299999999999996,8.790000000000001,5.93,6.42,2.8,3.0300000000000002,5.16,15.330000000000002,3.6100000000000003,1.2499999999999998
9,0.0,low,10,0.37,0.14224392195567911,0.25,0.12133516482134196,0.51,0.15737428845483833,0.5814219194818449,0.037254739087273406,0.5937977120278586,0.36421713326976485,0.14993070563824398,0.08114392238732443,0.7975330692364061,0.3167237620219701,0.7245644052494514,0.358336440359316,0.395714466308293,0.23504490348070822,0.17639404052843374,5.4,2.5,3.53,3.21,7.18,8.64,6.25,3.6399999999999997,3.9,7.459999999999999,12.690000000000001,7.040000000000001,0.32
9,0.2,low,10,0.08,0.038873012632301994,0.04,0.030550504633038936,0.55,0.12845232578665128,0.4341657215275056,0.05090967048303932,0.43489445311737784,0.25623885918003564,0.012331153971886237,0.009961771997938705,0.8245193650409967,0.32278612699065495,0.8539873308705113,0.09789519909681314,0.4295877129833208,0.1483531935866384,0.1780362464451128,6.6,3.0,2.38,2.6700000000000004,13.55,11.15,12.3,3.56,3.54,9.33,20.29,7.31,0.1
9,0.4,low,10,0.19,0.11298967504452197,0.05,0.05,0.2,0.10434983894999018,0.33287443819574103,0.021178634446947068,0.39394366714786944,0.12935531788472965,0.019173076923076925,0.019173076923076925,1.0307732102544762,0.45454421731480377,1.0003349023847026,0.2942572018619881,0.4594776599379669,0.21719679190315802,0.22004554404384633,6.7,2.8,5.7700000000000005,3.66,16.36,16.02,15.49,5.67,6.4,13.15,32.3,9.59,1.05
9,0.6,low,10,0.04,0.04,0.0,0.0,0.36,0.12036980056845192,0.320271217068372,0.029997802620519924,0.3195557777918862,0.041935483870967745,0.0,0.0,0.9707560211175463,0.42072270755010444,0.9699406967336694,0.08971123459872862,0.5525381614177131,0.045692699392669074,0.24900043843872402,6.1,4.1,3.1100000000000003,3.4,17.06,13.95,13.969999999999999,4.49,4.279999999999999,13.780000000000001,30.610000000000003,9.78,0.08
11,0.0,low,10,0.01,0.01,0.01,0.01,0.52,0.15260697523012798,0.5000895295431975,0.021191319183848378,0.49917116219625884,0.1,0.0030357142857142853,0.0030357142857142853,0.5422297743364444,0.37588593831533357,0.5434851338687576,0.0,0.5195783012708637,0.0038909765557391604,0.1606191505351119,5.6,3.9,1.5699999999999998,1.0,17.830000000000002,18.98,11.95,2.12,1.56,22.75,30.05,21.25,0.01
11,0.2,low,10,0.11000000000000001,0.09938701010583716,0.09,0.09,0.11000000000000001,0.07951240294584376,0.39063524604264066,0.03737325647439119,0.3889057858658738,0.07835476587807991,0.023726836764305936,0.023726836764305936,0.7377354158939465,0.4359525785242102,0.739492645411788,0.12279384557836752,0.4637680620669478,0.07740353585685661,0.21466287789230504,7.5,3.3,1.6300000000000001,0.9800000000000001,28.53,26.5,27.21,2.2399999999999998,2.1399999999999997,25.05,48.15,21.46,0.47000000000000003
11,0.4,low,10,0.2,0.1192569587999888,0.02,0.02,0.26,0.12578641509408806,0.39735450949195394,0.03136590312953482,0.4012135052528135,0.15283239280089272,0.006644880174291938,0.006644880174291938,0.7378755025108596,0.43050138220556844,0.7061232140275086,0.23688552508861607,0.42960523646897253,0.11756897329388238,0.25215402871598575,7.5,3.2,1.72,1.8199999999999998,19.240000000000002,28.24,21.93,2.93,2.9,22.259999999999998,41.519999999999996,18.27,0.54
11,0.6,low,10,0.0,0.0,0.0,0.0,0.06,0.0339934634239519,0.29153628735793624,0.05653779428654607,0.29153628735793624,0.0,0.0,0.0,0.6601261781275474,0.4967236137620043,0.6601261781275474,0.0,0.5235823926855889,0.0,0.3238634528983468,6.5,4.1,0.9099999999999999,0.8400000000000001,27.560000000000002,32.35,28.860000000000003,1.83,1.35,28.619999999999997,56.25,21.04,0.0
