grid_id,grid_size,density,instance_id,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,num_trajectories,num_coin_collected,num_goal_after_coin,num_goal_only,coin_collected_rate,goal_after_coin_rate,goal_only_rate,full_success_rate,mean_trajectory_length,mean_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,spl,mean_entropy,mean_optimal_entropy,mean_jsd,mean_entropy_phase1,mean_jsd_phase1,mean_entropy_phase2,mean_jsd_phase2,ece,mean_step_accuracy,total_steps,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions
size11_comp0.0_grid0_base_low,11,0.0,0,low,base,base,5,7,12,10,1,1,1,1,10,0,0,8,0.0,0.0,0.8,0.0,41.8,0.47368421052631576,0.47368421052631576,0.0,0.0,0.6276004911192621,0.78125,0.2937874759693489,0.6276004911192621,0.6086345862039871,0.0,0.0,0.12115070751084674,0.47368421052631576,418,4.5,0.7,15.1,21.5,15.0,4.4,3.3,18.1,25.2,17.7,0.0,0.4
size11_comp0.0_grid1_base_low,11,0.0,1,low,base,base,6,7,13,7,3,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,12.8,0.4609375,0.4609375,0.0,0.0,0.740508673847123,0.76,0.24644124276822343,0.740508673847123,0.45696088989589745,0.0,0.0,0.1928917748917749,0.4609375,128,3.5,0.5,6.4,2.4,5.2,3.1,2.0,1.5,2.7,1.5,0.0,0.0
size11_comp0.0_grid2_base_low,11,0.0,2,low,base,base,4,8,12,8,2,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,31.8,0.4371069182389937,0.4371069182389937,0.0,0.0,0.8750960787561665,0.6666666666666666,0.3181055370079125,0.8750960787561665,0.4543328006829975,0.0,0.0,0.19473456310122114,0.4371069182389937,318,0.6,2.6,17.3,11.3,10.4,2.8,2.6,15.0,20.1,15.0,0.0,0.0
size11_comp0.0_grid3_base_low,11,0.0,3,low,base,base,8,13,21,5,8,1,1,1,10,0,0,0,0.0,0.0,0.0,0.0,64.0,0.490625,0.490625,0.0,0.0,0.5829369313395618,0.9230769230769231,0.7006779834471927,0.5829369313395618,0.4623203049712872,0.0,0.0,0.23634329016330086,0.490625,640,3.3,0.4,26.6,33.7,14.0,4.8,2.1,42.1,49.1,39.0,0.0,2.7
size11_comp0.0_grid4_base_low,11,0.0,4,low,base,base,4,3,7,3,2,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,3.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.5408520829727552,0.0,0.0,0.0,0.6666666666666666,30,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
size11_comp0.0_grid5_base_low,11,0.0,5,low,base,base,5,5,10,6,2,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,8.4,0.5,0.5,0.0,0.0,0.40391661416650626,0.5625,0.23968768760665424,0.40391661416650626,0.5067389001089624,0.0,0.0,0.1265422077922078,0.5,84,3.1,0.1,4.1,1.1,4.1,1.2,0.6,1.5,1.6,1.5,0.0,0.0
size11_comp0.0_grid6_base_low,11,0.0,6,low,base,base,5,6,11,3,4,1,1,1,10,0,0,0,0.0,0.0,0.0,0.0,64.0,0.5,0.5,0.0,0.0,0.47098399776587024,0.625,0.5537697125982058,0.47098399776587024,0.5383400914739148,0.0,0.0,0.09735031768776593,0.5,640,0.0,0.1,31.8,32.1,23.6,0.1,0.1,39.2,58.3,38.2,0.0,0.2
size11_comp0.0_grid7_base_low,11,0.0,7,low,base,base,9,8,17,3,7,1,1,1,10,1,1,4,0.1,0.1,0.4,0.1,40.0,0.55,0.5408163265306123,1.0,0.030357142857142853,0.6954773612335755,0.45454545454545453,0.32983327886759406,0.7080309565567076,0.4426531966524712,0.0,0.038909765557391604,0.186422454792861,0.55,400,0.6,2.9,20.6,15.9,11.7,2.3,2.2,22.8,30.2,21.6,0.1,1.4
size11_comp0.0_grid8_base_low,11,0.0,8,low,base,base,10,8,18,4,7,1,1,1,10,0,0,0,0.0,0.0,0.0,0.0,64.0,0.440625,0.440625,0.0,0.0,0.3371646896264309,0.625,0.5738221983862414,0.3371646896264309,0.6930330574968565,0.0,0.0,0.23529890804735526,0.440625,640,0.1,0.3,27.9,35.7,13.8,0.1,0.7,48.4,60.3,41.9,0.0,7.5
size11_comp0.0_grid9_base_low,11,0.0,9,low,base,base,8,5,13,7,3,1,1,1,10,0,0,0,0.0,0.0,0.0,0.0,64.0,0.48125,0.48125,0.0,0.0,0.688612905509947,0.8666666666666667,0.5027342665019624,0.688612905509947,0.4919171022495074,0.0,0.0,0.21545728136378534,0.48125,640,0.0,2.4,28.5,33.1,19.7,2.4,2.0,38.9,53.0,36.1,0.0,2.8
