trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,reached_goal,coin_collected,coin_collection_step,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate
0,0,size7_comp0.0_grid0_base_medium,7,0.0,medium,base,base,4,3,7,3,2,1,1,1,1,0,-1,7,0.0,0.42857142857142855,0.42857142857142855,0.0,3,2,2,0,4,2,0,0,2,0,0,2,0.2857142857142857
1,0,size7_comp0.0_grid0_base_medium,7,0.0,medium,base,base,4,3,7,3,2,1,1,1,1,0,-1,3,0.0,0.6666666666666666,0.6666666666666666,0.0,0,1,2,0,1,0,1,0,0,0,0,0,0.0
2,0,size7_comp0.0_grid0_base_medium,7,0.0,medium,base,base,4,3,7,3,2,1,1,1,1,1,3,20,0.35,0.6,1.0,0.5,1,2,8,6,6,3,1,4,11,4,2,0,0.0
3,0,size7_comp0.0_grid0_base_medium,7,0.0,medium,base,base,4,3,7,3,2,1,1,1,1,0,-1,4,0.0,0.5,0.5,0.0,0,1,2,0,0,0,1,0,1,0,0,0,0.0
4,0,size7_comp0.0_grid0_base_medium,7,0.0,medium,base,base,4,3,7,3,2,1,1,1,1,1,10,16,0.4375,0.625,0.5454545454545454,0.8,1,2,6,4,2,4,0,4,8,4,2,0,0.0
5,0,size7_comp0.0_grid0_base_medium,7,0.0,medium,base,base,4,3,7,3,2,1,1,1,1,0,-1,9,0.0,0.5555555555555556,0.5555555555555556,0.0,1,2,4,2,1,2,1,4,5,4,0,0,0.0
6,0,size7_comp0.0_grid0_base_medium,7,0.0,medium,base,base,4,3,7,3,2,1,1,1,1,0,-1,6,0.0,0.5,0.5,0.0,0,1,3,1,2,2,0,0,1,0,0,0,0.0
7,0,size7_comp0.0_grid0_base_medium,7,0.0,medium,base,base,4,3,7,3,2,1,1,1,1,0,-1,4,0.0,0.5,0.5,0.0,0,1,2,1,1,1,0,1,1,0,0,1,0.25
8,0,size7_comp0.0_grid0_base_medium,7,0.0,medium,base,base,4,3,7,3,2,1,1,1,1,0,-1,11,0.0,0.45454545454545453,0.45454545454545453,0.0,0,1,5,3,3,2,0,2,5,2,0,0,0.0
9,0,size7_comp0.0_grid0_base_medium,7,0.0,medium,base,base,4,3,7,3,2,1,1,1,1,0,-1,11,0.0,0.36363636363636365,0.36363636363636365,0.0,2,3,2,0,1,0,1,2,7,2,0,0,0.0
0,1,size7_comp0.0_grid1_base_medium,7,0.0,medium,base,base,3,4,7,3,2,1,1,1,1,0,-1,3,0.0,0.3333333333333333,0.3333333333333333,0.0,0,1,2,0,1,0,1,0,0,0,0,0,0.0
1,1,size7_comp0.0_grid1_base_medium,7,0.0,medium,base,base,3,4,7,3,2,1,1,1,1,0,-1,3,0.0,0.3333333333333333,0.3333333333333333,0.0,0,1,2,0,1,0,1,0,0,0,0,0,0.0
2,1,size7_comp0.0_grid1_base_medium,7,0.0,medium,base,base,3,4,7,3,2,1,1,1,1,0,-1,5,0.0,0.4,0.4,0.0,0,1,3,1,1,0,2,1,1,1,0,0,0.0
3,1,size7_comp0.0_grid1_base_medium,7,0.0,medium,base,base,3,4,7,3,2,1,1,1,1,0,-1,3,0.0,0.3333333333333333,0.3333333333333333,0.0,0,1,2,0,1,0,1,0,0,0,0,0,0.0
4,1,size7_comp0.0_grid1_base_medium,7,0.0,medium,base,base,3,4,7,3,2,1,1,1,1,0,-1,3,0.0,0.3333333333333333,0.3333333333333333,0.0,0,1,2,0,1,0,1,0,0,0,0,0,0.0
5,1,size7_comp0.0_grid1_base_medium,7,0.0,medium,base,base,3,4,7,3,2,1,1,1,1,0,-1,3,0.0,0.3333333333333333,0.3333333333333333,0.0,0,1,2,0,0,1,1,0,0,0,0,0,0.0
6,1,size7_comp0.0_grid1_base_medium,7,0.0,medium,base,base,3,4,7,3,2,1,1,1,1,0,-1,3,0.0,0.3333333333333333,0.3333333333333333,0.0,0,1,2,0,0,1,1,0,0,0,0,0,0.0
7,1,size7_comp0.0_grid1_base_medium,7,0.0,medium,base,base,3,4,7,3,2,1,1,1,1,0,-1,5,0.0,0.4,0.4,0.0,1,2,2,0,0,3,1,0,0,0,0,0,0.0
8,1,size7_comp0.0_grid1_base_medium,7,0.0,medium,base,base,3,4,7,3,2,1,1,1,1,0,-1,5,0.0,0.4,0.4,0.0,1,2,2,0,0,0,3,1,1,1,0,0,0.0
9,1,size7_comp0.0_grid1_base_medium,7,0.0,medium,base,base,3,4,7,3,2,1,1,1,1,0,-1,5,0.0,0.4,0.4,0.0,1,2,2,0,0,0,3,1,1,1,0,0,0.0
0,2,size7_comp0.0_grid2_base_medium,7,0.0,medium,base,base,5,4,9,5,2,1,1,1,1,0,-1,16,0.0,0.4375,0.4375,0.0,4,0,5,4,3,1,4,2,5,2,0,0,0.0
1,2,size7_comp0.0_grid2_base_medium,7,0.0,medium,base,base,5,4,9,5,2,1,1,1,1,0,-1,12,0.0,0.5,0.5,0.0,4,0,4,3,4,2,3,0,1,0,0,0,0.0
2,2,size7_comp0.0_grid2_base_medium,7,0.0,medium,base,base,5,4,9,5,2,1,1,1,1,1,12,21,0.42857142857142855,0.6666666666666666,0.6923076923076923,0.625,5,1,7,6,6,2,4,5,8,5,0,0,0.0
3,2,size7_comp0.0_grid2_base_medium,7,0.0,medium,base,base,5,4,9,5,2,1,1,1,0,1,4,32,0.0,0.46875,1.0,0.37037037037037035,6,6,11,6,5,8,8,5,18,4,8,1,0.03125
4,2,size7_comp0.0_grid2_base_medium,7,0.0,medium,base,base,5,4,9,5,2,1,1,1,1,0,-1,10,0.0,0.5,0.5,0.0,4,0,3,2,3,2,2,0,1,0,0,0,0.0
5,2,size7_comp0.0_grid2_base_medium,7,0.0,medium,base,base,5,4,9,5,2,1,1,1,1,0,-1,12,0.0,0.4166666666666667,0.4166666666666667,0.0,4,0,3,2,2,2,2,0,4,0,0,0,0.0
6,2,size7_comp0.0_grid2_base_medium,7,0.0,medium,base,base,5,4,9,5,2,1,1,1,0,1,4,32,0.0,0.46875,1.0,0.37037037037037035,6,6,10,6,7,7,3,7,18,7,0,1,0.03125
7,2,size7_comp0.0_grid2_base_medium,7,0.0,medium,base,base,5,4,9,5,2,1,1,1,1,1,14,31,0.2903225806451613,0.6129032258064516,0.6,0.625,9,5,8,7,5,10,8,3,12,3,2,0,0.0
8,2,size7_comp0.0_grid2_base_medium,7,0.0,medium,base,base,5,4,9,5,2,1,1,1,0,1,5,32,0.0,0.5,0.8333333333333334,0.4230769230769231,6,4,11,7,5,4,8,7,20,6,7,1,0.03125
9,2,size7_comp0.0_grid2_base_medium,7,0.0,medium,base,base,5,4,9,5,2,1,1,1,1,0,-1,12,0.0,0.5,0.5,0.0,4,0,4,3,5,2,2,0,1,0,0,0,0.0
0,3,size7_comp0.0_grid3_base_medium,7,0.0,medium,base,base,4,3,7,7,0,1,1,1,1,0,-1,10,0.0,0.5,0.5,0.0,1,5,4,0,2,2,3,2,3,2,0,1,0.1
1,3,size7_comp0.0_grid3_base_medium,7,0.0,medium,base,base,4,3,7,7,0,1,1,1,1,0,-1,7,0.0,0.5714285714285714,0.5714285714285714,0.0,0,3,4,0,1,2,3,0,0,0,0,0,0.0
2,3,size7_comp0.0_grid3_base_medium,7,0.0,medium,base,base,4,3,7,7,0,1,1,1,1,1,3,7,1.0,1.0,1.0,1.0,0,3,4,0,4,1,1,0,0,0,0,0,0.0
3,3,size7_comp0.0_grid3_base_medium,7,0.0,medium,base,base,4,3,7,7,0,1,1,1,1,0,-1,8,0.0,0.5,0.5,0.0,0,3,4,0,2,1,2,0,1,0,0,0,0.0
4,3,size7_comp0.0_grid3_base_medium,7,0.0,medium,base,base,4,3,7,7,0,1,1,1,1,0,-1,8,0.0,0.5,0.5,0.0,0,3,4,0,3,1,2,0,1,0,0,0,0.0
