distance_to_goal,n_states,mean_entropy,se_entropy,mean_optimal_entropy,se_optimal_entropy,mean_jsd,se_jsd,accuracy,total_observations,is_capped
1,123,0.6363074525801512,0.05466538124742111,0.0,0.0,0.24476626609103871,0.028282525023403948,0.7154471544715447,1047,False
2,166,0.943546224212012,0.046810855373213174,0.3373493975903614,0.036807836907275814,0.29245021416982325,0.02113248227547006,0.6927710843373494,2001,False
3,183,0.9382367274553096,0.045393895826331174,0.45901639344262296,0.03693775161633496,0.28094963700677317,0.01845241891679506,0.726775956284153,2401,False
4,195,0.9251813540206513,0.04269507047573014,0.46153846153846156,0.035791543525445696,0.3385285177876076,0.02070544422353954,0.6564102564102564,2665,False
5,155,0.9888703356970147,0.04875311041661783,0.5483870967741935,0.04010203616181039,0.37128203750637506,0.022086915678910055,0.6064516129032258,2543,False
6,108,0.9635759782075399,0.05566151632067883,0.6720829861177885,0.04625933693181733,0.37789304881321545,0.02584177429534654,0.6111111111111112,1852,False
7,66,0.9291929185319254,0.07251486406642618,0.5720437500327799,0.06644287196378312,0.35332517799520524,0.03151394035348342,0.6363636363636364,1130,False
8,42,0.9786119475472829,0.08299982851666468,0.42857142857142855,0.07728596868577992,0.44704497849670705,0.047174362135742706,0.5238095238095238,1268,False
9,26,0.9474730486696118,0.10594831394906373,0.6378831731046598,0.10327586375938404,0.4062349590903918,0.05765663148892313,0.5384615384615384,570,False
10,10,0.975516334845884,0.1777089857815527,0.7,0.15275252316519466,0.5352063145988393,0.09210698632819476,0.3,275,False
11,6,0.5716962753076749,0.22694217035966432,0.8333333333333334,0.16666666666666669,0.5120302532053517,0.1587000150119678,0.6666666666666666,53,False
12,1,1.0,,1.584962500721156,,0.1908745046211096,,1.0,2,False
