grid_id,grid_size,density,instance_id,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,num_trajectories,num_coin_collected,num_goal_after_coin,num_goal_only,coin_collected_rate,goal_after_coin_rate,goal_only_rate,full_success_rate,mean_trajectory_length,mean_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,spl,mean_entropy,mean_optimal_entropy,mean_jsd,mean_entropy_phase1,mean_jsd_phase1,mean_entropy_phase2,mean_jsd_phase2,ece,mean_step_accuracy,total_steps,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions
size7_comp0.0_grid0_base_medium,7,0.0,0,medium,base,base,4,3,7,3,2,1,1,1,10,2,2,8,0.2,0.2,0.8,0.2,9.1,0.5274725274725275,0.5142857142857142,0.5714285714285714,0.07875,0.7446628480979383,0.6153846153846154,0.2404001455407817,0.7671239638271349,0.402671994979465,0.5420739585136224,0.35325439342243137,0.20608152531229457,0.5274725274725275,91,0.8,1.6,3.6,1.7,2.1,1.6,0.5,1.7,4.1,1.6,0.4,0.3
size7_comp0.0_grid1_base_medium,7,0.0,1,medium,base,base,3,4,7,3,2,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,3.8,0.3684210526315789,0.3684210526315789,0.0,0.0,0.5489458354919992,0.5714285714285714,0.16255432475169512,0.5489458354919992,0.5648998108232529,0.0,0.0,0.08107606679035251,0.3684210526315789,38,0.3,1.3,2.1,0.1,0.5,0.5,1.5,0.3,0.3,0.3,0.0,0.0
size7_comp0.0_grid2_base_medium,7,0.0,2,medium,base,base,5,4,9,5,2,1,1,1,10,5,2,5,0.5,0.2,0.5,0.2,21.0,0.5142857142857142,0.5849056603773585,0.4423076923076923,0.07188940092165899,0.9793924673721008,0.6956521739130435,0.30665261735949767,0.6796692318864391,0.3845622403135337,0.8513119262178861,0.3684553446402825,0.17564910934476158,0.5142857142857142,210,5.2,2.2,6.6,4.6,4.5,4.0,4.4,2.9,8.8,2.7,1.7,0.3
size7_comp0.0_grid3_base_medium,7,0.0,3,medium,base,base,4,3,7,7,0,1,1,1,10,5,5,5,0.5,0.5,0.5,0.5,8.4,0.7023809523809523,0.6376811594202898,1.0,0.4414141414141414,0.6397458526950277,0.75,0.14140455674867464,0.6893354193425072,0.32747346358308627,0.0,0.20751874963942188,0.14792343073593073,0.7023809523809523,84,0.4,3.5,4.1,0.0,2.7,1.6,2.1,0.4,1.1,0.4,0.1,0.2
size7_comp0.0_grid4_base_medium,7,0.0,4,medium,base,base,3,3,6,4,1,1,1,1,10,10,7,0,1.0,0.7,0.0,0.7,23.9,0.5564853556485355,0.6727272727272727,0.5217391304347826,0.22067187032915933,0.9740912077124511,0.6111111111111112,0.2845992196906992,0.5704931617927834,0.21766463356447394,0.9828520928396889,0.2877303253600293,0.2930962433075959,0.5564853556485355,239,6.4,3.0,7.4,6.4,5.7,2.7,7.5,5.6,13.8,4.9,2.9,1.8
size7_comp0.0_grid5_base_medium,7,0.0,5,medium,base,base,7,3,10,4,3,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,4.6,0.9347826086956522,0.9347826086956522,0.0,0.0,0.4938655727861854,0.5555555555555556,0.07995263811219169,0.4938655727861854,0.21486012984395442,0.0,0.0,0.14154641654641653,0.9347826086956522,46,0.2,2.2,2.1,0.1,1.0,1.3,0.9,0.4,0.4,0.4,0.0,0.0
size7_comp0.0_grid6_base_medium,7,0.0,6,medium,base,base,3,4,7,3,2,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,5.5,0.38181818181818183,0.38181818181818183,0.0,0.0,0.5649551352780509,0.5714285714285714,0.16057784815986728,0.5649551352780509,0.5503323913605107,0.0,0.0,0.047619047619047616,0.38181818181818183,55,1.3,0.3,0.8,2.8,1.1,0.5,1.4,0.9,1.4,0.9,0.0,0.0
size7_comp0.0_grid7_base_medium,7,0.0,7,medium,base,base,4,3,7,3,2,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,9.8,0.47959183673469385,0.47959183673469385,0.0,0.0,0.8403616545595913,0.6,0.16971606789168017,0.8403616545595913,0.5541711565314481,0.0,0.0,0.1810166886253843,0.47959183673469385,98,1.3,1.3,1.5,4.4,1.9,1.2,1.5,2.1,5.1,2.0,0.0,0.1
size7_comp0.0_grid8_base_medium,7,0.0,8,medium,base,base,6,3,9,3,3,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,3.3,0.9393939393939394,0.9393939393939394,0.0,0.0,0.14649899564050448,0.0,0.015672164780756472,0.14649899564050448,0.3204901441906672,0.0,0.0,0.03030303030303031,0.9393939393939394,33,0.0,0.0,3.1,0.1,2.0,0.0,0.0,0.2,0.3,0.2,0.0,0.0
size7_comp0.0_grid9_base_medium,7,0.0,9,medium,base,base,3,4,7,3,2,1,1,1,10,0,0,7,0.0,0.0,0.7,0.0,15.9,0.37735849056603776,0.37735849056603776,0.0,0.0,0.8022701174393589,0.5454545454545454,0.24983203517088312,0.8022701174393589,0.525905970589283,0.0,0.0,0.17458874458874457,0.37735849056603776,159,3.2,1.7,4.5,4.4,1.5,2.3,3.2,4.3,10.8,4.0,0.0,1.1
