trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,reached_goal,coin_collected,coin_collection_step,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate
0,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,8,5,13,7,3,1,1,1,1,0,-1,7,0.0,0.7142857142857143,0.7142857142857143,0.0,2,0,5,0,5,1,0,0,0,0,0,0,0.0
1,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,8,5,13,7,3,1,1,1,1,0,-1,9,0.0,0.6666666666666666,0.6666666666666666,0.0,2,0,6,1,6,0,1,1,1,1,0,0,0.0
2,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,8,5,13,7,3,1,1,1,1,0,-1,9,0.0,0.6666666666666666,0.6666666666666666,0.0,2,0,6,1,4,1,1,2,2,2,0,0,0.0
3,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,8,5,13,7,3,1,1,1,1,0,-1,7,0.0,0.7142857142857143,0.7142857142857143,0.0,2,0,5,0,5,1,0,0,0,0,0,0,0.0
4,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,8,5,13,7,3,1,1,1,1,0,-1,11,0.0,0.6363636363636364,0.6363636363636364,0.0,2,0,7,2,5,2,2,1,1,1,0,0,0.0
5,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,8,5,13,7,3,1,1,1,1,0,-1,13,0.0,0.6153846153846154,0.6153846153846154,0.0,2,0,8,3,7,2,1,2,2,2,0,0,0.0
6,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,8,5,13,7,3,1,1,1,1,0,-1,13,0.0,0.6153846153846154,0.6153846153846154,0.0,2,0,8,3,7,2,1,2,4,2,0,0,0.0
7,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,8,5,13,7,3,1,1,1,1,0,-1,9,0.0,0.6666666666666666,0.6666666666666666,0.0,2,0,6,1,5,1,1,1,1,1,0,0,0.0
8,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,8,5,13,7,3,1,1,1,1,0,-1,7,0.0,0.7142857142857143,0.7142857142857143,0.0,2,0,5,0,3,2,1,0,0,0,0,0,0.0
9,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,8,5,13,7,3,1,1,1,1,0,-1,15,0.0,0.6,0.6,0.0,2,0,9,4,8,0,1,5,7,5,0,0,0.0
0,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,5,5,10,4,3,1,1,1,0,0,-1,64,0.0,0.515625,0.515625,0.0,0,0,31,33,21,0,0,42,57,41,0,0,0.0
1,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,5,5,10,4,3,1,1,1,0,0,-1,64,0.0,0.515625,0.515625,0.0,0,0,31,33,22,0,0,41,59,40,0,0,0.0
2,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,5,5,10,4,3,1,1,1,0,0,-1,64,0.0,0.515625,0.515625,0.0,0,0,31,33,13,0,0,50,58,49,0,0,0.0
3,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,5,5,10,4,3,1,1,1,0,0,-1,64,0.0,0.515625,0.515625,0.0,0,0,31,33,24,0,0,39,59,38,0,0,0.0
4,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,5,5,10,4,3,1,1,1,0,0,-1,64,0.0,0.515625,0.515625,0.0,0,0,31,33,19,0,0,44,58,43,0,0,0.0
5,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,5,5,10,4,3,1,1,1,0,0,-1,64,0.0,0.515625,0.515625,0.0,0,0,31,33,22,0,0,41,59,40,0,0,0.0
6,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,5,5,10,4,3,1,1,1,0,0,-1,64,0.0,0.515625,0.515625,0.0,0,0,31,33,26,0,0,37,59,36,0,0,0.0
7,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,5,5,10,4,3,1,1,1,0,0,-1,64,0.0,0.515625,0.515625,0.0,0,0,31,33,24,0,0,39,59,38,0,0,0.0
8,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,5,5,10,4,3,1,1,1,0,0,-1,64,0.0,0.515625,0.515625,0.0,0,0,31,33,20,0,0,43,59,42,0,0,0.0
9,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,5,5,10,4,3,1,1,1,0,0,-1,64,0.0,0.515625,0.515625,0.0,0,0,31,33,14,0,0,49,59,48,0,0,0.0
0,2,size11_comp0.0_grid2_base_low,11,0.0,low,base,base,5,8,13,3,5,1,1,1,0,0,-1,64,0.0,0.515625,0.515625,0.0,4,2,29,29,20,4,8,31,44,30,0,0,0.0
1,2,size11_comp0.0_grid2_base_low,11,0.0,low,base,base,5,8,13,3,5,1,1,1,0,1,60,64,0.0,0.53125,0.5409836065573771,0.3333333333333333,5,1,28,30,21,5,5,32,46,32,0,0,0.0
2,2,size11_comp0.0_grid2_base_low,11,0.0,low,base,base,5,8,13,3,5,1,1,1,0,0,-1,64,0.0,0.53125,0.53125,0.0,4,1,30,29,21,3,5,34,43,34,0,0,0.0
3,2,size11_comp0.0_grid2_base_low,11,0.0,low,base,base,5,8,13,3,5,1,1,1,0,0,-1,64,0.0,0.5,0.5,0.0,3,1,29,31,25,5,3,30,47,29,0,2,0.03125
4,2,size11_comp0.0_grid2_base_low,11,0.0,low,base,base,5,8,13,3,5,1,1,1,0,0,-1,64,0.0,0.515625,0.515625,0.0,3,1,30,30,19,5,3,36,50,35,0,0,0.0
5,2,size11_comp0.0_grid2_base_low,11,0.0,low,base,base,5,8,13,3,5,1,1,1,0,0,-1,64,0.0,0.5,0.5,0.0,4,1,29,30,25,9,1,28,46,27,0,3,0.046875
