distance_to_goal,n_states,mean_entropy,se_entropy,mean_optimal_entropy,se_optimal_entropy,mean_jsd,se_jsd,accuracy,total_observations,is_capped
1,143,0.6244855749632543,0.04897247304622175,0.0,0.0,0.40648232701653786,0.034182780148651164,0.5244755244755245,1492,False
2,225,0.8355598942672268,0.039215121722494785,0.37333333333333335,0.03231786571610887,0.4023475877240359,0.02140325909311652,0.5866666666666667,3346,False
3,272,0.9390653382939042,0.03539862601473161,0.45955882352941174,0.030273325077345765,0.42947877931277056,0.01888268550244167,0.5514705882352942,5107,False
4,313,0.9868314244034522,0.03223607856378831,0.48881789137380194,0.028299845997512466,0.43616086699468204,0.016624841498068296,0.5463258785942492,7089,False
5,304,0.9455536352250739,0.03228141410147994,0.6346210937618612,0.02855867874787854,0.3878204131644746,0.016188701261989333,0.6085526315789473,6820,False
6,258,0.911006896526744,0.03478237034325074,0.6360261143606516,0.03160135665988783,0.4093249590538537,0.017221379014448982,0.6124031007751938,5741,False
7,192,0.8701530568440123,0.03980736545364027,0.6975250651229468,0.03508614782821964,0.3855666294124856,0.018715713595064278,0.6927083333333334,5135,False
8,137,0.8292964582471031,0.04820279614355574,0.7092695255579731,0.04019632053935698,0.38746292623206097,0.024163745162600662,0.6715328467153284,4249,False
9,79,0.7647806431996256,0.06370220636045341,0.6708860759493671,0.053204726636786874,0.3429186182898674,0.02778321856539806,0.7341772151898734,1519,False
10,48,0.7430694719120775,0.08421670177572067,0.7291666666666666,0.06482097094483912,0.3819837840614151,0.03671893295596269,0.6875,872,False
11,28,0.6211869332112191,0.10551637496520815,0.7708915178828983,0.08813500964253833,0.32623708440448385,0.05023949337628517,0.8214285714285714,783,False
12,18,0.6463019708692941,0.13678085448724084,0.7777777777777778,0.10083169033033668,0.3214242950688252,0.07128424430787504,0.7222222222222222,308,False
13,7,0.4805834290356693,0.2236579297496757,0.8571428571428571,0.14285714285714288,0.2505780405319786,0.13472913143921952,0.8571428571428571,90,False
14,3,0.6549936019772084,0.3275645641975447,1.0,0.0,0.10669042479958692,0.10230757567264165,1.0,31,False
