grid_id,grid_size,density,instance_id,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,num_trajectories,num_coin_collected,num_goal_after_coin,num_goal_only,coin_collected_rate,goal_after_coin_rate,goal_only_rate,full_success_rate,mean_trajectory_length,mean_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,spl,mean_entropy,mean_optimal_entropy,mean_jsd,mean_entropy_phase1,mean_jsd_phase1,mean_entropy_phase2,mean_jsd_phase2,ece,mean_step_accuracy,total_steps,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions
size11_comp0.0_grid0_base_low,11,0.0,0,low,base,base,8,5,13,7,3,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,10.0,0.65,0.65,0.0,0.0,0.47702642179306304,0.5333333333333333,0.16839186370954556,0.47702642179306304,0.37963186678424016,0.0,0.0,0.1483886483886484,0.65,100,2.0,0.0,6.5,1.5,5.5,1.2,0.9,1.4,1.8,1.4,0.0,0.0
size11_comp0.0_grid1_base_low,11,0.0,1,low,base,base,5,5,10,4,3,1,1,1,10,0,0,0,0.0,0.0,0.0,0.0,64.0,0.515625,0.515625,0.0,0.0,0.39749413900370517,1.0,0.601022669406106,0.39749413900370517,0.42715751695518145,0.0,0.0,0.32014290148712254,0.515625,640,0.0,0.0,31.0,33.0,20.5,0.0,0.0,42.5,58.6,41.5,0.0,0.0
size11_comp0.0_grid2_base_low,11,0.0,2,low,base,base,5,8,13,3,5,1,1,1,10,1,0,0,0.1,0.0,0.0,0.0,64.0,0.5203125,0.521193092621664,0.3333333333333333,0.0,0.6605677418289411,0.8076923076923077,0.5203449194563585,0.746728751632716,0.421461194367918,0.0,0.7704260414863776,0.1569195326166262,0.5203125,640,3.9,1.0,29.5,29.6,21.4,5.6,3.7,32.3,46.6,31.5,0.0,0.6
size11_comp0.0_grid3_base_low,11,0.0,3,low,base,base,15,10,25,5,10,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,5.8,0.9310344827586207,0.9310344827586207,0.0,0.0,0.2900245490459066,0.0,0.03362811212735138,0.2900245490459066,0.33107619488998385,0.0,0.0,0.06433566433566436,0.9310344827586207,58,0.0,0.0,5.4,0.4,4.0,0.0,0.0,0.8,0.8,0.8,0.0,0.0
size11_comp0.0_grid4_base_low,11,0.0,4,low,base,base,7,4,11,11,0,1,1,1,10,10,8,0,1.0,0.8,0.0,0.8,44.3,0.6117381489841986,0.6473214285714286,0.5753424657534246,0.2515533067058491,0.7869221555891446,0.8333333333333334,0.34198137135936324,0.7786248903681507,0.2949042169604447,0.44347232914788315,0.4448113464053556,0.10169573749110275,0.6117381489841986,443,4.8,0.0,16.4,23.1,12.5,4.2,3.2,23.4,29.0,22.7,0.7,0.8
size11_comp0.0_grid5_base_low,11,0.0,5,low,base,base,6,6,12,8,2,1,1,1,10,0,0,0,0.0,0.0,0.0,0.0,64.0,0.49375,0.49375,0.0,0.0,1.0385900366623166,0.7727272727272727,0.37427305407804,1.0385900366623166,0.4152766786503017,0.0,0.0,0.1893921021443738,0.49375,640,10.6,10.9,24.5,18.0,13.7,13.8,13.8,21.7,48.8,20.2,0.0,3.5
size11_comp0.0_grid6_base_low,11,0.0,6,low,base,base,11,3,14,14,0,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,43.7,0.6338672768878718,0.7669902912621359,0.5151515151515151,0.3262114520285252,0.6957082688334523,0.85,0.30048891451628656,0.6756713303779207,0.2203158729654282,0.6931656118901303,0.40562524628544827,0.07387674325723052,0.6338672768878718,437,6.3,0.3,13.4,23.7,12.2,6.4,3.0,21.1,26.0,19.8,3.7,2.3
size11_comp0.0_grid7_base_low,11,0.0,7,low,base,base,6,4,10,6,2,1,1,1,10,0,0,3,0.0,0.0,0.3,0.0,51.6,0.4786821705426357,0.4786821705426357,0.0,0.0,0.5890956170383633,0.75,0.38099905506570547,0.5890956170383633,0.5187086665239494,0.0,0.0,0.1482630835693016,0.4786821705426357,516,0.0,0.7,30.2,20.7,18.7,0.7,0.5,30.7,44.6,26.4,0.0,5.5
size11_comp0.0_grid8_base_low,11,0.0,8,low,base,base,7,7,14,6,4,1,1,1,10,5,0,1,0.5,0.0,0.1,0.0,63.0,0.5317460317460317,0.5429141716566867,0.4883720930232558,0.0,0.691460206452484,0.8536585365853658,0.5004369242619748,0.7438298507165362,0.42383204224737137,0.40287659978105567,0.5930853719075677,0.2603088560617884,0.5317460317460317,630,0.1,2.6,27.8,32.5,21.4,2.5,2.1,36.0,48.8,34.9,9.1,0.7
size11_comp0.0_grid9_base_low,11,0.0,9,low,base,base,8,6,14,14,0,1,1,1,10,10,0,0,1.0,0.0,0.0,0.0,64.0,0.5625,0.6724137931034483,0.5,0.0,0.7430549505230861,0.8837209302325582,0.3088984343609558,0.7563702698438681,0.2699855113529215,0.363661121809044,0.5312514458822357,0.1961325751716114,0.5625,640,5.5,0.0,24.5,34.0,21.3,4.6,3.4,33.7,44.6,31.2,0.8,2.2
