trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,reached_goal,coin_collected,coin_collection_step,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate
0,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,7,4,11,9,1,1,1,1,0,1,8,64,0.0,0.5625,0.8888888888888888,0.509090909090909,2,1,28,33,19,1,3,40,52,40,19,0,0.0
1,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,7,4,11,9,1,1,1,1,0,1,14,64,0.0,0.5625,0.7333333333333333,0.5102040816326531,3,0,28,33,26,2,3,32,47,31,6,1,0.015625
2,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,7,4,11,9,1,1,1,1,1,1,14,61,0.18032786885245902,0.5901639344262295,0.7333333333333333,0.5434782608695652,4,1,25,31,16,5,5,34,44,34,2,0,0.0
3,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,7,4,11,9,1,1,1,1,1,1,20,37,0.2972972972972973,0.6486486486486487,0.6666666666666666,0.625,3,0,14,20,13,4,2,17,21,17,4,0,0.0
4,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,7,4,11,9,1,1,1,1,1,1,24,47,0.23404255319148937,0.6170212765957447,0.64,0.5909090909090909,3,0,19,25,16,4,2,24,31,24,0,0,0.0
5,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,7,4,11,9,1,1,1,1,1,1,12,62,0.1774193548387097,0.5806451612903226,0.7692307692307693,0.5306122448979592,3,0,26,33,22,3,2,34,49,33,6,1,0.016129032258064516
6,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,7,4,11,9,1,1,1,1,0,1,14,64,0.0,0.5625,0.7333333333333333,0.5102040816326531,1,0,28,35,23,2,0,38,51,38,6,0,0.0
7,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,7,4,11,9,1,1,1,1,0,1,38,64,0.0,0.578125,0.5897435897435898,0.56,2,0,28,34,21,1,3,38,44,38,3,0,0.0
8,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,7,4,11,9,1,1,1,1,1,1,10,40,0.275,0.625,0.8181818181818182,0.5517241379310345,3,0,15,22,19,6,0,14,23,14,2,1,0.025
9,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,7,4,11,9,1,1,1,1,0,1,18,64,0.0,0.546875,0.6842105263157895,0.4888888888888889,1,0,28,35,28,2,0,33,51,33,12,2,0.03125
0,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,5,12,4,4,1,1,1,1,0,-1,6,0.0,0.6666666666666666,0.6666666666666666,0.0,3,0,1,2,1,2,2,0,0,0,0,0,0.0
1,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,5,12,4,4,1,1,1,1,0,-1,12,0.0,0.5833333333333334,0.5833333333333334,0.0,3,0,4,5,3,1,3,4,4,4,0,0,0.0
2,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,5,12,4,4,1,1,1,1,0,-1,12,0.0,0.5833333333333334,0.5833333333333334,0.0,4,1,3,4,0,7,2,2,4,2,0,0,0.0
3,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,5,12,4,4,1,1,1,1,0,-1,6,0.0,0.6666666666666666,0.6666666666666666,0.0,3,0,1,2,1,3,1,0,0,0,0,0,0.0
4,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,5,12,4,4,1,1,1,1,0,-1,10,0.0,0.6,0.6,0.0,3,0,3,4,3,2,2,2,3,2,0,0,0.0
5,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,5,12,4,4,1,1,1,1,0,-1,26,0.0,0.5384615384615384,0.5384615384615384,0.0,3,0,11,12,10,3,3,9,13,9,0,0,0.0
6,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,5,12,4,4,1,1,1,1,0,-1,4,0.0,0.75,0.75,0.0,3,0,0,1,1,1,1,0,0,0,0,0,0.0
7,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,5,12,4,4,1,1,1,1,0,-1,10,0.0,0.6,0.6,0.0,3,0,3,4,4,1,2,2,3,2,0,0,0.0
8,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,5,12,4,4,1,1,1,1,0,-1,10,0.0,0.6,0.6,0.0,3,0,3,4,5,1,3,0,0,0,0,0,0.0
9,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,5,12,4,4,1,1,1,1,0,-1,22,0.0,0.5454545454545454,0.5454545454545454,0.0,3,0,9,10,8,2,2,9,12,9,0,0,0.0
0,2,size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,8,4,12,12,0,1,1,1,0,0,-1,64,0.0,0.515625,0.515625,0.0,1,4,26,33,13,4,4,42,50,41,0,1,0.015625
1,2,size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,8,4,12,12,0,1,1,1,0,0,-1,64,0.0,0.515625,0.515625,0.0,0,3,27,34,20,4,2,37,47,34,0,2,0.03125
2,2,size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,8,4,12,12,0,1,1,1,0,1,62,64,0.0,0.5625,0.5555555555555556,1.0,0,5,27,32,15,5,5,38,43,36,0,1,0.015625
3,2,size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,8,4,12,12,0,1,1,1,1,1,27,38,0.3157894736842105,0.6578947368421053,0.6428571428571429,0.7,0,8,13,17,15,6,4,12,14,12,1,0,0.0
4,2,size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,8,4,12,12,0,1,1,1,0,1,62,64,0.0,0.5625,0.5555555555555556,1.0,0,5,27,32,17,9,1,36,39,34,0,1,0.015625
5,2,size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,8,4,12,12,0,1,1,1,0,1,25,64,0.0,0.5625,0.6538461538461539,0.5,2,8,24,30,19,7,9,28,41,27,1,0,0.0
6,2,size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,8,4,12,12,0,1,1,1,1,1,26,53,0.22641509433962265,0.6037735849056604,0.6296296296296297,0.5769230769230769,3,11,17,22,13,12,9,18,27,17,1,1,0.018867924528301886
7,2,size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,8,4,12,12,0,1,1,1,0,1,15,64,0.0,0.484375,0.75,0.3958333333333333,4,10,17,33,20,8,6,29,41,25,1,9,0.140625
8,2,size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,8,4,12,12,0,1,1,1,0,1,22,64,0.0,0.515625,0.6521739130434783,0.43902439024390244,7,12,17,28,14,19,10,20,42,16,1,5,0.078125
9,2,size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,8,4,12,12,0,1,1,1,0,1,29,64,0.0,0.546875,0.6333333333333333,0.47058823529411764,1,6,25,32,17,5,7,34,44,32,1,1,0.015625
0,3,size11_comp0.0_grid3_base_medium,11,0.0,medium,base,base,4,4,8,6,1,1,1,1,1,0,-1,10,0.0,0.5,0.5,0.0,0,2,6,2,4,2,2,1,1,1,0,0,0.0
1,3,size11_comp0.0_grid3_base_medium,11,0.0,medium,base,base,4,4,8,6,1,1,1,1,1,0,-1,14,0.0,0.5,0.5,0.0,0,2,8,4,7,1,3,2,4,2,0,0,0.0
2,3,size11_comp0.0_grid3_base_medium,11,0.0,medium,base,base,4,4,8,6,1,1,1,1,1,0,-1,26,0.0,0.5,0.5,0.0,0,2,14,10,10,1,3,11,13,11,0,0,0.0
3,3,size11_comp0.0_grid3_base_medium,11,0.0,medium,base,base,4,4,8,6,1,1,1,1,0,0,-1,64,0.0,0.421875,0.421875,0.0,1,0,27,36,21,1,1,40,56,34,0,7,0.109375
4,3,size11_comp0.0_grid3_base_medium,11,0.0,medium,base,base,4,4,8,6,1,1,1,1,1,0,-1,10,0.0,0.5,0.5,0.0,0,2,6,2,1,2,2,4,4,4,0,0,0.0
5,3,size11_comp0.0_grid3_base_medium,11,0.0,medium,base,base,4,4,8,6,1,1,1,1,1,0,-1,16,0.0,0.5,0.5,0.0,0,2,9,5,8,0,2,5,7,5,0,0,0.0
6,3,size11_comp0.0_grid3_base_medium,11,0.0,medium,base,base,4,4,8,6,1,1,1,1,1,0,-1,16,0.0,0.5,0.5,0.0,0,2,9,5,6,1,3,5,5,5,0,0,0.0
7,3,size11_comp0.0_grid3_base_medium,11,0.0,medium,base,base,4,4,8,6,1,1,1,1,1,1,15,28,0.2857142857142857,0.6428571428571429,0.625,0.6666666666666666,1,3,14,10,8,3,3,13,16,13,1,0,0.0
8,3,size11_comp0.0_grid3_base_medium,11,0.0,medium,base,base,4,4,8,6,1,1,1,1,1,0,-1,16,0.0,0.5,0.5,0.0,0,2,9,5,6,3,1,5,5,5,0,0,0.0
9,3,size11_comp0.0_grid3_base_medium,11,0.0,medium,base,base,4,4,8,6,1,1,1,1,1,0,-1,20,0.0,0.5,0.5,0.0,0,2,11,7,9,0,4,6,7,6,0,0,0.0
0,4,size11_comp0.0_grid4_base_medium,11,0.0,medium,base,base,11,4,15,9,3,1,1,1,0,0,-1,64,0.0,0.5625,0.5625,0.0,1,3,27,33,14,5,3,41,50,40,0,0,0.0
1,4,size11_comp0.0_grid4_base_medium,11,0.0,medium,base,base,11,4,15,9,3,1,1,1,0,0,-1,64,0.0,0.546875,0.546875,0.0,3,6,23,32,13,8,4,38,49,36,0,3,0.046875
2,4,size11_comp0.0_grid4_base_medium,11,0.0,medium,base,base,11,4,15,9,3,1,1,1,0,0,-1,64,0.0,0.578125,0.578125,0.0,1,5,26,32,8,4,5,46,52,46,0,0,0.0
3,4,size11_comp0.0_grid4_base_medium,11,0.0,medium,base,base,11,4,15,9,3,1,1,1,0,0,-1,64,0.0,0.515625,0.515625,0.0,1,3,26,34,14,5,2,42,51,39,0,4,0.0625
4,4,size11_comp0.0_grid4_base_medium,11,0.0,medium,base,base,11,4,15,9,3,1,1,1,0,1,36,64,0.0,0.609375,0.6486486486486487,0.5555555555555556,1,6,27,30,14,5,5,39,46,39,3,0,0.0
5,4,size11_comp0.0_grid4_base_medium,11,0.0,medium,base,base,11,4,15,9,3,1,1,1,0,0,-1,64,0.0,0.5625,0.5625,0.0,1,6,26,31,16,5,6,36,49,35,0,1,0.015625
6,4,size11_comp0.0_grid4_base_medium,11,0.0,medium,base,base,11,4,15,9,3,1,1,1,1,1,18,26,0.5769230769230769,0.7692307692307693,0.7894736842105263,0.7142857142857143,0,6,8,12,9,4,3,9,11,8,2,1,0.038461538461538464
7,4,size11_comp0.0_grid4_base_medium,11,0.0,medium,base,base,11,4,15,9,3,1,1,1,0,0,-1,64,0.0,0.546875,0.546875,0.0,0,5,26,33,12,3,7,41,46,38,0,3,0.046875
8,4,size11_comp0.0_grid4_base_medium,11,0.0,medium,base,base,11,4,15,9,3,1,1,1,0,0,-1,64,0.0,0.5625,0.5625,0.0,2,4,26,32,15,4,1,43,49,42,0,0,0.0
9,4,size11_comp0.0_grid4_base_medium,11,0.0,medium,base,base,11,4,15,9,3,1,1,1,1,1,26,41,0.36585365853658536,0.6829268292682927,0.7037037037037037,0.6428571428571429,0,6,16,19,17,4,4,15,22,15,5,0,0.0
0,5,size11_comp0.0_grid5_base_medium,11,0.0,medium,base,base,11,5,16,8,4,1,1,1,1,0,-1,22,0.0,0.6363636363636364,0.6363636363636364,0.0,2,5,10,5,6,3,8,4,9,4,0,0,0.0
1,5,size11_comp0.0_grid5_base_medium,11,0.0,medium,base,base,11,5,16,8,4,1,1,1,1,0,-1,18,0.0,0.6666666666666666,0.6666666666666666,0.0,1,4,9,4,6,3,6,2,3,2,0,0,0.0
2,5,size11_comp0.0_grid5_base_medium,11,0.0,medium,base,base,11,5,16,8,4,1,1,1,1,1,20,26,0.6153846153846154,0.8076923076923077,0.7619047619047619,1.0,4,7,10,5,10,4,7,4,4,4,0,0,0.0
3,5,size11_comp0.0_grid5_base_medium,11,0.0,medium,base,base,11,5,16,8,4,1,1,1,1,0,-1,16,0.0,0.6875,0.6875,0.0,1,4,8,3,4,2,5,4,4,4,0,0,0.0
4,5,size11_comp0.0_grid5_base_medium,11,0.0,medium,base,base,11,5,16,8,4,1,1,1,1,0,-1,16,0.0,0.6875,0.6875,0.0,0,3,9,4,7,0,3,5,6,5,0,0,0.0
5,5,size11_comp0.0_grid5_base_medium,11,0.0,medium,base,base,11,5,16,8,4,1,1,1,1,0,-1,10,0.0,0.8,0.8,0.0,0,3,6,1,5,0,3,1,1,1,0,0,0.0
6,5,size11_comp0.0_grid5_base_medium,11,0.0,medium,base,base,11,5,16,8,4,1,1,1,1,0,-1,15,0.0,0.6666666666666666,0.6666666666666666,0.0,2,5,7,1,5,3,4,2,4,1,0,1,0.06666666666666667
7,5,size11_comp0.0_grid5_base_medium,11,0.0,medium,base,base,11,5,16,8,4,1,1,1,1,0,-1,15,0.0,0.6666666666666666,0.6666666666666666,0.0,0,3,9,3,6,2,2,4,7,4,0,1,0.06666666666666667
8,5,size11_comp0.0_grid5_base_medium,11,0.0,medium,base,base,11,5,16,8,4,1,1,1,1,0,-1,21,0.0,0.6190476190476191,0.6190476190476191,0.0,3,6,9,3,7,4,7,2,3,2,0,1,0.047619047619047616
9,5,size11_comp0.0_grid5_base_medium,11,0.0,medium,base,base,11,5,16,8,4,1,1,1,1,0,-1,14,0.0,0.7142857142857143,0.7142857142857143,0.0,1,4,7,2,4,4,2,3,4,3,0,0,0.0
0,6,size11_comp0.0_grid6_base_medium,11,0.0,medium,base,base,6,5,11,5,3,1,1,1,0,0,-1,64,0.0,0.515625,0.515625,0.0,3,0,33,28,27,1,2,33,53,30,0,2,0.03125
1,6,size11_comp0.0_grid6_base_medium,11,0.0,medium,base,base,6,5,11,5,3,1,1,1,1,1,45,52,0.21153846153846154,0.5961538461538461,0.5652173913043478,0.8333333333333334,4,1,22,24,12,4,4,29,39,29,1,0,0.0
2,6,size11_comp0.0_grid6_base_medium,11,0.0,medium,base,base,6,5,11,5,3,1,1,1,0,1,61,64,0.0,0.5625,0.5483870967741935,1.0,4,0,30,30,19,2,5,37,52,37,0,0,0.0
3,6,size11_comp0.0_grid6_base_medium,11,0.0,medium,base,base,6,5,11,5,3,1,1,1,1,1,40,46,0.2391304347826087,0.6086956521739131,0.5609756097560976,1.0,4,1,20,21,19,4,3,19,33,18,1,1,0.021739130434782608
4,6,size11_comp0.0_grid6_base_medium,11,0.0,medium,base,base,6,5,11,5,3,1,1,1,0,1,11,64,0.0,0.515625,0.75,0.46153846153846156,4,0,25,34,21,4,1,35,50,31,1,5,0.078125
5,6,size11_comp0.0_grid6_base_medium,11,0.0,medium,base,base,6,5,11,5,3,1,1,1,0,1,11,64,0.0,0.546875,0.75,0.5,4,0,27,33,19,4,1,39,48,35,1,3,0.046875
6,6,size11_comp0.0_grid6_base_medium,11,0.0,medium,base,base,6,5,11,5,3,1,1,1,0,1,14,64,0.0,0.515625,0.6666666666666666,0.46938775510204084,5,0,26,33,19,5,4,35,42,30,0,5,0.078125
7,6,size11_comp0.0_grid6_base_medium,11,0.0,medium,base,base,6,5,11,5,3,1,1,1,0,1,15,64,0.0,0.546875,0.6875,0.5,4,0,27,30,10,4,3,42,48,41,3,0,0.0
8,6,size11_comp0.0_grid6_base_medium,11,0.0,medium,base,base,6,5,11,5,3,1,1,1,0,0,-1,64,0.0,0.515625,0.515625,0.0,3,0,33,28,25,2,2,34,54,31,0,3,0.046875
9,6,size11_comp0.0_grid6_base_medium,11,0.0,medium,base,base,6,5,11,5,3,1,1,1,0,0,-1,64,0.0,0.53125,0.53125,0.0,3,0,32,29,26,3,2,32,51,32,0,0,0.0
0,7,size11_comp0.0_grid7_base_medium,11,0.0,medium,base,base,9,10,19,3,8,1,1,1,0,0,-1,64,0.0,0.546875,0.546875,0.0,2,0,33,29,25,1,0,37,53,37,0,0,0.0
1,7,size11_comp0.0_grid7_base_medium,11,0.0,medium,base,base,9,10,19,3,8,1,1,1,0,0,-1,64,0.0,0.546875,0.546875,0.0,3,0,34,27,30,4,2,27,47,27,0,0,0.0
2,7,size11_comp0.0_grid7_base_medium,11,0.0,medium,base,base,9,10,19,3,8,1,1,1,0,0,-1,64,0.0,0.546875,0.546875,0.0,3,0,33,28,20,1,5,37,48,35,0,1,0.015625
3,7,size11_comp0.0_grid7_base_medium,11,0.0,medium,base,base,9,10,19,3,8,1,1,1,0,0,-1,64,0.0,0.53125,0.53125,0.0,2,0,32,30,21,0,4,38,49,37,0,0,0.0
4,7,size11_comp0.0_grid7_base_medium,11,0.0,medium,base,base,9,10,19,3,8,1,1,1,0,0,-1,64,0.0,0.546875,0.546875,0.0,2,0,34,28,20,1,2,40,50,39,0,0,0.0
5,7,size11_comp0.0_grid7_base_medium,11,0.0,medium,base,base,9,10,19,3,8,1,1,1,0,0,-1,64,0.0,0.546875,0.546875,0.0,2,0,33,29,30,2,2,29,45,29,0,0,0.0
6,7,size11_comp0.0_grid7_base_medium,11,0.0,medium,base,base,9,10,19,3,8,1,1,1,0,0,-1,64,0.0,0.546875,0.546875,0.0,3,0,34,27,16,4,2,41,46,40,0,0,0.0
7,7,size11_comp0.0_grid7_base_medium,11,0.0,medium,base,base,9,10,19,3,8,1,1,1,0,0,-1,64,0.0,0.546875,0.546875,0.0,2,0,33,29,31,3,1,28,44,28,0,0,0.0
8,7,size11_comp0.0_grid7_base_medium,11,0.0,medium,base,base,9,10,19,3,8,1,1,1,0,0,-1,64,0.0,0.53125,0.53125,0.0,2,0,32,30,30,3,0,30,48,29,0,0,0.0
9,7,size11_comp0.0_grid7_base_medium,11,0.0,medium,base,base,9,10,19,3,8,1,1,1,0,0,-1,64,0.0,0.53125,0.53125,0.0,2,0,32,30,25,1,2,35,55,34,0,0,0.0
0,8,size11_comp0.0_grid8_base_medium,11,0.0,medium,base,base,9,7,16,6,5,1,1,1,0,1,10,64,0.0,0.578125,0.9090909090909091,0.5094339622641509,5,4,24,31,17,6,6,34,44,33,8,0,0.0
1,8,size11_comp0.0_grid8_base_medium,11,0.0,medium,base,base,9,7,16,6,5,1,1,1,0,1,22,64,0.0,0.5625,0.6956521739130435,0.4878048780487805,8,7,20,29,17,17,7,22,46,20,1,2,0.03125
2,8,size11_comp0.0_grid8_base_medium,11,0.0,medium,base,base,9,7,16,6,5,1,1,1,0,1,27,64,0.0,0.5625,0.6428571428571429,0.5,3,1,26,34,22,3,5,33,47,31,10,1,0.015625
