distance_to_goal,n_states,mean_entropy,se_entropy,mean_optimal_entropy,se_optimal_entropy,mean_jsd,se_jsd,accuracy,total_observations,is_capped
1,142,0.7460322930066502,0.052999165301307084,0.0,0.0,0.3668457962407253,0.03109831406844788,0.5915492957746479,1274,False
2,220,0.8737757313776877,0.040550511947663986,0.36363636363636365,0.03250605554246891,0.3924123943037479,0.022001125316428904,0.6,3039,False
3,277,0.9899742779320326,0.032394128762556734,0.4729241877256318,0.030052303463143734,0.41878543624313713,0.017673138287016974,0.5740072202166066,5231,False
4,317,0.9836796764573918,0.03177771552693438,0.5173501577287066,0.028110258275902415,0.42217547648545445,0.01602510719022106,0.5646687697160884,6712,False
5,303,0.9183013269713611,0.03302937223557455,0.6256929455469346,0.028029145391731937,0.4125119366689796,0.016951007913123175,0.5907590759075908,5700,False
6,255,0.8181472247234298,0.037135967804300556,0.6947840196134993,0.029385497818095498,0.4059815995020671,0.017776409723794576,0.6313725490196078,5150,False
7,190,0.8049896333597811,0.04236909870992815,0.6956311842181175,0.034232928110895074,0.42002427209567206,0.02057149914029608,0.5894736842105263,3670,False
8,128,0.7687604945945554,0.051403996797278785,0.6823425781475361,0.04398679316546223,0.3813521577427787,0.025044495488648656,0.6640625,2602,False
9,85,0.7837854060617487,0.058159978501047385,0.7127642647143665,0.05066685539058672,0.42106955274290453,0.030403282959318496,0.611764705882353,2423,False
10,54,0.8500674740377939,0.07309101978935487,0.6851851851851852,0.0637960262540699,0.4489307947867612,0.0394712902135641,0.5370370370370371,1973,False
11,30,0.7710900648486734,0.094821876866489,0.6333333333333333,0.08948554539839963,0.446297126639316,0.05816942211601387,0.5666666666666667,1378,False
12,20,0.7934926751381349,0.1076265797455005,0.35,0.10942433098048311,0.45894615171039793,0.08198227345426823,0.55,1601,False
13,11,0.8407698175139395,0.16982032744248654,0.7272727272727273,0.14083575804390605,0.40374350220364497,0.08622301804080938,0.7272727272727273,581,False
14,4,0.375,0.375,0.75,0.25,0.44454882778695803,0.18874961767693196,0.75,46,False
15,2,0.6277929503357518,0.29050288371873784,0.5,0.5,0.711986308948156,0.11654905663760126,0.0,35,False
16,1,0.9922666387194963,,0.0,,0.35361781789354924,,0.0,58,False
