grid_size,density,reasoning_effort,n_grids,mean_coin_collected_rate,se_coin_collected_rate,mean_full_success_rate,se_full_success_rate,mean_goal_only_rate,se_goal_only_rate,mean_action_accuracy,se_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,mean_spl,se_spl,mean_entropy,mean_jsd,mean_entropy_phase1,mean_entropy_phase2,mean_jsd_phase1,mean_jsd_phase2,mean_ece,mean_start_to_goal_distance,mean_coin_detour_distance,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations
7,0.0,medium,10,0.67,0.09195409482755816,0.63,0.09073771725877466,0.32,0.09521904571390467,0.5511870051903627,0.02832318823249947,0.587426453105944,0.537286253436727,0.32400949033165694,0.0540126476278428,0.8397649936504907,0.2872630260609834,0.8247118569318406,0.439927232281158,0.25459814483846943,0.18842999158281762,0.1975894933781897,4.6,1.6,1.7899999999999998,2.34,3.97,3.16,2.63,1.55,1.98,2.0,7.37,1.8699999999999999,1.04
7,0.2,medium,10,0.86,0.054160256030906406,0.35,0.09803627446568496,0.11000000000000001,0.05259911279353167,0.4303557856825382,0.03228765373028426,0.6598883879283745,0.3124417173765658,0.15451609878392564,0.04812978785430054,0.9812845712677133,0.37780269943198413,0.815154489880042,0.7923018600874192,0.21688330633125155,0.33108540842783135,0.18355196657537817,3.9,2.7,2.88,2.9899999999999998,7.609999999999999,5.41,4.78,2.74,2.6599999999999997,4.11,16.73,3.53,4.15
7,0.4,medium,10,0.9199999999999999,0.041633319989322654,0.32,0.08666666666666667,0.06,0.04,0.4292881495167178,0.021848834363309862,0.6736472448285794,0.29640455308863023,0.1371485009471267,0.0365108927446086,1.015296986436589,0.41688434576053285,0.8109150115654307,0.8527984617710646,0.1814062387348307,0.386247627934352,0.22453455154985286,4.6,2.7,3.2299999999999995,3.5700000000000003,6.81,6.42,4.03,3.05,3.71,4.36,17.64,3.55,3.63
7,0.6,medium,10,0.73,0.1183685393637647,0.21000000000000002,0.07666666666666667,0.22000000000000003,0.10413666234542206,0.35008847626486755,0.050342524088020965,0.6108252729799865,0.1838880655973483,0.10379875722231909,0.039640097591506405,0.9822445567081821,0.41155030066691917,0.8472195959264603,0.7807890604187097,0.1894044827028621,0.3326627837835302,0.27305115300224836,5.0,3.0,2.73,2.1399999999999997,6.2299999999999995,5.659999999999999,4.65,2.3,2.09,2.7399999999999998,18.39,2.0799999999999996,3.6799999999999997
9,0.0,medium,10,0.39,0.12242911781471305,0.19,0.10796089827134431,0.48,0.14590712418826193,0.5550270378598723,0.02789032942089239,0.5935727024055326,0.3683041863143062,0.1032715687552348,0.06402723455850418,0.8086521509325845,0.34607125587502974,0.702576665706087,0.49766621043074777,0.38259475711406143,0.2550830253659503,0.14700288343397908,5.3,2.6,3.1700000000000004,2.1399999999999997,8.95,8.27,6.4,3.38,3.21,7.340000000000001,13.809999999999999,7.08,1.3299999999999998
9,0.2,medium,10,0.19,0.12688577540449522,0.02,0.02,0.45999999999999996,0.15506271132817342,0.4158937989093724,0.034244116641038436,0.41887497219730835,0.08930563460443938,0.0059285091543156065,0.005928509154315606,0.811783242306331,0.348325575315802,0.8182818602086719,0.16603857133523456,0.49769598060939424,0.08897324481270677,0.1838054105760127,5.9,3.0,3.3299999999999996,2.53,15.319999999999999,7.99,11.0,3.38,4.24,9.129999999999999,20.9,7.859999999999999,0.9199999999999999
9,0.4,medium,10,0.31,0.13780017739062925,0.01,0.01,0.33999999999999997,0.1359738536958076,0.31077905768984215,0.04730171172241273,0.3183884885060534,0.26475363132524743,0.003125,0.003125,0.848057041444711,0.40620951081311335,0.8283445718818025,0.3751787378025836,0.4665297842352728,0.27765516338534013,0.23781928172719652,6.0,3.2,2.2,5.11,18.73,8.98,14.190000000000001,4.8,4.75,9.77,28.32,7.08,1.36
9,0.6,medium,10,0.05,0.034156502553198666,0.02,0.02,0.36,0.1514375558880073,0.2211989080246059,0.03622516413152268,0.21990926118671092,0.07204545454545455,0.005333333333333333,0.005333333333333333,0.9134531015035489,0.5006446119142602,0.9252705734004852,0.15076965395157,0.6344518135624382,0.09669832102250267,0.33872255196468315,6.1,3.7,2.58,2.05,20.65,10.85,16.360000000000003,3.21,3.8200000000000003,11.65,30.060000000000002,5.680000000000001,0.09
11,0.0,medium,10,0.45999999999999996,0.1284090685617215,0.19,0.05666666666666667,0.29,0.13535960336164637,0.5730642785446735,0.016182918444083143,0.5928453713261052,0.496957574575819,0.058417790417433876,0.015537428621952835,0.7224074836163931,0.378834707057894,0.7014828970050682,0.359113600803337,0.32119677679129044,0.24943394159299642,0.1409709971466157,6.8,3.3,2.7,2.42,19.78,21.55,14.580000000000002,4.08,3.6700000000000004,23.09,31.71,22.259999999999998,1.6300000000000001
11,0.2,medium,10,0.27999999999999997,0.13148721948877345,0.0,0.0,0.13999999999999999,0.09910712498212337,0.41492434599506434,0.017248252804550033,0.484135403299342,0.1282479422170892,0.0,0.0,0.7262209733995149,0.47423556038363,0.6926992291500893,0.2638107754989063,0.4499297921991894,0.20448714749195812,0.2558430442816725,7.1,4.3,1.9,0.5599999999999999,24.380000000000003,31.04,22.48,2.1100000000000003,2.06,30.209999999999997,47.730000000000004,26.18,1.8699999999999999
11,0.4,medium,10,0.1,0.1,0.1,0.1,0.15,0.10671873729054748,0.26094723910850537,0.05635509058097031,0.25263728019081166,0.049760765550239235,0.022798732519468814,0.022798732519468817,0.7074965212933235,0.49476641921218845,0.6467627326028287,0.10427075664820584,0.5554793196630023,0.03172709985812986,0.3611200302660339,7.7,4.4,1.9899999999999998,1.24,28.080000000000002,25.3,35.1,2.4,2.2,15.91,50.12,11.540000000000001,0.13999999999999999
11,0.6,medium,10,0.02,0.02,0.0,0.0,0.0,0.0,0.28828125,0.041649247661022244,0.2881452450166113,0.03684210526315789,0.0,0.0,0.8877131420904292,0.5458662696601501,0.882498984051618,0.09029380329656628,0.5180269698428489,0.056432699800035055,0.33632812494957437,8.0,7.0,2.62,2.09,31.99,27.3,30.2,3.3299999999999996,4.33,25.14,57.15,16.46,0.06999999999999999
