grid_id,grid_size,density,instance_id,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,num_trajectories,num_coin_collected,num_goal_after_coin,num_goal_only,coin_collected_rate,goal_after_coin_rate,goal_only_rate,full_success_rate,mean_trajectory_length,mean_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,spl,mean_entropy,mean_optimal_entropy,mean_jsd,mean_entropy_phase1,mean_jsd_phase1,mean_entropy_phase2,mean_jsd_phase2,ece,mean_step_accuracy,total_steps,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions
size11_comp0.0_grid0_base_medium,11,0.0,0,medium,base,base,7,4,11,9,1,1,1,1,10,10,5,0,1.0,0.5,0.0,0.5,56.7,0.582010582010582,0.6923076923076923,0.5298701298701298,0.11640870741799554,0.6882615716830945,0.7391304347826086,0.3361651490947109,0.5247900705373163,0.14877645169503592,0.7413078754998529,0.32657423339778224,0.11827974864005843,0.582010582010582,567,2.5,0.2,23.9,30.1,20.3,3.0,2.0,30.4,41.3,30.2,6.0,0.5
size11_comp0.0_grid1_base_medium,11,0.0,1,medium,base,base,7,5,12,4,4,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,11.8,0.5847457627118644,0.5847457627118644,0.0,0.0,0.7279501004030492,0.625,0.26117255394027394,0.7279501004030492,0.3725930412410434,0.0,0.0,0.12502254689754688,0.5847457627118644,118,3.1,0.1,3.8,4.8,3.6,2.3,2.1,2.8,3.9,2.8,0.0,0.0
size11_comp0.0_grid2_base_medium,11,0.0,2,medium,base,base,8,4,12,12,0,1,1,1,10,8,2,0,0.8,0.2,0.0,0.2,60.3,0.5472636815920398,0.5792079207920792,0.4824120603015075,0.05422045680238332,0.6319853168941375,0.7959183673469388,0.3855662253434327,0.5461201252159988,0.43278314139838936,0.6908189958243162,0.39285075277521647,0.14231037479858102,0.5472636815920398,603,1.8,7.2,22.0,29.3,16.3,7.9,5.7,29.4,38.8,27.4,0.6,2.1
size11_comp0.0_grid3_base_medium,11,0.0,3,medium,base,base,4,4,8,6,1,1,1,1,10,1,1,8,0.1,0.1,0.8,0.1,22.0,0.4954545454545455,0.4855769230769231,0.6666666666666666,0.02857142857142857,0.7609641367678345,0.7142857142857143,0.36101893028960663,0.7894904509175878,0.4786032366642183,0.2704260414863776,0.16633307435409356,0.17624333338619053,0.4954545454545455,220,0.2,1.9,11.3,8.6,8.0,1.4,2.4,9.2,11.8,8.6,0.1,0.7
size11_comp0.0_grid4_base_medium,11,0.0,4,medium,base,base,11,4,15,9,3,1,1,1,10,3,2,0,0.3,0.2,0.0,0.2,57.9,0.5785837651122625,0.576271186440678,0.6041666666666666,0.09427767354596622,0.6037475367450026,0.7631578947368421,0.3678572850828661,0.6210424883491453,0.25595080337605913,0.5188013392605251,0.3274626363807593,0.19697274538449058,0.5785837651122625,579,1.0,5.0,23.1,28.8,13.2,4.7,4.0,35.0,42.5,33.8,1.0,1.2
size11_comp0.0_grid5_base_medium,11,0.0,5,medium,base,base,11,5,16,8,4,1,1,1,10,1,1,9,0.1,0.1,0.9,0.1,17.3,0.6936416184971098,0.6845238095238095,1.0,0.06153846153846154,0.7413408330541694,0.7777777777777778,0.2872567657491176,0.7623826356020466,0.34444147859967306,0.0,0.12451124978365313,0.1899742233075567,0.6936416184971098,173,1.4,4.4,8.4,3.1,6.0,2.5,4.7,3.1,4.5,3.0,0.0,0.3
size11_comp0.0_grid6_base_medium,11,0.0,6,medium,base,base,6,5,11,5,3,1,1,1,10,7,2,0,0.7,0.2,0.0,0.2,61.0,0.5426229508196722,0.5606060606060606,0.5093457943925234,0.04506688963210702,0.6684020332742582,0.7419354838709677,0.40481750384550946,0.6828945659377271,0.2116623078835639,0.2844299423613398,0.35771194425748926,0.1238422077657148,0.5426229508196722,610,3.8,0.2,27.5,29.0,19.7,3.3,2.7,33.5,47.0,31.4,0.7,1.9
size11_comp0.0_grid7_base_medium,11,0.0,7,medium,base,base,9,10,19,3,8,1,1,1,10,0,0,0,0.0,0.0,0.0,0.0,64.0,0.5421875,0.5421875,0.0,0.0,0.7677450810144921,0.8846153846153846,0.5424662306201882,0.7677450810144921,0.4332195259757007,0.0,0.0,0.12730794070947524,0.5421875,640,2.3,0.0,33.0,28.7,24.8,2.0,2.0,34.2,48.5,33.5,0.0,0.1
size11_comp0.0_grid8_base_medium,11,0.0,8,medium,base,base,9,7,16,6,5,1,1,1,10,10,1,0,1.0,0.1,0.0,0.1,62.4,0.5769230769230769,0.6539792387543253,0.5104477611940299,0.03333333333333333,0.8269161238644553,0.8529411764705882,0.4892306248298394,0.7504522860178945,0.19688584919595056,0.6617208232973373,0.4788703047514464,0.1222694725699643,0.5769230769230769,624,5.5,4.3,22.7,29.9,17.0,8.2,7.2,29.0,44.1,28.1,4.5,0.4
size11_comp0.0_grid9_base_medium,11,0.0,9,medium,base,base,8,6,14,6,4,1,1,1,10,6,5,2,0.6,0.5,0.2,0.5,51.6,0.5872093023255814,0.569047619047619,0.6666666666666666,0.1507609533326632,0.8067621024634374,0.7380952380952381,0.352795801783395,0.8419611660554229,0.3370519318832702,0.42363099030362084,0.32002522022952395,0.08748737800657855,0.5872093023255814,516,5.4,0.9,22.1,23.2,16.9,5.5,3.9,24.3,34.7,23.8,3.4,0.4
