trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,reached_goal,coin_collected,coin_collection_step,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations
0,0,size7_comp0.2_grid0_base_low,7,0.2,low,base,5,4,9,3,4,0,0,-1,50,0.0,0.4,0.4,0.0,13,19,10,8,14,4,18,13,39,11,0
1,0,size7_comp0.2_grid0_base_low,7,0.2,low,base,5,4,9,3,4,1,1,13,23,0.391304347826087,0.5652173913043478,0.6428571428571429,0.4444444444444444,12,5,3,3,11,3,4,4,13,4,1
2,0,size7_comp0.2_grid0_base_low,7,0.2,low,base,5,4,9,3,4,0,0,-1,50,0.0,0.36,0.36,0.0,14,25,6,5,16,10,8,15,37,12,0
3,0,size7_comp0.2_grid0_base_low,7,0.2,low,base,5,4,9,3,4,1,1,29,45,0.2,0.3111111111111111,0.3333333333333333,0.26666666666666666,20,5,5,15,21,8,8,7,34,3,1
4,0,size7_comp0.2_grid0_base_low,7,0.2,low,base,5,4,9,3,4,0,0,-1,50,0.0,0.42,0.42,0.0,11,18,11,10,12,14,8,15,41,11,0
5,0,size7_comp0.2_grid0_base_low,7,0.2,low,base,5,4,9,3,4,1,1,20,34,0.2647058823529412,0.4117647058823529,0.42857142857142855,0.38461538461538464,12,10,6,6,14,8,9,2,22,2,0
6,0,size7_comp0.2_grid0_base_low,7,0.2,low,base,5,4,9,3,4,1,1,19,32,0.28125,0.5,0.55,0.4166666666666667,13,6,7,6,11,5,8,7,19,5,0
7,0,size7_comp0.2_grid0_base_low,7,0.2,low,base,5,4,9,3,4,1,1,34,45,0.2,0.28888888888888886,0.2571428571428571,0.4,13,17,6,9,17,12,8,7,36,1,0
8,0,size7_comp0.2_grid0_base_low,7,0.2,low,base,5,4,9,3,4,0,0,-1,50,0.0,0.3,0.3,0.0,11,23,8,8,16,6,8,19,41,12,0
9,0,size7_comp0.2_grid0_base_low,7,0.2,low,base,5,4,9,3,4,1,1,16,22,0.4090909090909091,0.6363636363636364,0.5882352941176471,0.8,8,4,5,5,4,10,2,5,7,4,0
0,1,size7_comp0.2_grid1_base_low,7,0.2,low,base,5,6,11,3,4,0,0,-1,50,0.0,0.38,0.38,0.0,10,26,7,7,20,5,14,10,39,8,0
1,1,size7_comp0.2_grid1_base_low,7,0.2,low,base,5,6,11,3,4,0,1,42,50,0.0,0.4,0.4186046511627907,0.2857142857142857,14,19,7,10,13,9,15,12,35,9,1
2,1,size7_comp0.2_grid1_base_low,7,0.2,low,base,5,6,11,3,4,1,0,-1,27,0.0,0.4074074074074074,0.4074074074074074,0.0,6,9,5,7,4,8,10,4,18,4,0
3,1,size7_comp0.2_grid1_base_low,7,0.2,low,base,5,6,11,3,4,0,1,28,50,0.0,0.4,0.5172413793103449,0.23809523809523808,21,14,6,9,19,7,12,11,33,9,2
4,1,size7_comp0.2_grid1_base_low,7,0.2,low,base,5,6,11,3,4,0,1,16,50,0.0,0.36,0.35294117647058826,0.36363636363636365,16,7,9,18,23,10,6,10,39,8,1
5,1,size7_comp0.2_grid1_base_low,7,0.2,low,base,5,6,11,3,4,1,1,12,40,0.275,0.45,0.46153846153846156,0.4444444444444444,15,8,6,11,18,11,4,6,29,3,1
6,1,size7_comp0.2_grid1_base_low,7,0.2,low,base,5,6,11,3,4,0,0,-1,50,0.0,0.42,0.42,0.0,12,20,9,9,14,12,6,17,37,12,0
7,1,size7_comp0.2_grid1_base_low,7,0.2,low,base,5,6,11,3,4,0,1,26,50,0.0,0.28,0.3333333333333333,0.21739130434782608,22,6,4,18,28,8,8,5,41,4,1
8,1,size7_comp0.2_grid1_base_low,7,0.2,low,base,5,6,11,3,4,1,0,-1,5,0.0,0.4,0.4,0.0,1,3,1,0,2,1,0,1,1,1,0
9,1,size7_comp0.2_grid1_base_low,7,0.2,low,base,5,6,11,3,4,1,0,-1,15,0.0,0.3333333333333333,0.3333333333333333,0.0,2,8,3,2,6,1,6,1,6,1,0
0,2,size7_comp0.2_grid2_base_low,7,0.2,low,base,3,5,8,4,2,0,1,6,50,0.0,0.34,0.5714285714285714,0.3023255813953488,31,10,5,4,21,12,1,15,40,12,1
1,2,size7_comp0.2_grid2_base_low,7,0.2,low,base,3,5,8,4,2,0,1,16,50,0.0,0.26,0.47058823529411764,0.15151515151515152,35,6,5,4,27,8,4,10,40,8,1
2,2,size7_comp0.2_grid2_base_low,7,0.2,low,base,3,5,8,4,2,1,1,3,31,0.25806451612903225,0.45161290322580644,0.75,0.4074074074074074,17,6,6,2,14,5,6,5,21,2,1
3,2,size7_comp0.2_grid2_base_low,7,0.2,low,base,3,5,8,4,2,0,1,17,50,0.0,0.38,0.3888888888888889,0.375,23,8,9,10,14,13,11,11,37,9,1
4,2,size7_comp0.2_grid2_base_low,7,0.2,low,base,3,5,8,4,2,1,1,6,42,0.19047619047619047,0.40476190476190477,0.5714285714285714,0.37142857142857144,23,9,6,4,15,9,8,9,29,6,1
5,2,size7_comp0.2_grid2_base_low,7,0.2,low,base,3,5,8,4,2,0,1,13,50,0.0,0.4,0.5714285714285714,0.3333333333333333,25,9,9,7,18,13,9,9,37,6,1
6,2,size7_comp0.2_grid2_base_low,7,0.2,low,base,3,5,8,4,2,0,1,5,50,0.0,0.24,0.5,0.20454545454545456,33,4,6,7,27,11,4,7,39,5,1
7,2,size7_comp0.2_grid2_base_low,7,0.2,low,base,3,5,8,4,2,0,1,3,50,0.0,0.28,0.75,0.2391304347826087,35,7,5,3,23,8,4,14,39,9,1
8,2,size7_comp0.2_grid2_base_low,7,0.2,low,base,3,5,8,4,2,0,1,3,50,0.0,0.22,0.75,0.17391304347826086,38,6,3,3,33,5,5,6,38,4,1
9,2,size7_comp0.2_grid2_base_low,7,0.2,low,base,3,5,8,4,2,0,1,6,50,0.0,0.38,0.7142857142857143,0.32558139534883723,30,12,5,3,20,9,6,14,38,12,1
0,3,size7_comp0.2_grid3_base_low,7,0.2,low,base,3,7,10,6,2,1,1,2,10,1.0,1.0,1.0,1.0,3,3,0,4,4,2,3,0,0,0,0
1,3,size7_comp0.2_grid3_base_low,7,0.2,low,base,3,7,10,6,2,1,1,2,43,0.23255813953488372,0.32558139534883723,1.0,0.275,6,8,2,27,21,10,6,5,33,1,0
