trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,reached_goal,coin_collected,coin_collection_step,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate
0,0,size11_comp0.0_grid0_base_random,11,0.0,random,base,base,7,7,14,4,5,1,1,1,1,0,-1,62,0.0,0.43548387096774194,0.43548387096774194,0.0,26,14,11,11,18,15,13,15,35,13,0,8,0.12903225806451613
1,0,size11_comp0.0_grid0_base_random,11,0.0,random,base,base,7,7,14,4,5,1,1,1,0,0,-1,64,0.0,0.484375,0.484375,0.0,13,17,20,14,16,16,15,16,34,15,0,4,0.0625
2,0,size11_comp0.0_grid0_base_random,11,0.0,random,base,base,7,7,14,4,5,1,1,1,1,1,26,52,0.2692307692307692,0.5961538461538461,0.6296296296296297,0.56,20,12,10,10,18,13,9,11,23,10,2,4,0.07692307692307693
3,0,size11_comp0.0_grid0_base_random,11,0.0,random,base,base,7,7,14,4,5,1,1,1,0,1,55,64,0.0,0.546875,0.5535714285714286,0.5,17,18,16,13,8,21,23,11,31,10,2,1,0.015625
4,0,size11_comp0.0_grid0_base_random,11,0.0,random,base,base,7,7,14,4,5,1,1,1,0,1,17,64,0.0,0.453125,0.6666666666666666,0.3695652173913043,14,20,19,11,17,15,15,16,30,13,3,7,0.109375
5,0,size11_comp0.0_grid0_base_random,11,0.0,random,base,base,7,7,14,4,5,1,1,1,0,1,22,64,0.0,0.5,0.6521739130434783,0.4146341463414634,17,21,12,14,20,16,16,11,36,10,0,7,0.109375
6,0,size11_comp0.0_grid0_base_random,11,0.0,random,base,base,7,7,14,4,5,1,1,1,0,1,35,64,0.0,0.515625,0.5833333333333334,0.42857142857142855,15,10,25,14,16,17,14,16,28,15,0,5,0.078125
7,0,size11_comp0.0_grid0_base_random,11,0.0,random,base,base,7,7,14,4,5,1,1,1,1,0,-1,59,0.0,0.4915254237288136,0.4915254237288136,0.0,18,14,13,14,17,14,11,16,35,15,0,1,0.01694915254237288
8,0,size11_comp0.0_grid0_base_random,11,0.0,random,base,base,7,7,14,4,5,1,1,1,0,0,-1,64,0.0,0.40625,0.40625,0.0,14,20,12,18,9,16,14,24,51,24,0,9,0.140625
9,0,size11_comp0.0_grid0_base_random,11,0.0,random,base,base,7,7,14,4,5,1,1,1,1,0,-1,32,0.0,0.4375,0.4375,0.0,9,5,7,11,8,10,6,7,16,6,0,4,0.125
0,1,size11_comp0.0_grid1_base_random,11,0.0,random,base,base,4,3,7,7,0,1,1,1,1,1,13,17,0.4117647058823529,0.6470588235294118,0.5714285714285714,1.0,4,5,6,2,6,6,1,3,6,3,1,2,0.11764705882352941
1,1,size11_comp0.0_grid1_base_random,11,0.0,random,base,base,4,3,7,7,0,1,1,1,0,0,-1,64,0.0,0.421875,0.421875,0.0,11,19,17,17,12,12,19,20,36,16,0,8,0.125
2,1,size11_comp0.0_grid1_base_random,11,0.0,random,base,base,4,3,7,7,0,1,1,1,0,1,25,64,0.0,0.421875,0.5,0.3684210526315789,15,17,11,21,16,25,9,13,46,10,0,11,0.171875
3,1,size11_comp0.0_grid1_base_random,11,0.0,random,base,base,4,3,7,7,0,1,1,1,1,0,-1,16,0.0,0.5,0.5,0.0,4,5,6,1,5,4,5,1,3,0,0,1,0.0625
4,1,size11_comp0.0_grid1_base_random,11,0.0,random,base,base,4,3,7,7,0,1,1,1,1,1,28,61,0.11475409836065574,0.5245901639344263,0.5517241379310345,0.5,13,15,17,16,12,18,13,17,39,16,2,4,0.06557377049180328
5,1,size11_comp0.0_grid1_base_random,11,0.0,random,base,base,4,3,7,7,0,1,1,1,0,1,7,64,0.0,0.453125,0.625,0.42857142857142855,14,11,18,21,15,13,18,17,45,14,4,8,0.125
6,1,size11_comp0.0_grid1_base_random,11,0.0,random,base,base,4,3,7,7,0,1,1,1,1,1,11,25,0.28,0.64,0.6666666666666666,0.6153846153846154,5,7,9,4,4,7,8,5,12,5,1,0,0.0
7,1,size11_comp0.0_grid1_base_random,11,0.0,random,base,base,4,3,7,7,0,1,1,1,0,1,11,64,0.0,0.484375,0.5,0.4807692307692308,13,17,19,15,17,13,18,15,33,14,1,6,0.09375
8,1,size11_comp0.0_grid1_base_random,11,0.0,random,base,base,4,3,7,7,0,1,1,1,0,0,-1,64,0.0,0.5,0.5,0.0,12,14,19,19,14,14,20,15,33,14,0,3,0.046875
9,1,size11_comp0.0_grid1_base_random,11,0.0,random,base,base,4,3,7,7,0,1,1,1,0,1,19,64,0.0,0.46875,0.5,0.45454545454545453,17,23,14,10,19,12,19,13,30,10,5,6,0.09375
0,2,size11_comp0.0_grid2_base_random,11,0.0,random,base,base,4,10,14,6,4,1,1,1,0,0,-1,64,0.0,0.421875,0.421875,0.0,12,14,14,24,13,15,18,17,44,15,0,9,0.140625
1,2,size11_comp0.0_grid2_base_random,11,0.0,random,base,base,4,10,14,6,4,1,1,1,1,0,-1,19,0.0,0.2631578947368421,0.2631578947368421,0.0,4,8,6,1,5,4,6,3,6,3,0,3,0.15789473684210525
2,2,size11_comp0.0_grid2_base_random,11,0.0,random,base,base,4,10,14,6,4,1,1,1,1,0,-1,27,0.0,0.3333333333333333,0.3333333333333333,0.0,7,8,10,2,10,3,6,7,11,6,0,3,0.1111111111111111
3,2,size11_comp0.0_grid2_base_random,11,0.0,random,base,base,4,10,14,6,4,1,1,1,1,0,-1,26,0.0,0.38461538461538464,0.38461538461538464,0.0,7,8,8,3,5,4,10,6,11,6,0,0,0.0
4,2,size11_comp0.0_grid2_base_random,11,0.0,random,base,base,4,10,14,6,4,1,1,1,0,0,-1,64,0.0,0.46875,0.46875,0.0,17,17,17,13,16,20,14,13,41,11,0,3,0.046875
5,2,size11_comp0.0_grid2_base_random,11,0.0,random,base,base,4,10,14,6,4,1,1,1,0,0,-1,64,0.0,0.421875,0.421875,0.0,14,8,26,16,17,19,12,15,38,14,0,8,0.125
6,2,size11_comp0.0_grid2_base_random,11,0.0,random,base,base,4,10,14,6,4,1,1,1,1,0,-1,60,0.0,0.4,0.4,0.0,12,13,17,18,16,17,16,10,30,9,0,6,0.1
7,2,size11_comp0.0_grid2_base_random,11,0.0,random,base,base,4,10,14,6,4,1,1,1,0,0,-1,64,0.0,0.421875,0.421875,0.0,11,18,15,20,15,16,16,16,42,15,0,8,0.125
8,2,size11_comp0.0_grid2_base_random,11,0.0,random,base,base,4,10,14,6,4,1,1,1,0,0,-1,64,0.0,0.453125,0.453125,0.0,16,17,14,17,17,19,18,9,39,8,0,6,0.09375
9,2,size11_comp0.0_grid2_base_random,11,0.0,random,base,base,4,10,14,6,4,1,1,1,0,1,23,64,0.0,0.5,0.5833333333333334,0.45,12,8,27,17,20,17,11,15,39,13,1,7,0.109375
0,3,size11_comp0.0_grid3_base_random,11,0.0,random,base,base,7,3,10,4,3,1,1,1,0,0,-1,64,0.0,0.484375,0.484375,0.0,11,18,20,15,15,15,15,18,36,18,0,4,0.0625
1,3,size11_comp0.0_grid3_base_random,11,0.0,random,base,base,7,3,10,4,3,1,1,1,0,0,-1,64,0.0,0.40625,0.40625,0.0,15,14,14,21,11,20,16,16,42,13,0,9,0.140625
2,3,size11_comp0.0_grid3_base_random,11,0.0,random,base,base,7,3,10,4,3,1,1,1,0,0,-1,64,0.0,0.5,0.5,0.0,17,17,15,15,12,20,13,18,41,17,0,1,0.015625
3,3,size11_comp0.0_grid3_base_random,11,0.0,random,base,base,7,3,10,4,3,1,1,1,0,0,-1,64,0.0,0.46875,0.46875,0.0,17,16,16,15,12,16,19,16,37,15,0,5,0.078125
4,3,size11_comp0.0_grid3_base_random,11,0.0,random,base,base,7,3,10,4,3,1,1,1,0,0,-1,64,0.0,0.5,0.5,0.0,18,17,14,15,17,18,16,12,37,11,0,1,0.015625
5,3,size11_comp0.0_grid3_base_random,11,0.0,random,base,base,7,3,10,4,3,1,1,1,0,0,-1,64,0.0,0.4375,0.4375,0.0,18,10,23,13,15,14,17,17,36,15,0,12,0.1875
6,3,size11_comp0.0_grid3_base_random,11,0.0,random,base,base,7,3,10,4,3,1,1,1,0,0,-1,64,0.0,0.453125,0.453125,0.0,12,17,23,12,18,14,13,18,33,16,0,6,0.09375
7,3,size11_comp0.0_grid3_base_random,11,0.0,random,base,base,7,3,10,4,3,1,1,1,1,1,19,31,0.3225806451612903,0.5806451612903226,0.6,0.5454545454545454,11,5,9,6,8,7,10,5,15,5,5,5,0.16129032258064516
8,3,size11_comp0.0_grid3_base_random,11,0.0,random,base,base,7,3,10,4,3,1,1,1,0,0,-1,64,0.0,0.4375,0.4375,0.0,10,14,18,22,13,18,15,17,38,14,0,6,0.09375
9,3,size11_comp0.0_grid3_base_random,11,0.0,random,base,base,7,3,10,4,3,1,1,1,0,0,-1,64,0.0,0.328125,0.328125,0.0,18,14,11,21,14,14,16,19,45,12,0,19,0.296875
0,4,size11_comp0.0_grid4_base_random,11,0.0,random,base,base,3,3,6,4,1,1,1,1,0,0,-1,64,0.0,0.484375,0.484375,0.0,14,16,17,17,15,14,13,21,43,19,0,4,0.0625
1,4,size11_comp0.0_grid4_base_random,11,0.0,random,base,base,3,3,6,4,1,1,1,1,0,0,-1,64,0.0,0.390625,0.390625,0.0,18,13,12,21,19,12,13,19,42,17,0,7,0.109375
2,4,size11_comp0.0_grid4_base_random,11,0.0,random,base,base,3,3,6,4,1,1,1,1,1,1,43,54,0.1111111111111111,0.5370370370370371,0.5227272727272727,0.6,13,15,15,11,11,11,12,19,33,18,5,2,0.037037037037037035
3,4,size11_comp0.0_grid4_base_random,11,0.0,random,base,base,3,3,6,4,1,1,1,1,1,0,-1,13,0.0,0.46153846153846156,0.46153846153846156,0.0,2,2,7,2,3,3,3,3,4,2,0,1,0.07692307692307693
4,4,size11_comp0.0_grid4_base_random,11,0.0,random,base,base,3,3,6,4,1,1,1,1,0,1,4,64,0.0,0.46875,0.8,0.4406779661016949,12,17,17,18,13,16,22,12,39,10,4,4,0.0625
