distance_to_goal,n_states,mean_entropy,se_entropy,mean_optimal_entropy,se_optimal_entropy,mean_jsd,se_jsd,accuracy,total_observations,is_capped
1,257,1.2229674297358581,0.03964907109251892,0.0,0.0,0.6029356843679478,0.019512991831803092,0.2529182879377432,1478,False
2,411,1.4191801880317003,0.03035168347556727,0.39659367396593675,0.024159385982755206,0.5131432421388362,0.012991267521941607,0.36009732360097324,3620,False
3,521,1.4632334999530472,0.026378198117184497,0.46641074856046066,0.02187691803405394,0.481234101668978,0.011156344929195426,0.43570057581573896,5979,False
4,574,1.5015212722368128,0.024860819248641544,0.5522648083623694,0.020773371572859613,0.4588292879721971,0.00984153850258187,0.42857142857142855,7224,False
5,565,1.5451344936965938,0.023036283725544324,0.5832031416005786,0.021176521283416964,0.44697829364836744,0.009426505742762084,0.4424778761061947,7434,False
6,498,1.5089179989094368,0.02641555954789481,0.6588247741065223,0.021874290122612355,0.44947489357675124,0.010288526489261977,0.41566265060240964,6437,False
7,421,1.4813248539073176,0.028669388051460312,0.6449163301765485,0.024014514739245145,0.4414497271567079,0.011542006361755282,0.4655581947743468,5090,False
8,344,1.497569530650444,0.031248562147325822,0.6950428415844422,0.02594143351651589,0.44873701635656227,0.012547236155128714,0.43023255813953487,4301,False
9,259,1.4737098031018792,0.0371021397220444,0.7008099421016484,0.029932326638145657,0.45669807302041726,0.014529875021990789,0.4247104247104247,3284,False
10,203,1.4379292504294037,0.04373989059561415,0.639186637941692,0.03477855759314817,0.4558145977934941,0.016182723065145496,0.46798029556650245,2634,False
11,129,1.4593080152354194,0.054187397869082235,0.7920149224918008,0.03740630011020171,0.4295885605174,0.019931728423801778,0.5426356589147286,1489,False
12,72,1.297105764411172,0.08417974353560587,0.6910401041967149,0.05959188231503815,0.45963517000855564,0.028619052857718673,0.375,764,False
13,41,1.219164882546948,0.11239459994842341,0.6971942073346623,0.07644077835364801,0.4283341258917302,0.04466821874366913,0.5853658536585366,411,False
14,17,1.3307689900087523,0.17736613032755838,0.8235294117647058,0.09530501027070382,0.43435706271552177,0.05233367079825946,0.47058823529411764,168,False
15,9,1.2042675841734247,0.24652028044323585,0.5555555555555556,0.17568209223157663,0.5882336172374938,0.11995189601554991,0.3333333333333333,94,False
16,5,1.7265232159504986,0.23057784964441674,0.6,0.2449489742783178,0.523557993501817,0.08676128660066268,0.0,63,False
17,1,1.5,,1.0,,0.15563906222956642,,1.0,4,False
18,1,0.0,,0.0,,1.0,,0.0,1,False
