grid_size,density,reasoning_effort,n_grids,mean_coin_collected_rate,se_coin_collected_rate,mean_full_success_rate,se_full_success_rate,mean_goal_only_rate,se_goal_only_rate,mean_action_accuracy,se_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,mean_spl,se_spl,mean_entropy,mean_jsd,mean_entropy_phase1,mean_entropy_phase2,mean_jsd_phase1,mean_jsd_phase2,mean_ece,mean_start_to_goal_distance,mean_coin_detour_distance,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations
7,0.0,random,10,0.27999999999999997,0.03887301263230201,0.05,0.016666666666666666,0.38,0.061101009266077866,0.43290979711944677,0.01204581621602243,0.43992813476006987,0.39150619842063206,0.016857813210754385,0.006067223105841999,1.6161608624246213,0.41518082743327306,1.5018622770912,0.8969820898699539,0.4373934632036918,0.5406634688602521,0.1811399405667629,4.1,2.3,6.51,6.75,6.409999999999999,6.720000000000001,6.720000000000001,6.44,6.23,6.0,15.719999999999999,4.41,0.75
7,0.2,random,10,0.25,0.060092521257733164,0.01,0.01,0.32,0.07118052168020873,0.37449467396668445,0.011429308755797719,0.37603620603571125,0.3128992664307761,0.00411764705882353,0.00411764705882353,1.5223442248153942,0.4929298962449241,1.4441304654119138,0.8346466761954963,0.48833074809368854,0.5515872793641429,0.1630743837713661,3.8,3.0,6.21,6.840000000000001,6.24,7.209999999999999,6.16,6.57,6.32,6.45,17.95,4.59,0.72
7,0.4,random,10,0.22000000000000003,0.05734883511361751,0.05,0.0223606797749979,0.33999999999999997,0.07023769168568492,0.330730357788188,0.010697882018808893,0.33034464363802435,0.33689208851944696,0.014024731182795699,0.00618771105844096,1.6021473345357662,0.46939163124663236,1.5619559894127801,0.8975472294811452,0.5032630929423932,0.44166144204691876,0.20361323619723817,4.3,2.4,6.590000000000001,6.540000000000001,6.2700000000000005,6.2,6.470000000000001,6.220000000000001,5.83,6.08,18.48,3.6100000000000003,0.9800000000000001
7,0.6,random,10,0.11000000000000001,0.040688518719112346,0.04,0.026666666666666672,0.27999999999999997,0.048989794855663564,0.28633679288381797,0.015198672445732695,0.28106707088556176,0.20198017036726715,0.013508373896543191,0.009208390516202841,1.6426399925854915,0.500375283379934,1.6339879083203506,0.5341503682913322,0.5266153004583279,0.24907791561493592,0.21764816295896586,4.6,4.1,6.88,7.06,7.06,6.640000000000001,6.540000000000001,6.67,6.69,6.74,21.61,3.72,0.41
9,0.0,random,10,0.32,0.06463573143221772,0.06,0.030550504633038936,0.16999999999999998,0.05587684871413403,0.44275201848122353,0.008042048122908919,0.43855727358221336,0.45194486122865396,0.02324159291550596,0.01246445963843843,1.4781866889928654,0.4310318412994441,1.3840048854496472,0.7282455613202421,0.4447147392034415,0.43162873855669465,0.13504361503595497,6.1,2.0,10.43,10.52,10.6,10.639999999999999,10.620000000000001,10.290000000000001,9.9,10.379999999999999,25.6,8.67,0.86
9,0.2,random,10,0.38,0.07717224601860151,0.06,0.0339934634239519,0.19,0.05859465277082315,0.4049771568605884,0.007120463502030675,0.41105667281282143,0.38463827371863346,0.011435635787496984,0.0066950353262682435,1.4513490973302159,0.45988594074072087,1.388161818556875,0.9866695131361984,0.46887079015474364,0.49896778496859834,0.15455247747861753,5.8,2.0,11.11,10.33,10.42,10.8,10.28,10.59,10.57,10.22,28.32,7.840000000000001,1.06
9,0.4,random,10,0.15,0.05,0.0,0.0,0.2,0.06324555320336758,0.3491514120908369,0.010865945649003247,0.34875222376640086,0.20964989396568345,0.0,0.0,1.534482819848104,0.4754765995908349,1.5101454594997787,0.5827911338449352,0.4726610341959748,0.3315629260597654,0.17883668895738494,6.3,2.9,10.879999999999999,10.67,11.0,10.58,10.209999999999999,10.83,10.49,10.6,31.47,7.0,0.45999999999999996
9,0.6,random,10,0.21000000000000002,0.06741249472052227,0.039999999999999994,0.030550504633038936,0.2,0.08944271909999159,0.30343757344578765,0.014035854640256066,0.3001454053431041,0.29650940376237017,0.012527127659574467,0.008405494135063973,1.5401865151934,0.4935349856456934,1.5011068439396997,0.6940793938372286,0.5333850993356292,0.3364929780196464,0.18564869653608046,6.6,3.5,10.53,10.75,11.1,10.790000000000001,10.48,10.78,10.260000000000002,10.65,33.32,5.96,0.69
11,0.0,random,10,0.24,0.07023769168568492,0.09,0.03785938897200183,0.23000000000000004,0.053851648071345036,0.4568947167271789,0.0069102203493525355,0.4575829013642255,0.43278242216927526,0.019280400807219794,0.008156492343163896,1.3453238314094362,0.44703214680134884,1.2683925877953164,0.6072417208161063,0.45903006961128145,0.46722018456010694,0.1319720951290378,4.7,3.4,13.23,13.64,13.819999999999999,13.11,12.89,13.440000000000001,13.02,13.45,32.0,11.75,0.6799999999999999
11,0.2,random,10,0.21000000000000002,0.07218802609235907,0.04,0.02211083193570267,0.17,0.05385164807134504,0.4301692217028923,0.005756929309785897,0.432272368461155,0.2516318726262981,0.007836676984217968,0.004307787194327354,1.4107199511003825,0.4519742987089506,1.3481801600493004,0.5471385348545302,0.4555010857622882,0.3066444473260095,0.11067397080455939,7.1,3.3,14.64,14.169999999999998,14.059999999999999,14.669999999999998,13.73,14.61,13.99,14.209999999999999,37.839999999999996,11.5,0.67
11,0.4,random,10,0.16999999999999998,0.04955356249106169,0.02,0.013333333333333334,0.2,0.0557773351022717,0.3616600756864249,0.009129382468727293,0.3598262843050084,0.5124657844082057,0.004073426573426573,0.0029041859256234946,1.3890248143067294,0.5065646776865369,1.418846986614901,0.6947366889940928,0.4863885455273144,0.4807425954869527,0.14049963575321942,5.7,5.1,14.690000000000001,14.88,13.940000000000001,14.569999999999999,14.969999999999999,13.74,14.35,14.02,41.79,9.64,0.49000000000000005
11,0.6,random,10,0.3,0.07149203529842404,0.05,0.0268741924943285,0.15,0.06540472290116195,0.32713022638681066,0.010526048650449779,0.3233342625824734,0.271460518210889,0.016412162162162163,0.00858609817748482,1.5207165926011725,0.5122989862667013,1.4828304242243162,0.9217424166823849,0.5367717186862586,0.4304326891228965,0.15275308734892928,7.6,3.8,14.809999999999999,14.23,14.45,14.559999999999999,13.95,14.02,14.73,14.35,44.82,8.99,1.9100000000000001
