grid_id,grid_size,density,instance_id,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,num_trajectories,num_coin_collected,num_goal_after_coin,num_goal_only,coin_collected_rate,goal_after_coin_rate,goal_only_rate,full_success_rate,mean_trajectory_length,mean_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,spl,mean_entropy,mean_optimal_entropy,mean_jsd,mean_entropy_phase1,mean_jsd_phase1,mean_entropy_phase2,mean_jsd_phase2,ece,mean_step_accuracy,total_steps,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions
size11_comp0.0_grid0_base_random,11,0.0,0,random,base,base,7,7,14,4,5,1,1,1,10,5,1,3,0.5,0.1,0.3,0.1,58.9,0.4872665534804754,0.5056689342403629,0.43243243243243246,0.02692307692307692,1.458006111257085,0.8266666666666667,0.43356072027327164,1.296504042056237,0.39171723369284495,0.6865286416963031,0.5680900142632178,0.11880829805442812,0.4872665534804754,589,16.3,15.1,14.5,13.0,14.7,15.3,13.6,14.3,31.9,13.1,0.7,5.0
size11_comp0.0_grid1_base_random,11,0.0,1,random,base,base,4,3,7,7,0,1,1,1,10,7,3,1,0.7,0.3,0.1,0.3,50.3,0.4831013916500994,0.5018867924528302,0.46218487394957986,0.08065188042430087,1.2888874953074438,0.78125,0.4060006537614992,1.1687661964228304,0.426292638414498,0.9782679952137052,0.48409162363470576,0.15459405323805236,0.4831013916500994,503,10.8,13.3,13.6,12.6,12.0,12.4,13.0,11.9,28.3,10.2,1.4,4.9
size11_comp0.0_grid2_base_random,11,0.0,2,random,base,base,4,10,14,6,4,1,1,1,10,1,0,4,0.1,0.0,0.4,0.0,51.6,0.4263565891472868,0.42436974789915966,0.45,0.0,1.2996783442938191,0.7837837837837838,0.43845202611854744,1.2485844503234997,0.5043770007326768,0.7992458170107757,0.4869884087317883,0.10401389151389151,0.4263565891472868,516,11.2,11.9,15.4,13.1,13.4,13.4,12.7,11.1,30.1,10.0,0.1,5.3
size11_comp0.0_grid3_base_random,11,0.0,3,random,base,base,7,3,10,4,3,1,1,1,10,1,1,0,0.1,0.1,0.0,0.1,60.7,0.45304777594728174,0.4513422818791946,0.5454545454545454,0.03225806451612903,1.4379738454510935,0.7922077922077922,0.4584859726241325,1.393071445914346,0.4429781092168263,0.48698801581456036,0.4511822877437485,0.12145863532357842,0.45304777594728174,607,14.7,14.2,16.3,15.5,13.5,15.6,15.0,15.6,36.0,13.6,0.5,6.8
size11_comp0.0_grid4_base_random,11,0.0,4,random,base,base,3,3,6,4,1,1,1,1,10,4,3,1,0.4,0.3,0.1,0.3,57.5,0.4678260869565217,0.46357615894039733,0.48360655737704916,0.030470986208691125,1.4170314530299004,0.7746478873239436,0.4284097243881222,1.3046324414607446,0.43195564236252604,1.123304530698683,0.45910404997331694,0.11269350825340006,0.4678260869565217,575,13.7,13.9,15.9,14.0,12.5,12.3,14.4,17.3,36.8,15.6,1.3,4.3
size11_comp0.0_grid5_base_random,11,0.0,5,random,base,base,3,6,9,3,3,1,1,1,10,2,1,4,0.2,0.1,0.4,0.1,40.3,0.4317617866004963,0.42249240121580545,0.47297297297297297,0.0225,1.2707852698002517,0.8169014084507042,0.47873220776792624,1.0939379755779142,0.5332559932088672,0.8124263124451159,0.5221616388505231,0.1572323900668971,0.4317617866004963,403,11.3,10.8,8.9,9.3,8.4,11.5,9.8,9.6,22.0,8.6,1.3,3.8
size11_comp0.0_grid6_base_random,11,0.0,6,random,base,base,4,3,7,3,2,1,1,1,10,1,0,5,0.1,0.0,0.5,0.0,47.7,0.45073375262054505,0.4520255863539446,0.375,0.0,1.2573037840163237,0.8032786885245902,0.44198756067071476,1.2829073479125876,0.46798386539849685,0.0,0.7417292966721748,0.1530788907190978,0.45073375262054505,477,12.0,12.9,11.3,11.5,11.5,10.4,11.9,12.9,29.3,11.2,0.0,4.9
size11_comp0.0_grid7_base_random,11,0.0,7,random,base,base,6,4,10,6,2,1,1,1,10,0,0,1,0.0,0.0,0.1,0.0,61.5,0.44227642276422763,0.44227642276422763,0.0,0.0,1.3896179916219469,0.7543859649122807,0.45732645407168854,1.3896179916219469,0.49423217050988943,0.0,0.0,0.13065478471811176,0.44227642276422763,615,14.2,17.2,15.7,14.4,13.5,15.2,15.0,16.8,40.1,14.6,0.0,6.9
size11_comp0.0_grid8_base_random,11,0.0,8,random,base,base,10,9,19,3,8,1,1,1,10,2,0,3,0.2,0.0,0.3,0.0,48.4,0.48140495867768596,0.47642679900744417,0.5061728395061729,0.0,1.3178450921684695,0.8055555555555556,0.4776776867296987,1.233653001923219,0.453713710180844,0.8421994187620965,0.5128453534614317,0.1225257565147271,0.48140495867768596,484,12.7,12.8,11.2,11.7,12.7,12.4,12.3,10.0,28.6,8.1,1.4,6.3
size11_comp0.0_grid9_base_random,11,0.0,9,random,base,base,7,12,19,7,6,1,1,1,10,1,0,1,0.1,0.0,0.1,0.0,61.1,0.4451718494271686,0.4357638888888889,0.6,0.0,1.316108927148028,0.8,0.4496884616078873,1.2722509847398398,0.44379433239534494,0.34345647651982325,0.44600917227016285,0.14466074288819386,0.4451718494271686,611,15.4,14.3,15.4,16.0,16.7,15.9,12.5,15.0,36.9,12.5,0.1,7.5
