distance_to_goal,n_states,mean_entropy,se_entropy,mean_optimal_entropy,se_optimal_entropy,mean_jsd,se_jsd,accuracy,total_observations,is_capped
1,229,0.516245836613347,0.031008965133274967,0.5484059497848086,0.03322606816866423,0.5522884531357317,0.02552503838237631,0.4847161572052402,1547,False
2,283,0.827582302280774,0.03631482916010898,0.5412364841040365,0.030062099095188508,0.5362683395892619,0.020913332678766057,0.4204946996466431,2400,False
3,307,0.8444005112748012,0.03678664964910728,0.5276872964169381,0.02853924105148054,0.5296553904764542,0.019442517196360476,0.4201954397394137,2994,False
4,287,0.9315715588908574,0.03790964796635079,0.6117942944275999,0.029012446167873927,0.5296129436319262,0.019300597531447524,0.43902439024390244,3412,False
5,254,0.9411520782892029,0.0413960892986089,0.5196850393700787,0.03141035926049735,0.5563072250952956,0.020486127424846637,0.421259842519685,3273,False
6,192,1.0044794769987584,0.04681546268856218,0.5425516927158454,0.03674213949284389,0.5458134758124605,0.022820945824183033,0.3802083333333333,2943,False
7,155,1.057908603583083,0.05072123440781047,0.5043220967834988,0.041242430479518415,0.5322308540579875,0.024853982094685152,0.38064516129032255,2476,False
8,124,0.9229300672490338,0.061195028844165805,0.6612903225806451,0.04267340824297725,0.5153628189280081,0.026568734127038425,0.4435483870967742,2542,False
9,80,0.9886265407307919,0.07702997733676584,0.5875,0.05538630160123792,0.5266090368168534,0.03490392582679781,0.4375,1550,False
10,60,0.9334590623894271,0.08349636895973571,0.6264160416786859,0.06502559837607255,0.5783010384089553,0.03990679753000999,0.36666666666666664,914,False
11,40,1.1168491765299247,0.09011373434391393,0.725,0.07149950690165274,0.5590615274679258,0.041484750985312235,0.325,585,False
12,26,1.0802455795645753,0.11586153949875555,0.6153846153846154,0.09730085108210398,0.5524409358246685,0.05547073836944106,0.38461538461538464,589,False
13,17,1.2070282299924828,0.1289509530756459,0.29411764705882354,0.11391127488845346,0.6867417300135283,0.05101755567933045,0.11764705882352941,580,False
14,13,1.3527601627165922,0.15939438728633928,0.46153846153846156,0.14390989949130542,0.44408153335776557,0.060454051134777115,0.5384615384615384,831,False
15,6,1.6111400857677145,0.1405160697726548,0.5,0.22360679774997896,0.4746187404989621,0.10988675555170313,0.5,365,False
16,2,1.3229063388453348,0.4597857702787038,0.0,0.0,0.2819176602178983,0.12180516591888657,1.0,152,False
17,1,1.60273953953283,,1.0,,0.42852666511494164,,1.0,25,False
18,1,0.0,,1.0,,0.31127812445913283,,1.0,3,False
