grid_size,density,reasoning_effort,n_grids,mean_coin_collected_rate,se_coin_collected_rate,mean_full_success_rate,se_full_success_rate,mean_goal_only_rate,se_goal_only_rate,mean_action_accuracy,se_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,mean_spl,se_spl,mean_entropy,mean_jsd,mean_entropy_phase1,mean_entropy_phase2,mean_optimal_entropy_phase1,mean_optimal_entropy_phase2,mean_jsd_phase1,mean_jsd_phase2,mean_ece,mean_start_to_goal_distance,mean_coin_detour_distance,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_quadrant_fraction_ul,mean_quadrant_fraction_ur,mean_quadrant_fraction_dl,mean_quadrant_fraction_dr,mean_quadrant_entropy,mean_corner_fraction_ul,mean_corner_fraction_ur,mean_corner_fraction_dl,mean_corner_fraction_dr,mean_max_corner_dwell_run,worst_max_corner_dwell_run,mean_preferred_quadrant_contains_start,mean_preferred_quadrant_contains_coin,mean_preferred_corner_contains_start,mean_preferred_corner_contains_goal,mean_preferred_corner_contains_coin
7,0.0,low,10,0.11000000000000001,0.06741249472052228,0.11000000000000001,0.06741249472052228,0.69,0.08749603165604458,0.42056999418702273,0.02588192298728292,0.412894377158098,0.22272727272727275,0.042984440389045656,0.02478204925025731,0.955298509462746,0.5002763397909202,0.9918942945821907,0.12458058909928069,0.6850738477209066,0.1697802197802198,0.5193757847456545,0.08276473418188827,0.2514309601854814,4.1,1.8,6.640000000000001,4.88,3.31,2.71,4.67,3.28,3.8899999999999997,4.6899999999999995,10.8,3.7299999999999995,0.24,0.36033564934377627,0.4472362442596963,0.030991093117408913,0.10143701327911854,0.5465564447602322,0.011914336684186956,0.09911745888834174,0.0,0.0018181818181818182,1.54,4.2,0.54,0.06999999999999999,0.0,0.0,0.0
7,0.2,low,10,0.12,0.0679869268479038,0.1,0.05374838498865701,0.77,0.07753135566408671,0.4171910546440512,0.02757633210779624,0.42054623542521313,0.15465805707185015,0.03349366767414598,0.018054886092574537,0.849124808585786,0.5152588086985556,0.8728580558627931,0.2602568576686773,0.5768776114219087,0.15069444444444444,0.5230460847667942,0.09856611902285284,0.2449847266580099,3.8,2.4,4.8100000000000005,2.5599999999999996,2.4699999999999998,1.9400000000000002,2.63,2.54,2.95,2.66,6.1899999999999995,2.13,0.58,0.15052976190476192,0.19441098813467236,0.37670238095238096,0.2383568690081848,0.4555443791385768,0.0017708333333333332,0.01873336796119054,0.039554093567251467,0.028521031664414016,0.62,2.1,0.45999999999999996,0.12,0.0,0.0,0.0
7,0.4,low,10,0.01,0.01,0.01,0.01,0.95,0.040138648595974324,0.4428814958042865,0.05472532863750588,0.44114848609554863,0.1,0.004285714285714286,0.004285714285714286,0.7841389250584812,0.5445520369459815,0.8100377494387996,0.0,0.387767094017094,0.05,0.5545479518420894,0.015563906222956642,0.32216408639994487,4.1,2.7,3.3200000000000003,2.17,1.7,2.76,2.38,2.11,2.2399999999999998,2.2199999999999998,4.67,1.9100000000000001,0.0,0.32719013442697653,0.1500414673046252,0.31147036297036296,0.1512980352980353,0.451991167431734,0.04010097387320618,0.007833333333333333,0.06155278585793291,0.009228812108607506,0.65,1.6,0.53,0.11000000000000001,0.0,0.0,0.0
7,0.6,low,10,0.0,0.0,0.0,0.0,0.79,0.08359957469322968,0.4545337121880807,0.0607543058169931,0.4545337121880807,0.0,0.0,0.0,0.9335194527290701,0.5243806673149026,0.9335194527290701,0.0,0.4029076479076479,0.0,0.5243806673149026,0.0,0.28033374659984667,4.5,2.5,3.5199999999999996,3.21,3.1,4.08,3.34,3.19,2.96,3.4200000000000004,8.379999999999999,2.63,0.0,0.31812166675995196,0.36989429962660264,0.17308403361344538,0.1089,0.3180607039775704,0.03448703007518797,0.07033831013570715,0.014166666666666666,0.0,1.1300000000000001,3.4,0.5599999999999999,0.04,0.0,0.0,0.0
9,0.0,low,10,0.15,0.09219544457292889,0.05,0.04013864859597432,0.64,0.11944315244779279,0.37881897506729356,0.05994264720000956,0.3902369489705676,0.1817975116357271,0.032772893772893774,0.024277695145818408,0.8096059224631285,0.5644261142285136,0.8332555266098414,0.28282505316150114,0.7534893267651889,0.31166666666666665,0.5506583322028167,0.20779705963345768,0.22954051507579928,4.8,3.4,9.84,4.7,2.96,5.73,8.32,4.720000000000001,4.28,4.91,15.48,3.95,0.51,0.23257573373092771,0.4138844466547954,0.055970238095238115,0.2875695815190388,0.3431399277160977,0.04201426588926589,0.22786910070605723,0.026270631329454862,0.09680177988266223,8.58,23.9,0.45,0.22999999999999998,0.0,0.0,0.0
9,0.2,low,10,0.08,0.05925462944877059,0.06999999999999999,0.04955356249106169,0.9099999999999999,0.060461190490723495,0.26671830756624254,0.05470933523399234,0.2691909424055764,0.18572357723577235,0.03405413803780409,0.02459745614393414,0.7131467461188911,0.6552224011736885,0.7156178137466855,0.163386177245394,0.5969335849069609,0.16666666666666666,0.671581051498534,0.09593455282057803,0.34266057385511206,4.8,2.9,3.9299999999999997,2.67,2.07,2.66,4.029999999999999,2.4899999999999998,2.12,1.69,5.279999999999999,1.35,0.26999999999999996,0.35037248325506976,0.4665150990136101,0.043719877344877346,0.13939254038644283,0.5401906565944162,0.03926208457171955,0.083368312590669,0.003626373626373626,0.010777475212959084,1.95,7.6,0.52,0.2,0.0,0.0,0.0
9,0.4,low,10,0.01,0.01,0.0,0.0,0.9099999999999999,0.0706320670013903,0.4409508804237968,0.05523071945366392,0.44081111641875614,0.04166666666666667,0.0,0.0,0.9307344214831677,0.48886339272105206,0.9437248726487064,0.0779878273861035,0.36838827838827837,0.05714285714285714,0.48446738591189414,0.06185638505949572,0.2902429811713164,5.2,4.0,5.630000000000001,4.1,3.44,3.97,4.930000000000001,3.84,3.46,3.91,10.129999999999999,3.2600000000000002,0.06999999999999999,0.20488492863345806,0.2543505386770093,0.24088083860583862,0.23988369408369406,0.4049318750396629,0.05641588020281132,0.08514087354656705,0.11344384489086376,0.08347752506799822,4.3100000000000005,10.7,0.6799999999999999,0.01,0.0,0.0,0.0
9,0.6,low,10,0.03,0.030000000000000002,0.02,0.02,0.8099999999999999,0.10796089827134434,0.4658865688032704,0.05325889684607553,0.4650848101067749,0.07272727272727272,0.009015151515151516,0.009015151515151516,0.9689648862823728,0.4672679967216832,0.9814023351808331,0.08469506943242516,0.43747550867112056,0.0,0.4711941687913533,0.015557508885372315,0.1999046951752696,4.7,4.2,5.8100000000000005,3.65,4.15,4.6899999999999995,4.92,3.7399999999999998,4.279999999999999,4.36,11.66,3.63,0.01,0.40891418573469585,0.19177649726429022,0.3246141868058837,0.07469513019513019,0.4908054880906447,0.05406957817776992,0.020127064763396228,0.09300421727395411,0.011260683760683761,1.7899999999999998,5.1,0.5,0.13999999999999999,0.0,0.0,0.0
11,0.0,low,10,0.11000000000000001,0.05044248650140519,0.04,0.04,0.37,0.12387269450708031,0.29515097747471847,0.0688113440206472,0.29834934447555794,0.11528667621696646,0.025380952380952383,0.025380952380952383,0.7388404028761058,0.604368508231234,0.7546236938661341,0.20050690882128994,0.8128968798086446,0.24965034965034966,0.5833179981307026,0.232786996838776,0.2661257702894595,6.8,2.9,20.279999999999998,2.8400000000000003,4.83,16.08,21.57,9.51,7.18,4.76,33.08,3.8299999999999996,0.14,0.07797849405884688,0.604877940684992,0.1159773046011436,0.20116626065501753,0.5019425563468775,0.015289747279239064,0.37750157828282827,0.002307692307692308,0.038906748817349415,19.880000000000003,34.9,0.4,0.09,0.0,0.0,0.0
11,0.2,low,10,0.01,0.01,0.0,0.0,0.58,0.1451436070471816,0.27552756442472437,0.04922347546880331,0.2762658354416332,0.023076923076923078,0.0,0.0,0.88347367920722,0.6227753586274319,0.8966988238861455,0.04235972423779179,0.6661458079143602,0.047058823529411764,0.6200103535999612,0.06311842032447026,0.2649928867609567,7.4,3.4,16.43,4.529999999999999,5.88,9.78,14.309999999999999,8.17,7.24,5.9,26.869999999999997,4.21,0.0,0.4208790223428057,0.43553206867054667,0.11505736993746148,0.028531539049186105,0.5080532845353382,0.08690975377755047,0.1647553998826251,0.03771157365179104,0.0,8.76,20.6,0.43,0.1,0.0,0.0,0.0
