grid_id,grid_size,density,instance_id,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,num_trajectories,num_coin_collected,num_goal_after_coin,num_goal_only,coin_collected_rate,goal_after_coin_rate,goal_only_rate,full_success_rate,mean_trajectory_length,mean_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,spl,mean_entropy,mean_optimal_entropy,mean_jsd,mean_entropy_phase1,mean_optimal_entropy_phase1,mean_jsd_phase1,mean_entropy_phase2,mean_optimal_entropy_phase2,mean_jsd_phase2,ece,mean_step_accuracy,total_steps,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions,mean_quadrant_fraction_ul,mean_quadrant_fraction_ur,mean_quadrant_fraction_dl,mean_quadrant_fraction_dr,preferred_quadrant,mean_quadrant_entropy,mean_corner_fraction_ul,mean_corner_fraction_ur,mean_corner_fraction_dl,mean_corner_fraction_dr,preferred_corner,mean_max_corner_dwell_run,worst_max_corner_dwell_run,mean_preferred_quadrant_contains_start,mean_preferred_quadrant_contains_coin,mean_preferred_corner_contains_start,mean_preferred_corner_contains_goal,mean_preferred_corner_contains_coin
size11_comp0.0_grid0_base_low,11,0.0,0,low,base,base,5,3,8,6,1,1,1,1,10,4,4,6,0.4,0.4,0.6,0.4,15.4,0.5909090909090909,0.5615384615384615,0.75,0.2538095238095238,0.5870768933768544,0.6842105263157895,0.38846490894134983,0.5961208365100725,0.7272727272727273,0.42243424141273017,0.527386868697615,0.4,0.16426731463023928,0.08994171033644716,0.5909090909090909,154,7.0,0.4,3.5,4.5,5.5,3.3,3.5,2.1,4.4,2.0,1.1,1.6,0.16493055555555555,0.5820725108225108,0.03736111111111111,0.2156358225108225,UR,1.0558440469461792,0.0,0.08282828282828283,0.0,0.0,UR,1.7,11,0.0,0.0,0.0,0.0,0.0
size11_comp0.0_grid1_base_low,11,0.0,1,low,base,base,3,4,7,7,0,1,1,1,10,0,0,0,0.0,0.0,0.0,0.0,64.0,0.1328125,0.1328125,0.0,0.0,0.8910255333167135,0.8148148148148148,0.7432928601733363,0.8910255333167135,0.8148148148148148,0.7432928601733363,0.0,0.0,0.0,0.35081144259097974,0.1328125,640,40.4,2.4,6.1,15.1,30.9,14.2,11.9,6.0,52.2,4.7,0.0,40.1,0.010145924850587282,0.9898540751494128,0.0,0.0,UR,0.0625499006140122,0.0,0.8125,0.0,0.0,UR,42.5,59,0.0,0.0,0.0,0.0,0.0
size11_comp0.0_grid2_base_low,11,0.0,2,low,base,base,9,3,12,10,1,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,11.0,0.7727272727272727,0.7727272727272727,0.0,0.0,0.6544196371333287,0.75,0.2142929150714291,0.6544196371333287,0.75,0.2142929150714291,0.0,0.0,0.0,0.17098214285714286,0.7727272727272727,110,5.1,0.1,0.4,5.4,3.4,3.1,3.0,0.5,0.5,0.5,0.0,0.0,0.0,0.1453174603174603,0.5057142857142857,0.348968253968254,DL,1.1555859835360127,0.0,0.0,0.0,0.0,,0.0,0,0.7,0.0,0.0,0.0,0.0
size11_comp0.0_grid3_base_low,11,0.0,3,low,base,base,8,12,20,10,5,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,16.9,0.3254437869822485,0.3254437869822485,0.0,0.0,0.5575423110514265,0.8787878787878788,0.7462903750450053,0.5575423110514265,0.8787878787878788,0.7462903750450053,0.0,0.0,0.0,0.2526804844986663,0.3254437869822485,169,8.6,0.5,5.8,2.0,6.8,3.5,3.3,2.3,4.4,1.7,0.0,1.9,0.41205235081396074,0.0,0.5879476491860393,0.0,DL,0.9070960196739055,0.10669819344741945,0.0,0.023076923076923078,0.0,UL,1.9,4,0.6,0.0,0.0,0.0,0.0
size11_comp0.0_grid4_base_low,11,0.0,4,low,base,base,11,7,18,4,7,1,1,1,10,0,0,3,0.0,0.0,0.3,0.0,46.8,0.2777777777777778,0.2777777777777778,0.0,0.0,1.0559377339971987,0.875,0.47753249297271516,1.0559377339971987,0.875,0.47753249297271516,0.0,0.0,0.0,0.33200357829472493,0.2777777777777778,468,12.0,5.7,5.2,23.9,19.8,10.1,9.4,6.5,35.2,5.7,0.0,21.8,0.0,0.5022418015733103,0.0,0.4977581984266896,UR,0.5386522571317844,0.0,0.253125,0.0,0.16614583333333333,UR,13.3,52,0.4,0.0,0.0,0.0,0.0
size11_comp0.0_grid5_base_low,11,0.0,5,low,base,base,4,3,7,7,0,1,1,1,10,3,0,0,0.3,0.0,0.0,0.0,64.0,0.16875,0.18936170212765957,0.11176470588235295,0.0,0.8591180636874223,0.5925925925925926,0.5636923364513075,0.9656211993751626,0.5882352941176471,0.3992373559759023,0.6780627330182638,0.6,0.8432658032594963,0.24419495251849116,0.16875,640,18.2,6.1,2.7,37.0,29.7,15.8,11.5,6.0,53.8,3.7,0.0,42.1,0.0,0.9966666666666667,0.0,0.003333333333333333,UR,0.021084230031853213,0.0,0.7390625,0.0,0.0,UR,39.4,57,1.0,0.0,0.0,0.0,0.0
size11_comp0.0_grid6_base_low,11,0.0,6,low,base,base,6,3,9,3,3,1,1,1,10,0,0,1,0.0,0.0,0.1,0.0,58.1,0.11359724612736662,0.11359724612736662,0.0,0.0,0.9017654271390639,0.8636363636363636,0.6834563500390506,0.9017654271390639,0.8636363636363636,0.6834563500390506,0.0,0.0,0.0,0.30985167873736397,0.11359724612736662,581,40.5,1.9,4.7,11.0,32.6,11.0,8.2,5.3,49.3,4.3,0.0,40.0,0.009093982420554429,0.9909060175794455,0.0,0.0,UR,0.053236082120237095,0.0,0.70625,0.0,0.0,UR,41.6,60,0.0,0.0,0.0,0.0,0.0
size11_comp0.0_grid7_base_low,11,0.0,7,low,base,base,3,12,15,15,0,1,1,1,10,1,0,5,0.1,0.0,0.5,0.0,48.2,0.16804979253112035,0.16864608076009502,0.16393442622950818,0.0,0.4577335042499229,0.7936507936507936,0.7394093696337726,0.5329034278899961,0.8076923076923077,0.7973363102058777,0.10238477431503146,0.7272727272727273,0.4655729232929123,0.22659964806999053,0.16804979253112035,482,0.5,7.7,3.7,36.3,31.5,4.9,4.6,6.2,32.2,5.4,0.0,25.8,0.18356212694781085,0.08655702425468179,0.028749999999999998,0.7011308487975072,DR,0.9779900007936714,0.04619927934497119,0.0,0.0,0.1237549881734941,DR,5.1,23,0.1,0.1,0.0,0.0,0.0
size11_comp0.0_grid8_base_low,11,0.0,8,low,base,base,12,9,21,3,9,1,1,1,10,0,0,0,0.0,0.0,0.0,0.0,64.0,0.19375,0.19375,0.0,0.0,0.7695524875142686,1.0,0.8128809845290846,0.7695524875142686,1.0,0.8128809845290846,0.0,0.0,0.0,0.45673222916283096,0.19375,640,39.3,2.0,10.4,12.2,29.9,16.7,9.9,6.3,57.1,5.2,0.0,37.5,0.0,1.0,0.0,0.0,UR,0.0,0.0,0.50625,0.0,0.0,UR,13.8,25,1.0,0.0,0.0,0.0,0.0
size11_comp0.0_grid9_base_low,11,0.0,9,low,base,base,6,3,9,3,3,1,1,1,10,3,0,2,0.3,0.0,0.2,0.0,52.0,0.2076923076923077,0.2478386167146974,0.12716763005780346,0.0,0.6542324372948575,0.8,0.6743724894552893,0.6213483447341098,0.8235294117647058,0.5364260958818952,0.6972347121819892,0.7692307692307693,0.8547639272051124,0.22745983582795729,0.2076923076923077,520,31.2,1.6,5.8,13.4,25.6,12.5,6.5,6.4,41.7,5.1,0.3,32.1,0.0,0.7551638504864311,0.0,0.24483614951356886,UR,0.24738704262111888,0.0,0.675,0.0,0.09916666666666667,UR,39.5,58,0.2,0.8,0.0,0.0,0.0
