trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,reached_goal,coin_collected,coin_collection_step,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate,preferred_quadrant,quadrant_entropy,quadrant_count_ul,quadrant_count_ur,quadrant_count_dl,quadrant_count_dr,quadrant_count_midline,quadrant_fraction_ul,quadrant_fraction_ur,quadrant_fraction_dl,quadrant_fraction_dr,quadrant_fraction_midline,preferred_corner,corner_fraction_ul,corner_fraction_ur,corner_fraction_dl,corner_fraction_dr,max_corner_dwell_run,start_quadrant,terminal_quadrant,coin_quadrant,preferred_quadrant_contains_start,preferred_quadrant_contains_coin,preferred_corner_contains_start,preferred_corner_contains_goal,preferred_corner_contains_coin
0,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,7,11,18,8,5,1,1,1,1,0,-1,8,0.0,0.25,0.25,0.0,0,5,0,3,3,2,2,0,0,0,0,0,0.0,UR,-0.0,0,7,0,0,1,0.0,1.0,0.0,0.0,0.125,UR,0.0,0.125,0.0,0.0,1,ur,dr,ul,1,0,0,0,0
1,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,7,11,18,8,5,1,1,1,1,0,-1,8,0.0,0.25,0.25,0.0,0,5,0,3,6,0,1,0,0,0,0,0,0.0,UR,-0.0,0,7,0,0,1,0.0,1.0,0.0,0.0,0.125,UR,0.0,0.375,0.0,0.0,3,ur,dr,ul,1,0,0,0,0
2,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,7,11,18,8,5,1,1,1,1,0,-1,8,0.0,0.25,0.25,0.0,0,5,0,3,5,1,1,0,0,0,0,0,0.0,UR,-0.0,0,7,0,0,1,0.0,1.0,0.0,0.0,0.125,,0.0,0.0,0.0,0.0,0,ur,dr,ul,1,0,0,0,0
3,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,7,11,18,8,5,1,1,1,1,0,-1,9,0.0,0.2222222222222222,0.2222222222222222,0.0,0,5,0,4,3,2,3,0,1,0,0,1,0.1111111111111111,UR,-0.0,0,8,0,0,1,0.0,1.0,0.0,0.0,0.1111111111111111,UR,0.0,0.3333333333333333,0.0,0.0,3,ur,dr,ul,1,0,0,0,0
5,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,7,11,18,8,5,1,1,1,1,0,-1,9,0.0,0.2222222222222222,0.2222222222222222,0.0,0,5,0,4,2,3,3,0,1,0,0,1,0.1111111111111111,UR,-0.0,0,7,0,0,2,0.0,1.0,0.0,0.0,0.2222222222222222,,0.0,0.0,0.0,0.0,0,ur,dr,ul,1,0,0,0,0
6,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,7,11,18,8,5,1,1,1,1,0,-1,9,0.0,0.2222222222222222,0.2222222222222222,0.0,0,5,0,4,3,2,3,0,1,0,0,1,0.1111111111111111,UR,-0.0,0,8,0,0,1,0.0,1.0,0.0,0.0,0.1111111111111111,UR,0.0,0.2222222222222222,0.0,0.0,2,ur,dr,ul,1,0,0,0,0
7,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,7,11,18,8,5,1,1,1,1,0,-1,8,0.0,0.25,0.25,0.0,0,5,0,3,4,1,2,0,0,0,0,0,0.0,UR,-0.0,0,7,0,0,1,0.0,1.0,0.0,0.0,0.125,UR,0.0,0.375,0.0,0.0,3,ur,dr,ul,1,0,0,0,0
8,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,7,11,18,8,5,1,1,1,1,0,-1,8,0.0,0.25,0.25,0.0,0,5,0,3,6,0,1,0,0,0,0,0,0.0,UR,-0.0,0,7,0,0,1,0.0,1.0,0.0,0.0,0.125,UR,0.0,0.375,0.0,0.0,3,ur,dr,ul,1,0,0,0,0
9,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,7,11,18,8,5,1,1,1,1,0,-1,8,0.0,0.25,0.25,0.0,0,5,0,3,2,2,3,0,0,0,0,0,0.0,UR,-0.0,0,6,0,0,2,0.0,1.0,0.0,0.0,0.25,,0.0,0.0,0.0,0.0,0,ur,dr,ul,1,0,0,0,0
0,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,4,4,8,4,2,1,1,1,1,0,-1,4,0.0,0.5,0.5,0.0,0,0,0,4,3,0,0,0,0,0,0,0,0.0,UL,0.0,0,0,0,0,4,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0,midline,midline,ur,0,0,0,0,0
