distance_to_goal,n_states,mean_entropy,se_entropy,mean_optimal_entropy,se_optimal_entropy,mean_jsd,se_jsd,accuracy,total_observations,is_capped
1,215,0.3188153356215357,0.02673658362264652,0.5589298837276386,0.03452967440403059,0.5849379702549801,0.027127095454130952,0.4790697674418605,1339,False
2,264,0.5204356847535417,0.03074072150650066,0.5347345643994027,0.031187969638753938,0.5567436697705082,0.02467713282217701,0.48863636363636365,1513,False
3,269,0.46501694492373713,0.030291633657862926,0.5827319237998642,0.030755130657165192,0.5074289332077692,0.02281374260052511,0.5464684014869888,1531,False
4,230,0.4843181537087545,0.035237555131167074,0.5442170652236622,0.033442055057874356,0.4872839030640481,0.024972299346441396,0.5826086956521739,1245,False
5,170,0.5173566083020038,0.0386266279470257,0.5549402941346154,0.039881237025377034,0.4595116006653897,0.028008152711578492,0.5882352941176471,914,False
6,126,0.5589241276643364,0.045966452947687,0.5344432539911478,0.04718023258113108,0.46151511121114963,0.0329445842520325,0.6190476190476191,699,False
7,91,0.5404002002142212,0.05259775247779557,0.5009336538540786,0.05376776396965076,0.4593770459846795,0.03799659222806433,0.5934065934065934,523,False
8,55,0.6618522265349156,0.07775254386267288,0.38181818181818183,0.06611340675536795,0.3915569572407867,0.047800205102052774,0.6545454545454545,372,False
9,32,0.5299828634241943,0.10198452551680905,0.46875,0.08962708359030336,0.38439141781223185,0.06622853397457458,0.65625,189,False
10,16,0.6069358657570454,0.12690653665576304,0.375,0.12499999999999999,0.2922138931628306,0.07783729241420627,0.8125,119,False
11,4,0.6872414593155274,0.2411535384772949,0.25,0.25,0.08847007396233895,0.03449571574633073,1.0,57,False
12,3,0.6362159798067063,0.34524673416541884,0.0,0.0,0.12983921913174082,0.08198635792498557,1.0,46,False
13,4,0.690707974335621,0.24433345392837874,0.0,0.0,0.11569701336470911,0.04224729446691472,1.0,50,False
14,3,1.0508980975438291,0.2020503868397002,0.3333333333333333,0.33333333333333337,0.20776462174059349,0.05970439642324206,1.0,44,False
15,1,0.9852281360342515,,1.0,,0.0037024515418363386,,1.0,14,False
