grid_size,density,reasoning_effort,n_grids,mean_coin_collected_rate,se_coin_collected_rate,mean_full_success_rate,se_full_success_rate,mean_goal_only_rate,se_goal_only_rate,mean_action_accuracy,se_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,mean_spl,se_spl,mean_entropy,mean_jsd,mean_entropy_phase1,mean_entropy_phase2,mean_optimal_entropy_phase1,mean_optimal_entropy_phase2,mean_jsd_phase1,mean_jsd_phase2,mean_ece,mean_start_to_goal_distance,mean_coin_detour_distance,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_quadrant_fraction_ul,mean_quadrant_fraction_ur,mean_quadrant_fraction_dl,mean_quadrant_fraction_dr,mean_quadrant_entropy,mean_corner_fraction_ul,mean_corner_fraction_ur,mean_corner_fraction_dl,mean_corner_fraction_dr,mean_max_corner_dwell_run,worst_max_corner_dwell_run,mean_preferred_quadrant_contains_start,mean_preferred_quadrant_contains_coin,mean_preferred_corner_contains_start,mean_preferred_corner_contains_goal,mean_preferred_corner_contains_coin
7,0.0,medium,10,0.01,0.01,0.01,0.01,0.99,0.009999999999999998,0.44910213568349616,0.09771889082737359,0.4459852525666131,0.1,0.01,0.01,0.44540145880621723,0.584456740303521,0.45348017323156986,0.0,0.8677777777777778,0.075,0.5931663999735699,0.023345859334434962,0.23995524115260958,4.6,1.8,2.18,1.28,1.52,0.51,2.15,1.1099999999999999,0.9299999999999999,0.30000000000000004,0.47000000000000003,0.30000000000000004,0.0,0.32985317460317465,0.27903968253968253,0.08810714285714286,0.223,0.4106539994971995,0.008269230769230768,0.039214285714285715,0.011625874125874125,0.016285714285714282,0.38,0.7,0.4,0.0,0.0,0.0,0.0
7,0.2,medium,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5360675190444295,0.06723793116528072,0.5360675190444295,0.0,0.0,0.0,0.3742107677708888,0.5614387167697896,0.3742107677708888,0.0,0.6227339236531785,0.0,0.5614387167697896,0.0,0.24760519110519114,4.1,3.0,0.9400000000000001,0.99,1.04,1.7600000000000002,1.92,0.75,0.97,0.09,0.45999999999999996,0.08,0.0,0.3161904761904762,0.3308095238095238,0.14133333333333334,0.18166666666666664,0.3996803483293728,0.058280525030525034,0.024535103785103787,0.0375,0.0016666666666666666,0.48,1.1,0.5599999999999999,0.0,0.0,0.0,0.0
7,0.4,medium,10,0.0,0.0,0.0,0.0,1.0,0.0,0.40233144088099415,0.06010843424572759,0.40233144088099415,0.0,0.0,0.0,0.4248297177679078,0.6325007237900716,0.4248297177679078,0.0,0.29957558781088195,0.0,0.6325007237900716,0.0,0.24088081259204253,4.4,2.5,2.16,1.05,1.3900000000000001,0.8800000000000001,2.0599999999999996,1.1700000000000002,0.85,0.4,0.8099999999999999,0.38,0.0,0.2953968253968254,0.3292301587301587,0.14295238095238097,0.23242063492063494,0.44604897602222743,0.0637979797979798,0.04538095238095238,0.02883333333333334,0.03566666666666667,0.6900000000000001,0.9,0.61,0.04,0.0,0.0,0.0
7,0.6,medium,10,0.02,0.02,0.02,0.02,0.9800000000000001,0.019999999999999997,0.49686603952484293,0.057728339864885424,0.49422267317571666,0.09,0.015476190476190477,0.015476190476190477,0.532325185944969,0.4792448644759421,0.5491390275936083,0.016666666666666666,0.26861471861471864,0.03333333333333333,0.48938248574325477,0.01352130207431888,0.2583549369749077,6.0,1.8,2.7800000000000002,0.9299999999999999,3.19,0.82,3.0300000000000002,1.64,1.54,0.51,1.41,0.43,0.02,0.22380699855699854,0.20459740259740258,0.24495274170274167,0.24664285714285716,0.670432737561178,0.018760142635142633,0.02095544733044733,0.018754079254079254,0.009409090909090909,0.39,0.9,0.27999999999999997,0.15,0.0,0.0,0.0
9,0.0,medium,10,0.030000000000000006,0.01527525231651947,0.030000000000000006,0.01527525231651947,0.97,0.015275252316519475,0.44638776744806485,0.09769524438722207,0.439466242531079,0.3,0.030000000000000006,0.01527525231651947,0.4035356138042034,0.6043794661733228,0.4285343775878124,0.0,0.7681012778071602,0.15238095238095237,0.6304692432755905,0.047432857060439294,0.173460631299917,6.3,2.2,1.9,2.2199999999999998,1.6600000000000001,1.78,3.2299999999999995,1.58,1.38,0.37,0.56,0.36,0.01,0.2917106227106227,0.19163492063492066,0.21832905982905984,0.2383253968253968,0.7141132411675088,0.0647150072150072,0.023526201868307135,0.03556349206349206,0.06258405483405483,1.21,2.2,0.51,0.15,0.0,0.0,0.0
9,0.2,medium,10,0.02,0.013333333333333336,0.02,0.013333333333333336,0.9800000000000001,0.01333333333333333,0.47974728348481327,0.0748392124950765,0.4743711716342644,0.2,0.015714285714285715,0.010952380952380951,0.5538723255216237,0.5387520577667473,0.5782503565334978,0.0,0.6648922107374701,0.08095238095238096,0.5544777651854511,0.025198705313358372,0.25604481712071,4.9,3.5,2.18,1.51,1.07,1.64,2.19,1.3599999999999999,1.25,0.6,0.93,0.58,0.01,0.36944805194805197,0.10635606060606059,0.2884808802308802,0.2357150072150072,0.4377520747393485,0.0352930402930403,0.022057692307692306,0.02854578754578755,0.05376205167381638,1.0399999999999998,2.9,0.39,0.13999999999999999,0.0,0.0,0.0
9,0.4,medium,10,0.02,0.013333333333333334,0.02,0.013333333333333334,0.9800000000000001,0.013333333333333332,0.4548520586538839,0.09632375992291499,0.4468977883381626,0.18571428571428572,0.01566666666666667,0.010588253449512395,0.4673089820397527,0.5070144279573295,0.4889470503151543,0.02,0.399439672634501,0.03666666666666667,0.5434806140710371,0.017639093719350858,0.25464561887894915,5.2,3.1,2.0100000000000002,2.16,1.54,1.6199999999999999,2.4099999999999997,1.4100000000000001,1.45,1.06,1.56,1.03,0.03,0.2298546176046176,0.18877572427572428,0.32375,0.25761965811965815,0.3619757955475525,0.06533008658008657,0.03055699855699856,0.04906227106227106,0.04604108309990663,1.34,3.2,0.6,0.11000000000000001,0.0,0.0,0.0
9,0.6,medium,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5268417569892374,0.07772325769731434,0.5268417569892374,0.0,0.0,0.0,0.5193571643463943,0.44755455558507296,0.5193571643463943,0.0,0.34988036922213206,0.0,0.44755455558507296,0.0,0.24283753585950252,5.1,4.3,1.1700000000000002,2.79,1.29,1.97,2.7199999999999998,1.3699999999999999,1.45,0.67,1.72,0.63,0.0,0.1855277777777778,0.5111291486291487,0.13153679653679654,0.17180627705627707,0.4957402619549206,0.03006179931179931,0.07399420024420024,0.1,0.04144117647058824,1.4,2.7,0.6,0.0,0.0,0.0,0.0
11,0.0,medium,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5050721792846061,0.07509376523343739,0.5050721792846061,0.0,0.0,0.0,0.5390409541181699,0.5602895727514394,0.5390409541181699,0.0,0.8529385647032706,0.0,0.5602895727514394,0.0,0.25283406385087054,5.3,3.4,1.103730158730159,2.199563492063492,1.7100000000000002,2.09,2.499484126984127,1.5259126984126983,1.4743650793650793,0.5768650793650794,0.9726984126984128,0.5476984126984127,0.0,0.1858157596371882,0.3702664399092971,0.009166666666666667,0.2847511337868481,0.3140883517162393,0.009433760683760683,0.0900518077601411,0.0,0.018240740740740745,0.925,2.1,0.5066666666666666,0.0,0.0,0.0,0.0
11,0.2,medium,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5505434739112329,0.07041565257996686,0.5505434739112329,0.0,0.0,0.0,0.47251039744419554,0.5011322617846452,0.47251039744419554,0.0,0.713920683308672,0.0,0.5011322617846452,0.0,0.12605216042032347,6.2,4.4,2.781944444444444,1.9208333333333332,1.5055555555555558,2.415277777777778,3.7444444444444445,1.4791666666666665,1.5083333333333333,0.8680555555555556,1.2958333333333332,0.8319444444444445,0.0,0.21458423520923522,0.16520207506727116,0.24628718503718505,0.3739265046863086,0.5624561660462444,0.050925925925925916,0.01395165473596846,0.03313811188811189,0.0034754642597779857,0.6888888888888889,1.4,0.6472222222222223,0.034722222222222224,0.0,0.0,0.0
