grid_id,grid_size,density,instance_id,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,num_trajectories,num_coin_collected,num_goal_after_coin,num_goal_only,coin_collected_rate,goal_after_coin_rate,goal_only_rate,full_success_rate,mean_trajectory_length,mean_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,spl,mean_entropy,mean_optimal_entropy,mean_jsd,mean_entropy_phase1,mean_optimal_entropy_phase1,mean_jsd_phase1,mean_entropy_phase2,mean_optimal_entropy_phase2,mean_jsd_phase2,ece,mean_step_accuracy,total_steps,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions,mean_quadrant_fraction_ul,mean_quadrant_fraction_ur,mean_quadrant_fraction_dl,mean_quadrant_fraction_dr,preferred_quadrant,mean_quadrant_entropy,mean_corner_fraction_ul,mean_corner_fraction_ur,mean_corner_fraction_dl,mean_corner_fraction_dr,preferred_corner,mean_max_corner_dwell_run,worst_max_corner_dwell_run,mean_preferred_quadrant_contains_start,mean_preferred_quadrant_contains_coin,mean_preferred_corner_contains_start,mean_preferred_corner_contains_goal,mean_preferred_corner_contains_coin
size11_comp0.0_grid0_base_medium,11,0.0,0,medium,base,base,7,11,18,8,5,1,1,1,9,0,0,9,0.0,0.0,1.0,0.0,8.333333333333334,0.24,0.24,0.0,0.0,0.45703933032126787,0.7647058823529411,0.7600924519443544,0.45703933032126787,0.7647058823529411,0.7600924519443544,0.0,0.0,0.0,0.31045751633986923,0.24,75,0.0,5.0,0.0,3.3333333333333335,3.7777777777777777,1.4444444444444444,2.111111111111111,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,UR,0.0,0.0,0.20061728395061726,0.0,0.0,UR,1.6666666666666667,3,1.0,0.0,0.0,0.0,0.0
size11_comp0.0_grid1_base_medium,11,0.0,1,medium,base,base,4,4,8,4,2,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,4.4,0.5,0.5,0.0,0.0,0.2399161644869189,0.8333333333333334,0.5723057288962331,0.2399161644869189,0.8333333333333334,0.5723057288962331,0.0,0.0,0.0,0.2348484848484848,0.5,44,0.1,0.1,0.1,4.1,2.9,0.1,0.3,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.1,DR,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0
size11_comp0.0_grid2_base_medium,11,0.0,2,medium,base,base,6,4,10,6,2,1,1,1,7,0,0,7,0.0,0.0,1.0,0.0,8.285714285714286,0.6206896551724138,0.6206896551724138,0.0,0.0,0.6066811741090334,0.8461538461538461,0.4576199786215908,0.6066811741090334,0.8461538461538461,0.4576199786215908,0.0,0.0,0.0,0.3281135531135531,0.6206896551724138,58,4.142857142857143,1.1428571428571428,3.0,0.0,2.7142857142857144,2.4285714285714284,1.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.0,0.4122448979591837,0.3554421768707483,0.0,0.23231292517006802,UL,1.3905812049472996,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0
size11_comp0.0_grid3_base_medium,11,0.0,3,medium,base,base,7,5,12,10,1,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,10.6,0.5754716981132075,0.5754716981132075,0.0,0.0,0.3697629835348292,0.8846153846153846,0.5579517280654599,0.3697629835348292,0.8846153846153846,0.5579517280654599,0.0,0.0,0.0,0.08017399267399265,0.5754716981132075,106,0.1,3.1,0.0,7.3,5.0,1.9,2.5,0.0,0.4,0.0,0.0,0.3,0.44591269841269837,0.0,0.06944444444444445,0.48464285714285715,DR,1.075727141679397,0.0,0.0,0.0,0.0,,0.0,0,0.4,0.0,0.0,0.0,0.0
size11_comp0.0_grid4_base_medium,11,0.0,4,medium,base,base,9,5,14,4,5,1,1,1,6,0,0,6,0.0,0.0,1.0,0.0,10.833333333333334,0.6615384615384615,0.6615384615384615,0.0,0.0,0.8356519220503823,0.8571428571428571,0.4280382040641488,0.8356519220503823,0.8571428571428571,0.4280382040641488,0.0,0.0,0.0,0.304421768707483,0.6615384615384615,65,1.8333333333333333,4.666666666666667,1.5,2.6666666666666665,3.0,2.6666666666666665,1.6666666666666667,2.1666666666666665,3.6666666666666665,2.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,UR,0.0,0.0,0.26031746031746034,0.0,0.0,UR,3.3333333333333335,10,1.0,0.0,0.0,0.0,0.0
size11_comp0.0_grid5_base_medium,11,0.0,5,medium,base,base,4,7,11,3,4,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.2774582855287542,1.0,1.0,0.2774582855287542,1.0,1.0,0.0,0.0,0.0,0.31333333333333335,0.0,30,0.0,1.0,0.0,2.0,0.7,0.4,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,DR,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0
size11_comp0.0_grid6_base_medium,11,0.0,6,medium,base,base,9,7,16,4,6,1,1,1,9,0,0,9,0.0,0.0,1.0,0.0,6.222222222222222,0.6607142857142857,0.6607142857142857,0.0,0.0,0.5991836202642877,0.8181818181818182,0.5154079862829982,0.5991836202642877,0.8181818181818182,0.5154079862829982,0.0,0.0,0.0,0.29184704184704185,0.6607142857142857,56,1.1111111111111112,1.1111111111111112,4.0,0.0,2.4444444444444446,1.1111111111111112,1.1111111111111112,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,0.0,0.0,0.0,0.022222222222222223,0.9777777777777779,DR,0.08021423276526247,0.0,0.0,0.0,0.18240740740740743,DR,1.0,1,1.0,0.0,0.0,0.0,0.0
size11_comp0.0_grid7_base_medium,11,0.0,7,medium,base,base,6,5,11,5,3,1,1,1,6,0,0,6,0.0,0.0,1.0,0.0,5.0,0.6,0.6,0.0,0.0,0.40537708336611317,0.6363636363636364,0.46928154086093576,0.40537708336611317,0.6363636363636364,0.46928154086093576,0.0,0.0,0.0,0.1212121212121212,0.6,30,2.0,0.0,3.0,0.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.34722222222222215,0.0,0.6527777777777778,DR,0.5943609377704336,0.0,0.0,0.0,0.0,,0.0,0,0.6666666666666666,0.0,0.0,0.0,0.0
size11_comp0.0_grid8_base_medium,11,0.0,8,medium,base,base,5,6,11,5,3,1,1,1,8,0,0,8,0.0,0.0,1.0,0.0,8.125,0.38461538461538464,0.38461538461538464,0.0,0.0,0.804233597001615,1.0,0.6042420698939599,0.804233597001615,1.0,0.6042420698939599,0.0,0.0,0.0,0.35001748251748255,0.38461538461538464,65,1.25,2.375,3.75,0.75,1.75,2.125,1.875,1.375,2.625,1.25,0.0,0.875,1.0,0.0,0.0,0.0,UL,0.0,0.09433760683760684,0.0,0.0,0.0,UL,0.625,2,0.0,0.0,0.0,0.0,0.0
size11_comp0.0_grid9_base_medium,11,0.0,9,medium,base,base,7,3,10,4,3,1,1,1,8,0,0,8,0.0,0.0,1.0,0.0,6.5,0.8076923076923077,0.8076923076923077,0.0,0.0,0.7951053805184962,0.8888888888888888,0.23795603888471353,0.7951053805184962,0.8888888888888888,0.23795603888471353,0.0,0.0,0.0,0.19391534391534387,0.8076923076923077,52,0.5,3.5,1.75,0.75,1.375,1.75,1.375,1.0,1.375,1.0,0.0,0.0,0.0,1.0,0.0,0.0,UR,0.0,0.0,0.4395833333333333,0.0,0.0,UR,2.625,5,1.0,0.0,0.0,0.0,0.0
