trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,reached_goal,coin_collected,coin_collection_step,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate,preferred_quadrant,quadrant_entropy,quadrant_count_ul,quadrant_count_ur,quadrant_count_dl,quadrant_count_dr,quadrant_count_midline,quadrant_fraction_ul,quadrant_fraction_ur,quadrant_fraction_dl,quadrant_fraction_dr,quadrant_fraction_midline,preferred_corner,corner_fraction_ul,corner_fraction_ur,corner_fraction_dl,corner_fraction_dr,max_corner_dwell_run,start_quadrant,terminal_quadrant,coin_quadrant,preferred_quadrant_contains_start,preferred_quadrant_contains_coin,preferred_corner_contains_start,preferred_corner_contains_goal,preferred_corner_contains_coin
0,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,4,4,8,6,1,1,1,1,0,1,3,64,0.0,0.453125,1.0,0.4166666666666667,11,18,18,17,21,12,11,19,34,17,0,2,0.03125,DR,1.4854752972273344,0,10,15,25,14,0.0,0.2,0.3,0.5,0.21875,DR,0.0,0.0,0.0,0.03125,1,midline,ur,ur,0,0,0,0,0
1,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,4,4,8,6,1,1,1,1,0,0,-1,64,0.0,0.296875,0.296875,0.0,30,5,10,18,20,17,16,8,50,6,0,27,0.421875,UR,0.1222915970693747,1,59,0,0,4,0.016666666666666666,0.9833333333333333,0.0,0.0,0.0625,UR,0.0,0.546875,0.0,0.0,29,midline,ur,ur,0,1,0,0,0
2,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,4,4,8,6,1,1,1,1,0,1,20,64,0.0,0.453125,0.5714285714285714,0.3953488372093023,14,18,17,15,20,11,17,15,31,14,1,2,0.03125,UR,1.8539024560744093,6,15,5,13,25,0.15384615384615385,0.38461538461538464,0.1282051282051282,0.3333333333333333,0.390625,,0.0,0.0,0.0,0.0,0,midline,ur,ur,0,1,0,0,0
3,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,4,4,8,6,1,1,1,1,1,0,-1,14,0.0,0.5,0.5,0.0,4,2,2,6,4,4,2,3,4,3,0,0,0.0,UR,-0.0,0,4,0,0,10,0.0,1.0,0.0,0.0,0.7142857142857143,,0.0,0.0,0.0,0.0,0,midline,ur,ur,0,1,0,0,0
4,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,4,4,8,6,1,1,1,1,0,1,5,64,0.0,0.453125,0.8333333333333334,0.41379310344827586,18,25,11,10,12,14,18,19,34,17,1,2,0.03125,DL,1.4687316183885248,0,12,23,9,20,0.0,0.2727272727272727,0.5227272727272727,0.20454545454545456,0.3125,DL,0.0,0.0,0.078125,0.0,4,midline,ur,ur,0,0,0,0,0
5,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,4,4,8,6,1,1,1,1,0,1,13,64,0.0,0.453125,0.6428571428571429,0.4,14,23,13,14,16,12,13,22,40,20,1,4,0.0625,DR,1.7022956711473904,2,15,8,19,20,0.045454545454545456,0.3409090909090909,0.18181818181818182,0.4318181818181818,0.3125,,0.0,0.0,0.0,0.0,0,midline,ur,ur,0,0,0,0,0
6,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,4,4,8,6,1,1,1,1,1,0,-1,29,0.0,0.4482758620689655,0.4482758620689655,0.0,10,5,5,9,5,10,9,4,14,4,0,3,0.10344827586206896,UR,0.24988229283318544,1,23,0,0,5,0.041666666666666664,0.9583333333333334,0.0,0.0,0.1724137931034483,UR,0.0,0.41379310344827586,0.0,0.0,6,midline,ur,ur,0,1,0,0,0
7,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,4,4,8,6,1,1,1,1,0,1,38,64,0.0,0.453125,0.5384615384615384,0.32,14,18,17,15,16,19,16,12,34,10,0,2,0.03125,UR,1.2496392378801418,5,22,6,0,31,0.15151515151515152,0.6666666666666666,0.18181818181818182,0.0,0.484375,UR,0.0,0.015625,0.0,0.0,1,midline,ur,ur,0,1,0,0,0
8,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,4,4,8,6,1,1,1,1,1,1,10,48,0.16666666666666666,0.5625,0.6363636363636364,0.5405405405405406,16,13,7,12,8,12,9,18,32,17,1,2,0.041666666666666664,UR,-0.0,0,38,0,0,10,0.0,1.0,0.0,0.0,0.20833333333333334,UR,0.0,0.041666666666666664,0.0,0.0,1,midline,ur,ur,0,1,0,0,0
9,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,4,4,8,6,1,1,1,1,0,1,51,64,0.0,0.46875,0.5384615384615384,0.16666666666666666,15,20,15,14,16,14,14,19,36,19,1,0,0.0,UL,1.6394489514937396,20,13,4,3,24,0.5,0.325,0.1,0.075,0.375,,0.0,0.0,0.0,0.0,0,midline,ur,ur,0,0,0,0,0
0,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,8,10,18,6,6,1,1,1,0,0,-1,64,0.0,0.4375,0.4375,0.0,20,10,18,16,18,20,11,14,43,13,0,10,0.15625,UR,0.8886466698980793,15,34,0,0,15,0.30612244897959184,0.6938775510204082,0.0,0.0,0.234375,UR,0.0,0.1875,0.0,0.0,5,ur,dr,ul,1,0,0,0,0
1,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,8,10,18,6,6,1,1,1,0,0,-1,64,0.0,0.359375,0.359375,0.0,28,11,12,13,20,14,15,14,51,11,0,20,0.3125,UR,0.21639693245126462,2,56,0,0,6,0.034482758620689655,0.9655172413793104,0.0,0.0,0.09375,UR,0.0,0.515625,0.0,0.0,14,ur,dr,ul,1,0,0,0,0
2,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,8,10,18,6,6,1,1,1,0,0,-1,64,0.0,0.421875,0.421875,0.0,26,11,16,11,17,20,16,10,48,6,0,16,0.25,UR,0.345117314944953,4,58,0,0,2,0.06451612903225806,0.9354838709677419,0.0,0.0,0.03125,UR,0.0,0.5,0.0,0.0,8,ur,dr,ul,1,0,0,0,0
