distance_to_goal,n_states,mean_entropy,se_entropy,mean_optimal_entropy,se_optimal_entropy,mean_jsd,se_jsd,accuracy,total_observations,is_capped
1,339,1.0129472707627367,0.03752721685488696,0.3803091814265657,0.02716097055848999,0.37093594477689623,0.015355057717037357,0.6076696165191741,1849,False
2,568,1.0744091053140106,0.030633473987065334,0.46508789612929985,0.021083764043644364,0.37770710273192815,0.011303015124108848,0.6214788732394366,4356,False
3,662,1.1647029049818796,0.026913845770132235,0.5237989237192802,0.01958862742619163,0.39193544718133155,0.010025098563725576,0.595166163141994,6056,False
4,707,1.1842974668470045,0.025201344748365537,0.5806361739806604,0.018869090925437718,0.3820778676129506,0.009475727718787654,0.5785007072135785,7301,False
5,663,1.2246323487943018,0.026385271917817282,0.5727826357498694,0.019390170523867694,0.39115819918445854,0.009792762183377568,0.5942684766214178,7355,False
6,562,1.1800883754976945,0.029114979121044007,0.5802397464502635,0.021324654347903354,0.39331027333922325,0.011038134604849679,0.594306049822064,5705,False
7,452,1.1965882525099816,0.03165405387038086,0.5608623340803693,0.02394575320706446,0.3990233301840037,0.011569916952100844,0.5442477876106194,4756,False
8,334,1.078411677631245,0.038234391578306465,0.5776191991125922,0.027826934882901968,0.4184465072921268,0.015167671173749491,0.5389221556886228,3090,False
9,211,1.0179203246180641,0.04979321874152089,0.5391226895837131,0.03529815535786812,0.43159681465343835,0.02040436099088989,0.5355450236966824,2004,False
10,120,1.1860535696236372,0.06200281034031868,0.5715413541726764,0.046073382419650775,0.4595730986129306,0.024946649076023078,0.4666666666666667,1301,False
11,74,1.241145308720008,0.07690833122727378,0.534931925685421,0.059829521337481074,0.44165752259982105,0.029727769892876836,0.44594594594594594,1024,False
12,49,1.397659872469411,0.08482213596656549,0.4201012755249215,0.07395627823773061,0.47413936358599645,0.038423385290096805,0.3673469387755102,953,False
13,36,1.4901443219696278,0.08282191457454292,0.5487468750600963,0.09634546637261253,0.421884691715565,0.04260819686051234,0.4722222222222222,623,False
14,23,1.4142130045066243,0.10360311692613808,0.4602157609009198,0.11455998961238806,0.4524547981938601,0.04496008754347055,0.391304347826087,353,False
15,10,1.6425648850552435,0.10242466297262606,0.6169925001442312,0.21647208711625898,0.5449401224793566,0.07994222062481536,0.1,210,False
16,6,1.3332804927410071,0.3035980317592386,0.6666666666666666,0.21081851067789195,0.47603842652348916,0.12745000788941713,0.6666666666666666,95,False
17,1,1.2987949406953985,,1.0,,0.4300365325772657,,0.0,8,False
