grid_id,grid_size,density,instance_id,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,num_trajectories,num_coin_collected,num_goal_after_coin,num_goal_only,coin_collected_rate,goal_after_coin_rate,goal_only_rate,full_success_rate,mean_trajectory_length,mean_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,spl,mean_entropy,mean_optimal_entropy,mean_jsd,mean_entropy_phase1,mean_optimal_entropy_phase1,mean_jsd_phase1,mean_entropy_phase2,mean_optimal_entropy_phase2,mean_jsd_phase2,ece,mean_step_accuracy,total_steps,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions,mean_quadrant_fraction_ul,mean_quadrant_fraction_ur,mean_quadrant_fraction_dl,mean_quadrant_fraction_dr,preferred_quadrant,mean_quadrant_entropy,mean_corner_fraction_ul,mean_corner_fraction_ur,mean_corner_fraction_dl,mean_corner_fraction_dr,preferred_corner,mean_max_corner_dwell_run,worst_max_corner_dwell_run,mean_preferred_quadrant_contains_start,mean_preferred_quadrant_contains_coin,mean_preferred_corner_contains_start,mean_preferred_corner_contains_goal,mean_preferred_corner_contains_coin
size11_comp0.0_grid0_base_low,11,0.0,0,low,base,base,4,4,8,6,1,1,1,1,10,7,1,2,0.7,0.1,0.2,0.1,53.9,0.44712430426716143,0.4921259842519685,0.4070175438596491,0.016666666666666666,1.0719782121865782,0.7682926829268293,0.4879872152411178,1.039101902748493,0.7058823529411765,0.3887874499482901,1.0952655980385553,0.8125,0.5582537156568709,0.19551679520100082,0.44712430426716143,539,14.6,14.7,11.5,13.0,13.8,12.5,12.5,13.9,30.9,12.7,0.5,4.4,0.09091491841491842,0.6131585081585081,0.1414568764568765,0.15446969696969698,UR,0.9771667122114103,0.0,0.10179597701149426,0.0078125,0.003125,UR,4.2,29,0.0,0.6,0.0,0.0,0.0
size11_comp0.0_grid1_base_low,11,0.0,1,low,base,base,8,10,18,6,6,1,1,1,10,0,0,0,0.0,0.0,0.0,0.0,64.0,0.346875,0.346875,0.0,0.0,1.1680294597053742,0.7333333333333333,0.5033193760878684,1.1680294597053742,0.7333333333333333,0.5033193760878684,0.0,0.0,0.0,0.1998212836151101,0.346875,640,28.0,7.8,14.4,13.6,19.3,15.1,15.9,12.3,50.7,9.7,0.0,21.9,0.08148697643054956,0.9185130235694506,0.0,0.0,UR,0.31635181987591415,0.0015625,0.4703125,0.0,0.0,UR,14.8,31,1.0,0.0,0.0,0.0,0.0
size11_comp0.0_grid2_base_low,11,0.0,2,low,base,base,7,5,12,8,2,1,1,1,10,0,0,0,0.0,0.0,0.0,0.0,64.0,0.3703125,0.3703125,0.0,0.0,1.1678141219479714,0.9696969696969697,0.6097575735768576,1.1678141219479714,0.9696969696969697,0.6097575735768576,0.0,0.0,0.0,0.23167066644448828,0.3703125,640,23.6,11.1,12.6,16.6,16.5,15.6,16.3,14.5,46.8,12.3,0.0,13.0,0.09990976251991593,0.9000902374800841,0.0,0.0,UR,0.42821177946174893,0.0078125,0.2171875,0.0,0.0,UR,7.5,20,0.0,0.0,0.0,0.0,0.0
size11_comp0.0_grid3_base_low,11,0.0,3,low,base,base,7,5,12,6,3,1,1,1,10,0,0,5,0.0,0.0,0.5,0.0,47.6,0.46008403361344535,0.46008403361344535,0.0,0.0,1.3366716861167998,0.86,0.453607386715188,1.3366716861167998,0.86,0.453607386715188,0.0,0.0,0.0,0.1147657138183454,0.46008403361344535,476,13.1,10.0,10.0,14.5,12.3,11.3,10.8,12.2,28.5,11.3,0.0,4.0,0.32736267357744053,0.5345791666662866,0.05961048130859452,0.07844767844767846,UR,0.9544569060546495,0.0,0.18198529411764705,0.0,0.0,UR,3.2,14,0.4,0.0,0.0,0.0,0.0
size11_comp0.0_grid4_base_low,11,0.0,4,low,base,base,7,3,10,6,2,1,1,1,10,2,2,4,0.2,0.2,0.4,0.2,44.7,0.47651006711409394,0.468384074941452,0.65,0.07729468599033816,1.1662312478272252,0.7636363636363637,0.42428825109440943,1.1824272600561927,0.7755102040816326,0.4411169872532575,1.0339638146239893,0.6666666666666666,0.2868535724638173,0.0772937033981771,0.47651006711409394,447,12.1,7.4,9.4,15.8,12.1,11.2,10.6,9.8,25.6,9.2,0.6,4.8,0.3778379910423254,0.4323420336113835,0.17553426106057685,0.014285714285714285,UR,0.9299907214176016,0.0075,0.14375,0.0,0.0,UR,7.2,25,0.3,0.0,0.0,0.0,0.0
size11_comp0.0_grid5_base_low,11,0.0,5,low,base,base,4,7,11,7,2,1,1,1,10,0,0,3,0.0,0.0,0.3,0.0,49.5,0.35555555555555557,0.35555555555555557,0.0,0.0,1.2268788369891979,0.8536585365853658,0.5635777836461185,1.2268788369891979,0.8536585365853658,0.5635777836461185,0.0,0.0,0.0,0.34803045599947424,0.35555555555555557,495,16.6,8.5,9.1,15.2,12.0,11.6,12.6,12.1,32.6,11.0,0.0,8.5,0.2691074419555266,0.7261306532825686,0.0047619047619047615,0.0,UR,0.5678744440865179,0.0015625,0.338383152173913,0.0,0.0,UR,13.1,32,0.1,0.0,0.0,0.0,0.0
size11_comp0.0_grid6_base_low,11,0.0,6,low,base,base,4,10,14,6,4,1,1,1,10,5,4,0,0.5,0.4,0.0,0.4,56.6,0.5176678445229682,0.47540983606557374,0.782051282051282,0.13192592592592595,0.9662638268706708,0.7701149425287356,0.3407166411513399,1.2724011970061782,0.7735849056603774,0.3766428868230349,0.48904969107120333,0.7647058823529411,0.2847139640748743,0.0821011393740122,0.5176678445229682,566,15.0,10.7,13.0,17.7,13.8,13.3,13.5,14.7,32.2,13.8,0.3,3.0,0.10790551747014594,0.44126656431803496,0.24492510420722496,0.20590281400459415,UR,1.2153196536593087,0.0,0.0625,0.0,0.011423280423280422,UR,2.9,8,0.1,0.1,0.0,0.0,0.0
size11_comp0.0_grid7_base_low,11,0.0,7,low,base,base,8,5,13,5,4,1,1,1,10,4,0,2,0.4,0.0,0.2,0.0,57.6,0.5208333333333334,0.5480093676814989,0.4429530201342282,0.0,1.2764064141772453,0.8133333333333334,0.410680727607025,1.3213737312164968,0.7735849056603774,0.3476898665016075,1.1680760594917756,0.9090909090909091,0.5624314384518945,0.04825098975098973,0.5208333333333334,576,16.0,12.0,11.5,18.1,15.0,12.6,15.3,13.7,33.1,12.8,1.1,2.1,0.04189917512898879,0.4226326238047947,0.36953904418114386,0.16592915688507265,UR,1.1564714276286834,0.0,0.1109375,0.025,0.003125,UR,4.9,15,0.4,0.0,0.0,0.0,0.0
size11_comp0.0_grid8_base_low,11,0.0,8,low,base,base,6,6,12,6,3,1,1,1,10,6,3,0,0.6,0.3,0.0,0.3,57.3,0.5200698080279232,0.4965986394557823,0.5984848484848485,0.1118461177574478,1.115495048705147,0.7073170731707317,0.3362566680786603,1.27707802209571,0.7,0.34162239447973375,0.8630216527823918,0.71875,0.327872720576983,0.060709632740734466,0.5200698080279232,573,17.4,10.3,13.0,16.6,12.9,15.6,13.6,14.2,32.8,12.9,0.4,4.5,0.2916147019646774,0.4137755885831118,0.2201531166104203,0.07445659284179049,UR,1.2761368621962597,0.023599137931034485,0.08125,0.0,0.0,UR,4.4,18,0.3,0.2,0.0,0.0,0.0
size11_comp0.0_grid9_base_low,11,0.0,9,low,base,base,7,8,15,7,4,1,1,1,10,3,1,1,0.3,0.1,0.1,0.1,56.1,0.46524064171123,0.45582329317269077,0.5396825396825397,0.04285714285714286,0.9844233118439959,0.7922077922077922,0.39357388582187386,1.1887831116534675,0.7884615384615384,0.3894524596684215,0.5593549282402948,0.8,0.4021464522210547,0.08822828274429391,0.46524064171123,561,20.3,8.9,11.9,14.9,15.7,12.9,14.3,12.0,32.0,10.8,0.2,8.4,0.07251729751729752,0.6287924197119243,0.07537029098639006,0.22331999178438805,UR,0.949271389320765,0.0,0.2171875,0.0,0.015625,UR,7.0,15,0.0,0.1,0.0,0.0,0.0
