trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,reached_goal,coin_collected,coin_collection_step,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate,preferred_quadrant,quadrant_entropy,quadrant_count_ul,quadrant_count_ur,quadrant_count_dl,quadrant_count_dr,quadrant_count_midline,quadrant_fraction_ul,quadrant_fraction_ur,quadrant_fraction_dl,quadrant_fraction_dr,quadrant_fraction_midline,preferred_corner,corner_fraction_ul,corner_fraction_ur,corner_fraction_dl,corner_fraction_dr,max_corner_dwell_run,start_quadrant,terminal_quadrant,coin_quadrant,preferred_quadrant_contains_start,preferred_quadrant_contains_coin,preferred_corner_contains_start,preferred_corner_contains_goal,preferred_corner_contains_coin
0,0,size11_comp0.0_grid0_RandomStart_1_8_low,11,0.0,low,RandomStart_1_8,random_starts,14,10,24,4,10,1,1,1,0,0,-1,64,0.0,0.578125,0.578125,0.0,9,7,20,28,10,9,11,33,43,32,0,2,0.03125,UR,1.4807254870200581,0,30,17,12,5,0.0,0.5084745762711864,0.288135593220339,0.2033898305084746,0.078125,DL,0.0,0.0,0.125,0.0,5,dl,midline,ur,0,1,0,0,0
1,0,size11_comp0.0_grid0_RandomStart_1_8_low,11,0.0,low,RandomStart_1_8,random_starts,14,10,24,4,10,1,1,1,0,0,-1,64,0.0,0.609375,0.609375,0.0,14,8,17,25,10,13,15,25,35,25,0,0,0.0,UR,1.3244134603665068,0,32,9,10,13,0.0,0.6274509803921569,0.17647058823529413,0.19607843137254902,0.203125,DL,0.0,0.0,0.015625,0.0,1,dl,midline,ur,0,1,0,0,0
2,0,size11_comp0.0_grid0_RandomStart_1_8_low,11,0.0,low,RandomStart_1_8,random_starts,14,10,24,4,10,1,1,1,0,1,58,64,0.0,0.578125,0.6101694915254238,0.2,14,5,18,27,13,18,7,25,35,24,0,3,0.046875,UR,1.4295875212220555,0,28,11,11,14,0.0,0.56,0.22,0.22,0.21875,DL,0.0,0.09375,0.125,0.0,6,dl,midline,ur,0,1,0,0,0
3,0,size11_comp0.0_grid0_RandomStart_1_8_low,11,0.0,low,RandomStart_1_8,random_starts,14,10,24,4,10,1,1,1,0,0,-1,64,0.0,0.5625,0.5625,0.0,13,11,16,24,13,16,12,22,38,20,0,3,0.046875,UR,1.4830123133368807,0,24,10,13,17,0.0,0.5106382978723404,0.2127659574468085,0.2765957446808511,0.265625,DL,0.0,0.0,0.0625,0.015625,3,dl,midline,ur,0,1,0,0,0
4,0,size11_comp0.0_grid0_RandomStart_1_8_low,11,0.0,low,RandomStart_1_8,random_starts,14,10,24,4,10,1,1,1,0,0,-1,64,0.0,0.5625,0.5625,0.0,10,9,19,26,11,13,15,24,40,23,0,3,0.046875,DR,1.1401156785146092,0,4,12,36,12,0.0,0.07692307692307693,0.23076923076923078,0.6923076923076923,0.1875,DL,0.0,0.0,0.078125,0.03125,5,dl,midline,ur,0,0,0,0,0
0,0,size11_comp0.0_grid0_RandomStart_4_7_low,11,0.0,low,RandomStart_4_7,random_starts,10,10,20,4,8,1,1,1,0,1,49,64,0.0,0.578125,0.6,0.5,13,6,21,24,12,12,14,25,34,24,0,1,0.015625,DR,1.3209242772281589,0,22,4,24,14,0.0,0.44,0.08,0.48,0.21875,UR,0.0,0.078125,0.0,0.015625,4,dl,midline,ur,0,0,0,0,0
1,0,size11_comp0.0_grid0_RandomStart_4_7_low,11,0.0,low,RandomStart_4_7,random_starts,10,10,20,4,8,1,1,1,0,1,49,64,0.0,0.578125,0.6,0.5,19,9,18,18,18,11,14,20,31,19,0,4,0.0625,UR,1.5505771756930462,1,27,9,14,13,0.0196078431372549,0.5294117647058824,0.17647058823529413,0.27450980392156865,0.203125,UR,0.0,0.078125,0.0,0.0,4,dl,midline,ur,0,1,0,0,0
2,0,size11_comp0.0_grid0_RandomStart_4_7_low,11,0.0,low,RandomStart_4_7,random_starts,10,10,20,4,8,1,1,1,0,1,25,64,0.0,0.453125,0.6538461538461539,0.3157894736842105,21,1,18,24,13,15,19,16,44,13,0,18,0.28125,UR,0.30540057087920036,0,52,3,0,9,0.0,0.9454545454545454,0.05454545454545454,0.0,0.140625,UR,0.0,0.265625,0.0,0.0,11,dl,midline,ur,0,1,0,0,0
3,0,size11_comp0.0_grid0_RandomStart_4_7_low,11,0.0,low,RandomStart_4_7,random_starts,10,10,20,4,8,1,1,1,0,1,38,64,0.0,0.53125,0.6153846153846154,0.4,16,3,21,24,16,13,6,28,44,28,0,9,0.140625,UR,0.6433733481441619,0,50,2,5,7,0.0,0.8771929824561403,0.03508771929824561,0.08771929824561403,0.109375,UR,0.0,0.0625,0.0,0.0,4,dl,midline,ur,0,1,0,0,0
4,0,size11_comp0.0_grid0_RandomStart_4_7_low,11,0.0,low,RandomStart_4_7,random_starts,10,10,20,4,8,1,1,1,0,1,28,64,0.0,0.484375,0.6551724137931034,0.34285714285714286,24,6,16,18,16,16,12,19,40,18,0,14,0.21875,UR,0.8587357820151706,0,44,2,9,9,0.0,0.8,0.03636363636363636,0.16363636363636364,0.140625,UR,0.0,0.109375,0.0,0.0625,4,dl,midline,ur,0,1,0,0,0
0,0,size11_comp0.0_grid0_ReflectEnv_low,11,0.0,low,ReflectEnv,reflect,13,10,23,5,9,1,1,1,0,1,29,64,0.0,0.34375,0.43333333333333335,0.2647058823529412,13,1,24,26,40,11,11,1,40,1,0,39,0.609375,UR,1.4194872636897806,19,29,2,3,11,0.3584905660377358,0.5471698113207547,0.03773584905660377,0.05660377358490566,0.171875,UR,0.03125,0.421875,0.0,0.0,27,dr,midline,ul,0,0,0,0,0
1,0,size11_comp0.0_grid0_ReflectEnv_low,11,0.0,low,ReflectEnv,reflect,13,10,23,5,9,1,1,1,1,1,32,53,0.4339622641509434,0.5283018867924528,0.48484848484848486,0.6,9,5,23,16,27,10,8,7,26,4,1,20,0.37735849056603776,UL,1.7300532622002758,23,12,10,3,5,0.4791666666666667,0.25,0.20833333333333334,0.0625,0.09433962264150944,UL,0.09433962264150944,0.0,0.018867924528301886,0.0,5,dr,midline,ul,0,1,0,0,0
2,0,size11_comp0.0_grid0_ReflectEnv_low,11,0.0,low,ReflectEnv,reflect,13,10,23,5,9,1,1,1,0,1,33,64,0.0,0.375,0.38235294117647056,0.36666666666666664,11,3,28,22,45,7,9,2,38,0,0,37,0.578125,UR,1.710894937006755,19,25,15,2,3,0.3114754098360656,0.4098360655737705,0.2459016393442623,0.03278688524590164,0.046875,UR,0.03125,0.296875,0.03125,0.0,19,dr,midline,ul,0,0,0,0,0
3,0,size11_comp0.0_grid0_ReflectEnv_low,11,0.0,low,ReflectEnv,reflect,13,10,23,5,9,1,1,1,0,1,30,64,0.0,0.546875,0.6774193548387096,0.42424242424242425,14,5,16,28,19,11,12,19,37,16,1,12,0.1875,UR,1.2896277887512215,27,28,0,4,5,0.4576271186440678,0.4745762711864407,0.0,0.06779661016949153,0.078125,UR,0.203125,0.21875,0.0,0.0,10,dr,midline,ul,0,0,0,0,0
4,0,size11_comp0.0_grid0_ReflectEnv_low,11,0.0,low,ReflectEnv,reflect,13,10,23,5,9,1,1,1,0,1,32,64,0.0,0.421875,0.5151515151515151,0.3225806451612903,8,2,23,31,37,10,8,8,37,6,1,30,0.46875,UR,1.6719521493965601,8,26,16,3,11,0.1509433962264151,0.49056603773584906,0.3018867924528302,0.05660377358490566,0.171875,UR,0.046875,0.265625,0.0,0.0,17,dr,midline,ul,0,0,0,0,0
