distance_to_goal,n_states,mean_entropy,se_entropy,mean_optimal_entropy,se_optimal_entropy,mean_jsd,se_jsd,accuracy,total_observations,is_capped
1,1815,0.6110937850682499,0.014763015360868019,0.28953706611808644,0.010727924465005863,0.3841506494672704,0.008130611333110663,0.5515151515151515,9905,False
2,2974,0.7542615022510439,0.012153769788533799,0.4882379119060706,0.009248142234355206,0.40359818828837235,0.005791975953270285,0.5595158036314728,21383,False
3,3812,0.8293265498816292,0.010476747759572694,0.5229563942823523,0.00811444488898872,0.41713272714471844,0.0048776095867445095,0.5453830010493179,32319,False
4,4098,0.8863351405883928,0.010105439929437944,0.5427085285526242,0.007825452689680035,0.40980838793789265,0.004581607136858636,0.5402635431918009,43201,False
5,3746,0.9161621825503633,0.010699961296095874,0.5449690703461256,0.008230172365514009,0.41355490582685517,0.004726039096522508,0.5325680726107849,42991,False
6,3308,0.930172455732712,0.011480905287097434,0.5251538769706016,0.008809621440278857,0.42242154543954985,0.005111021969650726,0.5214631197097944,40162,False
7,2754,0.940835387360219,0.01260161262250982,0.5297273692868066,0.009652943435740653,0.4333687099597233,0.0056093972145506285,0.5123456790123457,32984,False
8,2011,0.9634701984435605,0.014484243639912584,0.5657477871820372,0.01138276571442124,0.45213376204091654,0.006628427661085235,0.4733963202386872,27737,False
9,1380,0.9618610835184898,0.017627880972987613,0.5473477173933947,0.01347642010454483,0.46809360481476664,0.008114807767158146,0.4420289855072464,18481,False
10,943,0.9704976182959708,0.021727156721333036,0.5030115058355087,0.01641822273439381,0.49539615275652427,0.009973996093706982,0.4241781548250265,14830,False
11,622,0.9968261960653579,0.02610388617480472,0.5043081993661884,0.020536527933359718,0.4890350084355377,0.011686612855741458,0.40353697749196143,10766,False
12,351,1.0638892736721852,0.03429327921570935,0.5370648860522135,0.027488948597421247,0.47355371986018113,0.014483008249442016,0.42165242165242167,6291,False
13,175,1.125229661543363,0.049210042176768824,0.5014565000123626,0.03909109383332501,0.4909190764335038,0.020209252335444683,0.3942857142857143,3867,False
14,88,1.194799884052806,0.06138120158401064,0.42710184659910405,0.05416254615017392,0.5253557160736775,0.03029990047597329,0.3181818181818182,2829,False
15,41,1.1910634063090746,0.08705092071988432,0.46755914637664175,0.09259516689043236,0.3889684632582331,0.040388939839270666,0.4878048780487805,1474,False
16,10,0.6692699070432321,0.2297640555692706,0.2,0.13333333333333333,0.26242877557262123,0.08537000123606815,0.8,271,False
17,3,1.4573528649169998,0.2367487626328114,0.0,0.0,0.39698914572699345,0.04285551063393034,0.3333333333333333,36,False
18,2,1.3858666337196717,0.5227460651530407,0.0,0.0,0.8049932735054938,0.19500672649450623,0.0,22,False
19,1,1.5,,0.0,,0.5487949406953986,,0.0,4,False
20,1,0.8112781244591328,,0.0,,0.5487949406953986,,0.0,8,False
21,1,1.0,,0.0,,0.31127812445913283,,1.0,2,False
22,1,0.0,,0.0,,1.0,,0.0,1,False
