grid_id,grid_size,density,instance_id,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,num_trajectories,num_coin_collected,num_goal_after_coin,num_goal_only,coin_collected_rate,goal_after_coin_rate,goal_only_rate,full_success_rate,mean_trajectory_length,mean_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,spl,mean_entropy,mean_optimal_entropy,mean_jsd,mean_entropy_phase1,mean_optimal_entropy_phase1,mean_jsd_phase1,mean_entropy_phase2,mean_optimal_entropy_phase2,mean_jsd_phase2,ece,mean_step_accuracy,total_steps,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions,mean_quadrant_fraction_ul,mean_quadrant_fraction_ur,mean_quadrant_fraction_dl,mean_quadrant_fraction_dr,preferred_quadrant,mean_quadrant_entropy,mean_corner_fraction_ul,mean_corner_fraction_ur,mean_corner_fraction_dl,mean_corner_fraction_dr,preferred_corner,mean_max_corner_dwell_run,worst_max_corner_dwell_run,mean_preferred_quadrant_contains_start,mean_preferred_quadrant_contains_coin,mean_preferred_corner_contains_start,mean_preferred_corner_contains_goal,mean_preferred_corner_contains_coin
size11_comp0.0_grid0_RandomStart_1_8_low,11,0.0,0,low,RandomStart_1_8,random_starts,14,10,24,4,10,1,1,1,5,1,0,0,0.2,0.0,0.0,0.0,64.0,0.578125,0.5841269841269842,0.2,0.0,0.892711426682736,0.8444444444444444,0.41258402137845984,0.9346123420635388,0.8333333333333334,0.38025818356476515,0.3060986113514965,1.0,0.8651457507701849,0.14854811320239594,0.578125,320,12.0,8.0,18.0,26.0,11.4,13.8,12.0,25.8,38.2,24.8,0.0,2.2,0.0,0.45669738629175216,0.2256282739343345,0.31767433977391335,UR,1.3715708920920222,0.0,0.01875,0.08125,0.009375,DL,4.0,6,0.0,0.8,0.0,0.0,0.0
size11_comp0.0_grid0_RandomStart_4_7_low,11,0.0,0,low,RandomStart_4_7,random_starts,10,10,20,4,8,1,1,1,5,5,0,0,1.0,0.0,0.0,0.0,64.0,0.525,0.6185567010309279,0.38095238095238093,0.0,0.850298679879066,0.8936170212765957,0.4369570011181531,0.8612544705973936,0.8648648648648649,0.37716087417843186,0.8097622542212541,1.0,0.6582026707951216,0.12711923384639282,0.525,320,18.6,5.0,18.8,21.6,15.0,13.4,13.0,21.6,38.6,20.4,0.0,9.2,0.00392156862745098,0.7184118585233137,0.07649347968852613,0.20117309316070925,UR,0.9358022307919477,0.0,0.11875,0.0,0.015625,UR,5.4,11,0.0,0.8,0.0,0.0,0.0
size11_comp0.0_grid0_ReflectEnv_low,11,0.0,0,low,ReflectEnv,reflect,13,10,23,5,9,1,1,1,10,10,1,0,1.0,0.1,0.0,0.1,62.9,0.4483306836248013,0.5391566265060241,0.3468013468013468,0.043396226415094344,0.5459914502685468,0.7837837837837838,0.31715918112196295,0.6013309616629461,0.7924528301886793,0.254338284324611,0.4063250643683962,0.7619047619047619,0.4757071587533752,0.15761877625414078,0.4483306836248013,629,14.2,2.6,18.8,27.2,32.3,11.1,9.9,8.4,38.3,7.0,0.5,25.8,0.40489265682851616,0.43733882710015665,0.09771909475203629,0.060049421319291016,UR,1.310529678184683,0.15005896226415094,0.2609375,0.0050117924528301884,0.0,UR,15.0,27,0.0,0.4,0.0,0.0,0.0
size11_comp0.0_grid0_RotateEnv_low,11,0.0,0,low,RotateEnv,rotate,13,10,23,5,9,1,1,1,10,10,0,0,1.0,0.0,0.0,0.0,64.0,0.3796875,0.7888888888888889,0.21956521739130436,0.0,0.5122505690773055,0.8142857142857143,0.39461312370342044,0.5292449400336067,0.7674418604651163,0.22479085651420708,0.48518545977652955,0.8888888888888888,0.6650708084862418,0.06345282924491315,0.3796875,640,17.8,3.8,12.0,30.4,29.7,15.2,10.8,7.3,43.4,5.6,0.9,28.3,0.13300971037435189,0.8093748103719743,0.0,0.05761547925367376,UR,0.8435151140905608,0.0296875,0.55,0.0,0.0,UR,28.2,40,0.0,0.0,0.0,0.0,0.0
size11_comp0.0_grid0_StartGoalSwap_low,11,0.0,0,low,StartGoalSwap,start_goal_swap,10,13,23,5,9,1,1,1,10,3,0,0,0.3,0.0,0.0,0.0,64.0,0.496875,0.5549645390070922,0.06578947368421052,0.0,0.8873732440379108,0.8421052631578947,0.3926381187934601,0.9353264026362911,0.8269230769230769,0.3529888320208738,0.38866039461475554,1.0,0.8049907012283576,0.20742532324354257,0.496875,640,10.0,8.3,16.0,29.5,19.2,14.4,7.5,21.5,41.6,20.4,1.7,7.5,0.0,0.38386744531935096,0.09421725733431723,0.5219152973463318,DR,0.8369048173189692,0.0,0.1203125,0.009375,0.0109375,UR,7.6,33,0.0,0.4,0.0,0.0,0.0
size11_comp0.0_grid0_TransposeEnv_low,11,0.0,0,low,TransposeEnv,transpose,13,10,23,5,9,1,1,1,10,0,0,0,0.0,0.0,0.0,0.0,64.0,0.2109375,0.2109375,0.0,0.0,1.103100778182234,1.0,0.6415296399024947,1.103100778182234,1.0,0.6415296399024947,0.0,0.0,0.0,0.3646115002481495,0.2109375,640,28.3,5.8,7.7,22.0,20.4,16.2,14.9,11.1,56.0,8.7,0.0,35.1,0.0,1.0,0.0,0.0,UR,0.0,0.0,0.8703125,0.0,0.0,UR,45.0,63,1.0,0.0,0.0,0.0,0.0
size11_comp0.0_grid0_base_low,11,0.0,0,low,base,base,13,10,23,5,9,1,1,1,10,3,0,0,0.3,0.0,0.0,0.0,64.0,0.546875,0.565587734241908,0.33962264150943394,0.0,1.0089317902426171,0.8431372549019608,0.4606969945737137,1.0490943054158262,0.8222222222222222,0.42771300499188364,0.7077129264435497,1.0,0.7080769164374394,0.1105435716678257,0.546875,640,13.9,7.9,18.9,23.3,16.4,11.6,14.1,20.9,41.1,19.8,0.0,4.2,0.0,0.24250159189675316,0.3777561417077546,0.37974226639549225,DR,1.098525669747654,0.0,0.0296875,0.028125,0.021875,UR,3.4,9,0.4,0.2,0.0,0.0,0.0
size11_comp0.0_grid0_walls0_low,11,0.0,0,low,walls0,reshuffled_walls,13,10,23,5,9,1,1,1,4,0,0,0,0.0,0.0,0.0,0.0,64.0,0.5390625,0.5390625,0.0,0.0,1.0307820557194682,0.90625,0.4133397781885575,1.0307820557194682,0.90625,0.4133397781885575,0.0,0.0,0.0,0.1662832630613561,0.5390625,256,10.75,9.75,19.75,23.75,13.5,10.25,14.25,25.0,44.75,23.75,0.0,2.5,0.0,0.14296558704453444,0.4573029853684949,0.39973142758697067,DL,1.0607432264856218,0.0,0.0,0.046875,0.0,DL,1.5,3,0.25,0.25,0.0,0.0,0.0
size11_comp0.0_grid0_walls1_low,11,0.0,0,low,walls1,reshuffled_walls,13,10,23,5,9,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,64.0,0.546875,0.546875,0.0,0.0,0.4952458664967085,0.8695652173913043,0.5165672179528066,0.4952458664967085,0.8695652173913043,0.5165672179528066,0.0,0.0,0.0,0.15410628019323672,0.546875,64,14.0,10.0,17.0,23.0,15.0,10.0,7.0,31.0,41.0,28.0,0.0,2.0,0.0,0.4166666666666667,0.3055555555555556,0.2777777777777778,UR,1.5622475656642103,0.0,0.0,0.046875,0.0,DL,2.0,2,0.0,1.0,0.0,0.0,0.0
size11_comp0.0_grid1_RandomStart_4_9_low,11,0.0,1,low,RandomStart_4_9,random_starts,6,7,13,9,2,1,1,1,5,4,4,1,0.8,0.8,0.2,0.8,27.6,0.6376811594202898,0.5764705882352941,0.7358490566037735,0.37545088566827695,0.6197972732684983,0.7555555555555555,0.3745114094201182,0.6206826830681665,0.7586206896551724,0.4328536003627618,0.6181924680065998,0.75,0.26876618833657645,0.1487962962962963,0.6376811594202898,138,9.0,1.6,8.6,8.4,8.2,5.0,7.8,5.6,9.2,4.8,1.0,2.6,0.3729038281979459,0.06666666666666667,0.5604295051353875,0.0,DL,1.0270814576217486,0.008333333333333333,0.0,0.07998389694041867,0.0,DL,2.6,7,0.8,0.0,0.0,0.0,0.0
