trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,reached_goal,coin_collected,coin_collection_step,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate,preferred_quadrant,quadrant_entropy,quadrant_count_ul,quadrant_count_ur,quadrant_count_dl,quadrant_count_dr,quadrant_count_midline,quadrant_fraction_ul,quadrant_fraction_ur,quadrant_fraction_dl,quadrant_fraction_dr,quadrant_fraction_midline,preferred_corner,corner_fraction_ul,corner_fraction_ur,corner_fraction_dl,corner_fraction_dr,max_corner_dwell_run,start_quadrant,terminal_quadrant,coin_quadrant,preferred_quadrant_contains_start,preferred_quadrant_contains_coin,preferred_corner_contains_start,preferred_corner_contains_goal,preferred_corner_contains_coin
0,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,4,10,14,6,4,1,1,1,1,1,10,27,0.5185185185185185,0.7407407407407407,0.6363636363636364,0.8125,4,9,7,7,9,6,5,6,7,6,0,1,0.037037037037037035,UL,1.1770225546116342,15,2,0,5,5,0.6818181818181818,0.09090909090909091,0.0,0.22727272727272727,0.18518518518518517,UL,0.2222222222222222,0.0,0.0,0.0,6,midline,midline,ul,0,1,0,0,0
1,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,4,10,14,6,4,1,1,1,1,1,3,18,0.7777777777777778,0.8888888888888888,1.0,0.8571428571428571,0,6,6,6,9,3,4,1,2,1,1,0,0.0,UL,1.41379956460568,8,3,0,3,4,0.5714285714285714,0.21428571428571427,0.0,0.21428571428571427,0.2222222222222222,UL,0.16666666666666666,0.0,0.0,0.0,3,midline,midline,ul,0,1,0,0,0
2,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,4,10,14,6,4,1,1,1,1,1,5,20,0.7,0.85,0.8333333333333334,0.8571428571428571,1,7,6,6,8,6,5,0,0,0,0,0,0.0,UL,0.863120568566631,10,0,0,4,6,0.7142857142857143,0.0,0.0,0.2857142857142857,0.3,UL,0.1,0.0,0.0,0.0,2,midline,midline,ul,0,1,0,0,0
3,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,4,10,14,6,4,1,1,1,1,1,7,18,0.7777777777777778,0.8888888888888888,0.75,1.0,1,7,5,5,6,5,4,2,2,2,0,0,0.0,UL,0.6193821946787638,11,0,2,0,5,0.8461538461538461,0.0,0.15384615384615385,0.0,0.2777777777777778,UL,0.2777777777777778,0.0,0.0,0.0,5,midline,midline,ul,0,1,0,0,0
4,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,4,10,14,6,4,1,1,1,1,1,3,16,0.875,0.9375,1.0,0.9166666666666666,0,6,5,5,11,2,2,0,0,0,0,0,0.0,UL,0.9182958340544896,6,0,0,3,7,0.6666666666666666,0.0,0.0,0.3333333333333333,0.4375,UL,0.125,0.0,0.0,0.0,2,midline,midline,ul,0,1,0,0,0
5,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,4,10,14,6,4,1,1,1,1,1,7,26,0.5384615384615384,0.7692307692307693,0.75,0.7777777777777778,1,7,9,9,11,5,5,4,6,4,0,0,0.0,UL,1.322305788853309,13,3,0,5,5,0.6190476190476191,0.14285714285714285,0.0,0.23809523809523808,0.19230769230769232,UL,0.23076923076923078,0.0,0.0,0.038461538461538464,6,midline,midline,ul,0,1,0,0,0
6,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,4,10,14,6,4,1,1,1,1,1,7,18,0.7777777777777778,0.8888888888888888,0.75,1.0,1,7,5,5,6,5,4,2,2,2,0,0,0.0,UL,0.5665095065529053,13,0,2,0,3,0.8666666666666667,0.0,0.13333333333333333,0.0,0.16666666666666666,UL,0.3333333333333333,0.0,0.0,0.0,6,midline,midline,ul,0,1,0,0,0
7,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,4,10,14,6,4,1,1,1,1,1,7,32,0.4375,0.71875,0.75,0.7083333333333334,5,11,8,8,12,7,6,6,10,6,1,0,0.0,DR,1.472935039619369,10,4,0,11,7,0.4,0.16,0.0,0.44,0.21875,UL,0.15625,0.0,0.0,0.03125,5,midline,midline,ul,0,0,0,0,0
8,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,4,10,14,6,4,1,1,1,1,1,3,14,1.0,1.0,1.0,1.0,0,6,4,4,7,2,3,1,2,1,1,0,0.0,UL,0.7219280948873623,8,0,2,0,4,0.8,0.0,0.2,0.0,0.2857142857142857,UL,0.21428571428571427,0.0,0.0,0.0,3,midline,midline,ul,0,1,0,0,0
9,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,4,10,14,6,4,1,1,1,1,1,3,14,1.0,1.0,1.0,1.0,0,6,4,4,8,3,2,0,0,0,0,0,0.0,UL,0.9940302114769565,6,0,5,0,3,0.5454545454545454,0.0,0.45454545454545453,0.0,0.21428571428571427,UL,0.14285714285714285,0.0,0.0,0.0,2,midline,midline,ul,0,1,0,0,0
