distance_to_goal,n_states,mean_entropy,se_entropy,mean_optimal_entropy,se_optimal_entropy,mean_jsd,se_jsd,accuracy,total_observations,is_capped
0,4,0.24630703400856288,0.24630703400856288,0.5,0.28867513459481287,0.8278195311147832,0.1721804688852168,0.25,17,False
1,273,0.3811638256366906,0.028286521005082124,0.13186813186813187,0.020515321360773567,0.11443266746574283,0.011470282126433995,0.9267399267399268,1580,False
2,399,0.5034287886654184,0.025183930242710043,0.402468577696043,0.024699769591010064,0.14518831458727932,0.010072072013705996,0.9398496240601504,2161,False
3,455,0.6040241297299991,0.02539259491279687,0.5080657692339392,0.023653626631116285,0.1570655977315142,0.008374304634242805,0.9340659340659341,2734,False
4,450,0.610526477850562,0.025492256513355852,0.4866666666666667,0.023588067565034034,0.1574959748426505,0.009532338851748251,0.9266666666666666,2721,False
5,422,0.5824395231988726,0.025524979133619785,0.47335281398616935,0.02465346506039612,0.1733968346231855,0.009393699074739581,0.9146919431279621,2516,False
6,357,0.5527042667357055,0.028003816018707973,0.5264000350241058,0.027143410389931955,0.17803428745488023,0.010459944102225812,0.9131652661064426,2002,False
7,258,0.6429609820415971,0.03522995622426826,0.5471702519435749,0.03149715120453424,0.2071764613017637,0.014106139249513072,0.8837209302325582,1512,False
8,194,0.655854388723394,0.04067451074800524,0.4669327963954699,0.036255115837802415,0.18003095493397978,0.01375898257057825,0.9020618556701031,1168,False
9,135,0.6574094115637499,0.04928055071000786,0.556814259269943,0.044091797143728406,0.1985474262633427,0.01873656419308022,0.8888888888888888,814,False
10,83,0.667785674646307,0.0700635056678905,0.5060240963855421,0.05521175536091373,0.22554620708462417,0.02371392705039606,0.8674698795180723,511,False
11,43,0.6748222343112821,0.09658447457767941,0.6182549418772362,0.07831214228692972,0.2357132650060739,0.03855686099367317,0.9069767441860465,240,False
12,19,0.6467715139679074,0.12627944069693542,0.631578947368421,0.11369720523522563,0.3137262028244912,0.06834488709240126,0.6842105263157895,78,False
13,11,0.21563186513961058,0.11410685617731813,0.5454545454545454,0.15745916432444337,0.18450712674236938,0.04473389849216945,0.9090909090909091,38,False
14,4,0.2295739585136224,0.2295739585136224,0.25,0.25,0.32781953111478324,0.23576674398748615,0.75,8,False
15,1,0.0,,0.0,,1.0,,0.0,1,False
