grid_id,grid_size,density,instance_id,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,num_trajectories,num_coin_collected,num_goal_after_coin,num_goal_only,coin_collected_rate,goal_after_coin_rate,goal_only_rate,full_success_rate,mean_trajectory_length,mean_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,spl,mean_entropy,mean_optimal_entropy,mean_jsd,mean_entropy_phase1,mean_optimal_entropy_phase1,mean_jsd_phase1,mean_entropy_phase2,mean_optimal_entropy_phase2,mean_jsd_phase2,ece,mean_step_accuracy,total_steps,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions,mean_quadrant_fraction_ul,mean_quadrant_fraction_ur,mean_quadrant_fraction_dl,mean_quadrant_fraction_dr,preferred_quadrant,mean_quadrant_entropy,mean_corner_fraction_ul,mean_corner_fraction_ur,mean_corner_fraction_dl,mean_corner_fraction_dr,preferred_corner,mean_max_corner_dwell_run,worst_max_corner_dwell_run,mean_preferred_quadrant_contains_start,mean_preferred_quadrant_contains_coin,mean_preferred_corner_contains_start,mean_preferred_corner_contains_goal,mean_preferred_corner_contains_coin
size11_comp0.0_grid0_base_medium,11,0.0,0,medium,base,base,4,10,14,6,4,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,20.3,0.8423645320197044,0.8,0.8623188405797102,0.7402813390313391,0.48117002315330787,0.7307692307692307,0.20552143676975218,0.6695957264204969,0.4444444444444444,0.17416752572917094,0.44173208526017527,0.7906976744186046,0.21208388326661806,0.11784188034188037,0.8423645320197044,203,1.3,7.2,5.9,5.9,8.7,4.4,4.0,2.2,3.1,2.2,0.3,0.1,0.6711521811521812,0.06080519480519481,0.09417249417249417,0.17387012987012987,UL,1.0069329357907102,0.19691620879120877,0.0,0.0,0.0069711538461538465,UL,4.0,6,0.0,0.9,0.0,0.0,0.0
size11_comp0.0_grid1_base_medium,11,0.0,1,medium,base,base,7,10,17,3,7,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,24.8,0.8346774193548387,0.8165137614678899,0.8489208633093526,0.7070004304043576,0.6885181421892996,0.7058823529411765,0.16515772645005322,0.7641681728087454,0.5294117647058824,0.12505680088258692,0.6506931268795768,0.7941176470588235,0.18520818923378643,0.22387601505248564,0.8346774193548387,248,3.0,5.8,7.9,7.9,10.9,3.9,4.5,4.1,8.7,4.1,0.8,0.2,0.5851111226683309,0.4148888773316691,0.0,0.0,UL,0.9202940504792846,0.12333805250322039,0.048731117754878164,0.0,0.0,UL,2.2,3,0.9,0.1,0.0,0.0,0.0
size11_comp0.0_grid2_base_medium,11,0.0,2,medium,base,base,4,10,14,6,4,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,23.1,0.7748917748917749,0.8333333333333334,0.7543859649122807,0.6239673229807837,0.7213378602658588,0.7441860465116279,0.2642826061430759,0.28092613636318214,0.7222222222222222,0.35900654801878135,1.038434301475786,0.76,0.196081367992568,0.21518365355574656,0.7748917748917749,231,3.4,6.1,7.8,5.8,8.1,5.2,5.1,3.7,8.4,3.3,1.2,1.3,0.5611978664610243,0.4388021335389756,0.0,0.0,UL,0.9672502797753596,0.0225,0.09663396517333792,0.0,0.0,UR,2.1,3,0.8,0.2,0.0,0.0,0.0
size11_comp0.0_grid3_base_medium,11,0.0,3,medium,base,base,10,3,13,9,2,1,1,1,10,8,8,2,0.8,0.8,0.2,0.8,13.4,0.9402985074626866,0.9351851851851852,0.9615384615384616,0.7333333333333334,0.48780443865021667,0.75,0.18908532668177128,0.49312099473248494,0.7857142857142857,0.20197643332785636,0.45058854607433874,0.5,0.09884758015917573,0.15675843253968252,0.9402985074626866,134,7.3,0.3,3.9,1.9,6.2,2.4,3.0,0.8,0.9,0.8,0.4,0.0,0.016666666666666666,0.5315734265734265,0.0,0.45175990675990674,UR,1.0199612470736372,0.0,0.033939393939393936,0.0,0.15989121989121988,DR,2.2,3,0.2,0.0,0.0,0.0,0.0
size11_comp0.0_grid4_base_medium,11,0.0,4,medium,base,base,11,3,14,12,1,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,23.6,0.7966101694915254,0.7777777777777778,0.8947368421052632,0.632550505050505,0.8206386642297446,0.7872340425531915,0.18563454111145355,0.8913024385744661,0.8421052631578947,0.20213398180183784,0.5222805058853657,0.5555555555555556,0.11597023597427555,0.24332369757901673,0.7966101694915254,236,4.6,8.6,9.2,1.2,6.5,5.6,6.5,4.0,5.7,4.0,0.4,0.0,0.02852941176470588,0.5317682216363758,0.38335316024971194,0.05634920634920635,UR,1.1486262078730374,0.0,0.02972582972582972,0.029191919191919193,0.0,UR,1.0,3,0.8,0.2,0.0,0.0,0.0
size11_comp0.0_grid5_base_medium,11,0.0,5,medium,base,base,8,4,12,4,4,1,1,1,10,6,6,4,0.6,0.6,0.4,0.6,13.4,0.8134328358208955,0.8333333333333334,0.7631578947368421,0.391015037593985,0.6097929545387353,0.6666666666666666,0.20090133087744402,0.5992574523304268,0.7333333333333333,0.2032229371747361,0.6449112952330969,0.4444444444444444,0.1931626432198038,0.18869556369556373,0.8134328358208955,134,3.1,1.7,2.8,5.8,4.9,2.8,3.0,1.7,3.2,1.7,0.5,0.4,0.6613431911226029,0.3386568088773971,0.0,0.0,UL,0.5850962529469229,0.12778822055137845,0.053637218045112775,0.0,0.0,UL,1.5,5,0.6,0.4,0.0,0.0,0.0
size11_comp0.0_grid6_base_medium,11,0.0,6,medium,base,base,6,10,16,4,6,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,24.4,0.8278688524590164,0.8571428571428571,0.8125,0.6933776509008707,0.6837489553758483,0.7884615384615384,0.20230681230910003,0.5241317752393038,0.6666666666666666,0.20140637560401306,0.7682521683893131,0.8529411764705882,0.20278351409414608,0.21732335365938604,0.8278688524590164,244,3.2,7.2,7.0,7.0,8.6,5.1,5.7,4.0,7.5,4.0,1.4,0.0,0.3223531370590194,0.29595380110085995,0.3543821374703727,0.027310924369747896,DL,1.5610091174981344,0.0,0.0,0.02804218657159834,0.0,DL,0.6,1,0.4,0.2,0.0,0.0,0.0
size11_comp0.0_grid7_base_medium,11,0.0,7,medium,base,base,9,4,13,13,0,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,16.4,0.8902439024390244,0.8688524590163934,0.9523809523809523,0.8085507887365473,0.37628598634368415,0.6190476190476191,0.2420291855101946,0.39276361717346603,0.6842105263157895,0.2650313895458851,0.2197484934607567,0.0,0.02350824717113471,0.055434446505875076,0.8902439024390244,164,8.5,0.3,6.3,1.3,9.3,2.6,2.0,1.5,1.9,1.5,0.4,0.2,0.11289335664335662,0.533289627039627,0.008333333333333333,0.345483682983683,UR,1.3324360337348746,0.0,0.039999999999999994,0.0,0.11436736637975027,DR,1.8,2,0.0,0.9,0.0,0.0,0.0
size11_comp0.0_grid8_base_medium,11,0.0,8,medium,base,base,7,11,18,4,7,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,19.6,0.9183673469387755,0.8974358974358975,0.9322033898305084,0.9213533834586466,0.40642228455934526,0.6904761904761905,0.1473309150896458,0.571955691137699,0.5882352941176471,0.09096327958709811,0.29385956808606467,0.76,0.18566090723137818,0.12561585240156667,0.9183673469387755,196,2.8,3.0,5.0,8.8,10.8,3.3,3.7,0.8,4.8,0.8,0.8,1.6,0.5155921052631578,0.48440789473684215,0.0,0.0,UL,0.974652918572888,0.17490392648287384,0.10898913951545527,0.0,0.0,UL,3.7,5,0.3,0.7,0.0,0.0,0.0
size11_comp0.0_grid9_base_medium,11,0.0,9,medium,base,base,5,4,9,5,2,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,13.3,0.8270676691729323,0.7752808988764045,0.9318181818181818,0.7001439736733854,0.7725026907225611,0.5652173913043478,0.11739967566008298,0.8869486388974819,0.625,0.14006615844930456,0.5109119520370274,0.42857142857142855,0.06559057214186223,0.2609417152895414,0.8270676691729323,133,4.7,2.7,4.6,1.3,3.8,2.8,3.7,2.0,2.7,2.0,0.6,0.3,0.08845238095238095,0.0,0.911547619047619,0.0,DL,0.35345289550679737,0.0,0.0,0.0,0.0,,0.0,0,0.0,1.0,0.0,0.0,0.0
size11_comp0.2_grid0_base_medium,11,0.2,0,medium,base,base,4,7,11,5,3,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,14.3,0.8741258741258742,0.9347826086956522,0.845360824742268,0.8306117216117215,0.5066966237082164,0.5294117647058824,0.17261822973957244,0.3228573852254234,0.4444444444444444,0.09888005418186661,0.572878749562022,0.56,0.19916397294034657,0.11873249299719889,0.8741258741258742,143,5.8,1.6,3.0,3.9,6.3,3.5,2.3,1.2,2.2,1.2,0.3,0.3,0.0,0.2473051948051948,0.0,0.7526948051948052,DR,0.7660195260074416,0.0,0.01912087912087912,0.0,0.19080785880785883,DR,2.6,4,1.0,1.0,0.0,0.0,0.0
size11_comp0.2_grid1_base_medium,11,0.2,1,medium,base,base,4,7,11,7,2,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,17.5,0.8,0.9333333333333333,0.7538461538461538,0.6768718430692114,0.6387959728812781,0.39285714285714285,0.19406847596601282,0.3448242942147662,0.3,0.07815333960653299,0.8021135721404514,0.4444444444444444,0.2584657739435017,0.17672515976087402,0.8,175,2.5,5.6,6.7,2.7,5.3,4.7,2.9,3.6,6.0,3.4,0.7,0.5,0.7079573367808661,0.2920426632191338,0.0,0.0,UL,0.7876095685002398,0.07527272727272727,0.0,0.0,0.0,UL,1.3,7,0.0,0.1,0.0,0.0,0.0
size11_comp0.2_grid2_base_medium,11,0.2,2,medium,base,base,7,7,14,4,5,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,16.2,0.9320987654320988,0.9166666666666666,0.9487179487179487,0.8783333333333333,0.4151514136236212,0.5587491477436626,0.13956388505406322,0.546961298086376,0.5433985000288463,0.13714733693650819,0.24171735511999645,0.5789473684210527,0.14274355362979355,0.12977174340810704,0.9320987654320988,162,4.4,2.4,3.7,5.7,8.2,2.8,3.0,1.2,2.3,1.2,0.8,0.0,0.651652514152514,0.2532176157176157,0.09512987012987013,0.0,UL,0.9739059140348848,0.005555555555555555,0.0,0.0,0.0,UL,0.1,1,0.0,0.9,0.0,0.0,0.0
size11_comp0.2_grid3_base_medium,11,0.2,3,medium,base,base,4,7,11,11,0,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,23.0,0.7217391304347827,0.6666666666666666,0.7633587786259542,0.5203232169532394,0.7787732021568727,0.5791016025825937,0.2264681041447401,0.6994279390820766,0.5834586539016274,0.38483655017152657,0.8184458336942708,0.5769230769230769,0.1472838811313469,0.18086584941788558,0.7217391304347827,230,2.7,9.0,8.0,3.3,6.8,6.5,3.9,4.8,7.2,4.6,0.9,0.8,0.2975824175824176,0.3433547008547008,0.3528128815628816,0.00625,DL,1.2388626361804265,0.0,0.0032258064516129032,0.01599373040752351,0.0,DL,0.5,1,0.3,0.0,0.0,0.0,0.0
size11_comp0.2_grid4_base_medium,11,0.2,4,medium,base,base,3,5,8,4,2,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,13.0,0.7846153846153846,0.9142857142857143,0.7368421052631579,0.6555743430975629,0.638740215464926,0.3684210526315789,0.18796276405875523,0.2512372150473069,0.2,0.08942005165617176,0.7771341441855044,0.42857142857142855,0.22315658991682077,0.20447844209454116,0.7846153846153846,130,4.6,3.4,4.0,1.0,5.0,2.6,2.3,2.1,3.4,2.0,1.6,0.6,0.0,1.0,0.0,0.0,UR,0.0,0.0,0.25638743351591653,0.0,0.0,UR,3.2,8,0.0,1.0,0.0,0.0,0.0
