trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,reached_goal,coin_collected,coin_collection_step,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate,preferred_quadrant,quadrant_entropy,quadrant_count_ul,quadrant_count_ur,quadrant_count_dl,quadrant_count_dr,quadrant_count_midline,quadrant_fraction_ul,quadrant_fraction_ur,quadrant_fraction_dl,quadrant_fraction_dr,quadrant_fraction_midline,preferred_corner,corner_fraction_ul,corner_fraction_ur,corner_fraction_dl,corner_fraction_dr,max_corner_dwell_run,start_quadrant,terminal_quadrant,coin_quadrant,preferred_quadrant_contains_start,preferred_quadrant_contains_coin,preferred_corner_contains_start,preferred_corner_contains_goal,preferred_corner_contains_coin
0,0,size11_comp0.0_grid0_base_random,11,0.0,random,base,base,7,7,14,4,5,1,1,1,1,0,-1,62,0.0,0.43548387096774194,0.43548387096774194,0.0,26,14,11,11,18,15,13,15,35,13,0,8,0.12903225806451613,UR,0.8148994594848438,1,37,1,5,18,0.022727272727272728,0.8409090909090909,0.022727272727272728,0.11363636363636363,0.2903225806451613,UR,0.0,0.1935483870967742,0.0,0.0,6,midline,ur,ul,0,0,0,0,0
1,0,size11_comp0.0_grid0_base_random,11,0.0,random,base,base,7,7,14,4,5,1,1,1,0,0,-1,64,0.0,0.484375,0.484375,0.0,13,17,20,14,16,16,15,16,34,15,0,4,0.0625,DR,0.7935912300117064,0,0,11,35,18,0.0,0.0,0.2391304347826087,0.7608695652173914,0.28125,DR,0.0,0.0,0.0,0.09375,6,midline,ur,ul,0,0,0,0,0
2,0,size11_comp0.0_grid0_base_random,11,0.0,random,base,base,7,7,14,4,5,1,1,1,1,1,26,52,0.2692307692307692,0.5961538461538461,0.6296296296296297,0.56,20,12,10,10,18,13,9,11,23,10,2,4,0.07692307692307693,DR,1.5347890105350324,9,16,0,17,10,0.21428571428571427,0.38095238095238093,0.0,0.40476190476190477,0.19230769230769232,UR,0.0,0.057692307692307696,0.0,0.019230769230769232,3,midline,ur,ul,0,0,0,0,0
3,0,size11_comp0.0_grid0_base_random,11,0.0,random,base,base,7,7,14,4,5,1,1,1,0,1,55,64,0.0,0.546875,0.5535714285714286,0.5,17,18,16,13,8,21,23,11,31,10,2,1,0.015625,DR,1.7420756376586204,13,5,5,21,20,0.29545454545454547,0.11363636363636363,0.11363636363636363,0.4772727272727273,0.3125,,0.0,0.0,0.0,0.0,0,midline,ur,ul,0,0,0,0,0
4,0,size11_comp0.0_grid0_base_random,11,0.0,random,base,base,7,7,14,4,5,1,1,1,0,1,17,64,0.0,0.453125,0.6666666666666666,0.3695652173913043,14,20,19,11,17,15,15,16,30,13,3,7,0.109375,DL,1.4521800112652465,10,5,32,3,14,0.2,0.1,0.64,0.06,0.21875,DL,0.015625,0.0,0.1875,0.0,8,midline,ur,ul,0,0,0,0,0
5,0,size11_comp0.0_grid0_base_random,11,0.0,random,base,base,7,7,14,4,5,1,1,1,0,1,22,64,0.0,0.5,0.6521739130434783,0.4146341463414634,17,21,12,14,20,16,16,11,36,10,0,7,0.109375,DR,0.828411716566275,2,7,0,40,15,0.04081632653061224,0.14285714285714285,0.0,0.8163265306122449,0.234375,DR,0.0,0.0,0.0,0.1875,7,midline,ur,ul,0,0,0,0,0
6,0,size11_comp0.0_grid0_base_random,11,0.0,random,base,base,7,7,14,4,5,1,1,1,0,1,35,64,0.0,0.515625,0.5833333333333334,0.42857142857142855,15,10,25,14,16,17,14,16,28,15,0,5,0.078125,UR,1.9259499564076041,12,18,12,7,15,0.24489795918367346,0.3673469387755102,0.24489795918367346,0.14285714285714285,0.234375,UR,0.03125,0.0625,0.0,0.0,4,midline,ur,ul,0,0,0,0,0
7,0,size11_comp0.0_grid0_base_random,11,0.0,random,base,base,7,7,14,4,5,1,1,1,1,0,-1,59,0.0,0.4915254237288136,0.4915254237288136,0.0,18,14,13,14,17,14,11,16,35,15,0,1,0.01694915254237288,UR,0.9996734260048917,0,24,0,23,12,0.0,0.5106382978723404,0.0,0.48936170212765956,0.2033898305084746,UR,0.0,0.03389830508474576,0.0,0.01694915254237288,1,midline,ur,ul,0,0,0,0,0
8,0,size11_comp0.0_grid0_base_random,11,0.0,random,base,base,7,7,14,4,5,1,1,1,0,0,-1,64,0.0,0.40625,0.40625,0.0,14,20,12,18,9,16,14,24,51,24,0,9,0.140625,DR,0.43408112000433474,0,5,0,51,8,0.0,0.08928571428571429,0.0,0.9107142857142857,0.125,DR,0.0,0.0,0.0,0.6875,37,midline,ur,ul,0,0,0,0,0
9,0,size11_comp0.0_grid0_base_random,11,0.0,random,base,base,7,7,14,4,5,1,1,1,1,0,-1,32,0.0,0.4375,0.4375,0.0,9,5,7,11,8,10,6,7,16,6,0,4,0.125,DR,0.8112781244591328,0,6,0,18,8,0.0,0.25,0.0,0.75,0.25,UR,0.0,0.0625,0.0,0.03125,2,midline,ur,ul,0,0,0,0,0
0,1,size11_comp0.0_grid1_base_random,11,0.0,random,base,base,4,3,7,7,0,1,1,1,1,1,13,17,0.4117647058823529,0.6470588235294118,0.5714285714285714,1.0,4,5,6,2,6,6,1,3,6,3,1,2,0.11764705882352941,UR,0.5032583347756457,1,8,0,0,8,0.1111111111111111,0.8888888888888888,0.0,0.0,0.47058823529411764,UR,0.0,0.23529411764705882,0.0,0.0,4,ur,ul,ur,1,1,0,0,0
1,1,size11_comp0.0_grid1_base_random,11,0.0,random,base,base,4,3,7,7,0,1,1,1,0,0,-1,64,0.0,0.421875,0.421875,0.0,11,19,17,17,12,12,19,20,36,16,0,8,0.125,DR,1.300060182908752,0,17,5,31,11,0.0,0.32075471698113206,0.09433962264150944,0.5849056603773585,0.171875,UR,0.0,0.078125,0.0,0.015625,4,ur,ul,ur,0,0,0,0,0
2,1,size11_comp0.0_grid1_base_random,11,0.0,random,base,base,4,3,7,7,0,1,1,1,0,1,25,64,0.0,0.421875,0.5,0.3684210526315789,15,17,11,21,16,25,9,13,46,10,0,11,0.171875,UR,0.7367680100024783,0,42,0,11,11,0.0,0.7924528301886793,0.0,0.20754716981132076,0.171875,UR,0.0,0.109375,0.0,0.0,5,ur,ul,ur,1,1,0,0,0
3,1,size11_comp0.0_grid1_base_random,11,0.0,random,base,base,4,3,7,7,0,1,1,1,1,0,-1,16,0.0,0.5,0.5,0.0,4,5,6,1,5,4,5,1,3,0,0,1,0.0625,UR,0.7219280948873623,3,12,0,0,1,0.2,0.8,0.0,0.0,0.0625,UR,0.0,0.375,0.0,0.0,6,ur,ul,ur,1,1,0,0,0
4,1,size11_comp0.0_grid1_base_random,11,0.0,random,base,base,4,3,7,7,0,1,1,1,1,1,28,61,0.11475409836065574,0.5245901639344263,0.5517241379310345,0.5,13,15,17,16,12,18,13,17,39,16,2,4,0.06557377049180328,UR,0.5909495171207191,5,46,0,1,9,0.09615384615384616,0.8846153846153846,0.0,0.019230769230769232,0.14754098360655737,UR,0.0,0.13114754098360656,0.0,0.0,3,ur,ul,ur,1,1,0,0,0
5,1,size11_comp0.0_grid1_base_random,11,0.0,random,base,base,4,3,7,7,0,1,1,1,0,1,7,64,0.0,0.453125,0.625,0.42857142857142855,14,11,18,21,15,13,18,17,45,14,4,8,0.125,UR,0.13503620280212764,1,52,0,0,11,0.018867924528301886,0.9811320754716981,0.0,0.0,0.171875,UR,0.0,0.3125,0.0,0.0,14,ur,ul,ur,1,1,0,0,0
