distance_to_goal,n_states,mean_entropy,se_entropy,mean_optimal_entropy,se_optimal_entropy,mean_jsd,se_jsd,accuracy,total_observations,is_capped
1,320,1.029841118666892,0.03843807170975346,0.4898590234442608,0.028471463583368432,0.5379956845507083,0.018401829469290008,0.4125,1478,False
2,513,1.234788108792863,0.030397778726213593,0.5071538499053456,0.022254011992238462,0.4974906288043703,0.013054131813588507,0.39766081871345027,3620,False
3,665,1.2646310298438272,0.027057261515001235,0.5602781390988287,0.019316667801576853,0.5034143877654625,0.011061123164463855,0.40601503759398494,5979,False
4,746,1.3167426919925567,0.024961396934377406,0.5661392091191483,0.01834043775591828,0.48491115393598827,0.009857254714443958,0.4195710455764075,7224,False
5,737,1.3533113375431043,0.02444808757748038,0.5618653154749635,0.01861285569241903,0.48763014519821624,0.009770966225723383,0.41926729986431477,7434,False
6,644,1.3238087703060497,0.027123825339417953,0.5789590450422539,0.020037372135649222,0.47437244763356384,0.010363400103012647,0.44875776397515527,6437,False
7,518,1.337381221098766,0.02921324303569043,0.5975092181550713,0.022044050665477738,0.48011890435468596,0.011613714826301089,0.4266409266409266,5090,False
8,432,1.3512332935548992,0.03136262511918779,0.5868281828803864,0.024339910294758616,0.46397248689899967,0.012316800276518103,0.4351851851851852,4301,False
9,322,1.3097299642396059,0.03836285925292861,0.6452015139818741,0.02720377152526974,0.47481817845089846,0.014713620256261621,0.4192546583850932,3284,False
10,251,1.2963776687844148,0.04336675437163966,0.5378486055776892,0.03153204611539344,0.49376026031396325,0.0166489888156294,0.44223107569721115,2634,False
11,156,1.319181113866887,0.056549982881490705,0.5833333333333334,0.039599246942624275,0.48675660738402154,0.02127589751344245,0.4423076923076923,1489,False
12,86,1.1835433265937396,0.07732990598811554,0.6162790697674418,0.052745691536791255,0.5021971399807003,0.03030292204479121,0.4186046511627907,764,False
13,51,1.0574819959268595,0.1114042993795139,0.49019607843137253,0.07069708383262724,0.47901716768312175,0.044365367800850625,0.49019607843137253,411,False
14,22,1.2969350577761705,0.15189669980630413,0.6818181818181818,0.1016394535227177,0.4513192646741478,0.044194135230875044,0.45454545454545453,168,False
15,12,1.1067112132667718,0.21031846170248253,0.4166666666666667,0.1486470975026408,0.5711224449075988,0.10898114126228756,0.25,94,False
16,6,1.751893747506644,0.18964068344515014,0.5,0.22360679774997896,0.5220986612848235,0.08559550511289046,0.16666666666666666,63,False
17,1,1.5,,1.0,,0.15563906222956642,,1.0,4,False
18,1,0.0,,0.0,,1.0,,0.0,1,False
