grid_size,density,reasoning_effort,n_grids,mean_coin_collected_rate,se_coin_collected_rate,mean_full_success_rate,se_full_success_rate,mean_goal_only_rate,se_goal_only_rate,mean_action_accuracy,se_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,mean_spl,se_spl,mean_entropy,mean_jsd,mean_entropy_phase1,mean_entropy_phase2,mean_optimal_entropy_phase1,mean_optimal_entropy_phase2,mean_jsd_phase1,mean_jsd_phase2,mean_ece,mean_start_to_goal_distance,mean_coin_detour_distance,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_quadrant_fraction_ul,mean_quadrant_fraction_ur,mean_quadrant_fraction_dl,mean_quadrant_fraction_dr,mean_quadrant_entropy,mean_corner_fraction_ul,mean_corner_fraction_ur,mean_corner_fraction_dl,mean_corner_fraction_dr,mean_max_corner_dwell_run,worst_max_corner_dwell_run,mean_preferred_quadrant_contains_start,mean_preferred_quadrant_contains_coin,mean_preferred_corner_contains_start,mean_preferred_corner_contains_goal,mean_preferred_corner_contains_coin
7,0.0,random,10,0.27999999999999997,0.03887301263230201,0.05,0.016666666666666666,0.38,0.061101009266077866,0.43290979711944677,0.01204581621602243,0.43992813476006987,0.39150619842063206,0.016857813210754385,0.006067223105841999,1.3074231305175381,0.4696328203706697,1.5018622770912,0.8969820898699539,0.6867856895202433,0.6907668067226891,0.4373934632036918,0.5406634688602521,0.16006506827080774,4.1,2.3,6.51,6.75,6.409999999999999,6.720000000000001,6.720000000000001,6.44,6.23,6.0,15.719999999999999,4.41,0.75,0.2213784531314246,0.22457100358025786,0.31485711861869325,0.22919342466962428,0.8799023844000438,0.023991845957363197,0.04899167428372087,0.044207599657589025,0.036660503140650204,2.32,4.9,0.45,0.12,0.0,0.0,0.0
7,0.2,random,10,0.25,0.060092521257733164,0.01,0.01,0.32,0.07118052168020873,0.37449467396668445,0.011429308755797719,0.37603620603571125,0.3128992664307761,0.00411764705882353,0.00411764705882353,1.334328497380546,0.5161179194193817,1.4441304654119138,0.8346466761954963,0.4622672459179918,0.48342278778019165,0.48833074809368854,0.5515872793641429,0.16734954953108908,3.8,3.0,6.21,6.840000000000001,6.24,7.209999999999999,6.16,6.57,6.32,6.45,17.95,4.59,0.72,0.14605426320118325,0.21594734365774987,0.1768495628837567,0.4411488302573102,0.6443524600756727,0.0196875,0.03374629578407469,0.03262400793650794,0.07934057938392304,2.2600000000000002,5.9,0.54,0.13,0.0,0.0,0.0
7,0.4,random,10,0.22000000000000003,0.05734883511361751,0.05,0.0223606797749979,0.33999999999999997,0.07023769168568492,0.330730357788188,0.010697882018808893,0.33034464363802435,0.33689208851944696,0.014024731182795699,0.00618771105844096,1.4062566520872901,0.5117372585847255,1.5619559894127801,0.8975472294811452,0.33856738376862217,0.2668136258324844,0.5032630929423932,0.44166144204691876,0.17080496163000833,4.3,2.4,6.590000000000001,6.540000000000001,6.2700000000000005,6.2,6.470000000000001,6.220000000000001,5.83,6.08,18.48,3.6100000000000003,0.9800000000000001,0.27888658013725653,0.21257854899334575,0.22681950915142796,0.24171536171796976,0.517731283157261,0.03277480158730158,0.036669851566152406,0.029366956654456655,0.03748506895745675,2.05,5.4,0.38,0.15,0.0,0.0,0.0
7,0.6,random,10,0.11000000000000001,0.040688518719112346,0.04,0.026666666666666672,0.27999999999999997,0.048989794855663564,0.28633679288381797,0.015198672445732695,0.28106707088556176,0.20198017036726715,0.013508373896543191,0.009208390516202841,1.5532828097975067,0.5219042547240631,1.6339879083203506,0.5341503682913322,0.20176470588235293,0.1794047619047619,0.5266153004583279,0.24907791561493592,0.207059035737193,4.6,4.1,6.88,7.06,7.06,6.640000000000001,6.540000000000001,6.67,6.69,6.74,21.61,3.72,0.41,0.23908931764587632,0.1142627477541844,0.4206005114706427,0.2260474231292966,0.5236455591416379,0.06778004992319508,0.020269947443860487,0.15702369284731713,0.03221635304659498,4.220000000000001,8.2,0.7,0.07,0.0,0.0,0.0
9,0.0,random,10,0.32,0.06463573143221772,0.06,0.030550504633038936,0.16999999999999998,0.05587684871413403,0.44275201848122353,0.008042048122908919,0.43855727358221336,0.45194486122865396,0.02324159291550596,0.01246445963843843,1.2342238069640628,0.4587076300387031,1.3840048854496472,0.7282455613202421,0.7447210471143201,0.7412391774891776,0.4447147392034415,0.43162873855669465,0.11440042850949148,6.1,2.0,10.43,10.52,10.6,10.639999999999999,10.620000000000001,10.290000000000001,9.9,10.379999999999999,25.6,8.67,0.86,0.26938831955410975,0.19280270588902723,0.2006603209563867,0.3371486536004763,0.9067783705325676,0.09996856725146198,0.05043687290969899,0.04791463181508948,0.09713105988763884,7.57,20.7,0.48999999999999994,0.13999999999999999,0.0,0.0,0.0
9,0.2,random,10,0.38,0.07717224601860151,0.06,0.0339934634239519,0.19,0.05859465277082315,0.4049771568605884,0.007120463502030675,0.41105667281282143,0.38463827371863346,0.011435635787496984,0.0066950353262682435,1.2609610256925243,0.4904048563923329,1.388161818556875,0.9866695131361984,0.5850631820309273,0.5406475146369246,0.46887079015474364,0.49896778496859834,0.1337640515435512,5.8,2.0,11.11,10.33,10.42,10.8,10.28,10.59,10.57,10.22,28.32,7.840000000000001,1.06,0.3406276525301914,0.2253091653361677,0.24502542223123247,0.18903775990240837,0.7613351483950034,0.09498124308825184,0.06689825044800013,0.058781422586836475,0.05729474548440065,7.06,14.7,0.58,0.17,0.0,0.0,0.0
9,0.4,random,10,0.15,0.05,0.0,0.0,0.2,0.06324555320336758,0.3491514120908369,0.010865945649003247,0.34875222376640086,0.20964989396568345,0.0,0.0,1.4074772507086017,0.4949761003318945,1.5101454594997787,0.5827911338449352,0.40464473056171035,0.2824756149483746,0.4726610341959748,0.3315629260597654,0.18229325562719384,6.3,2.9,10.879999999999999,10.67,11.0,10.58,10.209999999999999,10.83,10.49,10.6,31.47,7.0,0.45999999999999996,0.15362189102494328,0.08992569510777901,0.4663988432053666,0.29005357066191106,0.6954779255170747,0.03624164044059795,0.014583333333333332,0.1793251778445069,0.1029572510822511,9.370000000000001,23.0,0.62,0.02,0.0,0.0,0.0
9,0.6,random,10,0.21000000000000002,0.06741249472052227,0.039999999999999994,0.030550504633038936,0.2,0.08944271909999159,0.30343757344578765,0.014035854640256066,0.3001454053431041,0.29650940376237017,0.012527127659574467,0.008405494135063973,1.4376800763741406,0.5271246093054629,1.5011068439396997,0.6940793938372286,0.2688286995090234,0.2830769230769231,0.5333850993356292,0.3364929780196464,0.16987797404600355,6.6,3.5,10.53,10.75,11.1,10.790000000000001,10.48,10.78,10.260000000000002,10.65,33.32,5.96,0.69,0.25973109500458247,0.3029433120759419,0.1289629351759566,0.30836265774351906,0.6464947663161291,0.07971673229993341,0.11486521815768735,0.03283030303030303,0.12125603120971284,9.17,22.6,0.67,0.11000000000000001,0.0,0.0,0.0
11,0.0,random,10,0.24,0.07023769168568492,0.09,0.03785938897200183,0.23000000000000004,0.053851648071345036,0.4568947167271789,0.0069102203493525355,0.4575829013642255,0.43278242216927526,0.019280400807219794,0.008156492343163896,1.1531090931952437,0.4759895563099198,1.2683925877953164,0.6072417208161063,0.8013517968373789,0.7017043527068886,0.45903006961128145,0.46722018456010694,0.09295055826568342,4.7,3.4,13.23,13.64,13.819999999999999,13.11,12.89,13.440000000000001,13.02,13.45,32.0,11.75,0.6799999999999999,0.17390649943891318,0.20488744293782574,0.3304736831852876,0.29073237443797356,0.8128824603066045,0.024757155259900628,0.03717830658504493,0.09494081548983405,0.058808203394156086,6.0600000000000005,16.0,0.53,0.16999999999999998,0.0,0.0,0.0
11,0.2,random,10,0.21000000000000002,0.07218802609235907,0.04,0.02211083193570267,0.17,0.05385164807134504,0.4301692217028923,0.005756929309785897,0.432272368461155,0.2516318726262981,0.007836676984217968,0.004307787194327354,1.2995380104106522,0.4663068701989051,1.3481801600493004,0.5471385348545302,0.6338892311854073,0.3603338612588297,0.4555010857622882,0.3066444473260095,0.12525547978299184,7.1,3.3,14.64,14.169999999999998,14.059999999999999,14.669999999999998,13.73,14.61,13.99,14.209999999999999,37.839999999999996,11.5,0.67,0.30884916574490034,0.1552917540281883,0.25587148755455225,0.27998759267235906,0.7727355108434655,0.042092779503105596,0.021875,0.03083978433289874,0.06724698622803131,5.83,17.8,0.5,0.22000000000000003,0.0,0.0,0.0
11,0.4,random,10,0.16999999999999998,0.04955356249106169,0.02,0.013333333333333334,0.2,0.0557773351022717,0.3616600756864249,0.009129382468727293,0.3598262843050084,0.5124657844082057,0.004073426573426573,0.0029041859256234946,1.3221133887330967,0.49210456676882564,1.418846986614901,0.6947366889940928,0.47548411296748594,0.6388934676434677,0.4863885455273144,0.4807425954869527,0.13868549642359254,5.7,5.1,14.690000000000001,14.88,13.940000000000001,14.569999999999999,14.969999999999999,13.74,14.35,14.02,41.79,9.64,0.49000000000000005,0.279950051697712,0.27065082415684966,0.21113380168420232,0.23826532246123602,0.640370055753461,0.03868531969540382,0.053650975250239964,0.0412450260804769,0.05122159090909091,6.49,17.9,0.37,0.2,0.0,0.0,0.0
