grid_id,grid_size,density,instance_id,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,num_trajectories,num_coin_collected,num_goal_after_coin,num_goal_only,coin_collected_rate,goal_after_coin_rate,goal_only_rate,full_success_rate,mean_trajectory_length,mean_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,spl,mean_entropy,mean_optimal_entropy,mean_jsd,mean_entropy_phase1,mean_optimal_entropy_phase1,mean_jsd_phase1,mean_entropy_phase2,mean_optimal_entropy_phase2,mean_jsd_phase2,ece,mean_step_accuracy,total_steps,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions,mean_quadrant_fraction_ul,mean_quadrant_fraction_ur,mean_quadrant_fraction_dl,mean_quadrant_fraction_dr,preferred_quadrant,mean_quadrant_entropy,mean_corner_fraction_ul,mean_corner_fraction_ur,mean_corner_fraction_dl,mean_corner_fraction_dr,preferred_corner,mean_max_corner_dwell_run,worst_max_corner_dwell_run,mean_preferred_quadrant_contains_start,mean_preferred_quadrant_contains_coin,mean_preferred_corner_contains_start,mean_preferred_corner_contains_goal,mean_preferred_corner_contains_coin
size11_comp0.0_grid0_base_random,11,0.0,0,random,base,base,7,7,14,4,5,1,1,1,10,5,1,3,0.5,0.1,0.3,0.1,58.9,0.4872665534804754,0.5056689342403629,0.43243243243243246,0.02692307692307692,0.9939959166744813,0.8048780487804879,0.47918666145538763,1.296504042056237,0.7741935483870968,0.39171723369284495,0.6865286416963031,0.8360655737704918,0.5680900142632178,0.12023425878575766,0.4872665534804754,589,16.3,15.1,14.5,13.0,14.7,15.3,13.6,14.3,31.9,13.1,0.7,5.0,0.10181818181818184,0.2795625929288543,0.12603920303299185,0.49258002221997205,DR,1.1336929692397688,0.0046875,0.041013899987382765,0.01875,0.1036179921773142,DR,7.4,37,0.0,0.0,0.0,0.0,0.0
size11_comp0.0_grid1_base_random,11,0.0,1,random,base,base,4,3,7,7,0,1,1,1,10,7,3,1,0.7,0.3,0.1,0.3,50.3,0.4831013916500994,0.5018867924528302,0.46218487394957986,0.08065188042430087,1.0663284844518857,0.8018867924528302,0.45737322480649645,1.1687661964228304,0.7755102040816326,0.426292638414498,0.9782679952137052,0.8245614035087719,0.48409162363470576,0.0749133764016653,0.4831013916500994,503,10.8,13.3,13.6,12.6,12.0,12.4,13.0,11.9,28.3,10.2,1.4,4.9,0.042613288179325914,0.6846603049064084,0.0460046182359554,0.22672178867831044,UR,0.7823062936104869,0.0,0.18858166586306654,0.003125,0.0265625,UR,6.4,14,0.7,0.7,0.0,0.0,0.0
size11_comp0.0_grid2_base_random,11,0.0,2,random,base,base,4,10,14,6,4,1,1,1,10,1,0,4,0.1,0.0,0.4,0.0,51.6,0.4263565891472868,0.42436974789915966,0.45,0.0,1.1668865169939135,0.7954545454545454,0.5012154385506972,1.2485844503234997,0.8055555555555556,0.5043770007326768,0.7992458170107757,0.75,0.4869884087317883,0.04149168382122925,0.4263565891472868,516,11.2,11.9,15.4,13.1,13.4,13.4,12.7,11.1,30.1,10.0,0.1,5.3,0.19718339258780437,0.045804033988177215,0.2794212738575584,0.47759129956646007,DR,0.9374429730250464,0.040625,0.003125,0.018492324561403508,0.07833333333333334,DR,4.7,19,0.5,0.0,0.0,0.0,0.0
size11_comp0.0_grid3_base_random,11,0.0,3,random,base,base,7,3,10,4,3,1,1,1,10,1,1,0,0.1,0.1,0.0,0.1,60.7,0.45304777594728174,0.4513422818791946,0.5454545454545454,0.03225806451612903,1.326772658346069,0.7682926829268293,0.4435784149626986,1.393071445914346,0.7894736842105263,0.4429781092168263,0.48698801581456036,0.5,0.4511822877437485,0.08197654664240785,0.45304777594728174,607,14.7,14.2,16.3,15.5,13.5,15.6,15.0,15.6,36.0,13.6,0.5,6.8,0.14381282063652884,0.5032366996471912,0.22045237437334703,0.13249810534293294,UR,0.9318567456897956,0.04133064516129033,0.0953125,0.0265625,0.0109375,UR,6.2,14,0.6,0.1,0.0,0.0,0.0
size11_comp0.0_grid4_base_random,11,0.0,4,random,base,base,3,3,6,4,1,1,1,1,10,4,3,1,0.4,0.3,0.1,0.3,57.5,0.4678260869565217,0.46357615894039733,0.48360655737704916,0.030470986208691125,1.2489773401377355,0.7623762376237624,0.4402883219262342,1.3046324414607446,0.7857142857142857,0.43195564236252604,1.123304530698683,0.7096774193548387,0.45910404997331694,0.16269902814457274,0.4678260869565217,575,13.7,13.9,15.9,14.0,12.5,12.3,14.4,17.3,36.8,15.6,1.3,4.3,0.1728896103896104,0.09034690799396682,0.413935147405222,0.3228283342112007,DL,0.6997705885366429,0.0328125,0.0015625,0.062461645632752194,0.03014856557377049,DL,4.5,12,0.0,0.5,0.0,0.0,0.0
size11_comp0.0_grid5_base_random,11,0.0,5,random,base,base,3,6,9,3,3,1,1,1,10,2,1,4,0.2,0.1,0.4,0.1,40.3,0.4317617866004963,0.42249240121580545,0.47297297297297297,0.0225,1.0243168115773296,0.7634408602150538,0.5305122281525025,1.0939379755779142,0.7857142857142857,0.5332559932088672,0.8124263124451159,0.6956521739130435,0.5221616388505231,0.10401959966018072,0.4317617866004963,403,11.3,10.8,8.9,9.3,8.4,11.5,9.8,9.6,22.0,8.6,1.3,3.8,0.08873015873015873,0.07865453728661276,0.7072833682739343,0.12533193570929418,DL,0.6846310205588294,0.003125,0.009375,0.3903720238095238,0.0125,DL,6.7,11,0.8,0.0,0.0,0.0,0.0
size11_comp0.0_grid6_base_random,11,0.0,6,random,base,base,4,3,7,3,2,1,1,1,10,1,0,5,0.1,0.0,0.5,0.0,47.7,0.45073375262054505,0.4520255863539446,0.375,0.0,1.1319770716875774,0.8088235294117647,0.5001892102542236,1.2829073479125876,0.8,0.46798386539849685,0.0,0.875,0.7417292966721748,0.12461244036321434,0.45073375262054505,477,12.0,12.9,11.3,11.5,11.5,10.4,11.9,12.9,29.3,11.2,0.0,4.9,0.6404388165552247,0.12049173274325405,0.16727457890664948,0.07179487179487179,UL,0.6255599837793843,0.0696623817966903,0.015625,0.004166666666666667,0.003125,UL,3.0,6,0.7,0.0,0.0,0.0,0.0
size11_comp0.0_grid7_base_random,11,0.0,7,random,base,base,6,4,10,6,2,1,1,1,10,0,0,1,0.0,0.0,0.1,0.0,61.5,0.44227642276422763,0.44227642276422763,0.0,0.0,1.3896179916219469,0.8421052631578947,0.49423217050988943,1.3896179916219469,0.8421052631578947,0.49423217050988943,0.0,0.0,0.0,0.0652412508835253,0.44227642276422763,615,14.2,17.2,15.7,14.4,13.5,15.2,15.0,16.8,40.1,14.6,0.0,6.9,0.0843937575030012,0.004088443888193576,0.6337710439453154,0.2777467546634898,DL,0.666986165059867,0.02564102564102564,0.0,0.15625,0.034375,DL,7.5,17,0.7,0.1,0.0,0.0,0.0
size11_comp0.0_grid8_base_random,11,0.0,8,random,base,base,10,9,19,3,8,1,1,1,10,2,0,3,0.2,0.0,0.3,0.0,48.4,0.48140495867768596,0.47642679900744417,0.5061728395061729,0.0,1.132490839982704,0.8764044943820225,0.46899492136571497,1.233653001923219,0.8333333333333334,0.453713710180844,0.8421994187620965,1.0,0.5128453534614317,0.08873794359418948,0.48140495867768596,484,12.7,12.8,11.2,11.7,12.7,12.4,12.3,10.0,28.6,8.1,1.4,6.3,0.12047073073604567,0.14978126517882248,0.5876700712170694,0.1420779328680625,DL,0.7001884549011699,0.0171875,0.0046875,0.2582904942279942,0.015625,DL,5.8,15,0.5,0.2,0.0,0.0,0.0
size11_comp0.0_grid9_base_random,11,0.0,9,random,base,base,7,12,19,7,6,1,1,1,10,1,0,1,0.1,0.0,0.1,0.0,61.1,0.4451718494271686,0.4357638888888889,0.6,0.0,1.0497273004787941,0.8229166666666666,0.4443249711153534,1.2722509847398398,0.821917808219178,0.44379433239534494,0.34345647651982325,0.8260869565217391,0.44600917227016285,0.06557945436009166,0.4451718494271686,611,15.4,14.3,15.4,16.0,16.7,15.9,12.5,15.0,36.9,12.5,0.1,7.5,0.1467142372532503,0.09224791081677654,0.12288515260483224,0.638152699325141,DR,0.9663894086650542,0.0125,0.0125,0.0109375,0.27285714285714285,DR,8.4,15,0.8,0.1,0.0,0.0,0.0
