trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,reached_goal,coin_collected,coin_collection_step,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate,preferred_quadrant,quadrant_entropy,quadrant_count_ul,quadrant_count_ur,quadrant_count_dl,quadrant_count_dr,quadrant_count_midline,quadrant_fraction_ul,quadrant_fraction_ur,quadrant_fraction_dl,quadrant_fraction_dr,quadrant_fraction_midline,preferred_corner,corner_fraction_ul,corner_fraction_ur,corner_fraction_dl,corner_fraction_dr,max_corner_dwell_run,start_quadrant,terminal_quadrant,coin_quadrant,preferred_quadrant_contains_start,preferred_quadrant_contains_coin,preferred_corner_contains_start,preferred_corner_contains_goal,preferred_corner_contains_coin
0,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,7,12,10,1,1,1,1,1,0,-1,30,0.0,0.4666666666666667,0.4666666666666667,0.0,4,0,10,16,10,4,3,12,15,12,0,0,0.0,UR,0.4262286569981449,0,21,2,0,7,0.0,0.9130434782608695,0.08695652173913043,0.0,0.23333333333333334,,0.0,0.0,0.0,0.0,0,dl,ur,midline,0,0,0,0,0
1,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,7,12,10,1,1,1,1,0,0,-1,64,0.0,0.484375,0.484375,0.0,3,0,27,34,22,2,2,37,49,35,0,2,0.03125,UR,1.2974084380411406,0,33,5,20,6,0.0,0.5689655172413793,0.08620689655172414,0.3448275862068966,0.09375,,0.0,0.0,0.0,0.0,0,dl,ur,midline,0,0,0,0,0
2,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,7,12,10,1,1,1,1,1,0,-1,56,0.0,0.48214285714285715,0.48214285714285715,0.0,6,2,21,27,19,5,6,25,38,25,0,0,0.0,UR,0.9666108463978046,0,40,5,6,5,0.0,0.7843137254901961,0.09803921568627451,0.11764705882352941,0.08928571428571429,,0.0,0.0,0.0,0.0,0,dl,ur,midline,0,0,0,0,0
3,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,7,12,10,1,1,1,1,1,0,-1,33,0.0,0.45454545454545453,0.45454545454545453,0.0,5,1,10,17,13,5,3,11,15,10,0,1,0.030303030303030304,UR,1.0575851584676956,0,21,4,3,5,0.0,0.75,0.14285714285714285,0.10714285714285714,0.15151515151515152,,0.0,0.0,0.0,0.0,0,dl,ur,midline,0,0,0,0,0
4,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,7,12,10,1,1,1,1,1,0,-1,26,0.0,0.46153846153846156,0.46153846153846156,0.0,4,0,8,14,11,4,4,6,7,6,0,0,0.0,UR,1.5566567074628228,0,9,6,6,5,0.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.19230769230769232,,0.0,0.0,0.0,0.0,0,dl,ur,midline,0,0,0,0,0
5,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,7,12,10,1,1,1,1,1,0,-1,24,0.0,0.4583333333333333,0.4583333333333333,0.0,4,0,7,13,6,2,4,11,11,11,0,0,0.0,DR,1.509968612636817,0,8,4,9,3,0.0,0.38095238095238093,0.19047619047619047,0.42857142857142855,0.125,,0.0,0.0,0.0,0.0,0,dl,ur,midline,0,0,0,0,0
6,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,7,12,10,1,1,1,1,1,0,-1,29,0.0,0.4482758620689655,0.4482758620689655,0.0,4,0,9,16,14,2,3,9,12,8,0,1,0.034482758620689655,UR,1.1056124005414156,0,19,4,3,3,0.0,0.7307692307692307,0.15384615384615385,0.11538461538461539,0.10344827586206896,,0.0,0.0,0.0,0.0,0,dl,ur,midline,0,0,0,0,0
7,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,7,12,10,1,1,1,1,0,0,-1,64,0.0,0.484375,0.484375,0.0,5,2,25,32,20,7,6,30,45,30,0,0,0.0,UR,0.998606771487225,1,43,6,4,10,0.018518518518518517,0.7962962962962963,0.1111111111111111,0.07407407407407407,0.15625,,0.0,0.0,0.0,0.0,0,dl,ur,midline,0,0,0,0,0
8,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,7,12,10,1,1,1,1,1,0,-1,48,0.0,0.4791666666666667,0.4791666666666667,0.0,4,0,19,25,21,3,0,23,33,23,0,0,0.0,UR,1.3015742892816131,0,26,4,16,2,0.0,0.5652173913043478,0.08695652173913043,0.34782608695652173,0.041666666666666664,,0.0,0.0,0.0,0.0,0,dl,ur,midline,0,0,0,0,0
9,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,7,12,10,1,1,1,1,1,0,-1,44,0.0,0.4772727272727273,0.4772727272727273,0.0,6,2,15,21,14,10,2,17,27,17,0,0,0.0,UR,0.39124356362925566,0,36,3,0,5,0.0,0.9230769230769231,0.07692307692307693,0.0,0.11363636363636363,UR,0.0,0.09090909090909091,0.0,0.0,4,dl,ur,midline,0,0,0,0,0
0,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,6,7,13,7,3,1,1,1,1,0,-1,9,0.0,0.4444444444444444,0.4444444444444444,0.0,3,0,5,1,2,2,3,1,1,1,0,0,0.0,DL,-0.0,0,0,5,0,4,0.0,0.0,1.0,0.0,0.4444444444444444,,0.0,0.0,0.0,0.0,0,midline,midline,midline,0,0,0,0,0
1,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,6,7,13,7,3,1,1,1,1,0,-1,11,0.0,0.45454545454545453,0.45454545454545453,0.0,3,0,6,2,4,3,1,2,2,2,0,0,0.0,DR,0.7219280948873623,0,0,1,4,6,0.0,0.0,0.2,0.8,0.5454545454545454,,0.0,0.0,0.0,0.0,0,midline,midline,midline,0,0,0,0,0
