distance_to_goal,n_states,mean_entropy,se_entropy,mean_optimal_entropy,se_optimal_entropy,mean_jsd,se_jsd,accuracy,total_observations,is_capped
1,167,0.6017582513691886,0.047269895896203507,0.5818558383319898,0.03914778442649986,0.49810493654363236,0.02717088106074659,0.5149700598802395,1675,False
2,255,0.7544360791417161,0.03741994803963354,0.5725490196078431,0.031040780882114108,0.48654004967827086,0.02087201729456774,0.5098039215686274,4139,False
3,315,0.829794175495649,0.034493566206195314,0.525666547621337,0.028345263336645783,0.45386979751532047,0.018187686955523478,0.5174603174603175,5892,False
4,334,0.8450233550817112,0.03182749299422188,0.5202242140783337,0.028151597466607618,0.47480156226609427,0.017538731212945708,0.5089820359281437,7851,False
5,292,0.8260929815621132,0.03477332373858218,0.5334071489800118,0.029799410187525913,0.45124001977964795,0.018749613941757993,0.5205479452054794,6224,False
6,221,0.774583493615409,0.038762961894957135,0.5237777715030021,0.034510886140894724,0.4328927810828487,0.021902821699707076,0.5701357466063348,5233,False
7,149,0.8457622512180774,0.045956100797578316,0.5218448825648555,0.04256871412344362,0.39111434496858,0.024509576702273588,0.6174496644295302,3336,False
8,111,0.7532098724137238,0.056317552450844695,0.5007654279344248,0.048462924856122,0.4285202780081592,0.028321859147887516,0.5315315315315315,2916,False
9,67,0.8586323579137765,0.06246015409013778,0.5161934701600173,0.06319471306529889,0.3920318400430425,0.03437611441564655,0.6119402985074627,1643,False
10,44,0.8846853545650833,0.07486549793983903,0.45454545454545453,0.07593355178041425,0.45967541814466983,0.04451647466210988,0.6136363636363636,1781,False
11,17,0.911993327666639,0.1255910579290491,0.6470588235294118,0.11947115300935235,0.44972607582649715,0.07936117269538909,0.5294117647058824,600,False
12,5,0.7432891774455338,0.2029340025799225,0.4,0.2449489742783178,0.24546890170815758,0.1469441634470742,0.8,147,False
13,1,0.0,,1.0,,0.31127812445913283,,1.0,22,False
