grid_size,density,reasoning_effort,n_grids,mean_coin_collected_rate,se_coin_collected_rate,mean_full_success_rate,se_full_success_rate,mean_goal_only_rate,se_goal_only_rate,mean_action_accuracy,se_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,mean_spl,se_spl,mean_entropy,mean_jsd,mean_entropy_phase1,mean_entropy_phase2,mean_optimal_entropy_phase1,mean_optimal_entropy_phase2,mean_jsd_phase1,mean_jsd_phase2,mean_ece,mean_start_to_goal_distance,mean_coin_detour_distance,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_quadrant_fraction_ul,mean_quadrant_fraction_ur,mean_quadrant_fraction_dl,mean_quadrant_fraction_dr,mean_quadrant_entropy,mean_corner_fraction_ul,mean_corner_fraction_ur,mean_corner_fraction_dl,mean_corner_fraction_dr,mean_max_corner_dwell_run,worst_max_corner_dwell_run,mean_preferred_quadrant_contains_start,mean_preferred_quadrant_contains_coin,mean_preferred_corner_contains_start,mean_preferred_corner_contains_goal,mean_preferred_corner_contains_coin
7,0.0,low,10,0.11000000000000001,0.08875684637129566,0.02,0.013333333333333336,0.76,0.12128936932440168,0.41968827315526563,0.03067655277640398,0.42862841986495914,0.2163963963963964,0.00791304347826087,0.0052757604563887,0.7016333420189657,0.500606027257117,0.7066799969820812,0.12920522229138523,0.6679479997127056,0.16,0.4892864928794725,0.09016012424194213,0.21788298544995324,4.0,2.3,1.55,1.9899999999999998,5.76,4.31,3.21,1.8,2.55,4.9399999999999995,7.32,4.6899999999999995,0.43,0.27970585385546687,0.2439430499325236,0.2866921649386046,0.15965893127340497,0.5839523723442053,0.03116666666666667,0.02235294117647059,0.006904610194902549,0.0,0.37,0.9,0.32999999999999996,0.16999999999999998,0.0,0.0,0.0
7,0.2,low,10,0.13999999999999999,0.09451631252505217,0.06999999999999999,0.06999999999999999,0.6599999999999999,0.12036980056845192,0.4067772983250757,0.02983404461146193,0.4052944930898403,0.11283870967741935,0.04259582465464819,0.04259582465464819,0.8382743165281866,0.4837955039565582,0.8356783156604364,0.1380461676729076,0.5032756132756132,0.1,0.49325813767091803,0.06804357495591287,0.21943995893613216,3.6,2.7,2.8,1.8700000000000003,5.5,5.64,5.37,2.35,2.68,4.03,10.190000000000001,3.2700000000000005,0.16999999999999998,0.353523911680319,0.10642053881790722,0.391474221981087,0.14858132752068678,0.469705194681436,0.006007979901362254,0.006379952835835189,0.015738033737175614,0.021149572649572655,0.47000000000000003,1.2,0.5700000000000001,0.14,0.0,0.0,0.0
7,0.4,low,10,0.06999999999999999,0.06999999999999999,0.03,0.030000000000000002,0.27999999999999997,0.13063945294843618,0.2918832112619322,0.049193293795921744,0.2961606005393215,0.02526315789473684,0.013166666666666665,0.013166666666666665,0.7960826289071907,0.5360599364274945,0.8012405479198274,0.06015135699022319,0.2699267117684746,0.04285714285714286,0.5351471147345371,0.03553179174908728,0.3491711868376843,4.9,2.8,2.06,3.2700000000000005,8.09,10.99,9.790000000000001,2.43,3.5700000000000003,6.9799999999999995,19.86,5.7700000000000005,0.03,0.5149059829059829,0.0650552503052503,0.13000763125763126,0.2200311355311355,0.16053721831589965,0.019229410703675412,0.0017647058823529412,0.038401315789473686,0.021299133249791147,0.8200000000000001,1.6,0.64,0.0,0.0,0.0,0.0
7,0.6,low,10,0.2,0.10540925533894598,0.09,0.04818944098266987,0.53,0.1325393023471403,0.341844878740715,0.03164118241662269,0.3488653206011909,0.19629902261481208,0.035518475096392714,0.019548129336774175,0.7909535282581774,0.4607551473034028,0.8284508783440471,0.19255338394638288,0.3195238095238095,0.0625,0.4879093658026026,0.11958080775737931,0.31174213023864533,5.0,2.4,1.3699999999999999,3.3299999999999996,8.790000000000001,5.93,6.42,2.8,3.0300000000000002,5.16,15.330000000000002,3.6100000000000003,1.2499999999999998,0.27759761295822677,0.20554174222077712,0.25515797258297257,0.21170267223802358,0.2618936637448842,0.001963182148920689,0.0,0.03979974260488965,0.0017944317315026694,0.54,1.7,0.5,0.07,0.0,0.0,0.0
9,0.0,low,10,0.37,0.14224392195567911,0.25,0.12133516482134196,0.51,0.15737428845483833,0.5814219194818449,0.037254739087273406,0.5937977120278586,0.36421713326976485,0.14993070563824398,0.08114392238732443,0.7027753508089429,0.39032612332938726,0.7245644052494514,0.358336440359316,0.7373391963213944,0.40577603428862014,0.395714466308293,0.23504490348070822,0.17622985141965736,5.4,2.5,3.53,3.21,7.18,8.64,6.25,3.6399999999999997,3.9,7.459999999999999,12.690000000000001,7.040000000000001,0.32,0.5211671493488151,0.2365070014333422,0.20205214703312482,0.04027370218471786,0.7572994367199429,0.11194189430373643,0.04906921802926735,0.01525189393939394,0.003285909712722298,2.6700000000000004,6.7,0.24,0.22999999999999998,0.0,0.0,0.0
9,0.2,low,10,0.08,0.038873012632301994,0.04,0.030550504633038936,0.55,0.12845232578665128,0.4341657215275056,0.05090967048303932,0.43489445311737784,0.25623885918003564,0.012331153971886237,0.009961771997938705,0.7877549054720262,0.43357821473238867,0.8539873308705113,0.09789519909681314,0.6277621254355036,0.14166666666666666,0.4295877129833208,0.1483531935866384,0.1938408487200537,6.6,3.0,2.38,2.6700000000000004,13.55,11.15,12.3,3.56,3.54,9.33,20.29,7.31,0.1,0.24963592217513422,0.22688552495136322,0.26520691563185034,0.2582716372416522,0.8061157730465516,0.04592546130748318,0.06454888808057516,0.07772062680144523,0.024143700743700744,3.34,6.9,0.5700000000000001,0.09,0.0,0.0,0.0
9,0.4,low,10,0.19,0.11298967504452197,0.05,0.05,0.2,0.10434983894999018,0.33287443819574103,0.021178634446947068,0.39394366714786944,0.12935531788472965,0.019173076923076925,0.019173076923076925,1.0039279742257254,0.5091280809863106,1.0003349023847026,0.2942572018619881,0.3302599305588335,0.2106060606060606,0.4594776599379669,0.21719679190315802,0.25981363890654235,6.7,2.8,5.7700000000000005,3.66,16.36,16.02,15.49,5.67,6.4,13.15,32.3,9.59,1.05,0.5211358961800513,0.09141474117859442,0.2674821015363892,0.11996726110496511,0.7252344653023612,0.03667401960784314,0.004007713884992987,0.07709160320907094,0.02551602564102564,4.26,13.7,0.49000000000000005,0.18,0.0,0.0,0.0
9,0.6,low,10,0.04,0.04,0.0,0.0,0.36,0.12036980056845192,0.320271217068372,0.029997802620519924,0.3195557777918862,0.041935483870967745,0.0,0.0,0.9678356500280021,0.5524813887880706,0.9699406967336694,0.08971123459872862,0.3174889253536104,0.05555555555555556,0.5525381614177131,0.045692699392669074,0.26979764513205745,6.1,4.1,3.1100000000000003,3.4,17.06,13.95,13.969999999999999,4.49,4.279999999999999,13.780000000000001,30.610000000000003,9.78,0.08,0.3604524385253602,0.2409857397489536,0.20935264924116,0.18920917248452615,0.5309270915524389,0.019727299990457886,0.024375,0.01564197589859911,0.08725121065033095,2.6,8.0,0.45,0.03,0.0,0.0,0.0
11,0.0,low,10,0.01,0.01,0.01,0.01,0.52,0.15260697523012798,0.5000895295431975,0.021191319183848378,0.49917116219625884,0.1,0.0030357142857142853,0.0030357142857142853,0.5239532454120208,0.5084405514475512,0.5434851338687576,0.0,0.8025470085470084,0.0125,0.5195783012708637,0.0038909765557391604,0.1462363884003326,5.6,3.9,1.5699999999999998,1.0,17.830000000000002,18.98,11.95,2.12,1.56,22.75,30.05,21.25,0.01,0.004992391276258816,0.4674834057975394,0.19952069445505438,0.31800350847114733,0.5262569916974569,0.0,0.05606534090909091,0.03074199134199134,0.024800459956709955,2.12,4.8,0.43,0.24,0.0,0.0,0.0
11,0.2,low,10,0.11000000000000001,0.09938701010583716,0.09,0.09,0.11000000000000001,0.07951240294584376,0.39063524604264066,0.03737325647439119,0.3889057858658738,0.07835476587807991,0.023726836764305936,0.023726836764305936,0.7189856822263987,0.46170831618648106,0.739492645411788,0.12279384557836752,0.596542106058694,0.0986581851051683,0.4637680620669478,0.07740353585685661,0.22314942970853302,7.5,3.3,1.6300000000000001,0.9800000000000001,28.53,26.5,27.21,2.2399999999999998,2.1399999999999997,25.05,48.15,21.46,0.47000000000000003,0.09273176298834859,0.5354442363587586,0.10778425985778928,0.2640397407951035,0.32113241818652105,0.0,0.11323863636363636,0.0053124999999999995,0.0069029498548953735,2.79,10.3,0.5,0.25,0.0,0.0,0.0
