trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,reached_goal,coin_collected,coin_collection_step,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate,preferred_quadrant,quadrant_entropy,quadrant_count_ul,quadrant_count_ur,quadrant_count_dl,quadrant_count_dr,quadrant_count_midline,quadrant_fraction_ul,quadrant_fraction_ur,quadrant_fraction_dl,quadrant_fraction_dr,quadrant_fraction_midline,preferred_corner,corner_fraction_ul,corner_fraction_ur,corner_fraction_dl,corner_fraction_dr,max_corner_dwell_run,start_quadrant,terminal_quadrant,coin_quadrant,preferred_quadrant_contains_start,preferred_quadrant_contains_coin,preferred_corner_contains_start,preferred_corner_contains_goal,preferred_corner_contains_coin
0,0,size7_comp0.0_grid0_base_medium,7,0.0,medium,base,base,4,3,7,3,2,1,1,1,1,0,-1,7,0.0,0.42857142857142855,0.42857142857142855,0.0,3,2,2,0,4,2,0,0,2,0,0,2,0.2857142857142857,UR,-0.0,0,5,0,0,2,0.0,1.0,0.0,0.0,0.2857142857142857,UR,0.0,0.42857142857142855,0.0,0.0,3,ur,midline,ul,1,0,0,0,0
1,0,size7_comp0.0_grid0_base_medium,7,0.0,medium,base,base,4,3,7,3,2,1,1,1,1,0,-1,3,0.0,0.6666666666666666,0.6666666666666666,0.0,0,1,2,0,1,0,1,0,0,0,0,0,0.0,UR,-0.0,0,1,0,0,2,0.0,1.0,0.0,0.0,0.6666666666666666,,0.0,0.0,0.0,0.0,0,ur,midline,ul,1,0,0,0,0
2,0,size7_comp0.0_grid0_base_medium,7,0.0,medium,base,base,4,3,7,3,2,1,1,1,1,1,3,20,0.35,0.6,1.0,0.5,1,2,8,6,6,3,1,4,11,4,2,0,0.0,UR,0.9456603046006401,4,7,0,0,9,0.36363636363636365,0.6363636363636364,0.0,0.0,0.45,UL,0.05,0.0,0.0,0.0,1,ur,midline,ul,1,0,0,0,0
3,0,size7_comp0.0_grid0_base_medium,7,0.0,medium,base,base,4,3,7,3,2,1,1,1,1,0,-1,4,0.0,0.5,0.5,0.0,0,1,2,0,0,0,1,0,1,0,0,0,0.0,UR,-0.0,0,1,0,0,3,0.0,1.0,0.0,0.0,0.75,,0.0,0.0,0.0,0.0,0,ur,midline,ul,1,0,0,0,0
4,0,size7_comp0.0_grid0_base_medium,7,0.0,medium,base,base,4,3,7,3,2,1,1,1,1,1,10,16,0.4375,0.625,0.5454545454545454,0.8,1,2,6,4,2,4,0,4,8,4,2,0,0.0,UR,0.8812908992306927,3,7,0,0,6,0.3,0.7,0.0,0.0,0.375,UR,0.0,0.0625,0.0,0.0,1,ur,midline,ul,1,0,0,0,0
5,0,size7_comp0.0_grid0_base_medium,7,0.0,medium,base,base,4,3,7,3,2,1,1,1,1,0,-1,9,0.0,0.5555555555555556,0.5555555555555556,0.0,1,2,4,2,1,2,1,4,5,4,0,0,0.0,UR,-0.0,0,4,0,0,5,0.0,1.0,0.0,0.0,0.5555555555555556,,0.0,0.0,0.0,0.0,0,ur,midline,ul,1,0,0,0,0
6,0,size7_comp0.0_grid0_base_medium,7,0.0,medium,base,base,4,3,7,3,2,1,1,1,1,0,-1,6,0.0,0.5,0.5,0.0,0,1,3,1,2,2,0,0,1,0,0,0,0.0,UR,0.8112781244591328,1,3,0,0,2,0.25,0.75,0.0,0.0,0.3333333333333333,,0.0,0.0,0.0,0.0,0,ur,midline,ul,1,0,0,0,0
7,0,size7_comp0.0_grid0_base_medium,7,0.0,medium,base,base,4,3,7,3,2,1,1,1,1,0,-1,4,0.0,0.5,0.5,0.0,0,1,2,1,1,1,0,1,1,0,0,1,0.25,UR,-0.0,0,3,0,0,1,0.0,1.0,0.0,0.0,0.25,,0.0,0.0,0.0,0.0,0,ur,midline,ul,1,0,0,0,0
8,0,size7_comp0.0_grid0_base_medium,7,0.0,medium,base,base,4,3,7,3,2,1,1,1,1,0,-1,11,0.0,0.45454545454545453,0.45454545454545453,0.0,0,1,5,3,3,2,0,2,5,2,0,0,0.0,UL,0.8112781244591328,6,2,0,0,3,0.75,0.25,0.0,0.0,0.2727272727272727,,0.0,0.0,0.0,0.0,0,ur,midline,ul,0,1,0,0,0
9,0,size7_comp0.0_grid0_base_medium,7,0.0,medium,base,base,4,3,7,3,2,1,1,1,1,0,-1,11,0.0,0.36363636363636365,0.36363636363636365,0.0,2,3,2,0,1,0,1,2,7,2,0,0,0.0,UR,-0.0,0,5,0,0,6,0.0,1.0,0.0,0.0,0.5454545454545454,,0.0,0.0,0.0,0.0,0,ur,midline,ul,1,0,0,0,0
