distance_to_goal,n_states,mean_entropy,se_entropy,mean_optimal_entropy,se_optimal_entropy,mean_jsd,se_jsd,accuracy,total_observations,is_capped
1,142,0.6076638139037442,0.05051063431199241,0.484189348606785,0.043705783308385114,0.5136023933274503,0.030563652049337208,0.4859154929577465,1047,False
2,188,0.8882710203592171,0.044539399718913214,0.4818349069187296,0.036898592384768066,0.4532967527788963,0.023422974896783896,0.5531914893617021,2001,False
3,206,0.8811888605043051,0.04399226121058279,0.529126213592233,0.03486221406020295,0.4464501165027024,0.0226392159954948,0.616504854368932,2401,False
4,216,0.8707875743517449,0.04103198971029942,0.5181704282574342,0.03551164195556995,0.4569431862774827,0.02224139097085542,0.5648148148148148,2665,False
5,172,0.9483689357725127,0.046835954308895755,0.4743311773297742,0.03859608511741287,0.453605957293652,0.022729401134716876,0.4883720930232558,2543,False
6,127,0.9024094271641339,0.053448294246574574,0.4029127952869473,0.04500218352159879,0.4591920557610557,0.029593733089542128,0.4645669291338583,1852,False
7,74,0.934552368344109,0.06889518335028096,0.469660641921128,0.0626652803292231,0.3886587586939639,0.03297712638435841,0.5675675675675675,1130,False
8,50,0.9189920817241706,0.078532065469029,0.24,0.0610118757258932,0.5118922822960345,0.04835252781435666,0.4,1268,False
9,32,0.8686862653161209,0.10196645956880068,0.375,0.08695104295503157,0.48208014577208635,0.05765976604776297,0.5,570,False
10,11,0.9649064431617792,0.1621805642342071,0.5454545454545454,0.1574591643244434,0.4182927791280933,0.09972073464191253,0.45454545454545453,275,False
11,6,0.5716962753076749,0.22694217035966432,0.6666666666666666,0.21081851067789195,0.49326236368310933,0.16289650777262965,0.6666666666666666,53,False
12,1,1.0,,1.0,,0.0,,1.0,2,False
