grid_id,grid_size,density,instance_id,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,num_trajectories,num_coin_collected,num_goal_after_coin,num_goal_only,coin_collected_rate,goal_after_coin_rate,goal_only_rate,full_success_rate,mean_trajectory_length,mean_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,spl,mean_entropy,mean_optimal_entropy,mean_jsd,mean_entropy_phase1,mean_optimal_entropy_phase1,mean_jsd_phase1,mean_entropy_phase2,mean_optimal_entropy_phase2,mean_jsd_phase2,ece,mean_step_accuracy,total_steps,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions,mean_quadrant_fraction_ul,mean_quadrant_fraction_ur,mean_quadrant_fraction_dl,mean_quadrant_fraction_dr,preferred_quadrant,mean_quadrant_entropy,mean_corner_fraction_ul,mean_corner_fraction_ur,mean_corner_fraction_dl,mean_corner_fraction_dr,preferred_corner,mean_max_corner_dwell_run,worst_max_corner_dwell_run,mean_preferred_quadrant_contains_start,mean_preferred_quadrant_contains_coin,mean_preferred_corner_contains_start,mean_preferred_corner_contains_goal,mean_preferred_corner_contains_coin
size7_comp0.0_grid0_base_medium,7,0.0,0,medium,base,base,4,3,7,3,2,1,1,1,10,2,2,8,0.2,0.2,0.8,0.2,9.1,0.5274725274725275,0.5142857142857142,0.5714285714285714,0.07875,0.6723660668530244,0.5789473684210527,0.3818645837975561,0.7671239638271349,0.5454545454545454,0.402671994979465,0.5420739585136224,0.625,0.35325439342243137,0.05492898913951545,0.5274725274725275,91,0.8,1.6,3.6,1.7,2.1,1.6,0.5,1.7,4.1,1.6,0.4,0.3,0.16636363636363635,0.8336363636363636,0.0,0.0,UR,0.3449507452749599,0.005,0.049107142857142856,0.0,0.0,UR,0.5,3,0.9,0.1,0.0,0.0,0.0
size7_comp0.0_grid1_base_medium,7,0.0,1,medium,base,base,3,4,7,3,2,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,3.8,0.3684210526315789,0.3684210526315789,0.0,0.0,0.5489458354919992,0.5714285714285714,0.5648998108232529,0.5489458354919992,0.5714285714285714,0.5648998108232529,0.0,0.0,0.0,0.28627087198515766,0.3684210526315789,38,0.3,1.3,2.1,0.1,0.5,0.5,1.5,0.3,0.3,0.3,0.0,0.0,0.0,1.0,0.0,0.0,UR,0.0,0.0,0.02,0.0,0.0,UR,0.1,1,1.0,0.0,0.0,0.0,0.0
size7_comp0.0_grid2_base_medium,7,0.0,2,medium,base,base,5,4,9,5,2,1,1,1,10,5,2,5,0.5,0.2,0.5,0.2,21.0,0.5142857142857142,0.5849056603773585,0.4423076923076923,0.07188940092165899,0.7654905790521627,0.6875,0.3765087924769081,0.6796692318864391,0.6875,0.3845622403135337,0.8513119262178861,0.6875,0.3684553446402825,0.05747672466422464,0.5142857142857142,210,5.2,2.2,6.6,4.6,4.5,4.0,4.4,2.9,8.8,2.7,1.7,0.3,0.37670634920634927,0.09583333333333333,0.24584256891162265,0.2816177485486948,UL,1.2027778638308129,0.03923771121351766,0.0,0.018951612903225806,0.05861271121351767,DR,1.1,2,0.0,0.0,0.0,0.0,0.0
size7_comp0.0_grid3_base_medium,7,0.0,3,medium,base,base,4,3,7,7,0,1,1,1,10,5,5,5,0.5,0.5,0.5,0.5,8.4,0.7023809523809523,0.6376811594202898,1.0,0.4414141414141414,0.5744461827854227,0.6111111111111112,0.30748101125914223,0.6893354193425072,0.6,0.32747346358308627,0.0,0.6666666666666666,0.20751874963942188,0.07790404040404043,0.7023809523809523,84,0.4,3.5,4.1,0.0,2.7,1.6,2.1,0.4,1.1,0.4,0.1,0.2,0.04,0.3433333333333333,0.42666666666666664,0.19,DL,1.3857406665942311,0.0,0.0,0.0,0.0,,0.0,0,0.6,0.0,0.0,0.0,0.0
size7_comp0.0_grid4_base_medium,7,0.0,4,medium,base,base,3,3,6,4,1,1,1,1,10,10,7,0,1.0,0.7,0.0,0.7,23.9,0.5564853556485355,0.6727272727272727,0.5217391304347826,0.22067187032915933,0.8797623600779626,0.5833333333333334,0.27021390241114046,0.5704931617927834,0.5,0.21766463356447394,0.9828520928396889,0.6111111111111112,0.2877303253600293,0.17205505043706684,0.5564853556485355,239,6.4,3.0,7.4,6.4,5.7,2.7,7.5,5.6,13.8,4.9,2.9,1.8,0.457268058738647,0.05168321874204227,0.49104872251931075,0.0,DL,0.9832417891552145,0.0,0.0,0.0670014711418164,0.0,DL,1.0,1,0.5,0.0,0.0,0.0,0.0
size7_comp0.0_grid5_base_medium,7,0.0,5,medium,base,base,7,3,10,4,3,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,4.6,0.9347826086956522,0.9347826086956522,0.0,0.0,0.4938655727861854,1.0,0.21486012984395442,0.4938655727861854,1.0,0.21486012984395442,0.0,0.0,0.0,0.14154641654641653,0.9347826086956522,46,0.2,2.2,2.1,0.1,1.0,1.3,0.9,0.4,0.4,0.4,0.0,0.0,0.0,0.75,0.0,0.25,UR,0.5591479170272449,0.0,0.016666666666666666,0.0,0.0,UR,0.1,1,0.9,0.0,0.0,0.0,0.0
size7_comp0.0_grid6_base_medium,7,0.0,6,medium,base,base,3,4,7,3,2,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,5.5,0.38181818181818183,0.38181818181818183,0.0,0.0,0.5649551352780509,0.7142857142857143,0.5503323913605107,0.5649551352780509,0.7142857142857143,0.5503323913605107,0.0,0.0,0.0,0.09523809523809525,0.38181818181818183,55,1.3,0.3,0.8,2.8,1.1,0.5,1.4,0.9,1.4,0.9,0.0,0.0,0.76,0.0,0.13999999999999999,0.0,UL,0.09709505944546686,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.9,0.0,0.0,0.0
size7_comp0.0_grid7_base_medium,7,0.0,7,medium,base,base,4,3,7,3,2,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,9.8,0.47959183673469385,0.47959183673469385,0.0,0.0,0.8403616545595913,0.7,0.5541711565314481,0.8403616545595913,0.7,0.5541711565314481,0.0,0.0,0.0,0.17647123407992976,0.47959183673469385,98,1.3,1.3,1.5,4.4,1.9,1.2,1.5,2.1,5.1,2.0,0.0,0.1,0.02,0.0,0.9800000000000001,0.0,DL,0.07219280948873623,0.0,0.0,0.042527472527472535,0.0,DL,0.3,1,1.0,0.0,0.0,0.0,0.0
size7_comp0.0_grid8_base_medium,7,0.0,8,medium,base,base,6,3,9,3,3,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,3.3,0.9393939393939394,0.9393939393939394,0.0,0.0,0.14649899564050448,1.0,0.3204901441906672,0.14649899564050448,1.0,0.3204901441906672,0.0,0.0,0.0,0.03030303030303031,0.9393939393939394,33,0.0,0.0,3.1,0.1,2.0,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,UL,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0
size7_comp0.0_grid9_base_medium,7,0.0,9,medium,base,base,3,4,7,3,2,1,1,1,10,0,0,7,0.0,0.0,0.7,0.0,15.9,0.37735849056603776,0.37735849056603776,0.0,0.0,0.8022701174393589,0.7272727272727273,0.525905970589283,0.8022701174393589,0.7272727272727273,0.525905970589283,0.0,0.0,0.0,0.2473160173160173,0.37735849056603776,159,3.2,1.7,4.5,4.4,1.5,2.3,3.2,4.3,10.8,4.0,0.0,1.1,0.8648214285714285,0.0,0.13517857142857143,0.0,UL,0.39790137367311207,0.057738095238095234,0.0,0.0,0.0,UL,0.4,1,0.0,0.0,0.0,0.0,0.0
