trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,reached_goal,coin_collected,coin_collection_step,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate,preferred_quadrant,quadrant_entropy,quadrant_count_ul,quadrant_count_ur,quadrant_count_dl,quadrant_count_dr,quadrant_count_midline,quadrant_fraction_ul,quadrant_fraction_ur,quadrant_fraction_dl,quadrant_fraction_dr,quadrant_fraction_midline,preferred_corner,corner_fraction_ul,corner_fraction_ur,corner_fraction_dl,corner_fraction_dr,max_corner_dwell_run,start_quadrant,terminal_quadrant,coin_quadrant,preferred_quadrant_contains_start,preferred_quadrant_contains_coin,preferred_corner_contains_start,preferred_corner_contains_goal,preferred_corner_contains_coin
0,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,8,5,13,7,3,1,1,1,1,0,-1,7,0.0,0.7142857142857143,0.7142857142857143,0.0,2,0,5,0,5,1,0,0,0,0,0,0,0.0,DR,0.9182958340544896,0,0,2,4,1,0.0,0.0,0.3333333333333333,0.6666666666666666,0.14285714285714285,,0.0,0.0,0.0,0.0,0,dr,dl,ul,1,0,0,0,0
1,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,8,5,13,7,3,1,1,1,1,0,-1,9,0.0,0.6666666666666666,0.6666666666666666,0.0,2,0,6,1,6,0,1,1,1,1,0,0,0.0,DR,0.8112781244591328,0,0,2,6,1,0.0,0.0,0.25,0.75,0.1111111111111111,,0.0,0.0,0.0,0.0,0,dr,dl,ul,1,0,0,0,0
2,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,8,5,13,7,3,1,1,1,1,0,-1,9,0.0,0.6666666666666666,0.6666666666666666,0.0,2,0,6,1,4,1,1,2,2,2,0,0,0.0,DL,1.0,0,0,4,4,1,0.0,0.0,0.5,0.5,0.1111111111111111,,0.0,0.0,0.0,0.0,0,dr,dl,ul,0,0,0,0,0
3,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,8,5,13,7,3,1,1,1,1,0,-1,7,0.0,0.7142857142857143,0.7142857142857143,0.0,2,0,5,0,5,1,0,0,0,0,0,0,0.0,DR,0.9182958340544896,0,0,2,4,1,0.0,0.0,0.3333333333333333,0.6666666666666666,0.14285714285714285,,0.0,0.0,0.0,0.0,0,dr,dl,ul,1,0,0,0,0
4,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,8,5,13,7,3,1,1,1,1,0,-1,11,0.0,0.6363636363636364,0.6363636363636364,0.0,2,0,7,2,5,2,2,1,1,1,0,0,0.0,DR,0.7219280948873623,0,0,2,8,1,0.0,0.0,0.2,0.8,0.09090909090909091,DR,0.0,0.0,0.0,0.09090909090909091,1,dr,dl,ul,1,0,0,0,0
5,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,8,5,13,7,3,1,1,1,1,0,-1,13,0.0,0.6153846153846154,0.6153846153846154,0.0,2,0,8,3,7,2,1,2,2,2,0,0,0.0,DR,0.6500224216483541,0,0,2,10,1,0.0,0.0,0.16666666666666666,0.8333333333333334,0.07692307692307693,,0.0,0.0,0.0,0.0,0,dr,dl,ul,1,0,0,0,0
6,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,8,5,13,7,3,1,1,1,1,0,-1,13,0.0,0.6153846153846154,0.6153846153846154,0.0,2,0,8,3,7,2,1,2,4,2,0,0,0.0,DR,0.6840384356390417,0,0,2,9,2,0.0,0.0,0.18181818181818182,0.8181818181818182,0.15384615384615385,,0.0,0.0,0.0,0.0,0,dr,dl,ul,1,0,0,0,0
7,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,8,5,13,7,3,1,1,1,1,0,-1,9,0.0,0.6666666666666666,0.6666666666666666,0.0,2,0,6,1,5,1,1,1,1,1,0,0,0.0,DR,0.8112781244591328,0,0,2,6,1,0.0,0.0,0.25,0.75,0.1111111111111111,DR,0.0,0.0,0.0,0.1111111111111111,1,dr,dl,ul,1,0,0,0,0
8,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,8,5,13,7,3,1,1,1,1,0,-1,7,0.0,0.7142857142857143,0.7142857142857143,0.0,2,0,5,0,3,2,1,0,0,0,0,0,0.0,DR,0.9709505944546686,0,0,2,3,2,0.0,0.0,0.4,0.6,0.2857142857142857,,0.0,0.0,0.0,0.0,0,dr,dl,ul,1,0,0,0,0
9,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,8,5,13,7,3,1,1,1,1,0,-1,15,0.0,0.6,0.6,0.0,2,0,9,4,8,0,1,5,7,5,0,0,0.0,DR,0.8453509366224364,0,0,3,8,4,0.0,0.0,0.2727272727272727,0.7272727272727273,0.26666666666666666,,0.0,0.0,0.0,0.0,0,dr,dl,ul,1,0,0,0,0
0,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,5,5,10,4,3,1,1,1,0,0,-1,64,0.0,0.515625,0.515625,0.0,0,0,31,33,21,0,0,42,57,41,0,0,0.0,UR,0.39124356362925566,4,48,0,0,12,0.07692307692307693,0.9230769230769231,0.0,0.0,0.1875,UR,0.0,0.09375,0.0,0.0,3,ul,ul,ur,0,1,0,0,0
1,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,5,5,10,4,3,1,1,1,0,0,-1,64,0.0,0.515625,0.515625,0.0,0,0,31,33,22,0,0,41,59,40,0,0,0.0,UR,0.2460225782203316,2,47,0,0,15,0.04081632653061224,0.9591836734693877,0.0,0.0,0.234375,UR,0.0,0.03125,0.0,0.0,1,ul,ul,ur,0,1,0,0,0
2,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,5,5,10,4,3,1,1,1,0,0,-1,64,0.0,0.515625,0.515625,0.0,0,0,31,33,13,0,0,50,58,49,0,0,0.0,UR,0.2974722489192896,3,54,0,0,7,0.05263157894736842,0.9473684210526315,0.0,0.0,0.109375,UR,0.0,0.03125,0.0,0.0,1,ul,ul,ur,0,1,0,0,0
3,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,5,5,10,4,3,1,1,1,0,0,-1,64,0.0,0.515625,0.515625,0.0,0,0,31,33,24,0,0,39,59,38,0,0,0.0,UR,0.4566836315394428,5,47,0,0,12,0.09615384615384616,0.9038461538461539,0.0,0.0,0.1875,UR,0.0,0.0625,0.0,0.0,1,ul,ul,ur,0,1,0,0,0
4,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,5,5,10,4,3,1,1,1,0,0,-1,64,0.0,0.515625,0.515625,0.0,0,0,31,33,19,0,0,44,58,43,0,0,0.0,UR,0.14372616993938178,1,48,0,0,15,0.02040816326530612,0.9795918367346939,0.0,0.0,0.234375,UR,0.0,0.0625,0.0,0.0,3,ul,ul,ur,0,1,0,0,0
5,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,5,5,10,4,3,1,1,1,0,0,-1,64,0.0,0.515625,0.515625,0.0,0,0,31,33,22,0,0,41,59,40,0,0,0.0,UR,0.39124356362925566,4,48,0,0,12,0.07692307692307693,0.9230769230769231,0.0,0.0,0.1875,UR,0.0,0.0625,0.0,0.0,1,ul,ul,ur,0,1,0,0,0
6,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,5,5,10,4,3,1,1,1,0,0,-1,64,0.0,0.515625,0.515625,0.0,0,0,31,33,26,0,0,37,59,36,0,0,0.0,UR,0.32744491915447627,3,47,0,0,14,0.06,0.94,0.0,0.0,0.21875,UR,0.0,0.046875,0.0,0.0,1,ul,ul,ur,0,1,0,0,0
7,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,5,5,10,4,3,1,1,1,0,0,-1,64,0.0,0.515625,0.515625,0.0,0,0,31,33,24,0,0,39,59,38,0,0,0.0,UR,0.13303964861069895,1,53,0,0,10,0.018518518518518517,0.9814814814814815,0.0,0.0,0.15625,UR,0.0,0.0625,0.0,0.0,1,ul,ul,ur,0,1,0,0,0
8,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,5,5,10,4,3,1,1,1,0,0,-1,64,0.0,0.515625,0.515625,0.0,0,0,31,33,20,0,0,43,59,42,0,0,0.0,UR,0.13503620280212764,1,52,0,0,11,0.018867924528301886,0.9811320754716981,0.0,0.0,0.171875,UR,0.0,0.046875,0.0,0.0,1,ul,ul,ur,0,1,0,0,0
9,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,5,5,10,4,3,1,1,1,0,0,-1,64,0.0,0.515625,0.515625,0.0,0,0,31,33,14,0,0,49,59,48,0,0,0.0,UR,0.225363639127395,2,53,0,0,9,0.03636363636363636,0.9636363636363636,0.0,0.0,0.140625,UR,0.0,0.03125,0.0,0.0,1,ul,ul,ur,0,1,0,0,0
0,2,size11_comp0.0_grid2_base_low,11,0.0,low,base,base,5,8,13,3,5,1,1,1,0,0,-1,64,0.0,0.515625,0.515625,0.0,4,2,29,29,20,4,8,31,44,30,0,0,0.0,UR,1.2910164458258657,9,31,0,8,16,0.1875,0.6458333333333334,0.0,0.16666666666666666,0.25,,0.0,0.0,0.0,0.0,0,dr,dr,ur,0,1,0,0,0
1,2,size11_comp0.0_grid2_base_low,11,0.0,low,base,base,5,8,13,3,5,1,1,1,0,1,60,64,0.0,0.53125,0.5409836065573771,0.3333333333333333,5,1,28,30,21,5,5,32,46,32,0,0,0.0,UR,1.1103017440293748,14,37,0,3,10,0.25925925925925924,0.6851851851851852,0.0,0.05555555555555555,0.15625,UR,0.0,0.015625,0.0,0.0,1,dr,dr,ur,0,1,0,0,0
