distance_to_goal,n_states,mean_entropy,se_entropy,mean_optimal_entropy,se_optimal_entropy,mean_jsd,se_jsd,accuracy,total_observations,is_capped
1,170,0.5638347117189562,0.04445407541516855,0.3352941176470588,0.036314860139788796,0.48127764066741313,0.030206225112159757,0.5058823529411764,1492,False
2,271,0.7540763633134175,0.03622475843616154,0.47817329336059466,0.03060772046616565,0.4029174243370324,0.01934617170194228,0.6088560885608856,3346,False
3,327,0.8684938639040238,0.0326216286178462,0.5259938837920489,0.02765499089656285,0.39685509877411435,0.016978031011587506,0.6207951070336392,5107,False
4,385,0.9309887402364496,0.0297311753105232,0.5012987012987012,0.025515432083621423,0.4124681565939851,0.014856542331165882,0.5636363636363636,7089,False
5,379,0.8750582621315809,0.029258996812629758,0.5538913258670337,0.026192569894157098,0.3738961513426251,0.014873440209468998,0.6464379947229552,6820,False
6,308,0.8603308229070293,0.03231281504375399,0.541963676959759,0.029285191126929684,0.3978199573214616,0.016645410771346323,0.6298701298701299,5741,False
7,232,0.7579371640082726,0.037794093385925105,0.552456573282079,0.03324062380588515,0.39595744937191474,0.019823935101295403,0.646551724137931,5135,False
8,156,0.7811771531580869,0.04580133110957212,0.6047426282236193,0.04117640221248944,0.42014601312276806,0.023840216958393508,0.5833333333333334,4249,False
9,92,0.7026988221197236,0.06021769771500056,0.5670644021895903,0.054030685443011886,0.3742200242352159,0.030556442330871125,0.6739130434782609,1519,False
10,57,0.668265201686048,0.08230441522526855,0.5614035087719298,0.06630955666828547,0.4059516013344288,0.0424412282207385,0.6491228070175439,872,False
11,33,0.5779161497629728,0.09705772594599739,0.6666666666666666,0.08333333333333331,0.35839089576283834,0.045506895263661716,0.7272727272727273,783,False
12,18,0.6463019708692941,0.13678085448724084,0.6111111111111112,0.11823563735376173,0.36463831261413066,0.07964411676128297,0.6666666666666666,308,False
13,7,0.4805834290356693,0.2236579297496757,0.7142857142857143,0.18442777839082938,0.20610973703781674,0.1386709256571739,0.8571428571428571,90,False
14,3,0.6549936019772084,0.3275645641975447,1.0,0.0,0.10669042479958692,0.10230757567264165,1.0,31,False
