grid_id,grid_size,density,instance_id,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,num_trajectories,num_coin_collected,num_goal_after_coin,num_goal_only,coin_collected_rate,goal_after_coin_rate,goal_only_rate,full_success_rate,mean_trajectory_length,mean_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,spl,mean_entropy,mean_optimal_entropy,mean_jsd,mean_entropy_phase1,mean_optimal_entropy_phase1,mean_jsd_phase1,mean_entropy_phase2,mean_optimal_entropy_phase2,mean_jsd_phase2,ece,mean_step_accuracy,total_steps,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions,mean_quadrant_fraction_ul,mean_quadrant_fraction_ur,mean_quadrant_fraction_dl,mean_quadrant_fraction_dr,preferred_quadrant,mean_quadrant_entropy,mean_corner_fraction_ul,mean_corner_fraction_ur,mean_corner_fraction_dl,mean_corner_fraction_dr,preferred_corner,mean_max_corner_dwell_run,worst_max_corner_dwell_run,mean_preferred_quadrant_contains_start,mean_preferred_quadrant_contains_coin,mean_preferred_corner_contains_start,mean_preferred_corner_contains_goal,mean_preferred_corner_contains_coin
size11_comp0.0_grid0_base_low,11,0.0,0,low,base,base,8,5,13,7,3,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,10.0,0.65,0.65,0.0,0.0,0.47702642179306304,0.9333333333333333,0.37963186678424016,0.47702642179306304,0.9333333333333333,0.37963186678424016,0.0,0.0,0.0,0.2584896584896585,0.65,100,2.0,0.0,6.5,1.5,5.5,1.2,0.9,1.4,1.8,1.4,0.0,0.0,0.0,0.0,0.28878787878787876,0.7112121212121212,DR,0.8331438400279108,0.0,0.0,0.0,0.0202020202020202,DR,0.2,1,0.9,0.0,0.0,0.0,0.0
size11_comp0.0_grid1_base_low,11,0.0,1,low,base,base,5,5,10,4,3,1,1,1,10,0,0,0,0.0,0.0,0.0,0.0,64.0,0.515625,0.515625,0.0,0.0,0.39749413900370517,0.8571428571428571,0.42715751695518145,0.39749413900370517,0.8571428571428571,0.42715751695518145,0.0,0.0,0.0,0.14847181712759602,0.515625,640,0.0,0.0,31.0,33.0,20.5,0.0,0.0,42.5,58.6,41.5,0.0,0.0,0.04976061481537436,0.9502393851846256,0.0,0.0,UR,0.27472761655716543,0.0,0.053125,0.0,0.0,UR,1.4,3,0.0,1.0,0.0,0.0,0.0
size11_comp0.0_grid2_base_low,11,0.0,2,low,base,base,5,8,13,3,5,1,1,1,10,1,0,0,0.1,0.0,0.0,0.0,64.0,0.5203125,0.521193092621664,0.3333333333333333,0.0,0.6605677418289411,0.8076923076923077,0.4617263690354326,0.746728751632716,0.8260869565217391,0.421461194367918,0.0,0.6666666666666666,0.7704260414863776,0.17808076341240842,0.5203125,640,3.9,1.0,29.5,29.6,21.4,5.6,3.7,32.3,46.6,31.5,0.0,0.6,0.14715238138474226,0.636477308856134,0.0,0.2163703097591238,UR,1.1448097460379991,0.0,0.0015625,0.0,0.0,UR,0.1,1,0.0,0.9,0.0,0.0,0.0
size11_comp0.0_grid3_base_low,11,0.0,3,low,base,base,15,10,25,5,10,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,5.8,0.9310344827586207,0.9310344827586207,0.0,0.0,0.2900245490459066,1.0,0.33107619488998385,0.2900245490459066,1.0,0.33107619488998385,0.0,0.0,0.0,0.06433566433566436,0.9310344827586207,58,0.0,0.0,5.4,0.4,4.0,0.0,0.0,0.8,0.8,0.8,0.0,0.0,0.0,0.0,0.0,1.0,DR,0.0,0.0,0.0,0.0,0.40698412698412695,DR,2.2,4,1.0,0.0,0.0,0.0,0.0
size11_comp0.0_grid4_base_low,11,0.0,4,low,base,base,7,4,11,11,0,1,1,1,10,10,8,0,1.0,0.8,0.0,0.8,44.3,0.6117381489841986,0.6473214285714286,0.5753424657534246,0.2515533067058491,0.7367308202156173,0.78125,0.3136426081410586,0.7786248903681507,0.7857142857142857,0.2949042169604447,0.44347232914788315,0.75,0.4448113464053556,0.17862537948264162,0.6117381489841986,443,4.8,0.0,16.4,23.1,12.5,4.2,3.2,23.4,29.0,22.7,0.7,0.8,0.0,0.7091773682282217,0.11347421604578405,0.17734841572599427,UR,0.9922944490293567,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.9,0.0,0.0,0.0
size11_comp0.0_grid5_base_low,11,0.0,5,low,base,base,6,6,12,8,2,1,1,1,10,0,0,0,0.0,0.0,0.0,0.0,64.0,0.49375,0.49375,0.0,0.0,1.0385900366623166,0.7727272727272727,0.4152766786503017,1.0385900366623166,0.7727272727272727,0.4152766786503017,0.0,0.0,0.0,0.1789754354777071,0.49375,640,10.6,10.9,24.5,18.0,13.7,13.8,13.8,21.7,48.8,20.2,0.0,3.5,0.721964101696117,0.0,0.2780358983038829,0.0,UL,0.7091498771070747,0.0,0.0,0.0,0.0,,0.0,0,0.0,1.0,0.0,0.0,0.0
size11_comp0.0_grid6_base_low,11,0.0,6,low,base,base,11,3,14,14,0,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,43.7,0.6338672768878718,0.7669902912621359,0.5151515151515151,0.3262114520285252,0.6790848487217664,0.6829268292682927,0.2564737994668955,0.6756713303779207,0.696969696969697,0.2203158729654282,0.6931656118901303,0.625,0.40562524628544827,0.04812016763771619,0.6338672768878718,437,6.3,0.3,13.4,23.7,12.2,6.4,3.0,21.1,26.0,19.8,3.7,2.3,0.0,0.564771168098403,0.27512778495434664,0.1601010469472503,UR,1.216697572907616,0.0,0.0,0.03215687860809813,0.013257575757575756,DL,1.6,4,0.1,0.0,0.0,0.0,0.0
size11_comp0.0_grid7_base_low,11,0.0,7,low,base,base,6,4,10,6,2,1,1,1,10,0,0,3,0.0,0.0,0.3,0.0,51.6,0.4786821705426357,0.4786821705426357,0.0,0.0,0.5890956170383633,0.75,0.5187086665239494,0.5890956170383633,0.75,0.5187086665239494,0.0,0.0,0.0,0.09283448439070235,0.4786821705426357,516,0.0,0.7,30.2,20.7,18.7,0.7,0.5,30.7,44.6,26.4,0.0,5.5,0.954562569213732,0.04543743078626799,0.0,0.0,UL,0.23800121396637755,0.5704545454545455,0.0,0.0,0.0,UL,11.1,20,0.0,1.0,0.0,0.0,0.0
size11_comp0.0_grid8_base_low,11,0.0,8,low,base,base,7,7,14,6,4,1,1,1,10,5,0,1,0.5,0.0,0.1,0.0,63.0,0.5317460317460317,0.5429141716566867,0.4883720930232558,0.0,0.6788863743478732,0.8095238095238095,0.4560707717064564,0.7438298507165362,0.7647058823529411,0.42383204224737137,0.40287659978105567,1.0,0.5930853719075677,0.09370580945493906,0.5317460317460317,630,0.1,2.6,27.8,32.5,21.4,2.5,2.1,36.0,48.8,34.9,9.1,0.7,0.1499555404811251,0.8406694595188748,0.009375,0.0,UR,0.6199355816266581,0.003125,0.09178240740740741,0.0,0.0,UR,3.2,16,0.0,1.0,0.0,0.0,0.0
size11_comp0.0_grid9_base_low,11,0.0,9,low,base,base,8,6,14,14,0,1,1,1,10,10,0,0,1.0,0.0,0.0,0.0,64.0,0.5625,0.6724137931034483,0.5,0.0,0.6827373045873385,0.7291666666666666,0.3189728740771679,0.7563702698438681,0.717948717948718,0.2699855113529215,0.363661121809044,0.7777777777777778,0.5312514458822357,0.17049020409919946,0.5625,640,5.5,0.0,24.5,34.0,21.3,4.6,3.4,33.7,44.6,31.2,0.8,2.2,0.021000894160588902,0.7715362932400807,0.13845027341437743,0.06901253918495298,UR,0.9078585319084544,0.0,0.0,0.0453125,0.0,DL,2.7,4,0.0,0.0,0.0,0.0,0.0
